title_normalized,n,spec,source,unique_to_source
. software engineer - (full stack),2,linkedin_no_aggregators,kaggle_arshkon,True
.net software engineer - credit card operations,2,linkedin_no_aggregators,kaggle_arshkon,True
/ software engineer - simulation scenario full stack,2,linkedin_no_aggregators,kaggle_arshkon,True
application developer - sharepoint,2,linkedin_no_aggregators,kaggle_arshkon,True
"manager, devops",62,linkedin_no_aggregators,kaggle_asaniczka,True
automation tester,30,linkedin_no_aggregators,kaggle_asaniczka,True
"software development engineer, amazon stores",12,linkedin_no_aggregators,kaggle_asaniczka,True
technical systems engineer (electronic security),10,linkedin_no_aggregators,kaggle_asaniczka,True
application development manager,9,linkedin_no_aggregators,kaggle_asaniczka,True
application engineer (multiple openings) - ihm,8,linkedin_no_aggregators,kaggle_asaniczka,True
enterprise technology - system engineer,8,linkedin_no_aggregators,kaggle_asaniczka,True
. net developer,7,linkedin_no_aggregators,kaggle_asaniczka,True
. systems engineer - soc,6,linkedin_no_aggregators,kaggle_asaniczka,True
engineer- generative ai engineering (remote-eligible),6,linkedin_no_aggregators,kaggle_asaniczka,True
process systems engineer,6,linkedin_no_aggregators,kaggle_asaniczka,True
systems engineer -,6,linkedin_no_aggregators,kaggle_asaniczka,True
systems engineer - strategics,6,linkedin_no_aggregators,kaggle_asaniczka,True
. azure cloud engineer,5,linkedin_no_aggregators,kaggle_asaniczka,True
ansible platform engineer,5,linkedin_no_aggregators,kaggle_asaniczka,True
cyber software engineer (ec),5,linkedin_no_aggregators,kaggle_asaniczka,True
data engineer (bigdata production support),5,linkedin_no_aggregators,kaggle_asaniczka,True
embedded software developer,5,linkedin_no_aggregators,kaggle_asaniczka,True
front end / full stack developer,5,linkedin_no_aggregators,kaggle_asaniczka,True
mid software engineer,5,linkedin_no_aggregators,kaggle_asaniczka,True
product engineer (hard goods),5,linkedin_no_aggregators,kaggle_asaniczka,True
software engineer (c/c++),5,linkedin_no_aggregators,kaggle_asaniczka,True
software full stack engineer,5,linkedin_no_aggregators,kaggle_asaniczka,True
swift engineer,5,linkedin_no_aggregators,kaggle_asaniczka,True
system engineer level,5,linkedin_no_aggregators,kaggle_asaniczka,True
mobile apps test automation engineer,29,linkedin_no_aggregators,scraped,True
ai solutions engineer,15,linkedin_no_aggregators,scraped,True
. ai engineer,14,linkedin_no_aggregators,scraped,True
ai automation engineer,13,linkedin_no_aggregators,scraped,True
ai / ml engineer,9,linkedin_no_aggregators,scraped,True
"full stack software engineer,",9,linkedin_no_aggregators,scraped,True
"director, full-stack engineer",8,linkedin_no_aggregators,scraped,True
mid-level software engineer,8,linkedin_no_aggregators,scraped,True
research software engineer,8,linkedin_no_aggregators,scraped,True
software engineer (datagrid),8,linkedin_no_aggregators,scraped,True
"software engineer, ai/ml",8,linkedin_no_aggregators,scraped,True
"data engineer (aws, azure, gcp)",7,linkedin_no_aggregators,scraped,True
java react developer,7,linkedin_no_aggregators,scraped,True
physical security systems engineer,7,linkedin_no_aggregators,scraped,True
r&d software engineer,7,linkedin_no_aggregators,scraped,True
"software engineer , full stack",7,linkedin_no_aggregators,scraped,True
software engineer - cloud infrastructure and devops,7,linkedin_no_aggregators,scraped,True
ai ml engineer,6,linkedin_no_aggregators,scraped,True
asset & wealth management - software engineer - associate - dallas,6,linkedin_no_aggregators,scraped,True
embedded software engineer - viasat government,6,linkedin_no_aggregators,scraped,True
machine learning / data science engineer,6,linkedin_no_aggregators,scraped,True
platform software engineer,6,linkedin_no_aggregators,scraped,True
"robotics systems engineer , tech deployment",6,linkedin_no_aggregators,scraped,True
"site reliability engineer,",6,linkedin_no_aggregators,scraped,True
"software dev engineer, ec2 nitro",6,linkedin_no_aggregators,scraped,True
