title_normalized,source,seniority_native,n,mean_yoe,median_yoe
system engineer,kaggle_arshkon,,6,3.0,3.0
system engineer,kaggle_arshkon,entry,3,6.5,6.5
system engineer,kaggle_arshkon,director,1,10.0,10.0
system engineer,scraped,mid-senior,115,6.35064935064935,5.0
system engineer,scraped,associate,12,4.8,3.0
system engineer,scraped,entry,9,2.0,2.0
system engineer,scraped,,7,6.833333333333333,5.0
system engineer,scraped,director,2,11.0,11.0
systems engineer,kaggle_arshkon,mid-senior,27,5.555555555555555,5.0
systems engineer,kaggle_arshkon,entry,19,3.8666666666666667,3.0
systems engineer,kaggle_arshkon,,6,4.75,4.5
systems engineer,kaggle_arshkon,associate,2,2.0,2.0
systems engineer,scraped,mid-senior,141,6.773584905660377,6.0
systems engineer,scraped,,32,4.208333333333333,3.0
systems engineer,scraped,entry,23,3.0,2.0
systems engineer,scraped,associate,8,5.428571428571429,5.0
test engineer,kaggle_arshkon,mid-senior,11,6.5,6.0
test engineer,kaggle_arshkon,entry,10,2.7142857142857144,2.0
test engineer,kaggle_arshkon,,7,4.25,4.5
test engineer,kaggle_arshkon,associate,6,3.8,3.0
test engineer,scraped,mid-senior,158,4.590163934426229,5.0
test engineer,scraped,entry,67,1.9545454545454546,2.0
test engineer,scraped,,28,3.9,3.0
test engineer,scraped,associate,24,3.4285714285714284,3.0
test engineer,scraped,intern,1,,
test engineer,scraped,director,1,,
