column,column_type,source,subset,n_rows,n_null,non_null_rate,n_distinct
company_name,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,45,0.990407,2272
company_name,VARCHAR,kaggle_asaniczka,all,892554,6,0.999993,69374
company_name,VARCHAR,kaggle_asaniczka,swe,19029,0,1.0,4932
company_name,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,4867
company_name,VARCHAR,scraped,all,449702,8402,0.981317,64437
company_name,VARCHAR,scraped,swe,59592,420,0.992952,10195
company_name,VARCHAR,scraped,swe_linkedin_default,45317,0,1.0,7809
company_name_normalized,VARCHAR,kaggle_arshkon,all,110619,1697,0.984659,24423
company_name_normalized,VARCHAR,kaggle_arshkon,swe,4693,46,0.990198,2273
company_name_normalized,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,45,0.990407,2272
company_name_normalized,VARCHAR,kaggle_asaniczka,all,892554,6,0.999993,69374
company_name_normalized,VARCHAR,kaggle_asaniczka,swe,19029,0,1.0,4932
company_name_normalized,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,4867
company_name_normalized,VARCHAR,scraped,all,449702,8402,0.981317,64437
company_name_normalized,VARCHAR,scraped,swe,59592,420,0.992952,10195
company_name_normalized,VARCHAR,scraped,swe_linkedin_default,45317,0,1.0,7809
location,VARCHAR,kaggle_arshkon,all,110619,0,1.0,8024
location,VARCHAR,kaggle_arshkon,swe,4693,0,1.0,750
location,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,748
location,VARCHAR,kaggle_asaniczka,all,892554,10,0.999989,17681
location,VARCHAR,kaggle_asaniczka,swe,19029,1,0.999947,1868
location,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,1,0.999945,1842
location,VARCHAR,scraped,all,449702,10805,0.975973,7668
location,VARCHAR,scraped,swe,59592,2207,0.962965,2082
location,VARCHAR,scraped,swe_linkedin_default,45317,2205,0.951343,1223
date_posted,VARCHAR,kaggle_arshkon,all,110619,0,1.0,12
date_posted,VARCHAR,kaggle_arshkon,swe,4693,0,1.0,12
date_posted,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,12
date_posted,VARCHAR,kaggle_asaniczka,all,892554,0,1.0,6
date_posted,VARCHAR,kaggle_asaniczka,swe,19029,0,1.0,6
date_posted,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,6
date_posted,VARCHAR,scraped,all,449702,277024,0.383983,572
date_posted,VARCHAR,scraped,swe,59592,44946,0.245771,174
date_posted,VARCHAR,scraped,swe_linkedin_default,45317,44920,0.008761,29
scrape_date,VARCHAR,kaggle_arshkon,all,110619,110619,0.0,0
scrape_date,VARCHAR,kaggle_arshkon,swe,4693,4693,0.0,0
scrape_date,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,4691,0.0,0
scrape_date,VARCHAR,kaggle_asaniczka,all,892554,892554,0.0,0
scrape_date,VARCHAR,kaggle_asaniczka,swe,19029,19029,0.0,0
scrape_date,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,18129,0.0,0
scrape_date,VARCHAR,scraped,all,449702,0,1.0,30
scrape_date,VARCHAR,scraped,swe,59592,0,1.0,30
scrape_date,VARCHAR,scraped,swe_linkedin_default,45317,0,1.0,29
description,VARCHAR,kaggle_arshkon,all,110619,7,0.999937,107607
description,VARCHAR,kaggle_arshkon,swe,4693,0,1.0,4666
description,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,4664
description,VARCHAR,kaggle_asaniczka,all,892554,43108,0.951703,794137
description,VARCHAR,kaggle_asaniczka,swe,19029,893,0.953072,17959
description,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,17952
description,VARCHAR,scraped,all,449702,36,0.99992,436953
description,VARCHAR,scraped,swe,59592,5,0.999916,58926
description,VARCHAR,scraped,swe_linkedin_default,45317,0,1.0,44746
description_raw,VARCHAR,kaggle_arshkon,all,110619,7,0.999937,107672
description_raw,VARCHAR,kaggle_arshkon,swe,4693,0,1.0,4668
description_raw,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,4666
description_raw,VARCHAR,kaggle_asaniczka,all,892554,43108,0.951703,794141
description_raw,VARCHAR,kaggle_asaniczka,swe,19029,893,0.953072,17959
description_raw,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,17952
description_raw,VARCHAR,scraped,all,449702,36,0.99992,437008
description_raw,VARCHAR,scraped,swe,59592,5,0.999916,58933
description_raw,VARCHAR,scraped,swe_linkedin_default,45317,0,1.0,44748
description_length,BIGINT,kaggle_arshkon,all,110619,0,1.0,10423
description_length,BIGINT,kaggle_arshkon,swe,4693,0,1.0,3412
description_length,BIGINT,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,3410
description_length,BIGINT,kaggle_asaniczka,all,892554,0,1.0,15879
description_length,BIGINT,kaggle_asaniczka,swe,19029,0,1.0,7036
description_length,BIGINT,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,7034
description_length,BIGINT,scraped,all,449702,0,1.0,14924
description_length,BIGINT,scraped,swe,59592,0,1.0,10387
description_length,BIGINT,scraped,swe_linkedin_default,45317,0,1.0,9826
seniority_native,VARCHAR,kaggle_arshkon,all,110619,27637,0.75016,6
seniority_native,VARCHAR,kaggle_arshkon,swe,4693,1410,0.699553,6
seniority_native,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,1408,0.699851,6
seniority_native,VARCHAR,kaggle_asaniczka,all,892554,0,1.0,2
seniority_native,VARCHAR,kaggle_asaniczka,swe,19029,0,1.0,2
seniority_native,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,2
seniority_native,VARCHAR,scraped,all,449702,203755,0.546911,6
seniority_native,VARCHAR,scraped,swe,59592,20912,0.64908,6
seniority_native,VARCHAR,scraped,swe_linkedin_default,45317,6658,0.853079,6
company_industry,VARCHAR,kaggle_arshkon,all,110619,1525,0.986214,374
company_industry,VARCHAR,kaggle_arshkon,swe,4693,39,0.99169,163
company_industry,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,38,0.991899,163
company_industry,VARCHAR,kaggle_asaniczka,all,892554,892554,0.0,0
company_industry,VARCHAR,kaggle_asaniczka,swe,19029,19029,0.0,0
company_industry,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,18129,0.0,0
company_industry,VARCHAR,scraped,all,449702,129230,0.712632,7140
company_industry,VARCHAR,scraped,swe,59592,11772,0.802457,1810
company_industry,VARCHAR,scraped,swe_linkedin_default,45317,12,0.999735,1781
company_size,DOUBLE,kaggle_arshkon,all,110619,1696,0.984668,5100
company_size,DOUBLE,kaggle_arshkon,swe,4693,46,0.990198,1216
company_size,DOUBLE,kaggle_arshkon,swe_linkedin_default,4691,45,0.990407,1215
company_size,DOUBLE,kaggle_asaniczka,all,892554,892554,0.0,0
company_size,DOUBLE,kaggle_asaniczka,swe,19029,19029,0.0,0
company_size,DOUBLE,kaggle_asaniczka,swe_linkedin_default,18129,18129,0.0,0
company_size,DOUBLE,scraped,all,449702,330917,0.264142,10
company_size,DOUBLE,scraped,swe,59592,48700,0.182776,8
company_size,DOUBLE,scraped,swe_linkedin_default,45317,45317,0.0,0
company_size_raw,VARCHAR,kaggle_arshkon,all,110619,1696,0.984668,5100
company_size_raw,VARCHAR,kaggle_arshkon,swe,4693,46,0.990198,1216
company_size_raw,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,45,0.990407,1215
company_size_raw,VARCHAR,kaggle_asaniczka,all,892554,892554,0.0,0
company_size_raw,VARCHAR,kaggle_asaniczka,swe,19029,19029,0.0,0
company_size_raw,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,18129,0.0,0
company_size_raw,VARCHAR,scraped,all,449702,325252,0.276739,11
company_size_raw,VARCHAR,scraped,swe,59592,48388,0.188012,9
company_size_raw,VARCHAR,scraped,swe_linkedin_default,45317,45317,0.0,0
company_size_category,VARCHAR,kaggle_arshkon,all,110619,6049,0.945317,7
company_size_category,VARCHAR,kaggle_arshkon,swe,4693,254,0.945877,7
company_size_category,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,253,0.946067,7
company_size_category,VARCHAR,kaggle_asaniczka,all,892554,892554,0.0,0
company_size_category,VARCHAR,kaggle_asaniczka,swe,19029,19029,0.0,0
company_size_category,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,18129,0.0,0
company_size_category,VARCHAR,scraped,all,449702,449702,0.0,0
company_size_category,VARCHAR,scraped,swe,59592,59592,0.0,0
company_size_category,VARCHAR,scraped,swe_linkedin_default,45317,45317,0.0,0
search_query,VARCHAR,kaggle_arshkon,all,110619,110619,0.0,0
search_query,VARCHAR,kaggle_arshkon,swe,4693,4693,0.0,0
search_query,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,4691,0.0,0
search_query,VARCHAR,kaggle_asaniczka,all,892554,0,1.0,1966
search_query,VARCHAR,kaggle_asaniczka,swe,19029,0,1.0,432
search_query,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,414
search_query,VARCHAR,scraped,all,449702,10,0.999978,28
search_query,VARCHAR,scraped,swe,59592,10,0.999832,27
search_query,VARCHAR,scraped,swe_linkedin_default,45317,5,0.99989,27
query_tier,VARCHAR,kaggle_arshkon,all,110619,110619,0.0,0
query_tier,VARCHAR,kaggle_arshkon,swe,4693,4693,0.0,0
query_tier,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,4691,0.0,0
query_tier,VARCHAR,kaggle_asaniczka,all,892554,892554,0.0,0
query_tier,VARCHAR,kaggle_asaniczka,swe,19029,19029,0.0,0
query_tier,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,18129,0.0,0
query_tier,VARCHAR,scraped,all,449702,10,0.999978,3
query_tier,VARCHAR,scraped,swe,59592,10,0.999832,3
query_tier,VARCHAR,scraped,swe_linkedin_default,45317,5,0.99989,3
search_metro_id,VARCHAR,kaggle_arshkon,all,110619,110619,0.0,0
search_metro_id,VARCHAR,kaggle_arshkon,swe,4693,4693,0.0,0
search_metro_id,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,4691,0.0,0
search_metro_id,VARCHAR,kaggle_asaniczka,all,892554,892554,0.0,0
search_metro_id,VARCHAR,kaggle_asaniczka,swe,19029,19029,0.0,0
search_metro_id,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,18129,0.0,0
search_metro_id,VARCHAR,scraped,all,449702,28497,0.936631,26
search_metro_id,VARCHAR,scraped,swe,59592,4326,0.927406,26
search_metro_id,VARCHAR,scraped,swe_linkedin_default,45317,3348,0.92612,26
search_metro_name,VARCHAR,kaggle_arshkon,all,110619,110619,0.0,0
search_metro_name,VARCHAR,kaggle_arshkon,swe,4693,4693,0.0,0
search_metro_name,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,4691,0.0,0
search_metro_name,VARCHAR,kaggle_asaniczka,all,892554,35457,0.960275,849
search_metro_name,VARCHAR,kaggle_asaniczka,swe,19029,894,0.953019,710
search_metro_name,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,894,0.950687,705
search_metro_name,VARCHAR,scraped,all,449702,28497,0.936631,26
search_metro_name,VARCHAR,scraped,swe,59592,4326,0.927406,26
search_metro_name,VARCHAR,scraped,swe_linkedin_default,45317,3348,0.92612,26
search_metro_region,VARCHAR,kaggle_arshkon,all,110619,110619,0.0,0
search_metro_region,VARCHAR,kaggle_arshkon,swe,4693,4693,0.0,0
search_metro_region,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,4691,0.0,0
search_metro_region,VARCHAR,kaggle_asaniczka,all,892554,892554,0.0,0
search_metro_region,VARCHAR,kaggle_asaniczka,swe,19029,19029,0.0,0
search_metro_region,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,18129,0.0,0
search_metro_region,VARCHAR,scraped,all,449702,28497,0.936631,5
search_metro_region,VARCHAR,scraped,swe,59592,4326,0.927406,5
search_metro_region,VARCHAR,scraped,swe_linkedin_default,45317,3348,0.92612,5
search_location,VARCHAR,kaggle_arshkon,all,110619,110619,0.0,0
search_location,VARCHAR,kaggle_arshkon,swe,4693,4693,0.0,0
search_location,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,4691,0.0,0
search_location,VARCHAR,kaggle_asaniczka,all,892554,892554,0.0,0
search_location,VARCHAR,kaggle_asaniczka,swe,19029,19029,0.0,0
search_location,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,18129,0.0,0
search_location,VARCHAR,scraped,all,449702,28497,0.936631,49
search_location,VARCHAR,scraped,swe,59592,4326,0.927406,49
search_location,VARCHAR,scraped,swe_linkedin_default,45317,3348,0.92612,26
work_type,VARCHAR,kaggle_arshkon,all,110619,0,1.0,7
work_type,VARCHAR,kaggle_arshkon,swe,4693,0,1.0,7
work_type,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,7
work_type,VARCHAR,kaggle_asaniczka,all,892554,892554,0.0,0
work_type,VARCHAR,kaggle_asaniczka,swe,19029,19029,0.0,0
work_type,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,18129,0.0,0
work_type,VARCHAR,scraped,all,449702,35626,0.920779,49
work_type,VARCHAR,scraped,swe,59592,4034,0.932306,24
work_type,VARCHAR,scraped,swe_linkedin_default,45317,0,1.0,7
is_remote,BOOLEAN,kaggle_arshkon,all,110619,0,1.0,1
is_remote,BOOLEAN,kaggle_arshkon,swe,4693,0,1.0,1
is_remote,BOOLEAN,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,1
is_remote,BOOLEAN,kaggle_asaniczka,all,892554,0,1.0,2
is_remote,BOOLEAN,kaggle_asaniczka,swe,19029,0,1.0,2
is_remote,BOOLEAN,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,2
is_remote,BOOLEAN,scraped,all,449702,0,1.0,2
is_remote,BOOLEAN,scraped,swe,59592,0,1.0,2
is_remote,BOOLEAN,scraped,swe_linkedin_default,45317,0,1.0,2
job_url,VARCHAR,kaggle_arshkon,all,110619,0,1.0,110619
job_url,VARCHAR,kaggle_arshkon,swe,4693,0,1.0,4693
job_url,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,4691
job_url,VARCHAR,kaggle_asaniczka,all,892554,0,1.0,892554
job_url,VARCHAR,kaggle_asaniczka,swe,19029,0,1.0,19029
job_url,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,18129
job_url,VARCHAR,scraped,all,449702,0,1.0,449702
job_url,VARCHAR,scraped,swe,59592,0,1.0,59592
job_url,VARCHAR,scraped,swe_linkedin_default,45317,0,1.0,45317
skills_raw,VARCHAR,kaggle_arshkon,all,110619,108520,0.018975,1958
skills_raw,VARCHAR,kaggle_arshkon,swe,4693,4625,0.01449,62
skills_raw,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,4623,0.014496,62
skills_raw,VARCHAR,kaggle_asaniczka,all,892554,45104,0.949466,844027
skills_raw,VARCHAR,kaggle_asaniczka,swe,19029,908,0.952283,18113
skills_raw,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,15,0.999173,18106
skills_raw,VARCHAR,scraped,all,449702,449702,0.0,0
skills_raw,VARCHAR,scraped,swe,59592,59592,0.0,0
skills_raw,VARCHAR,scraped,swe_linkedin_default,45317,45317,0.0,0
asaniczka_skills,VARCHAR,kaggle_arshkon,all,110619,110619,0.0,0
asaniczka_skills,VARCHAR,kaggle_arshkon,swe,4693,4693,0.0,0
asaniczka_skills,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,4691,0.0,0
asaniczka_skills,VARCHAR,kaggle_asaniczka,all,892554,45104,0.949466,844027
asaniczka_skills,VARCHAR,kaggle_asaniczka,swe,19029,908,0.952283,18113
asaniczka_skills,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,15,0.999173,18106
asaniczka_skills,VARCHAR,scraped,all,449702,449702,0.0,0
asaniczka_skills,VARCHAR,scraped,swe,59592,59592,0.0,0
asaniczka_skills,VARCHAR,scraped,swe_linkedin_default,45317,45317,0.0,0
company_id_kaggle,DOUBLE,kaggle_arshkon,all,110619,1695,0.984677,24474
company_id_kaggle,DOUBLE,kaggle_arshkon,swe,4693,46,0.990198,2276
company_id_kaggle,DOUBLE,kaggle_arshkon,swe_linkedin_default,4691,45,0.990407,2275
company_id_kaggle,DOUBLE,kaggle_asaniczka,all,892554,892554,0.0,0
company_id_kaggle,DOUBLE,kaggle_asaniczka,swe,19029,19029,0.0,0
company_id_kaggle,DOUBLE,kaggle_asaniczka,swe_linkedin_default,18129,18129,0.0,0
company_id_kaggle,DOUBLE,scraped,all,449702,449702,0.0,0
company_id_kaggle,DOUBLE,scraped,swe,59592,59592,0.0,0
company_id_kaggle,DOUBLE,scraped,swe_linkedin_default,45317,45317,0.0,0
posting_age_days,DOUBLE,kaggle_arshkon,all,110619,110619,0.0,0
posting_age_days,DOUBLE,kaggle_arshkon,swe,4693,4693,0.0,0
posting_age_days,DOUBLE,kaggle_arshkon,swe_linkedin_default,4691,4691,0.0,0
posting_age_days,DOUBLE,kaggle_asaniczka,all,892554,892554,0.0,0
posting_age_days,DOUBLE,kaggle_asaniczka,swe,19029,19029,0.0,0
posting_age_days,DOUBLE,kaggle_asaniczka,swe_linkedin_default,18129,18129,0.0,0
posting_age_days,DOUBLE,scraped,all,449702,277024,0.383983,607
posting_age_days,DOUBLE,scraped,swe,59592,44946,0.245771,188
posting_age_days,DOUBLE,scraped,swe_linkedin_default,45317,44920,0.008761,1
is_aggregator,BOOLEAN,kaggle_arshkon,all,110619,0,1.0,2
is_aggregator,BOOLEAN,kaggle_arshkon,swe,4693,0,1.0,2
is_aggregator,BOOLEAN,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,2
is_aggregator,BOOLEAN,kaggle_asaniczka,all,892554,0,1.0,2
is_aggregator,BOOLEAN,kaggle_asaniczka,swe,19029,0,1.0,2
is_aggregator,BOOLEAN,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,2
is_aggregator,BOOLEAN,scraped,all,449702,0,1.0,2
is_aggregator,BOOLEAN,scraped,swe,59592,0,1.0,2
is_aggregator,BOOLEAN,scraped,swe_linkedin_default,45317,0,1.0,2
real_employer,VARCHAR,kaggle_arshkon,all,110619,110302,0.002866,224
real_employer,VARCHAR,kaggle_arshkon,swe,4693,4651,0.008949,38
real_employer,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,4649,0.008953,38
real_employer,VARCHAR,kaggle_asaniczka,all,892554,876291,0.018221,1081
real_employer,VARCHAR,kaggle_asaniczka,swe,19029,18128,0.047349,150
real_employer,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,17228,0.049699,150
real_employer,VARCHAR,scraped,all,449702,440086,0.021383,2135
real_employer,VARCHAR,scraped,swe,59592,56453,0.052675,1015
real_employer,VARCHAR,scraped,swe_linkedin_default,45317,42178,0.069268,1015
company_name_effective,VARCHAR,kaggle_arshkon,all,110619,1697,0.984659,24600
company_name_effective,VARCHAR,kaggle_arshkon,swe,4693,46,0.990198,2303
company_name_effective,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,45,0.990407,2302
company_name_effective,VARCHAR,kaggle_asaniczka,all,892554,6,0.999993,70233
company_name_effective,VARCHAR,kaggle_asaniczka,swe,19029,0,1.0,5053
company_name_effective,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,4988
company_name_effective,VARCHAR,scraped,all,449702,8402,0.981317,65854
company_name_effective,VARCHAR,scraped,swe,59592,420,0.992952,11010
company_name_effective,VARCHAR,scraped,swe_linkedin_default,45317,0,1.0,8645
company_name_canonical,VARCHAR,kaggle_arshkon,all,110619,1697,0.984659,24483
company_name_canonical,VARCHAR,kaggle_arshkon,swe,4693,46,0.990198,2299
company_name_canonical,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,45,0.990407,2298
company_name_canonical,VARCHAR,kaggle_asaniczka,all,892554,6,0.999993,69497
company_name_canonical,VARCHAR,kaggle_asaniczka,swe,19029,0,1.0,5012
company_name_canonical,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,4948
company_name_canonical,VARCHAR,scraped,all,449702,8402,0.981317,62185
company_name_canonical,VARCHAR,scraped,swe,59592,420,0.992952,10363
company_name_canonical,VARCHAR,scraped,swe_linkedin_default,45317,0,1.0,8477
company_name_canonical_method,VARCHAR,kaggle_arshkon,all,110619,0,1.0,4
company_name_canonical_method,VARCHAR,kaggle_arshkon,swe,4693,0,1.0,4
company_name_canonical_method,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,4
company_name_canonical_method,VARCHAR,kaggle_asaniczka,all,892554,0,1.0,4
company_name_canonical_method,VARCHAR,kaggle_asaniczka,swe,19029,0,1.0,4
company_name_canonical_method,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,4
company_name_canonical_method,VARCHAR,scraped,all,449702,0,1.0,4
company_name_canonical_method,VARCHAR,scraped,swe,59592,0,1.0,4
company_name_canonical_method,VARCHAR,scraped,swe_linkedin_default,45317,0,1.0,4
is_multi_location,BOOLEAN,kaggle_arshkon,all,110619,0,1.0,2
is_multi_location,BOOLEAN,kaggle_arshkon,swe,4693,0,1.0,2
is_multi_location,BOOLEAN,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,2
is_multi_location,BOOLEAN,kaggle_asaniczka,all,892554,0,1.0,2
is_multi_location,BOOLEAN,kaggle_asaniczka,swe,19029,0,1.0,2
is_multi_location,BOOLEAN,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,2
is_multi_location,BOOLEAN,scraped,all,449702,0,1.0,2
is_multi_location,BOOLEAN,scraped,swe,59592,0,1.0,2
is_multi_location,BOOLEAN,scraped,swe_linkedin_default,45317,0,1.0,2
is_swe,BOOLEAN,kaggle_arshkon,all,110619,0,1.0,2
is_swe,BOOLEAN,kaggle_arshkon,swe,4693,0,1.0,1
is_swe,BOOLEAN,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,1
is_swe,BOOLEAN,kaggle_asaniczka,all,892554,0,1.0,2
is_swe,BOOLEAN,kaggle_asaniczka,swe,19029,0,1.0,1
is_swe,BOOLEAN,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,1
is_swe,BOOLEAN,scraped,all,449702,0,1.0,2
is_swe,BOOLEAN,scraped,swe,59592,0,1.0,1
is_swe,BOOLEAN,scraped,swe_linkedin_default,45317,0,1.0,1
is_swe_adjacent,BOOLEAN,kaggle_arshkon,all,110619,0,1.0,2
is_swe_adjacent,BOOLEAN,kaggle_arshkon,swe,4693,0,1.0,1
is_swe_adjacent,BOOLEAN,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,1
is_swe_adjacent,BOOLEAN,kaggle_asaniczka,all,892554,0,1.0,2
is_swe_adjacent,BOOLEAN,kaggle_asaniczka,swe,19029,0,1.0,1
is_swe_adjacent,BOOLEAN,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,1
