company,n_arshkon,n_scraped,n_total,entry_share_arshkon,entry_share_scraped,entry_share_delta,junior_share_arshkon,junior_share_scraped,junior_share_delta,desc_len_arshkon,desc_len_scraped,desc_len_ratio,ai_arshkon,ai_scraped,ai_delta,unknown_arshkon,unknown_scraped
Microsoft,18,19,37,0.0,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,5684.0,6050.0,1.0643912737508796,0.5555555555555556,0.7368421052631579,0.18128654970760227,0.2222222222222222,0.15789473684210525
Oracle,19,16,35,0.21052631578947367,0.0,-0.21052631578947367,0.21052631578947367,0.0,-0.21052631578947367,6988.0,8156.5,1.1672152261018889,0.0,1.0,1.0,0.0,0.0
Anduril Industries,5,29,34,0.6,0.034482758620689655,-0.5655172413793104,0.6,0.034482758620689655,-0.5655172413793104,8661.0,8270.0,0.9548550975637917,1.0,0.9655172413793104,-0.03448275862068961,0.0,0.0
hackajob,10,24,34,0.0,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,1949.5,5903.0,3.0279558861246474,0.2,0.3333333333333333,0.1333333333333333,0.0,0.0
Leidos,15,19,34,0.9333333333333333,0.21052631578947367,-0.7228070175438597,0.9333333333333333,0.21052631578947367,-0.7228070175438597,3770.0,6775.0,1.797082228116711,0.06666666666666667,0.15789473684210525,0.09122807017543859,0.0,0.0
Piper Companies,15,18,33,0.8,0.2777777777777778,-0.5222222222222223,0.8,0.2777777777777778,-0.5222222222222223,2104.0,1843.0,0.8759505703422054,0.06666666666666667,0.05555555555555555,-0.011111111111111113,0.0,0.0
Fidelity Investments,29,3,32,0.0,0.0,0.0,0.0,0.0,0.0,6091.0,4769.0,0.7829584633065179,0.0,0.6666666666666666,0.6666666666666666,0.1724137931034483,0.0
Akkodis,24,8,32,0.08333333333333333,0.0,-0.08333333333333333,0.08333333333333333,0.0,-0.08333333333333333,2580.0,4357.0,1.6887596899224806,0.25,0.25,0.0,0.0,0.125
myGwork - LGBTQ+ Business Community,22,10,32,0.2727272727272727,0.0,-0.2727272727272727,0.2727272727272727,0.0,-0.2727272727272727,6756.0,6761.0,1.0007400828892836,0.13636363636363635,0.8,0.6636363636363637,0.0,0.0
BLUE ORIGIN,7,24,31,0.14285714285714285,0.0,-0.14285714285714285,0.14285714285714285,0.0,-0.14285714285714285,7579.0,8594.0,1.1339226810924925,0.0,0.5,0.5,0.0,0.0
Northrop Grumman,14,15,29,0.0,0.0,0.0,0.0,0.0,0.0,6624.0,6678.0,1.0081521739130435,0.21428571428571427,0.0,-0.21428571428571427,0.07142857142857142,0.0
Insight Global,22,7,29,0.09090909090909091,0.0,-0.09090909090909091,0.09090909090909091,0.0,-0.09090909090909091,1325.0,1987.0,1.499622641509434,0.045454545454545456,0.5714285714285714,0.525974025974026,0.0,0.0
Experis,24,4,28,0.75,0.25,-0.5,0.75,0.25,-0.5,2933.0,3643.5,1.2422434367541766,0.08333333333333333,0.0,-0.08333333333333333,0.0,0.0
"BAE Systems, Inc.",12,16,28,0.6666666666666666,0.0625,-0.6041666666666666,0.6666666666666666,0.0625,-0.6041666666666666,7609.5,5762.0,0.7572113805112031,0.0,0.125,0.125,0.0,0.0
Jobot,10,15,25,0.5,0.13333333333333333,-0.3666666666666667,0.5,0.13333333333333333,-0.3666666666666667,2574.0,3539.0,1.3749028749028749,0.1,0.2,0.1,0.0,0.3333333333333333
ICE,24,1,25,0.041666666666666664,0.0,-0.041666666666666664,0.041666666666666664,0.0,-0.041666666666666664,3617.0,2593.0,0.716892452308543,0.041666666666666664,0.0,-0.041666666666666664,0.16666666666666666,0.0
Uber,8,16,24,0.0,0.25,0.25,0.0,0.25,0.25,2300.5,1980.0,0.8606824603347099,0.0,0.4375,0.4375,0.0,0.0
LinkedIn,4,20,24,0.0,0.0,0.0,0.0,0.0,0.0,7508.5,7943.5,1.0579343410801092,0.75,0.6,-0.15000000000000002,0.25,0.05
Capgemini,1,22,23,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,4415.0,7281.5,1.649263873159683,1.0,0.8636363636363636,-0.13636363636363635,0.0,0.0
Wells Fargo,16,7,23,0.0,0.0,0.0,0.0,0.0,0.0,5260.0,3575.0,0.6796577946768061,0.0625,0.5714285714285714,0.5089285714285714,0.0,0.0
TikTok,14,9,23,0.07142857142857142,0.7777777777777778,0.7063492063492064,0.07142857142857142,0.7777777777777778,0.7063492063492064,6317.0,6899.0,1.0921323413012507,0.42857142857142855,0.5555555555555556,0.12698412698412703,0.6428571428571429,0.1111111111111111
Affirm,2,21,23,0.0,0.0,0.0,0.0,0.0,0.0,4419.5,5307.0,1.2008145717841385,0.0,0.0,0.0,0.0,0.0
Compunnel Inc.,19,3,22,0.0,0.0,0.0,0.0,0.0,0.0,1471.0,1910.0,1.2984364377974167,0.05263157894736842,0.0,-0.05263157894736842,0.10526315789473684,0.0
Mercor,1,21,22,0.0,0.09523809523809523,0.09523809523809523,0.0,0.09523809523809523,0.09523809523809523,781.0,2106.0,2.6965428937259923,0.0,1.0,1.0,1.0,0.47619047619047616
Adobe,9,13,22,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,4379.0,7536.0,1.7209408540762732,0.4444444444444444,1.0,0.5555555555555556,0.0,0.0
Robert Half,17,2,19,0.4117647058823529,0.0,-0.4117647058823529,0.4117647058823529,0.0,-0.4117647058823529,3097.0,2613.0,0.8437197287697772,0.058823529411764705,0.0,-0.058823529411764705,0.0,0.0
Palo Alto Networks,14,5,19,0.0,0.0,0.0,0.0,0.0,0.0,5551.0,5909.0,1.0644928841650154,0.35714285714285715,1.0,0.6428571428571428,0.0,0.0
Lam Research,1,17,18,0.0,0.0,0.0,0.0,0.0,0.0,5640.0,5186.0,0.9195035460992907,0.0,0.11764705882352941,0.11764705882352941,0.0,0.47058823529411764
CGI,8,10,18,1.0,0.7,-0.30000000000000004,1.0,0.7,-0.30000000000000004,7522.0,7910.5,1.0516484977399627,0.0,0.1,0.1,0.0,0.0
Boeing,8,10,18,0.125,0.1,-0.024999999999999994,0.125,0.1,-0.024999999999999994,6965.0,7606.0,1.0920315865039483,0.125,0.3,0.175,0.125,0.2
Ford Motor Company,14,4,18,0.0,0.0,0.0,0.0,0.0,0.0,5469.5,5982.0,1.0937014352317396,0.2857142857142857,0.25,-0.0357142857142857,0.7142857142857143,0.0
Qualcomm,5,12,17,0.0,0.0,0.0,0.0,0.0,0.0,4732.0,6492.5,1.3720414201183433,0.6,0.5,-0.09999999999999998,0.8,0.16666666666666666
NVIDIA,2,15,17,0.0,0.0,0.0,0.0,0.0,0.0,3115.0,3976.0,1.2764044943820225,1.0,1.0,0.0,0.0,0.0
Synechron,14,2,16,0.07142857142857142,0.0,-0.07142857142857142,0.07142857142857142,0.0,-0.07142857142857142,4006.5,5306.5,1.3244727318108074,0.2857142857142857,1.0,0.7142857142857143,0.0,0.0
Jobs via eFinancialCareers,2,14,16,0.5,0.14285714285714285,-0.35714285714285715,0.5,0.14285714285714285,-0.35714285714285715,3889.0,5143.5,1.3225764978143482,0.5,0.6428571428571429,0.1428571428571429,0.0,0.0
Cloudflare,7,9,16,0.0,0.0,0.0,0.0,0.0,0.0,8093.0,8191.0,1.0121092301989374,0.2857142857142857,1.0,0.7142857142857143,0.0,0.0
The Walt Disney Company,5,10,15,0.0,0.0,0.0,0.0,0.0,0.0,4759.0,5424.5,1.1398403025845767,0.2,0.3,0.09999999999999998,0.0,0.0
Walmart,2,13,15,0.0,0.0,0.0,0.0,0.0,0.0,8015.5,7723.0,0.9635082028569646,0.5,0.38461538461538464,-0.11538461538461536,0.0,0.0
Randstad Digital Americas,6,9,15,0.0,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,2597.0,3033.0,1.1678860223334617,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.2222222222222222
Cisco,5,10,15,0.0,0.7,0.7,0.0,0.7,0.7,4288.0,7375.0,1.7199160447761195,0.4,1.0,0.6,0.4,0.0
Talent Groups,9,6,15,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.05555555555555555,627.0,2500.0,3.9872408293460926,0.0,0.5,0.5,0.0,0.0
CACI International Inc,10,4,14,0.5,0.0,-0.5,0.5,0.0,-0.5,4364.5,5214.0,1.194638561118112,0.0,0.25,0.25,0.0,0.5
Photon,13,1,14,0.0,0.0,0.0,0.0,0.0,0.0,2239.0,2841.0,1.2688700312639571,0.07692307692307693,1.0,0.9230769230769231,0.0,0.0
Viasat,5,8,13,0.4,0.0,-0.4,0.4,0.0,-0.4,4246.0,4627.0,1.0897315120113047,0.6,0.25,-0.35,0.4,0.75
Aditi Consulting,7,6,13,0.2857142857142857,1.0,0.7142857142857143,0.2857142857142857,1.0,0.7142857142857143,1940.0,5044.5,2.600257731958763,0.0,1.0,1.0,0.0,0.0
AMD,2,11,13,0.0,0.0,0.0,0.0,0.0,0.0,3335.5,4421.0,1.3254384649977515,1.0,1.0,0.0,0.0,0.0
Eliassen Group,12,1,13,0.0,0.0,0.0,0.0,0.0,0.0,2478.5,4315.0,1.7409723623159168,0.0,1.0,1.0,0.0,0.0
Venmo,3,9,12,0.0,0.0,0.0,0.0,0.0,0.0,6382.0,9563.0,1.4984330930742713,0.0,0.0,0.0,0.0,0.0
General Dynamics Mission Systems,5,7,12,1.0,0.2857142857142857,-0.7142857142857143,1.0,0.2857142857142857,-0.7142857142857143,3678.0,4611.0,1.2536704730831973,0.2,0.14285714285714285,-0.05714285714285716,0.0,0.0
DoorDash,1,11,12,1.0,0.0,-1.0,1.0,0.0,-1.0,5910.0,8030.0,1.3587140439932317,0.0,0.45454545454545453,0.45454545454545453,0.0,0.0
StubHub,1,11,12,1.0,0.09090909090909091,-0.9090909090909091,1.0,0.09090909090909091,-0.9090909090909091,6215.0,5571.0,0.8963797264682221,0.0,0.6363636363636364,0.6363636363636364,0.0,0.0
ClearanceJobs,11,1,12,0.45454545454545453,0.0,-0.45454545454545453,0.45454545454545453,0.0,-0.45454545454545453,4457.0,3122.0,0.7004711689477227,0.18181818181818182,0.0,-0.18181818181818182,0.0,0.0
Veeva Systems,1,10,11,0.0,0.2,0.2,0.0,0.2,0.2,3947.0,4354.0,1.103116290853813,0.0,0.0,0.0,0.0,0.0
Honeywell,9,2,11,0.6666666666666666,0.0,-0.6666666666666666,0.6666666666666666,0.0,-0.6666666666666666,3258.0,7560.0,2.320441988950276,0.1111111111111111,0.5,0.3888888888888889,0.0,0.0
SAIC,10,1,11,0.6,0.0,-0.6,0.6,0.0,-0.6,2511.5,4903.0,1.9522197889707347,0.1,0.0,-0.1,0.0,0.0
Raytheon,4,7,11,0.5,0.2857142857142857,-0.2142857142857143,0.5,0.2857142857142857,-0.2142857142857143,6583.0,7043.0,1.0698769557952301,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0
"Lowe's Companies, Inc.",9,2,11,0.5555555555555556,0.0,-0.5555555555555556,0.5555555555555556,0.0,-0.5555555555555556,3354.0,6163.5,1.8376565295169947,0.0,0.5,0.5,0.0,0.0
Rose International,8,3,11,0.0,0.0,0.0,0.0,0.0,0.0,4016.0,7885.0,1.9633964143426295,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0
EPITEC,9,2,11,0.1111111111111111,0.0,-0.1111111111111111,0.1111111111111111,0.0,-0.1111111111111111,3297.0,3060.5,0.9282681225356385,0.2222222222222222,1.0,0.7777777777777778,0.0,0.0
Franklin Fitch,7,3,10,0.0,0.0,0.0,0.0,0.0,0.0,1280.0,1994.0,1.5578125,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
ByteDance,4,6,10,0.25,1.0,0.75,0.25,1.0,0.75,4238.0,7158.5,1.6891222274657858,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0
SoFi,1,9,10,0.0,0.0,0.0,0.0,0.0,0.0,6098.0,6213.0,1.0188586421777632,0.0,0.7777777777777778,0.7777777777777778,0.0,0.0
GEICO,1,9,10,0.0,0.0,0.0,0.0,0.0,0.0,6595.0,8261.0,1.2526156178923427,0.0,0.7777777777777778,0.7777777777777778,0.0,0.0
Meta,6,4,10,0.0,0.0,0.0,0.0,0.0,0.0,4300.0,5488.5,1.2763953488372093,1.0,1.0,0.0,1.0,1.0
Verizon,3,7,10,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,5001.0,5969.0,1.1935612877424515,0.0,1.0,1.0,0.0,0.0
Brooksource,5,5,10,0.0,0.4,0.4,0.0,0.4,0.4,3042.0,3274.0,1.0762656147271532,0.0,0.4,0.4,0.0,0.0
System One,8,2,10,0.125,0.0,-0.125,0.125,0.0,-0.125,2146.0,3159.5,1.472273998136067,0.25,0.0,-0.25,0.5,0.0
U.S. Bank,4,5,9,0.0,0.0,0.0,0.0,0.0,0.0,6462.0,6808.0,1.0535437944908697,0.0,0.6,0.6,0.0,0.0
Visa,5,4,9,0.0,0.0,0.0,0.0,0.0,0.0,5932.0,6807.0,1.1475050573162509,0.4,0.25,-0.15000000000000002,0.0,0.0
Ascendion,8,1,9,0.0,1.0,1.0,0.0,1.0,1.0,3703.5,5813.0,1.569596327798029,0.125,0.0,-0.125,0.0,0.0
Goldman Sachs,5,4,9,0.2,0.0,-0.2,0.2,0.0,-0.2,4516.0,3915.0,0.8669176262178919,0.6,1.0,0.4,0.0,0.0
Klaviyo,1,8,9,0.0,0.0,0.0,0.0,0.0,0.0,3419.0,7779.0,2.2752266744662184,0.0,1.0,1.0,0.0,0.0
General Dynamics Information Technology,3,6,9,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.3333333333333333,7077.0,5833.5,0.824289953370072,1.0,1.0,0.0,0.0,0.16666666666666666
IBM,1,8,9,0.0,0.25,0.25,0.0,0.25,0.25,9041.0,3992.0,0.44154407698263465,1.0,0.5,-0.5,0.0,0.0
NLB Services,7,2,9,0.0,0.0,0.0,0.0,0.0,0.0,1553.0,1694.5,1.0911139729555699,0.2857142857142857,0.0,-0.2857142857142857,0.8571428571428571,0.0
Harnham,6,2,8,0.0,0.0,0.0,0.0,0.0,0.0,2041.0,2897.0,1.4194022537971582,0.8333333333333334,1.0,0.16666666666666663,0.0,0.0
Raas Infotek,6,2,8,0.0,0.0,0.0,0.0,0.0,0.0,1792.5,1938.0,1.0811715481171549,0.0,0.5,0.5,0.0,0.0
VDart,5,3,8,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,2260.0,1067.0,0.4721238938053097,0.0,0.0,0.0,0.8,0.0
Trimble Inc.,2,6,8,0.0,0.0,0.0,0.0,0.0,0.0,5784.5,7413.0,1.2815282219725128,0.5,0.5,0.0,0.0,0.0
AT&T,7,1,8,0.0,0.0,0.0,0.0,0.0,0.0,5335.0,6121.0,1.1473289597000937,0.0,1.0,1.0,0.42857142857142855,0.0
Esri,4,4,8,0.0,0.5,0.5,0.0,0.5,0.5,4436.0,5480.5,1.2354598737601443,0.0,0.0,0.0,0.0,0.0
Early Warning®,1,7,8,0.0,0.0,0.0,0.0,0.0,0.0,7906.0,8248.0,1.0432582848469516,0.0,0.0,0.0,0.0,0.0
Peraton,2,6,8,0.5,0.16666666666666666,-0.33333333333333337,0.5,0.16666666666666666,-0.33333333333333337,3882.0,5985.5,1.5418598660484286,0.0,0.16666666666666666,0.16666666666666666,0.5,0.6666666666666666
OSI Engineering,6,2,8,0.0,0.0,0.0,0.0,0.0,0.0,2578.5,4461.0,1.7300756253635834,0.16666666666666666,0.0,-0.16666666666666666,0.0,0.5
BCforward,7,1,8,0.0,1.0,1.0,0.0,1.0,1.0,1386.0,3975.0,2.867965367965368,0.14285714285714285,0.0,-0.14285714285714285,0.0,0.0
WEX,6,2,8,0.3333333333333333,0.5,0.16666666666666669,0.3333333333333333,0.5,0.16666666666666669,3464.5,3330.5,0.9613219800837062,0.3333333333333333,0.0,-0.3333333333333333,0.0,0.0
The Hartford,1,7,8,0.0,0.0,0.0,0.0,0.0,0.0,4180.0,6631.0,1.5863636363636364,0.0,0.8571428571428571,0.8571428571428571,0.0,0.0
Roblox,2,6,8,0.0,0.0,0.0,0.0,0.0,0.0,5105.5,4345.5,0.8511409264518657,0.5,0.3333333333333333,-0.16666666666666669,0.0,0.0
Workday,3,5,8,0.0,0.0,0.0,0.0,0.0,0.0,5358.0,7787.0,1.4533407988055245,0.0,1.0,1.0,0.6666666666666666,0.0
FastTek Global,5,2,7,0.0,0.0,0.0,0.0,0.0,0.0,3877.0,8421.0,2.172040237296879,0.4,1.0,0.6,0.0,0.0
State Farm,3,4,7,0.3333333333333333,1.0,0.6666666666666667,0.3333333333333333,1.0,0.6666666666666667,5274.0,6623.0,1.2557830868411073,0.3333333333333333,0.75,0.4166666666666667,0.0,0.0
"Mission Technologies, a division of HII",4,3,7,0.5,0.0,-0.5,0.5,0.0,-0.5,5576.5,7359.0,1.3196449385815476,1.0,1.0,0.0,0.0,0.0
HTC Global Services,6,1,7,0.0,0.0,0.0,0.0,0.0,0.0,3568.0,2448.0,0.6860986547085202,0.0,1.0,1.0,0.0,0.0
Accenture,2,5,7,0.0,0.2,0.2,0.0,0.2,0.2,6117.5,8222.0,1.3440130772374337,0.0,0.4,0.4,0.0,0.0
Tech Consulting,6,1,7,0.5,1.0,0.5,0.5,1.0,0.5,4009.5,1095.0,0.2731013842124953,0.0,0.0,0.0,0.0,0.0
CyberCoders,2,5,7,0.0,0.0,0.0,0.0,0.0,0.0,2711.5,3775.0,1.3922183293380048,0.5,0.8,0.30000000000000004,0.0,0.4
Goliath Partners,5,2,7,0.0,0.0,0.0,0.0,0.0,0.0,1169.0,942.0,0.8058169375534645,0.0,0.5,0.5,0.0,0.0
FIS,6,1,7,0.0,0.0,0.0,0.0,0.0,0.0,6037.5,9205.0,1.5246376811594202,0.16666666666666666,1.0,0.8333333333333334,0.0,0.0
"Zodiac Solutions, Inc",6,1,7,0.0,0.0,0.0,0.0,0.0,0.0,1057.5,640.0,0.6052009456264775,0.0,1.0,1.0,0.3333333333333333,0.0
Quantum World Technologies Inc.,6,1,7,0.0,0.0,0.0,0.0,0.0,0.0,1366.0,772.0,0.5651537335285505,0.0,0.0,0.0,0.0,0.0
CrowdStrike,4,3,7,0.0,0.0,0.0,0.0,0.0,0.0,4898.5,5861.0,1.196488721037052,0.25,1.0,0.75,0.25,0.0
Optomi,6,1,7,0.0,1.0,1.0,0.0,1.0,1.0,1992.5,1143.0,0.5736511919698871,0.0,1.0,1.0,0.0,0.0
"Yoh, A Day & Zimmermann Company",2,5,7,0.0,0.0,0.0,0.0,0.0,0.0,2629.0,4842.0,1.8417649296310383,0.0,0.6,0.6,0.0,0.8
"VMC Soft Technologies, Inc",6,1,7,0.0,0.0,0.0,0.0,0.0,0.0,759.5,6215.0,8.183015141540487,0.0,0.0,0.0,0.0,0.0
AVEVA,5,1,6,0.6,0.0,-0.6,0.6,0.0,-0.6,5504.0,7043.0,1.2796148255813953,0.6,1.0,0.4,0.0,0.0
Dexian,5,1,6,0.2,0.0,-0.2,0.2,0.0,-0.2,2520.0,2426.0,0.9626984126984127,0.0,0.0,0.0,0.0,0.0
Calyptus,4,2,6,0.0,0.0,0.0,0.0,0.0,0.0,1311.0,3864.0,2.9473684210526314,0.0,1.0,1.0,0.0,0.0
Abbott,1,5,6,0.0,0.8,0.8,0.0,0.8,0.8,4062.0,5983.0,1.4729197439684885,0.0,0.0,0.0,0.0,0.0
State Street,5,1,6,0.0,0.0,0.0,0.0,0.0,0.0,5143.0,5264.0,1.0235271242465487,0.8,1.0,0.19999999999999996,0.8,1.0
TechDoQuest,4,2,6,0.0,0.0,0.0,0.0,0.0,0.0,682.5,1656.0,2.426373626373626,0.0,0.5,0.5,1.0,0.0
Publicis Sapient,5,1,6,0.0,0.0,0.0,0.0,0.0,0.0,4590.0,4910.0,1.0697167755991286,0.2,0.0,-0.2,0.0,0.0
Rocket Lab,3,3,6,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,7664.0,9419.0,1.2289926931106472,0.0,0.0,0.0,0.0,0.0
Equifax,4,2,6,0.0,0.0,0.0,0.0,0.0,0.0,4002.0,3980.5,0.9946276861569215,0.0,1.0,1.0,0.0,0.0
AllSTEM Connections,5,1,6,0.0,0.0,0.0,0.0,0.0,0.0,3623.0,4227.0,1.166712669058791,0.0,1.0,1.0,0.0,0.0
"Zillion Technologies, Inc.",5,1,6,0.0,0.0,0.0,0.0,0.0,0.0,2524.0,5526.0,2.1893819334389857,0.2,1.0,0.8,0.0,0.0
Mindlance,3,3,6,0.0,0.0,0.0,0.0,0.0,0.0,1720.0,2877.0,1.6726744186046512,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
Westinghouse Electric Company,3,3,6,0.3333333333333333,1.0,0.6666666666666667,0.3333333333333333,1.0,0.6666666666666667,5133.0,3911.0,0.7619325930255212,0.0,0.0,0.0,0.0,0.0
Fivetran,1,5,6,0.0,0.0,0.0,0.0,0.0,0.0,8148.0,6926.0,0.8500245459008345,0.0,0.0,0.0,0.0,0.0
Axiom Space,1,5,6,1.0,0.2,-0.8,1.0,0.2,-0.8,5295.0,5313.0,1.003399433427762,0.0,0.0,0.0,0.0,0.0
Scion Staffing,2,4,6,0.5,0.0,-0.5,0.5,0.0,-0.5,3732.0,4568.5,1.2241425509110397,0.0,0.5,0.5,0.5,0.0
Russell Tobin,5,1,6,0.2,0.0,-0.2,0.2,0.0,-0.2,2196.0,4341.0,1.976775956284153,0.0,0.0,0.0,0.0,0.0
Netflix,3,3,6,0.0,0.0,0.0,0.0,0.0,0.0,4218.0,6502.0,1.541488857278331,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0
American Express,5,1,6,0.4,0.0,-0.4,0.4,0.0,-0.4,6569.0,9685.0,1.474349216014614,0.0,1.0,1.0,0.0,0.0
Info Way Solutions,3,3,6,0.0,1.0,1.0,0.0,1.0,1.0,971.0,251.0,0.2584963954685891,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
Garmin,1,5,6,0.0,1.0,1.0,0.0,1.0,1.0,3130.0,2974.0,0.9501597444089457,0.0,0.0,0.0,0.0,0.0
EVONA,4,2,6,0.0,0.0,0.0,0.0,0.0,0.0,1221.5,2251.0,1.8428162095783873,0.0,0.0,0.0,0.0,0.0
Box,1,5,6,0.0,0.0,0.0,0.0,0.0,0.0,4983.0,7528.0,1.5107365041139875,0.0,1.0,1.0,0.0,0.0
Confidential,5,1,6,0.0,0.0,0.0,0.0,0.0,0.0,1709.0,1333.0,0.7799882972498537,0.0,0.0,0.0,0.0,0.0
Infosys,2,3,5,0.0,0.0,0.0,0.0,0.0,0.0,2036.0,3989.0,1.9592337917485265,0.0,1.0,1.0,0.0,0.0
ICF,1,4,5,1.0,0.0,-1.0,1.0,0.0,-1.0,4910.0,6884.5,1.4021384928716905,1.0,1.0,0.0,0.0,0.0
Horizontal Talent,4,1,5,0.5,0.0,-0.5,0.5,0.0,-0.5,1794.5,2405.0,1.3402061855670102,0.0,1.0,1.0,0.0,0.0
"Sira Consulting, an Inc 5000 company",4,1,5,0.0,1.0,1.0,0.0,1.0,1.0,2214.5,148.0,0.0668322420410928,0.0,1.0,1.0,0.75,0.0
Toyota North America,2,3,5,0.0,0.0,0.0,0.0,0.0,0.0,5018.0,6980.0,1.3909924272618572,0.0,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666
Intellisoft Technologies,2,3,5,0.0,0.0,0.0,0.0,0.0,0.0,965.5,2457.0,2.5447954427757637,0.0,0.0,0.0,0.0,0.0
Intellibus,1,4,5,0.0,0.0,0.0,0.0,0.0,0.0,3651.0,4971.0,1.361544782251438,1.0,0.0,-1.0,0.0,0.0
Salesforce,2,3,5,0.0,0.0,0.0,0.0,0.0,0.0,5793.0,11295.0,1.949766960124288,1.0,1.0,0.0,0.0,0.6666666666666666
Intel Corporation,3,2,5,0.6666666666666666,0.5,-0.16666666666666663,0.6666666666666666,0.5,-0.16666666666666663,4744.0,6952.5,1.465535413153457,0.3333333333333333,1.0,0.6666666666666667,0.0,0.0
Intellectt Inc,3,2,5,0.0,0.0,0.0,0.0,0.0,0.0,1555.0,1776.5,1.142443729903537,0.0,0.5,0.5,0.0,0.0
Apexon,4,1,5,0.0,0.0,0.0,0.0,0.0,0.0,2054.0,2884.0,1.4040895813047711,0.0,0.0,0.0,0.0,0.0
Chime,1,4,5,0.0,0.0,0.0,0.0,0.0,0.0,4443.0,7765.0,1.7476930002250732,0.0,0.25,0.25,0.0,0.0
