metro_area,period_label,archetype_name,n,share
Austin Metro,y2024,JS frontend (React/TypeScript),24,0.25263157894736843
Austin Metro,y2024,Java enterprise (Spring/microservices),13,0.1368421052631579
Austin Metro,y2024,LLM / GenAI / ML engineering,3,0.031578947368421054
Austin Metro,y2024,QA / test automation,2,0.021052631578947368
Austin Metro,y2026,.NET / ASP.NET full-stack,6,0.01764705882352941
Austin Metro,y2026,AWS cloud SDE (Amazon template),17,0.05
Austin Metro,y2026,AWS cloud generic template,1,0.0029411764705882353
Austin Metro,y2026,Agile/Scrum generalist,17,0.05
Austin Metro,y2026,Amazon program boilerplate,3,0.008823529411764706
Austin Metro,y2026,Data engineering (Spark/ETL),21,0.061764705882352944
Austin Metro,y2026,Defense & cleared regulated work,27,0.07941176470588235
Austin Metro,y2026,DevOps / SRE / platform,56,0.16470588235294117
Austin Metro,y2026,Embedded / firmware,38,0.11176470588235295
Austin Metro,y2026,GPU / CUDA / systems perf,7,0.020588235294117647
Austin Metro,y2026,JS frontend (React/TypeScript),31,0.09117647058823529
Austin Metro,y2026,Java enterprise (Spring/microservices),43,0.1264705882352941
Austin Metro,y2026,LLM / GenAI / ML engineering,54,0.1588235294117647
Austin Metro,y2026,Python web backend (Django/Flask),3,0.008823529411764706
Austin Metro,y2026,QA / test automation,7,0.020588235294117647
Austin Metro,y2026,US gov SCI-cleared SWE,2,0.0058823529411764705
Austin Metro,y2026,iOS / Swift mobile,7,0.020588235294117647
Boston Metro,y2024,.NET / ASP.NET full-stack,7,0.05343511450381679
Boston Metro,y2024,AWS cloud SDE (Amazon template),6,0.04580152671755725
Boston Metro,y2024,Agile/Scrum generalist,7,0.05343511450381679
Boston Metro,y2024,Data engineering (Spark/ETL),13,0.09923664122137404
Boston Metro,y2024,Defense & cleared regulated work,25,0.19083969465648856
Boston Metro,y2024,DevOps / SRE / platform,23,0.17557251908396945
Boston Metro,y2024,Embedded / firmware,9,0.06870229007633588
Boston Metro,y2024,Generic JS/Python boilerplate,1,0.007633587786259542
Boston Metro,y2024,JS frontend (React/TypeScript),9,0.06870229007633588
Boston Metro,y2024,Java enterprise (Spring/microservices),18,0.13740458015267176
Boston Metro,y2024,LLM / GenAI / ML engineering,6,0.04580152671755725
Boston Metro,y2024,QA / test automation,6,0.04580152671755725
Boston Metro,y2024,iOS / Swift mobile,1,0.007633587786259542
Boston Metro,y2026,.NET / ASP.NET full-stack,10,0.022222222222222223
Boston Metro,y2026,AWS cloud SDE (Amazon template),8,0.017777777777777778
Boston Metro,y2026,AWS cloud generic template,2,0.0044444444444444444
Boston Metro,y2026,Agile/Scrum generalist,13,0.028888888888888888
Boston Metro,y2026,Amazon program boilerplate,5,0.011111111111111112
Boston Metro,y2026,Azure data platform,2,0.0044444444444444444
Boston Metro,y2026,Data engineering (Spark/ETL),34,0.07555555555555556
Boston Metro,y2026,Defense & cleared regulated work,63,0.14
Boston Metro,y2026,DevOps / SRE / platform,59,0.13111111111111112
Boston Metro,y2026,Embedded / firmware,45,0.1
Boston Metro,y2026,GPU / CUDA / systems perf,2,0.0044444444444444444
Boston Metro,y2026,JS frontend (React/TypeScript),39,0.08666666666666667
Boston Metro,y2026,Java enterprise (Spring/microservices),50,0.1111111111111111
Boston Metro,y2026,LLM / GenAI / ML engineering,93,0.20666666666666667
Boston Metro,y2026,Python web backend (Django/Flask),13,0.028888888888888888
Boston Metro,y2026,QA / test automation,6,0.013333333333333334
Boston Metro,y2026,iOS / Swift mobile,6,0.013333333333333334
Charlotte Metro,y2024,.NET / ASP.NET full-stack,11,0.14666666666666667
Charlotte Metro,y2024,Agile/Scrum generalist,5,0.06666666666666667
Charlotte Metro,y2024,Amazon program boilerplate,2,0.02666666666666667
Charlotte Metro,y2024,Data engineering (Spark/ETL),4,0.05333333333333334
Charlotte Metro,y2024,Defense & cleared regulated work,13,0.17333333333333334
Charlotte Metro,y2024,DevOps / SRE / platform,6,0.08
Charlotte Metro,y2024,Generic JS/Python boilerplate,1,0.013333333333333334
Charlotte Metro,y2024,JS frontend (React/TypeScript),8,0.10666666666666667
Charlotte Metro,y2024,Java enterprise (Spring/microservices),19,0.25333333333333335
Charlotte Metro,y2024,LLM / GenAI / ML engineering,2,0.02666666666666667
Charlotte Metro,y2024,Python web backend (Django/Flask),1,0.013333333333333334
Charlotte Metro,y2024,QA / test automation,2,0.02666666666666667
Charlotte Metro,y2024,iOS / Swift mobile,1,0.013333333333333334
Charlotte Metro,y2026,.NET / ASP.NET full-stack,10,0.03355704697986577
Charlotte Metro,y2026,AWS cloud SDE (Amazon template),9,0.030201342281879196
Charlotte Metro,y2026,AWS cloud generic template,1,0.003355704697986577
Charlotte Metro,y2026,Agile/Scrum generalist,13,0.0436241610738255
Charlotte Metro,y2026,Android / Kotlin mobile,5,0.016778523489932886
Charlotte Metro,y2026,Azure data platform,7,0.02348993288590604
Charlotte Metro,y2026,Data engineering (Spark/ETL),32,0.10738255033557047
Charlotte Metro,y2026,Defense & cleared regulated work,34,0.11409395973154363
Charlotte Metro,y2026,DevOps / SRE / platform,49,0.1644295302013423
Charlotte Metro,y2026,Embedded / firmware,2,0.006711409395973154
Charlotte Metro,y2026,JS frontend (React/TypeScript),23,0.07718120805369127
Charlotte Metro,y2026,Java enterprise (Spring/microservices),58,0.19463087248322147
Charlotte Metro,y2026,LLM / GenAI / ML engineering,37,0.12416107382550336
Charlotte Metro,y2026,Python web backend (Django/Flask),7,0.02348993288590604
Charlotte Metro,y2026,QA / test automation,5,0.016778523489932886
Charlotte Metro,y2026,iOS / Swift mobile,6,0.020134228187919462
Chicago Metro,y2024,.NET / ASP.NET full-stack,11,0.0728476821192053
Chicago Metro,y2024,AWS cloud SDE (Amazon template),6,0.039735099337748346
Chicago Metro,y2024,AWS cloud generic template,1,0.006622516556291391
Chicago Metro,y2024,Agile/Scrum generalist,9,0.059602649006622516
Chicago Metro,y2024,Amazon program boilerplate,2,0.013245033112582781
Chicago Metro,y2024,Android / Kotlin mobile,1,0.006622516556291391
Chicago Metro,y2024,Azure data platform,3,0.019867549668874173
Chicago Metro,y2024,Data engineering (Spark/ETL),12,0.07947019867549669
Chicago Metro,y2024,Defense & cleared regulated work,23,0.152317880794702
Chicago Metro,y2024,DevOps / SRE / platform,24,0.15894039735099338
Chicago Metro,y2024,Embedded / firmware,7,0.046357615894039736
Chicago Metro,y2024,Generic JS/Python boilerplate,1,0.006622516556291391
Chicago Metro,y2024,JS frontend (React/TypeScript),17,0.11258278145695365
Chicago Metro,y2024,Java enterprise (Spring/microservices),19,0.12582781456953643
Chicago Metro,y2024,LLM / GenAI / ML engineering,6,0.039735099337748346
Chicago Metro,y2024,Python web backend (Django/Flask),2,0.013245033112582781
Chicago Metro,y2024,QA / test automation,5,0.033112582781456956
Chicago Metro,y2024,iOS / Swift mobile,2,0.013245033112582781
Chicago Metro,y2026,.NET / ASP.NET full-stack,19,0.06229508196721312
Chicago Metro,y2026,AWS cloud SDE (Amazon template),8,0.02622950819672131
Chicago Metro,y2026,AWS cloud generic template,5,0.01639344262295082
Chicago Metro,y2026,Agile/Scrum generalist,11,0.036065573770491806
Chicago Metro,y2026,Android / Kotlin mobile,2,0.006557377049180328
Chicago Metro,y2026,Azure data platform,13,0.04262295081967213
Chicago Metro,y2026,Data engineering (Spark/ETL),26,0.08524590163934426
Chicago Metro,y2026,Defense & cleared regulated work,35,0.11475409836065574
Chicago Metro,y2026,DevOps / SRE / platform,49,0.16065573770491803
Chicago Metro,y2026,Embedded / firmware,10,0.03278688524590164
Chicago Metro,y2026,GPU / CUDA / systems perf,3,0.009836065573770493
Chicago Metro,y2026,Generic JS/Python boilerplate,1,0.003278688524590164
Chicago Metro,y2026,JS frontend (React/TypeScript),22,0.07213114754098361
Chicago Metro,y2026,Java enterprise (Spring/microservices),42,0.1377049180327869
Chicago Metro,y2026,LLM / GenAI / ML engineering,45,0.14754098360655737
Chicago Metro,y2026,Python web backend (Django/Flask),3,0.009836065573770493
Chicago Metro,y2026,QA / test automation,6,0.019672131147540985
Chicago Metro,y2026,US gov SCI-cleared SWE,1,0.003278688524590164
Chicago Metro,y2026,iOS / Swift mobile,4,0.013114754098360656
Dallas-Fort Worth Metro,y2024,.NET / ASP.NET full-stack,18,0.0743801652892562
Dallas-Fort Worth Metro,y2024,AWS cloud SDE (Amazon template),15,0.06198347107438017
Dallas-Fort Worth Metro,y2024,AWS cloud generic template,5,0.02066115702479339
Dallas-Fort Worth Metro,y2024,Agile/Scrum generalist,12,0.049586776859504134
Dallas-Fort Worth Metro,y2024,Amazon program boilerplate,1,0.004132231404958678
Dallas-Fort Worth Metro,y2024,Android / Kotlin mobile,1,0.004132231404958678
Dallas-Fort Worth Metro,y2024,Azure data platform,4,0.01652892561983471
Dallas-Fort Worth Metro,y2024,Data engineering (Spark/ETL),16,0.06611570247933884
Dallas-Fort Worth Metro,y2024,Defense & cleared regulated work,24,0.09917355371900827
Dallas-Fort Worth Metro,y2024,DevOps / SRE / platform,35,0.1446280991735537
Dallas-Fort Worth Metro,y2024,Embedded / firmware,5,0.02066115702479339
Dallas-Fort Worth Metro,y2024,Generic JS/Python boilerplate,1,0.004132231404958678
Dallas-Fort Worth Metro,y2024,JS frontend (React/TypeScript),32,0.1322314049586777
Dallas-Fort Worth Metro,y2024,Java enterprise (Spring/microservices),52,0.21487603305785125
Dallas-Fort Worth Metro,y2024,LLM / GenAI / ML engineering,4,0.01652892561983471
Dallas-Fort Worth Metro,y2024,Python web backend (Django/Flask),3,0.012396694214876033
Dallas-Fort Worth Metro,y2024,QA / test automation,3,0.012396694214876033
Dallas-Fort Worth Metro,y2024,US gov SCI-cleared SWE,1,0.004132231404958678
Dallas-Fort Worth Metro,y2024,iOS / Swift mobile,10,0.04132231404958678
Dallas-Fort Worth Metro,y2026,.NET / ASP.NET full-stack,28,0.04794520547945205
Dallas-Fort Worth Metro,y2026,AWS cloud SDE (Amazon template),19,0.032534246575342464
Dallas-Fort Worth Metro,y2026,AWS cloud generic template,4,0.00684931506849315
Dallas-Fort Worth Metro,y2026,Agile/Scrum generalist,27,0.046232876712328765
Dallas-Fort Worth Metro,y2026,Amazon program boilerplate,2,0.003424657534246575
Dallas-Fort Worth Metro,y2026,Android / Kotlin mobile,4,0.00684931506849315
Dallas-Fort Worth Metro,y2026,Azure data platform,7,0.011986301369863013
Dallas-Fort Worth Metro,y2026,Data engineering (Spark/ETL),44,0.07534246575342465
Dallas-Fort Worth Metro,y2026,Defense & cleared regulated work,63,0.10787671232876712
Dallas-Fort Worth Metro,y2026,DevOps / SRE / platform,92,0.15753424657534246
Dallas-Fort Worth Metro,y2026,Embedded / firmware,17,0.02910958904109589
Dallas-Fort Worth Metro,y2026,GPU / CUDA / systems perf,2,0.003424657534246575
Dallas-Fort Worth Metro,y2026,JS frontend (React/TypeScript),68,0.11643835616438356
Dallas-Fort Worth Metro,y2026,Java enterprise (Spring/microservices),102,0.17465753424657535
Dallas-Fort Worth Metro,y2026,LLM / GenAI / ML engineering,76,0.13013698630136986
Dallas-Fort Worth Metro,y2026,Python web backend (Django/Flask),8,0.0136986301369863
Dallas-Fort Worth Metro,y2026,QA / test automation,15,0.025684931506849314
Dallas-Fort Worth Metro,y2026,iOS / Swift mobile,6,0.010273972602739725
Denver Metro,y2024,.NET / ASP.NET full-stack,5,0.0625
Denver Metro,y2024,AWS cloud SDE (Amazon template),4,0.05
Denver Metro,y2024,Agile/Scrum generalist,5,0.0625
Denver Metro,y2024,Amazon program boilerplate,1,0.0125
Denver Metro,y2024,Azure data platform,1,0.0125
Denver Metro,y2024,Data engineering (Spark/ETL),6,0.075
Denver Metro,y2024,Defense & cleared regulated work,16,0.2
Denver Metro,y2024,DevOps / SRE / platform,19,0.2375
Denver Metro,y2024,Embedded / firmware,2,0.025
Denver Metro,y2024,Generic JS/Python boilerplate,1,0.0125
Denver Metro,y2024,JS frontend (React/TypeScript),8,0.1
Denver Metro,y2024,Java enterprise (Spring/microservices),8,0.1
Denver Metro,y2024,Python web backend (Django/Flask),2,0.025
Denver Metro,y2024,iOS / Swift mobile,2,0.025
Denver Metro,y2026,.NET / ASP.NET full-stack,7,0.029411764705882353
Denver Metro,y2026,AWS cloud SDE (Amazon template),7,0.029411764705882353
Denver Metro,y2026,Agile/Scrum generalist,11,0.046218487394957986
Denver Metro,y2026,Amazon program boilerplate,3,0.012605042016806723
Denver Metro,y2026,Android / Kotlin mobile,1,0.004201680672268907
Denver Metro,y2026,Data engineering (Spark/ETL),10,0.04201680672268908
Denver Metro,y2026,Defense & cleared regulated work,51,0.21428571428571427
Denver Metro,y2026,DevOps / SRE / platform,47,0.19747899159663865
Denver Metro,y2026,Embedded / firmware,18,0.07563025210084033
Denver Metro,y2026,Generic JS/Python boilerplate,4,0.01680672268907563
Denver Metro,y2026,JS frontend (React/TypeScript),21,0.08823529411764706
Denver Metro,y2026,Java enterprise (Spring/microservices),16,0.06722689075630252
Denver Metro,y2026,LLM / GenAI / ML engineering,29,0.12184873949579832
Denver Metro,y2026,Python web backend (Django/Flask),1,0.004201680672268907
Denver Metro,y2026,QA / test automation,6,0.025210084033613446
Denver Metro,y2026,US gov SCI-cleared SWE,6,0.025210084033613446
Detroit Metro,y2024,.NET / ASP.NET full-stack,4,0.05970149253731343
Detroit Metro,y2024,Agile/Scrum generalist,4,0.05970149253731343
Detroit Metro,y2024,Data engineering (Spark/ETL),5,0.07462686567164178
Detroit Metro,y2024,Defense & cleared regulated work,30,0.44776119402985076
Detroit Metro,y2024,DevOps / SRE / platform,3,0.04477611940298507
Detroit Metro,y2024,Embedded / firmware,4,0.05970149253731343
Detroit Metro,y2024,JS frontend (React/TypeScript),3,0.04477611940298507
Detroit Metro,y2024,Java enterprise (Spring/microservices),8,0.11940298507462686
Detroit Metro,y2024,LLM / GenAI / ML engineering,4,0.05970149253731343
Detroit Metro,y2024,QA / test automation,1,0.014925373134328358
Detroit Metro,y2024,US gov SCI-cleared SWE,1,0.014925373134328358
Detroit Metro,y2026,.NET / ASP.NET full-stack,6,0.033707865168539325
Detroit Metro,y2026,AWS cloud SDE (Amazon template),1,0.0056179775280898875
Detroit Metro,y2026,Agile/Scrum generalist,3,0.016853932584269662
Detroit Metro,y2026,Azure data platform,3,0.016853932584269662
Detroit Metro,y2026,Data engineering (Spark/ETL),8,0.0449438202247191
Detroit Metro,y2026,Defense & cleared regulated work,37,0.20786516853932585
Detroit Metro,y2026,DevOps / SRE / platform,28,0.15730337078651685
Detroit Metro,y2026,Embedded / firmware,28,0.15730337078651685
Detroit Metro,y2026,Generic JS/Python boilerplate,1,0.0056179775280898875
Detroit Metro,y2026,JS frontend (React/TypeScript),12,0.06741573033707865
Detroit Metro,y2026,Java enterprise (Spring/microservices),23,0.12921348314606743
Detroit Metro,y2026,LLM / GenAI / ML engineering,22,0.12359550561797752
Detroit Metro,y2026,Python web backend (Django/Flask),2,0.011235955056179775
Detroit Metro,y2026,QA / test automation,3,0.016853932584269662
Detroit Metro,y2026,iOS / Swift mobile,1,0.0056179775280898875
Houston Metro,y2024,.NET / ASP.NET full-stack,8,0.12307692307692308
Houston Metro,y2024,Agile/Scrum generalist,3,0.046153846153846156
Houston Metro,y2024,Amazon program boilerplate,1,0.015384615384615385
Houston Metro,y2024,Android / Kotlin mobile,1,0.015384615384615385
Houston Metro,y2024,Azure data platform,1,0.015384615384615385
Houston Metro,y2024,Data engineering (Spark/ETL),4,0.06153846153846154
Houston Metro,y2024,Defense & cleared regulated work,17,0.26153846153846155
Houston Metro,y2024,DevOps / SRE / platform,16,0.24615384615384617
Houston Metro,y2024,Embedded / firmware,3,0.046153846153846156
Houston Metro,y2024,JS frontend (React/TypeScript),2,0.03076923076923077
Houston Metro,y2024,Java enterprise (Spring/microservices),6,0.09230769230769231
Houston Metro,y2024,LLM / GenAI / ML engineering,1,0.015384615384615385
Houston Metro,y2024,Python web backend (Django/Flask),1,0.015384615384615385
Houston Metro,y2024,iOS / Swift mobile,1,0.015384615384615385
Houston Metro,y2026,.NET / ASP.NET full-stack,10,0.06535947712418301
Houston Metro,y2026,AWS cloud SDE (Amazon template),4,0.026143790849673203
Houston Metro,y2026,Agile/Scrum generalist,3,0.0196078431372549
Houston Metro,y2026,Azure data platform,4,0.026143790849673203
Houston Metro,y2026,Data engineering (Spark/ETL),22,0.1437908496732026
Houston Metro,y2026,Defense & cleared regulated work,28,0.1830065359477124
Houston Metro,y2026,DevOps / SRE / platform,31,0.20261437908496732
Houston Metro,y2026,Embedded / firmware,6,0.0392156862745098
Houston Metro,y2026,GPU / CUDA / systems perf,1,0.006535947712418301
Houston Metro,y2026,Generic JS/Python boilerplate,2,0.013071895424836602
Houston Metro,y2026,JS frontend (React/TypeScript),18,0.11764705882352941
Houston Metro,y2026,Java enterprise (Spring/microservices),6,0.0392156862745098
Houston Metro,y2026,LLM / GenAI / ML engineering,15,0.09803921568627451
Houston Metro,y2026,QA / test automation,1,0.006535947712418301
Houston Metro,y2026,US gov SCI-cleared SWE,2,0.013071895424836602
Los Angeles Metro,y2024,.NET / ASP.NET full-stack,9,0.07563025210084033
Los Angeles Metro,y2024,AWS cloud SDE (Amazon template),3,0.025210084033613446
Los Angeles Metro,y2024,Agile/Scrum generalist,1,0.008403361344537815
Los Angeles Metro,y2024,Amazon program boilerplate,1,0.008403361344537815
Los Angeles Metro,y2024,Android / Kotlin mobile,1,0.008403361344537815
Los Angeles Metro,y2024,Data engineering (Spark/ETL),10,0.08403361344537816
Los Angeles Metro,y2024,Defense & cleared regulated work,26,0.2184873949579832
Los Angeles Metro,y2024,DevOps / SRE / platform,16,0.13445378151260504
Los Angeles Metro,y2024,Embedded / firmware,7,0.058823529411764705
Los Angeles Metro,y2024,Generic JS/Python boilerplate,2,0.01680672268907563
Los Angeles Metro,y2024,JS frontend (React/TypeScript),16,0.13445378151260504
Los Angeles Metro,y2024,Java enterprise (Spring/microservices),12,0.10084033613445378
Los Angeles Metro,y2024,LLM / GenAI / ML engineering,11,0.09243697478991597
Los Angeles Metro,y2024,Python web backend (Django/Flask),1,0.008403361344537815
Los Angeles Metro,y2024,QA / test automation,3,0.025210084033613446
Los Angeles Metro,y2026,.NET / ASP.NET full-stack,8,0.01568627450980392
Los Angeles Metro,y2026,AWS cloud SDE (Amazon template),10,0.0196078431372549
Los Angeles Metro,y2026,AWS cloud generic template,2,0.00392156862745098
Los Angeles Metro,y2026,Agile/Scrum generalist,10,0.0196078431372549
Los Angeles Metro,y2026,Amazon program boilerplate,6,0.011764705882352941
Los Angeles Metro,y2026,Android / Kotlin mobile,1,0.00196078431372549
Los Angeles Metro,y2026,Azure data platform,4,0.00784313725490196
Los Angeles Metro,y2026,Data engineering (Spark/ETL),35,0.06862745098039216
Los Angeles Metro,y2026,Defense & cleared regulated work,117,0.22941176470588234
Los Angeles Metro,y2026,DevOps / SRE / platform,65,0.12745098039215685
Los Angeles Metro,y2026,Embedded / firmware,90,0.17647058823529413
Los Angeles Metro,y2026,JS frontend (React/TypeScript),47,0.09215686274509804
Los Angeles Metro,y2026,Java enterprise (Spring/microservices),23,0.045098039215686274
Los Angeles Metro,y2026,LLM / GenAI / ML engineering,71,0.1392156862745098
Los Angeles Metro,y2026,Python web backend (Django/Flask),1,0.00196078431372549
Los Angeles Metro,y2026,QA / test automation,10,0.0196078431372549
Los Angeles Metro,y2026,US gov SCI-cleared SWE,1,0.00196078431372549
Los Angeles Metro,y2026,iOS / Swift mobile,9,0.01764705882352941
Minneapolis-Saint Paul,y2024,.NET / ASP.NET full-stack,2,0.037037037037037035
Minneapolis-Saint Paul,y2024,AWS cloud generic template,1,0.018518518518518517
Minneapolis-Saint Paul,y2024,Agile/Scrum generalist,6,0.1111111111111111
Minneapolis-Saint Paul,y2024,Android / Kotlin mobile,1,0.018518518518518517
Minneapolis-Saint Paul,y2024,Azure data platform,1,0.018518518518518517
Minneapolis-Saint Paul,y2024,Data engineering (Spark/ETL),4,0.07407407407407407
Minneapolis-Saint Paul,y2024,Defense & cleared regulated work,14,0.25925925925925924
Minneapolis-Saint Paul,y2024,DevOps / SRE / platform,6,0.1111111111111111
Minneapolis-Saint Paul,y2024,Embedded / firmware,4,0.07407407407407407
Minneapolis-Saint Paul,y2024,Generic JS/Python boilerplate,1,0.018518518518518517
Minneapolis-Saint Paul,y2024,JS frontend (React/TypeScript),5,0.09259259259259259
Minneapolis-Saint Paul,y2024,Java enterprise (Spring/microservices),6,0.1111111111111111
Minneapolis-Saint Paul,y2024,LLM / GenAI / ML engineering,2,0.037037037037037035
Minneapolis-Saint Paul,y2024,QA / test automation,1,0.018518518518518517
Minneapolis-Saint Paul,y2026,.NET / ASP.NET full-stack,6,0.03896103896103896
Minneapolis-Saint Paul,y2026,AWS cloud SDE (Amazon template),1,0.006493506493506494
Minneapolis-Saint Paul,y2026,Agile/Scrum generalist,9,0.05844155844155844
Minneapolis-Saint Paul,y2026,Azure data platform,1,0.006493506493506494
Minneapolis-Saint Paul,y2026,Data engineering (Spark/ETL),16,0.1038961038961039
Minneapolis-Saint Paul,y2026,Defense & cleared regulated work,31,0.2012987012987013
Minneapolis-Saint Paul,y2026,DevOps / SRE / platform,23,0.14935064935064934
Minneapolis-Saint Paul,y2026,Embedded / firmware,13,0.08441558441558442
Minneapolis-Saint Paul,y2026,Generic JS/Python boilerplate,2,0.012987012987012988
Minneapolis-Saint Paul,y2026,JS frontend (React/TypeScript),11,0.07142857142857142
Minneapolis-Saint Paul,y2026,Java enterprise (Spring/microservices),13,0.08441558441558442
Minneapolis-Saint Paul,y2026,LLM / GenAI / ML engineering,21,0.13636363636363635
Minneapolis-Saint Paul,y2026,Python web backend (Django/Flask),2,0.012987012987012988
Minneapolis-Saint Paul,y2026,QA / test automation,2,0.012987012987012988
Minneapolis-Saint Paul,y2026,iOS / Swift mobile,3,0.01948051948051948
Philadelphia Metro,y2024,.NET / ASP.NET full-stack,9,0.11392405063291139
Philadelphia Metro,y2024,AWS cloud SDE (Amazon template),5,0.06329113924050633
Philadelphia Metro,y2024,Agile/Scrum generalist,2,0.02531645569620253
Philadelphia Metro,y2024,Amazon program boilerplate,1,0.012658227848101266
Philadelphia Metro,y2024,Azure data platform,2,0.02531645569620253
Philadelphia Metro,y2024,Data engineering (Spark/ETL),11,0.13924050632911392
Philadelphia Metro,y2024,Defense & cleared regulated work,16,0.20253164556962025
Philadelphia Metro,y2024,DevOps / SRE / platform,14,0.17721518987341772
Philadelphia Metro,y2024,Embedded / firmware,3,0.0379746835443038
Philadelphia Metro,y2024,JS frontend (React/TypeScript),4,0.05063291139240506
Philadelphia Metro,y2024,Java enterprise (Spring/microservices),11,0.13924050632911392
Philadelphia Metro,y2024,Python web backend (Django/Flask),1,0.012658227848101266
Philadelphia Metro,y2026,.NET / ASP.NET full-stack,8,0.0326530612244898
Philadelphia Metro,y2026,AWS cloud SDE (Amazon template),12,0.04897959183673469
Philadelphia Metro,y2026,AWS cloud generic template,2,0.00816326530612245
Philadelphia Metro,y2026,Agile/Scrum generalist,27,0.11020408163265306
Philadelphia Metro,y2026,Amazon program boilerplate,6,0.024489795918367346
Philadelphia Metro,y2026,Android / Kotlin mobile,1,0.004081632653061225
Philadelphia Metro,y2026,Azure data platform,3,0.012244897959183673
Philadelphia Metro,y2026,Data engineering (Spark/ETL),17,0.06938775510204082
Philadelphia Metro,y2026,Defense & cleared regulated work,47,0.19183673469387755
Philadelphia Metro,y2026,DevOps / SRE / platform,29,0.11836734693877551
Philadelphia Metro,y2026,Embedded / firmware,12,0.04897959183673469
Philadelphia Metro,y2026,GPU / CUDA / systems perf,2,0.00816326530612245
Philadelphia Metro,y2026,Generic JS/Python boilerplate,2,0.00816326530612245
Philadelphia Metro,y2026,JS frontend (React/TypeScript),11,0.044897959183673466
Philadelphia Metro,y2026,Java enterprise (Spring/microservices),29,0.11836734693877551
Philadelphia Metro,y2026,LLM / GenAI / ML engineering,21,0.08571428571428572
Philadelphia Metro,y2026,Python web backend (Django/Flask),3,0.012244897959183673
Philadelphia Metro,y2026,QA / test automation,8,0.0326530612244898
Philadelphia Metro,y2026,US gov SCI-cleared SWE,1,0.004081632653061225
Philadelphia Metro,y2026,iOS / Swift mobile,4,0.0163265306122449
Phoenix Metro,y2024,.NET / ASP.NET full-stack,4,0.05405405405405406
Phoenix Metro,y2024,AWS cloud SDE (Amazon template),2,0.02702702702702703
Phoenix Metro,y2024,Agile/Scrum generalist,3,0.04054054054054054
Phoenix Metro,y2024,Data engineering (Spark/ETL),6,0.08108108108108109
Phoenix Metro,y2024,Defense & cleared regulated work,14,0.1891891891891892
Phoenix Metro,y2024,DevOps / SRE / platform,11,0.14864864864864866
Phoenix Metro,y2024,Embedded / firmware,1,0.013513513513513514
