company_industry,kaggle_arshkon,scraped,share_arshkon,share_scraped,pp_change
Automation Machinery Manufacturing,14.0,215.0,0.0030088115194498175,0.0047456130669903986,0.1736801547540581
Internet Marketplace Platforms,10.0,213.0,0.002149151085321298,0.00470146782915793,0.2552316743836632
Information Services,150.0,196.0,0.032237266279819474,0.004326233307581945,-2.791103297223753
"Motor Vehicle Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and IT Services and IT Consulting",0.0,188.0,0.0,0.00414965235625207,0.414965235625207
"Software Development, Financial Services, and Technology, Information and Internet",0.0,186.0,0.0,0.0041055071184196,0.41055071184196
Real Estate,11.0,183.0,0.002364066193853428,0.004039289261670897,0.16752230678174695
Computer Hardware Manufacturing,25.0,177.0,0.005372877713303245,0.003906853548173491,-0.14660241651297543
Computers and Electronics Manufacturing,11.0,172.0,0.002364066193853428,0.0037964904535923187,0.1432424259738891
Manufacturing,46.0,165.0,0.009886094992477971,0.003641982121178678,-0.6244112871299292
Biotechnology Research,23.0,152.0,0.0049430474962389856,0.0033550380752676305,-0.1588009420971355
"Construction, Software Development, and IT Services and IT Consulting",0.0,146.0,0.0,0.003222602361770224,0.32226023617702243
Software Development and IT Services and IT Consulting,0.0,139.0,0.0,0.003068094029356583,0.3068094029356583
"Advertising Services, IT Services and IT Consulting, and Software Development",0.0,138.0,0.0,0.0030460214104403487,0.3046021410440349
Engineering Services,22.0,135.0,0.004728132387706856,0.0029798035536916455,-0.174832883401521
Advertising Services,29.0,135.0,0.006232538147431765,0.0029798035536916455,-0.3252734593740119
Oil and Gas,15.0,112.0,0.003223726627981947,0.0024721333186182542,-0.07515933093636927
"Banking, Financial Services, and Investment Banking",0.0,111.0,0.0,0.00245006069970202,0.245006069970202
Utilities,19.0,110.0,0.004083387062110466,0.002427988080785785,-0.1655398981324681
Airlines and Aviation,26.0,101.0,0.005587792821835375,0.0022293345105396756,-0.33584583112956995
Higher Education,22.0,101.0,0.004728132387706856,0.0022293345105396756,-0.249879787716718
Pharmaceutical Manufacturing,34.0,95.0,0.007307113690092413,0.0020968987970422692,-0.5210214893050144
Industrial Machinery Manufacturing,24.0,94.0,0.0051579626047711154,0.002074826178126035,-0.30831364266450806
Robotics Engineering,2.0,93.0,0.0004298302170642596,0.0020527535592098,0.16229233421455405
Banking and Financial Services,0.0,91.0,0.0,0.0020086083213773313,0.20086083213773312
Non-profit Organizations,5.0,90.0,0.001074575542660649,0.001986535702461097,0.09119601598004479
"Transportation, Logistics, Supply Chain and Storage",11.0,89.0,0.002364066193853428,0.0019644630835448625,-0.03996031103085654
IT System Data Services,3.0,87.0,0.0006447453255963894,0.0019203178457123937,0.12755725201160042
"Airlines and Aviation, Aviation and Aerospace Component Manufacturing, and Defense and Space Manufacturing",0.0,86.0,0.0,0.0018982452267961593,0.18982452267961594
Professional Services,2.0,85.0,0.0004298302170642596,0.001876172607879925,0.14463423908156653
Government Administration and IT Services and IT Consulting,0.0,84.0,0.0,0.0018540999889636906,0.18540999889636905
Wellness and Fitness Services,10.0,83.0,0.002149151085321298,0.0018320273700474562,-0.03171237152738418
Government Administration,22.0,79.0,0.004728132387706856,0.0017437368943825184,-0.2984395493324337
"Software Development, Technology, Information and Internet, and Technology, Information and Media",0.0,77.0,0.0,0.0016995916565500496,0.16995916565500496
Human Resources Services,19.0,76.0,0.004083387062110466,0.0016775190376338153,-0.2405868024476651
"Computer Hardware Manufacturing, Software Development, and Computers and Electronics Manufacturing",0.0,71.0,0.0,0.0015671559430526431,0.1567155943052643
IT Services and IT Consulting and Business Consulting and Services,0.0,70.0,0.0,0.0015450833241364087,0.15450833241364087
Computer Games,12.0,67.0,0.0025789813023855577,0.0014788654673877056,-0.11001158349978521
IT Services and IT Consulting and Financial Services,0.0,67.0,0.0,0.0014788654673877056,0.14788654673877055
"Financial Services, Investment Banking, and Investment Management",0.0,64.0,0.0,0.0014126476106390024,0.14126476106390023
Online Audio and Video Media,0.0,64.0,0.0,0.0014126476106390024,0.14126476106390023
Mental Health Care,2.0,63.0,0.0004298302170642596,0.0013905749917227678,0.09607447746585082
IT System Custom Software Development,12.0,62.0,0.0025789813023855577,0.0013685023728065334,-0.12104789295790243
Automotive,5.0,62.0,0.001074575542660649,0.0013685023728065334,0.029392683014588444
Marketing Services,6.0,61.0,0.0012894906511927789,0.001346429753890299,0.005693910269752018
"Accounting, IT Services and IT Consulting, and Business Consulting and Services",0.0,59.0,0.0,0.0013022845160578303,0.13022845160578303
Consumer Services,17.0,57.0,0.0036535568450462067,0.0012581392782253615,-0.2395417566820845
Construction,9.0,55.0,0.0019342359767891683,0.0012139940403928925,-0.07202419363962757
Venture Capital and Private Equity Principals,2.0,54.0,0.0004298302170642596,0.0011919214214766581,0.07620912044123986
"Technology, Information and Internet, Software Development, and IT Services and IT Consulting",0.0,50.0,0.0,0.0011036309458117206,0.11036309458117206
IT Services and IT Consulting and Software Development,0.0,49.0,0.0,0.0010815583268954862,0.10815583268954862
Machinery Manufacturing,11.0,49.0,0.002364066193853428,0.0010815583268954862,-0.12825078669579415
"Computer Hardware Manufacturing, Software Development, and IT Services and IT Consulting",0.0,47.0,0.0,0.0010374130890630174,0.10374130890630175
Hospitality,5.0,46.0,0.001074575542660649,0.0010153404701467828,-0.005923507251386615
Investment Management,8.0,45.0,0.0017193208682570384,0.0009932678512305484,-0.07260530170264899
Defense & Space,5.0,45.0,0.001074575542660649,0.0009932678512305484,-0.008130769143010055
Broadcast Media Production and Distribution,13.0,45.0,0.0027938964109176876,0.0009932678512305484,-0.1800628559687139
Data Infrastructure and Analytics,4.0,44.0,0.0008596604341285192,0.0009711952323143141,0.011153479818579485
Aviation & Aerospace,0.0,43.0,0.0,0.0009491226133980797,0.09491226133980797
Space Research and Technology,4.0,42.0,0.0008596604341285192,0.0009270499944818453,0.0067389560353326074
Defense and Space Manufacturing and Aviation and Aerospace Component Manufacturing,0.0,41.0,0.0,0.0009049773755656109,0.09049773755656108
Food and Beverage Services,8.0,41.0,0.0017193208682570384,0.0009049773755656109,-0.08143434926914275
"Business Consulting and Services, IT Services and IT Consulting, and Professional Training and Coaching",0.0,41.0,0.0,0.0009049773755656109,0.09049773755656108
Software Development and IT System Custom Software Development,0.0,38.0,0.0,0.0008387595188169076,0.08387595188169077
"IT Services and IT Consulting, Technology, Information and Internet, and Computer and Network Security",0.0,38.0,0.0,0.0008387595188169076,0.08387595188169077
Internet News,3.0,37.0,0.0006447453255963894,0.0008166868999006732,0.017194157430428382
Law Practice,7.0,37.0,0.0015044057597249087,0.0008166868999006732,-0.06877188598242355
Financial Services and Banking,0.0,36.0,0.0,0.0007946142809844388,0.07946142809844388
Retail Apparel and Fashion,5.0,36.0,0.001074575542660649,0.0007946142809844388,-0.027996126167621024
Wholesale Building Materials,5.0,35.0,0.001074575542660649,0.0007725416620682044,-0.03020338805924446
Social Networking Platforms,2.0,34.0,0.0004298302170642596,0.00075046904315197,0.032063882608771035
"Banking, Investment Banking, and Financial Services",0.0,34.0,0.0,0.00075046904315197,0.075046904315197
Wholesale,0.0,32.0,0.0,0.0007063238053195012,0.07063238053195012
"Software Development, IT Services and IT Consulting, and Technology, Information and Internet",0.0,31.0,0.0,0.0006842511864032667,0.06842511864032667
Spectator Sports,3.0,31.0,0.0006447453255963894,0.0006842511864032667,0.003950586080687728
"Software Development, Consumer Services, and Entertainment Providers",0.0,31.0,0.0,0.0006842511864032667,0.06842511864032667
Security and Investigations,2.0,31.0,0.0004298302170642596,0.0006842511864032667,0.02544209693390071
E-Learning Providers,4.0,29.0,0.0008596604341285192,0.0006401059485707979,-0.021955448555772125
"Software Development, IT Services and IT Consulting, and Pharmaceutical Manufacturing",0.0,29.0,0.0,0.0006401059485707979,0.0640105948570798
Musicians,1.0,28.0,0.0002149151085321298,0.0006180333296545636,0.04031182211224338
"Software Development, Technology, Information and Internet, and IT Services and IT Consulting",0.0,28.0,0.0,0.0006180333296545636,0.061803332965456356
Computer Hardware Manufacturing and Software Development,0.0,28.0,0.0,0.0006180333296545636,0.061803332965456356
"Computer Games, Software Development, and Technology, Information and Internet",0.0,28.0,0.0,0.0006180333296545636,0.061803332965456356
Non-profit Organizations and Primary and Secondary Education,0.0,28.0,0.0,0.0006180333296545636,0.061803332965456356
"Computer Hardware Manufacturing, Defense and Space Manufacturing, and IT Services and IT Consulting",0.0,27.0,0.0,0.0005959607107383291,0.059596071073832906
Financial Services and IT Services and IT Consulting,0.0,27.0,0.0,0.0005959607107383291,0.059596071073832906
Investment Banking,13.0,26.0,0.0027938964109176876,0.0005738880918220947,-0.22200083190955927
Design Services,5.0,25.0,0.001074575542660649,0.0005518154729058603,-0.05227600697547887
"Accounting, Financial Services, and Business Consulting and Services",0.0,25.0,0.0,0.0005518154729058603,0.05518154729058603
Insurance and Financial Services,0.0,25.0,0.0,0.0005518154729058603,0.05518154729058603
Truck Transportation,6.0,25.0,0.0012894906511927789,0.0005518154729058603,-0.07376751782869186
Financial Services and Software Development,0.0,25.0,0.0,0.0005518154729058603,0.05518154729058603
"Medical Equipment Manufacturing, Hospitals and Health Care, and Pharmaceutical Manufacturing",0.0,25.0,0.0,0.0005518154729058603,0.05518154729058603
Chemical Manufacturing,8.0,24.0,0.0017193208682570384,0.0005297428539896259,-0.11895780142674126
"Computer Hardware Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Computers and Electronics Manufacturing",0.0,24.0,0.0,0.0005297428539896259,0.05297428539896259
Public Safety,5.0,24.0,0.001074575542660649,0.0005297428539896259,-0.05448326886710231
Professional Training and Coaching,0.0,24.0,0.0,0.0005297428539896259,0.05297428539896259
Capital Markets,6.0,24.0,0.0012894906511927789,0.0005297428539896259,-0.0759747797203153
"Software Development, IT Services and IT Consulting, and Business Consulting and Services",0.0,23.0,0.0,0.0005076702350733914,0.050767023507339144
Electric Power Generation,2.0,23.0,0.0004298302170642596,0.0005076702350733914,0.007784001800913181
Software Development and Financial Services,0.0,22.0,0.0,0.00048559761615715703,0.0485597616157157
"Motor Vehicle Manufacturing, Renewable Energy Semiconductor Manufacturing, and Utilities",0.0,22.0,0.0,0.00048559761615715703,0.0485597616157157
"IT Services and IT Consulting, Information Services, and Technology, Information and Media",0.0,22.0,0.0,0.00048559761615715703,0.0485597616157157
"Wireless Services, Telecommunications, and Communications Equipment Manufacturing",0.0,22.0,0.0,0.00048559761615715703,0.0485597616157157
IT Services and IT Consulting and Information Services,0.0,21.0,0.0,0.00046352499724092264,0.046352499724092264
Retail Office Equipment,1.0,21.0,0.0002149151085321298,0.00046352499724092264,0.024860988870879286
Education Administration Programs,9.0,21.0,0.0019342359767891683,0.00046352499724092264,-0.14707109795482456
Renewable Energy Semiconductor Manufacturing,4.0,21.0,0.0008596604341285192,0.00046352499724092264,-0.039613543688759655
Semiconductors,2.0,20.0,0.0004298302170642596,0.0004414523783246882,0.00116221612604286
Software Development and Defense and Space Manufacturing,0.0,20.0,0.0,0.0004414523783246882,0.04414523783246882
Energy Technology,0.0,20.0,0.0,0.0004414523783246882,0.04414523783246882
"Chemical Manufacturing, Food and Beverage Services, and Food and Beverage Manufacturing",0.0,20.0,0.0,0.0004414523783246882,0.04414523783246882
Restaurants,2.0,20.0,0.0004298302170642596,0.0004414523783246882,0.00116221612604286
"IT Services and IT Consulting, Technology, Information and Internet, and Advertising Services",0.0,19.0,0.0,0.0004193797594084538,0.04193797594084538
"Software Development, Defense and Space Manufacturing, and IT Services and IT Consulting",0.0,19.0,0.0,0.0004193797594084538,0.04193797594084538
Defense and Space Manufacturing and Telecommunications,0.0,19.0,0.0,0.0004193797594084538,0.04193797594084538
"Oil and Gas, Defense and Space Manufacturing, and Aviation and Aerospace Component Manufacturing",0.0,19.0,0.0,0.0004193797594084538,0.04193797594084538
Health and Human Services,10.0,19.0,0.002149151085321298,0.0004193797594084538,-0.17297713259128442
"Construction, Civil Engineering, and Industrial Machinery Manufacturing",0.0,19.0,0.0,0.0004193797594084538,0.04193797594084538
Accounting,34.0,19.0,0.007307113690092413,0.0004193797594084538,-0.6887733930683959
"Banking, Financial Services, and IT Services and IT Consulting",0.0,19.0,0.0,0.0004193797594084538,0.04193797594084538
Design,0.0,18.0,0.0,0.0003973071404922194,0.03973071404922194
Defense and Space Manufacturing and Space Research and Technology,0.0,18.0,0.0,0.0003973071404922194,0.03973071404922194
"Software Development, Consumer Services, and Technology, Information and Internet",0.0,18.0,0.0,0.0003973071404922194,0.03973071404922194
"Semiconductor Manufacturing, Software Development, and Computer Hardware Manufacturing",0.0,18.0,0.0,0.0003973071404922194,0.03973071404922194
Computer Networking Products,4.0,18.0,0.0008596604341285192,0.0003973071404922194,-0.046235329363629986
Book and Periodical Publishing,3.0,18.0,0.0006447453255963894,0.0003973071404922194,-0.024743818510417005
Financial Services and Insurance,0.0,18.0,0.0,0.0003973071404922194,0.03973071404922194
Environmental Services,9.0,18.0,0.0019342359767891683,0.0003973071404922194,-0.15369288362969488
"Capital Markets, IT Services and IT Consulting, and Financial Services",0.0,18.0,0.0,0.0003973071404922194,0.03973071404922194
"Software Development, Technology, Information and Internet, and Financial Services",0.0,18.0,0.0,0.0003973071404922194,0.03973071404922194
Government Relations Services,6.0,18.0,0.0012894906511927789,0.0003973071404922194,-0.08921835107005595
"Financial Services, Banking, and Investment Banking",0.0,17.0,0.0,0.000375234521575985,0.0375234521575985
Legal Services,3.0,17.0,0.0006447453255963894,0.000375234521575985,-0.026951080402040445
"Leasing Non-residential Real Estate, IT Services and IT Consulting, and Research Services",0.0,17.0,0.0,0.000375234521575985,0.0375234521575985
Pharmaceutical Manufacturing and Biotechnology Research,0.0,17.0,0.0,0.000375234521575985,0.0375234521575985
Aviation and Aerospace Component Manufacturing and Defense and Space Manufacturing,0.0,17.0,0.0,0.000375234521575985,0.0375234521575985
Travel Arrangements,2.0,17.0,0.0004298302170642596,0.000375234521575985,-0.005459569548827461
Blockchain Services,0.0,17.0,0.0,0.000375234521575985,0.0375234521575985
Gambling Facilities and Casinos,8.0,17.0,0.0017193208682570384,0.000375234521575985,-0.13440863466810535
Ground Passenger Transportation,0.0,17.0,0.0,0.000375234521575985,0.0375234521575985
"IT Services and IT Consulting, Software Development, and IT System Custom Software Development",0.0,16.0,0.0,0.0003531619026597506,0.03531619026597506
Research,1.0,16.0,0.0002149151085321298,0.0003531619026597506,0.013824679412762081
Medical Practices,0.0,16.0,0.0,0.0003531619026597506,0.03531619026597506
"Wireless Services, IT Services and IT Consulting, and Telecommunications",0.0,16.0,0.0,0.0003531619026597506,0.03531619026597506
Gambling Facilities and Casinos and Spectator Sports,0.0,15.0,0.0,0.00033108928374351616,0.033108928374351615
"IT Services and IT Consulting, Financial Services, and Banking",0.0,15.0,0.0,0.00033108928374351616,0.033108928374351615
Construction and Civil Engineering,0.0,15.0,0.0,0.00033108928374351616,0.033108928374351615
"IT Services and IT Consulting, Technology, Information and Internet, and Telecommunications",0.0,15.0,0.0,0.00033108928374351616,0.033108928374351615
Information Services and IT Services and IT Consulting,0.0,14.0,0.0,0.0003090166648272818,0.030901666482728178
Education,3.0,14.0,0.0006447453255963894,0.0003090166648272818,-0.03357286607691076
Security Systems Services,0.0,14.0,0.0,0.0003090166648272818,0.030901666482728178
"Appliances, Electrical, and Electronics Manufacturing, Nanotechnology Research, and Semiconductor Manufacturing",0.0,14.0,0.0,0.0003090166648272818,0.030901666482728178
IT Services and IT Consulting and Banking,0.0,14.0,0.0,0.0003090166648272818,0.030901666482728178
"Software Development and Technology, Information and Media",0.0,14.0,0.0,0.0003090166648272818,0.030901666482728178
"Computer and Network Security, Software Development, and IT Services and IT Consulting",0.0,14.0,0.0,0.0003090166648272818,0.030901666482728178
Software Development and Computer and Network Security,0.0,14.0,0.0,0.0003090166648272818,0.030901666482728178
IT Services and IT Consulting and Telecommunications,0.0,13.0,0.0,0.00028694404591104734,0.028694404591104734
Industrial Automation,1.0,13.0,0.0002149151085321298,0.00028694404591104734,0.007202893737891754
"IT Services and IT Consulting, Information Services, and Research Services",0.0,13.0,0.0,0.00028694404591104734,0.028694404591104734
Armed Forces,1.0,13.0,0.0002149151085321298,0.00028694404591104734,0.007202893737891754
"Appliances, Electrical, and Electronics Manufacturing and Semiconductor Manufacturing",0.0,13.0,0.0,0.00028694404591104734,0.028694404591104734
"Technology, Information and Media and Software Development",0.0,13.0,0.0,0.00028694404591104734,0.028694404591104734
"Motor Vehicle Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Industrial Machinery Manufacturing",0.0,13.0,0.0,0.00028694404591104734,0.028694404591104734
Renewable Energy Power Generation,2.0,13.0,0.0004298302170642596,0.00028694404591104734,-0.014288617115321227
Medical Device,2.0,13.0,0.0004298302170642596,0.00028694404591104734,-0.014288617115321227
"Financial Services, IT Services and IT Consulting, and Technology, Information and Internet",0.0,13.0,0.0,0.00028694404591104734,0.028694404591104734
"Oil and Gas, Utilities, and Renewable Energy Semiconductor Manufacturing",0.0,12.0,0.0,0.00026487142699481295,0.026487142699481294
"Electric Power Transmission, Control, and Distribution",5.0,12.0,0.001074575542660649,0.00026487142699481295,-0.0809704115665836
"Retail Office Equipment, E-Learning Providers, and Professional Training and Coaching",0.0,12.0,0.0,0.00026487142699481295,0.026487142699481294
"Technology, Information and Internet and Transportation, Logistics, Supply Chain and Storage",0.0,12.0,0.0,0.00026487142699481295,0.026487142699481294
Nuclear Electric Power Generation,0.0,12.0,0.0,0.00026487142699481295,0.026487142699481294
Embedded Software Products,0.0,12.0,0.0,0.00026487142699481295,0.026487142699481294
"Software Development, IT Services and IT Consulting, and Research Services",0.0,12.0,0.0,0.00026487142699481295,0.026487142699481294
Food and Beverage Manufacturing,4.0,12.0,0.0008596604341285192,0.00026487142699481295,-0.05947890071337063
Software Development and Research Services,0.0,12.0,0.0,0.00026487142699481295,0.026487142699481294
"Technology, Information and Internet, Business Consulting and Services, and Marketing Services",0.0,12.0,0.0,0.00026487142699481295,0.026487142699481294
Facilities Services,1.0,12.0,0.0002149151085321298,0.00026487142699481295,0.004995631846268315
"Civil Engineering, Public Safety, and Truck Transportation",0.0,12.0,0.0,0.00026487142699481295,0.026487142699481294
"Construction, Machinery Manufacturing, and Truck Transportation",0.0,12.0,0.0,0.00026487142699481295,0.026487142699481294
"Real Estate, Financial Services, and Capital Markets",0.0,12.0,0.0,0.00026487142699481295,0.026487142699481294
"Computer Hardware Manufacturing, Computers and Electronics Manufacturing, and Semiconductor Manufacturing",0.0,11.0,0.0,0.00024279880807857851,0.02427988080785785
"Technology, Information and Internet and Software Development",0.0,11.0,0.0,0.00024279880807857851,0.02427988080785785
IT System Operations and Maintenance,1.0,11.0,0.0002149151085321298,0.00024279880807857851,0.002788369954644871
"IT Services and IT Consulting, Software Development, and Financial Services",0.0,11.0,0.0,0.00024279880807857851,0.02427988080785785
"Software Development, Design Services, and IT Services and IT Consulting",0.0,11.0,0.0,0.00024279880807857851,0.02427988080785785
"Software Development, Defense and Space Manufacturing, and Research Services",0.0,11.0,0.0,0.00024279880807857851,0.02427988080785785
Robot Manufacturing,0.0,11.0,0.0,0.00024279880807857851,0.02427988080785785
"Accounting, Financial Services, and IT Services and IT Consulting",0.0,11.0,0.0,0.00024279880807857851,0.02427988080785785
Engineering Services and IT Services and IT Consulting,0.0,10.0,0.0,0.0002207261891623441,0.02207261891623441
Education Administration Programs and E-Learning Providers,0.0,10.0,0.0,0.0002207261891623441,0.02207261891623441
Financial Services and Hospitals and Health Care,0.0,10.0,0.0,0.0002207261891623441,0.02207261891623441
Staffing and Recruiting and IT Services and IT Consulting,0.0,10.0,0.0,0.0002207261891623441,0.02207261891623441
Maritime Transportation,3.0,10.0,0.0006447453255963894,0.0002207261891623441,-0.04240191364340454
"Agriculture, Construction, Mining Machinery Manufacturing",4.0,10.0,0.0008596604341285192,0.0002207261891623441,-0.06389342449661752
"Technology, Information and Internet and Financial Services",0.0,10.0,0.0,0.0002207261891623441,0.02207261891623441
Information Services and Software Development,0.0,10.0,0.0,0.0002207261891623441,0.02207261891623441
Freight and Package Transportation,0.0,10.0,0.0,0.0002207261891623441,0.02207261891623441
"Computer Hardware Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Semiconductor Manufacturing",0.0,10.0,0.0,0.0002207261891623441,0.02207261891623441
"Airlines and Aviation, IT Services and IT Consulting, and Security and Investigations",0.0,10.0,0.0,0.0002207261891623441,0.02207261891623441
"Banking, Financial Services, and Insurance",0.0,10.0,0.0,0.0002207261891623441,0.02207261891623441
Computers and Electronics Manufacturing and Retail,0.0,10.0,0.0,0.0002207261891623441,0.02207261891623441
Services for Renewable Energy,7.0,10.0,0.0015044057597249087,0.0002207261891623441,-0.12836795705625648
"Hospitality, Food and Beverage Services, and Retail",0.0,10.0,0.0,0.0002207261891623441,0.02207261891623441
Information Technology & Services and Financial Services,0.0,10.0,0.0,0.0002207261891623441,0.02207261891623441
Biotechnology,1.0,9.0,0.0002149151085321298,0.0001986535702461097,-0.0016261538286020112
Biotechnology Research and Pharmaceutical Manufacturing,0.0,9.0,0.0,0.0001986535702461097,0.01986535702461097
Hospitals and Health Care and Insurance,0.0,9.0,0.0,0.0001986535702461097,0.01986535702461097
Newspaper Publishing,0.0,9.0,0.0,0.0001986535702461097,0.01986535702461097
Mining,5.0,9.0,0.001074575542660649,0.0001986535702461097,-0.08759219724145392
"Financial Services and Technology, Information and Media",0.0,9.0,0.0,0.0001986535702461097,0.01986535702461097
Entertainment Providers and Broadcast Media Production and Distribution,0.0,9.0,0.0,0.0001986535702461097,0.01986535702461097
"Wellness and Fitness Services, IT Services and IT Consulting, and Manufacturing",0.0,9.0,0.0,0.0001986535702461097,0.01986535702461097
Business Consulting and Services and IT Services and IT Consulting,0.0,9.0,0.0,0.0001986535702461097,0.01986535702461097
Business Intelligence Platforms,2.0,9.0,0.0004298302170642596,0.0001986535702461097,-0.023117664681814993
"Software Development, Capital Markets, and Financial Services",0.0,9.0,0.0,0.0001986535702461097,0.01986535702461097
"IT Services and IT Consulting, Banking, and Financial Services",0.0,9.0,0.0,0.0001986535702461097,0.01986535702461097
Railroad Equipment Manufacturing,0.0,9.0,0.0,0.0001986535702461097,0.01986535702461097
Manufacturing and Food and Beverage Services,0.0,8.0,0.0,0.0001765809513298753,0.01765809513298753
"Manufacturing, Food and Beverage Manufacturing, and Food and Beverage Services",0.0,8.0,0.0,0.0001765809513298753,0.01765809513298753
Financial Services and Investment Management,0.0,8.0,0.0,0.0001765809513298753,0.01765809513298753
Electronic and Precision Equipment Maintenance,0.0,8.0,0.0,0.0001765809513298753,0.01765809513298753
"Information Services and Technology, Information and Media",0.0,8.0,0.0,0.0001765809513298753,0.01765809513298753
"Defense and Space Manufacturing, Airlines and Aviation, and Semiconductor Manufacturing",0.0,8.0,0.0,0.0001765809513298753,0.01765809513298753
"Capital Markets, Investment Banking, and Investment Management",0.0,8.0,0.0,0.0001765809513298753,0.01765809513298753
Food & Beverages,0.0,8.0,0.0,0.0001765809513298753,0.01765809513298753
"Software Development, Information Services, and IT Services and IT Consulting",0.0,8.0,0.0,0.0001765809513298753,0.01765809513298753
"Defense and Space Manufacturing, Space Research and Technology, and Aviation and Aerospace Component Manufacturing",0.0,8.0,0.0,0.0001765809513298753,0.01765809513298753
Motor Vehicle Parts Manufacturing,0.0,8.0,0.0,0.0001765809513298753,0.01765809513298753
Construction and Machinery Manufacturing,0.0,8.0,0.0,0.0001765809513298753,0.01765809513298753
Security and Investigations and Construction,0.0,8.0,0.0,0.0001765809513298753,0.01765809513298753
"Appliances, Electrical, and Electronics Manufacturing, Industrial Machinery Manufacturing, and Medical Equipment Manufacturing",0.0,7.0,0.0,0.0001545083324136409,0.015450833241364089
Wireless Services,8.0,7.0,0.0017193208682570384,0.0001545083324136409,-0.15648125358433976
Apparel & Fashion,0.0,7.0,0.0,0.0001545083324136409,0.015450833241364089
"Computer Networking Products, Software Development, and Technology, Information and Internet",0.0,7.0,0.0,0.0001545083324136409,0.015450833241364089
Mobile Computing Software Products,0.0,7.0,0.0,0.0001545083324136409,0.015450833241364089
"IT Services and IT Consulting, Computer and Network Security, and Information Services",0.0,7.0,0.0,0.0001545083324136409,0.015450833241364089
"Semiconductors, Consumer Electronics, and Computer Hardware",0.0,7.0,0.0,0.0001545083324136409,0.015450833241364089
"Spectator Sports, Software Development, and Information Services",0.0,7.0,0.0,0.0001545083324136409,0.015450833241364089
"Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Medical Equipment Manufacturing",0.0,7.0,0.0,0.0001545083324136409,0.015450833241364089
"Defense and Space Manufacturing, Aviation and Aerospace Component Manufacturing, and Armed Forces",0.0,7.0,0.0,0.0001545083324136409,0.015450833241364089
"Hospitals and Health Care, IT Services and IT Consulting, and Software Development",0.0,7.0,0.0,0.0001545083324136409,0.015450833241364089
"IT Services and IT Consulting, IT System Custom Software Development, and Software Development",0.0,7.0,0.0,0.0001545083324136409,0.015450833241364089
"Advertising Services, Software Development, and Information Services",0.0,7.0,0.0,0.0001545083324136409,0.015450833241364089
"Banking, Capital Markets, and Financial Services",0.0,7.0,0.0,0.0001545083324136409,0.015450833241364089
"Appliances, Electrical, and Electronics Manufacturing and Industrial Machinery Manufacturing",0.0,7.0,0.0,0.0001545083324136409,0.015450833241364089
