company_name_canonical,kaggle_arshkon,kaggle_asaniczka,scraped,pooled_2024,min_overlap
Capgemini,4.0,19.0,143.0,23.0,23.0
KPMG US,0.0,63.0,23.0,63.0,23.0
CGI,8.0,15.0,88.0,23.0,23.0
Tesla,4.0,75.0,22.0,79.0,22.0
CVS Health,1.0,21.0,60.0,22.0,22.0
KLA,0.0,24.0,22.0,24.0,22.0
Jobs via eFinancialCareers,3.0,19.0,31.0,22.0,22.0
Deloitte,22.0,0.0,62.0,22.0,22.0
HTC Global Services,7.0,14.0,24.0,21.0,21.0
General Dynamics Information Technology,3.0,18.0,80.0,21.0,21.0
UST,6.0,25.0,21.0,31.0,21.0
Cognizant,8.0,12.0,61.0,20.0,20.0
Microsoft,19.0,1.0,418.0,20.0,20.0
Talent Groups,15.0,4.0,31.0,19.0,19.0
Selby Jennings,11.0,22.0,19.0,33.0,19.0
Harnham,6.0,12.0,47.0,18.0,18.0
Adobe,9.0,9.0,138.0,18.0,18.0
Photon,13.0,37.0,18.0,50.0,18.0
Open Systems Technologies,31.0,16.0,18.0,47.0,18.0
General Dynamics Mission Systems,5.0,13.0,70.0,18.0,18.0
Vanguard,0.0,19.0,18.0,19.0,18.0
Collabera,14.0,4.0,26.0,18.0,18.0
Wipro,6.0,12.0,22.0,18.0,18.0
Eliassen Group,12.0,6.0,39.0,18.0,18.0
Visa,5.0,12.0,73.0,17.0,17.0
Intuitive,1.0,16.0,20.0,17.0,17.0
The Judge Group,4.0,35.0,17.0,39.0,17.0
SPECTRAFORCE,1.0,24.0,17.0,25.0,17.0
Centraprise,14.0,3.0,28.0,17.0,17.0
HCLTech,1.0,16.0,19.0,17.0,17.0
Intuit,0.0,17.0,99.0,17.0,17.0
Ledgent Technology,9.0,8.0,37.0,17.0,17.0
Draper,1.0,16.0,22.0,17.0,17.0
Rippling,1.0,15.0,51.0,16.0,16.0
Garmin,1.0,15.0,32.0,16.0,16.0
Ampstek,6.0,10.0,40.0,16.0,16.0
Leonardo DRS,5.0,14.0,16.0,19.0,16.0
FIS,6.0,54.0,16.0,60.0,16.0
EPITEC,11.0,5.0,37.0,16.0,16.0
"Conch Technologies, Inc",0.0,68.0,16.0,68.0,16.0
Parsons Corporation,4.0,12.0,29.0,16.0,16.0
Mastech Digital,7.0,9.0,31.0,16.0,16.0
TikTok,14.0,1.0,161.0,15.0,15.0
The Trade Desk,2.0,13.0,19.0,15.0,15.0
"Onyx Point, LLC.",0.0,17.0,15.0,17.0,15.0
Zscaler,2.0,12.0,18.0,14.0,14.0
LTIMindtree,0.0,14.0,17.0,14.0,14.0
Trimble Inc.,1.0,13.0,38.0,14.0,14.0
Ford Motor Company,14.0,0.0,52.0,14.0,14.0
TALENT Software Services,2.0,12.0,15.0,14.0,14.0
Databricks,1.0,13.0,60.0,14.0,14.0
General Motors,14.0,0.0,191.0,14.0,14.0
INSPYR Solutions,4.0,10.0,23.0,14.0,14.0
Zipline,0.0,13.0,17.0,13.0,13.0
Rocket Lab,3.0,10.0,22.0,13.0,13.0
"LanceSoft, Inc.",4.0,11.0,13.0,15.0,13.0
Amtex Systems Inc.,5.0,8.0,19.0,13.0,13.0
Wise Skulls,0.0,30.0,13.0,30.0,13.0
BCforward,8.0,5.0,47.0,13.0,13.0
Saransh Inc,2.0,27.0,13.0,29.0,13.0
Guidehouse,3.0,10.0,20.0,13.0,13.0
Stellent IT,0.0,49.0,13.0,49.0,13.0
"Liberty Personnel Services, Inc.",0.0,39.0,13.0,39.0,13.0
"IDR, Inc.",4.0,9.0,30.0,13.0,13.0
Lyft,0.0,13.0,16.0,13.0,13.0
Quantum World Technologies Inc.,8.0,6.0,12.0,14.0,12.0
Matlen Silver,5.0,7.0,29.0,12.0,12.0
Belay Technologies,0.0,52.0,12.0,52.0,12.0
Accenture,2.0,10.0,59.0,12.0,12.0
Dexian,7.0,5.0,41.0,12.0,12.0
Verkada,0.0,12.0,38.0,12.0,12.0
Russell Tobin,5.0,7.0,17.0,12.0,12.0
Ascendion,8.0,5.0,12.0,13.0,12.0
myGwork - LGBTQ+ Business Community,12.0,0.0,128.0,12.0,12.0
JPMorgan Chase & Co.,12.0,0.0,680.0,12.0,12.0
Prudential Financial,1.0,10.0,14.0,11.0,11.0
Shield AI,0.0,12.0,11.0,12.0,11.0
HCA Healthcare,0.0,11.0,17.0,11.0,11.0
ASRC Federal,1.0,17.0,11.0,18.0,11.0
Agoda,0.0,11.0,26.0,11.0,11.0
Luxoft,1.0,16.0,11.0,17.0,11.0
Schneider Electric,0.0,35.0,11.0,35.0,11.0
Enexus Global Inc.,0.0,11.0,15.0,11.0,11.0
"V-Soft Consulting Group, Inc.",6.0,13.0,11.0,19.0,11.0
Sierra Space,0.0,23.0,11.0,23.0,11.0
Innovative Defense Technologies (IDT),0.0,10.0,12.0,10.0,10.0
Phaxis,1.0,9.0,10.0,10.0,10.0
Blizzard Entertainment,0.0,10.0,10.0,10.0,10.0
ServiceNow,10.0,0.0,19.0,10.0,10.0
Rose International,8.0,2.0,15.0,10.0,10.0
Booz Allen Hamilton,9.0,1.0,338.0,10.0,10.0
Lumicity,1.0,10.0,10.0,11.0,10.0
Empower Professionals,7.0,3.0,14.0,10.0,10.0
AbbVie,0.0,10.0,10.0,10.0,10.0
Siemens,2.0,8.0,19.0,10.0,10.0
U.S. Bank,4.0,6.0,37.0,10.0,10.0
hackajob,10.0,0.0,263.0,10.0,10.0
GE HealthCare,4.0,6.0,12.0,10.0,10.0
GliaCell Technologies,0.0,26.0,10.0,26.0,10.0
Franklin Fitch,7.0,3.0,19.0,10.0,10.0
AT&T,8.0,1.0,25.0,9.0,9.0
Trane Technologies,1.0,8.0,10.0,9.0,9.0
AMERICAN SYSTEMS,3.0,7.0,9.0,10.0,9.0
Boeing,8.0,1.0,93.0,9.0,9.0
Ridgeline,0.0,9.0,10.0,9.0,9.0
Fiserv,0.0,9.0,15.0,9.0,9.0
NiCE,1.0,8.0,9.0,9.0,9.0
AllSTEM Connections,6.0,5.0,9.0,11.0,9.0
Amentum,0.0,9.0,18.0,9.0,9.0
Cypress HCM,1.0,8.0,17.0,9.0,9.0
World Wide Technology,5.0,19.0,9.0,24.0,9.0
The Hartford,1.0,8.0,16.0,9.0,9.0
IntePros,5.0,4.0,12.0,9.0,9.0
NLB Services,9.0,0.0,29.0,9.0,9.0
Robinhood,5.0,4.0,24.0,9.0,9.0
Apexon,4.0,5.0,10.0,9.0,9.0
Uber,6.0,3.0,201.0,9.0,9.0
Optomi,6.0,3.0,23.0,9.0,9.0
Carrier,0.0,9.0,9.0,9.0,9.0
GEICO,1.0,8.0,70.0,9.0,9.0
Raas Infotek,7.0,2.0,33.0,9.0,9.0
"Software Guidance & Assistance, Inc. (SGA, Inc.)",0.0,9.0,22.0,9.0,9.0
General Atomics,3.0,6.0,20.0,9.0,9.0
FastTek Global,5.0,4.0,28.0,9.0,9.0
Curtiss-Wright Corporation,0.0,10.0,9.0,10.0,9.0
VDart,7.0,2.0,25.0,9.0,9.0
Aurora,1.0,7.0,23.0,8.0,8.0
WEX,6.0,2.0,21.0,8.0,8.0
PepsiCo,1.0,9.0,8.0,10.0,8.0
Crusoe,0.0,8.0,26.0,8.0,8.0
Confidential,5.0,5.0,8.0,10.0,8.0
Siri InfoSolutions Inc,7.0,1.0,11.0,8.0,8.0
InfoVision Inc.,2.0,6.0,19.0,8.0,8.0
"Intelliforce-IT Solutions Group, LLC.",0.0,8.0,14.0,8.0,8.0
Addison Group,1.0,7.0,16.0,8.0,8.0
Acro Service Corp,2.0,6.0,14.0,8.0,8.0
CesiumAstro,0.0,8.0,23.0,8.0,8.0
SciTec,0.0,8.0,14.0,8.0,8.0
SPAR Information Systems LLC,2.0,6.0,9.0,8.0,8.0
Procore Technologies,8.0,0.0,22.0,8.0,8.0
