metro_area,kaggle_arshkon,kaggle_asaniczka,scraped,pooled_2024,qual_gt50_pooled,qual_gt100_pooled,qual_gt50_arshkon,qual_gt100_arshkon
Huntsville Metro,9.0,133.0,0.0,142.0,False,False,False,False
Fresno Metro,0.0,1.0,0.0,1.0,False,False,False,False
Greensboro-High Point Metro,5.0,23.0,0.0,28.0,False,False,False,False
Grand Rapids-Wyoming-Kentwood Metro,3.0,37.0,0.0,40.0,False,False,False,False
Fort Wayne Metro,0.0,11.0,0.0,11.0,False,False,False,False
Dayton-Kettering-Beavercreek Metro,4.0,68.0,0.0,72.0,False,False,False,False
El Paso Metro,1.0,2.0,0.0,3.0,False,False,False,False
Des Moines Metro,3.0,45.0,0.0,48.0,False,False,False,False
Naples-Marco Island Metro,0.0,3.0,0.0,3.0,False,False,False,False
Milwaukee Metro,14.0,50.0,0.0,64.0,False,False,False,False
Madison Metro,10.0,36.0,0.0,46.0,False,False,False,False
Memphis Metro,7.0,22.0,0.0,29.0,False,False,False,False
Louisville Metro,7.0,31.0,0.0,38.0,False,False,False,False
Lexington-Fayette Metro,2.0,6.0,0.0,8.0,False,False,False,False
Lincoln Metro,1.0,10.0,0.0,11.0,False,False,False,False
Little Rock-North Little Rock-Conway Metro,0.0,19.0,0.0,19.0,False,False,False,False
Jacksonville Metro,3.0,55.0,0.0,58.0,False,False,False,False
Knoxville Metro,2.0,15.0,0.0,17.0,False,False,False,False
Indianapolis Metro,11.0,45.0,0.0,56.0,False,False,False,False
Las Vegas Metro,10.0,51.0,0.0,61.0,False,False,False,False
Orlando Metro,17.0,128.0,0.0,145.0,False,False,False,False
New Orleans Metro,2.0,14.0,0.0,16.0,False,False,False,False
Oklahoma City Metro,3.0,59.0,0.0,62.0,False,False,False,False
Omaha Metro,10.0,41.0,0.0,51.0,False,False,False,False
San Antonio Metro,8.0,84.0,0.0,92.0,False,False,False,False
Sacramento Metro,6.0,19.0,0.0,25.0,False,False,False,False
Rochester Metro,3.0,12.0,0.0,15.0,False,False,False,False
Richmond Metro,33.0,51.0,0.0,84.0,False,False,False,False
Reno Metro,6.0,15.0,0.0,21.0,False,False,False,False
St. Louis Metro,7.0,99.0,0.0,106.0,False,False,False,False
Springfield Metro,0.0,8.0,0.0,8.0,False,False,False,False
Savannah Metro,0.0,7.0,0.0,7.0,False,False,False,False
Tallahassee Metro,6.0,19.0,0.0,25.0,False,False,False,False
Syracuse Metro,3.0,15.0,0.0,18.0,False,False,False,False
Tulsa Metro,5.0,14.0,0.0,19.0,False,False,False,False
Tucson Metro,10.0,56.0,0.0,66.0,False,False,False,False
Urban Honolulu Metro,0.0,24.0,0.0,24.0,False,False,False,False
Virginia Beach-Chesapeake-Norfolk Metro,4.0,51.0,0.0,55.0,False,False,False,False
Wichita Metro,2.0,7.0,0.0,9.0,False,False,False,False
Winston-Salem Metro,2.0,11.0,0.0,13.0,False,False,False,False
