representation,junior_definition,senior_definition,arshkon_similarity,asaniczka_similarity,pooled_2024_similarity,scraped_2026_similarity,arshkon_junior_n,arshkon_senior_n,scraped_junior_n,scraped_senior_n,arshkon_to_scraped_shift,pooled_2024_to_scraped_shift,within_2024_asaniczka_minus_arshkon,calibration_verdict,thin_cell_flag
tfidf_svd,J2,S1,0.8918133974075317,0.9437814354896545,0.9401665925979614,0.8555041551589966,181,337,652,2000,-0.036309242248535156,-0.08466243743896484,0.0519680380821228,reject_convergence,False
tfidf_svd,J2,S2,,0.8425582051277161,0.8307006359100342,0.7715224623680115,181,2,652,30,,-0.059178173542022705,,reject_convergence,True
tfidf_svd,J2,S3,0.7502747178077698,0.8417119979858398,0.8428179025650024,0.6858458518981934,181,18,652,15,-0.06442886590957642,-0.15697205066680908,0.09143728017807007,reject_convergence,True
tfidf_svd,J2,S4,0.9048957228660583,0.9434089660644531,0.9381869435310364,0.856024444103241,181,371,652,1635,-0.04887127876281738,-0.08216249942779541,0.038513243198394775,reject_convergence,False
tfidf_svd,J3,S1,0.9384415745735168,0.982617974281311,0.9814444780349731,0.9404200911521912,148,337,600,2000,0.0019785165786743164,-0.04102438688278198,0.04417639970779419,reject_convergence,False
tfidf_svd,J3,S2,,0.8872857093811035,0.8858931660652161,0.8474394083023071,148,2,600,30,,-0.038453757762908936,,reject_convergence,True
tfidf_svd,J3,S3,0.7921894788742065,0.8865692019462585,0.8841908574104309,0.7933005690574646,148,18,600,15,0.0011110901832580566,-0.09089028835296631,0.094379723072052,reject_convergence,True
tfidf_svd,J3,S4,0.9549126029014587,0.9811792373657227,0.9820200800895691,0.9409348368644714,148,371,600,1635,-0.013977766036987305,-0.041085243225097656,0.026266634464263916,reject_convergence,False
tfidf_svd,J4,S1,0.9550532698631287,0.9852005839347839,0.9851992726325989,0.9594096541404724,249,337,1117,2000,0.00435638427734375,-0.025789618492126465,0.030147314071655273,reject_convergence,False
tfidf_svd,J4,S2,,0.8815506100654602,0.8833202719688416,0.8632491827011108,249,2,1117,30,,-0.020071089267730713,,reject_convergence,True
tfidf_svd,J4,S3,0.8061869144439697,0.8918939828872681,0.8909607529640198,0.8156328201293945,249,18,1117,15,0.009445905685424805,-0.07532793283462524,0.08570706844329834,reject_convergence,True
tfidf_svd,J4,S4,0.968504786491394,0.982541024684906,0.984632670879364,0.9590035676956177,249,371,1117,1635,-0.009501218795776367,-0.025629103183746338,0.014036238193511963,reject_convergence,False
