state,state_name,soc,occupation_code,series_id,employment
ME,Maine,15-1253_substitute_for_requested_15-1256,151253,OEUS230000000000015125301,390
MD,Maryland,15-1252,151252,OEUS240000000000015125201,31940
MD,Maryland,15-1253_substitute_for_requested_15-1256,151253,OEUS240000000000015125301,6340
MA,Massachusetts,15-1252,151252,OEUS250000000000015125201,54260
MA,Massachusetts,15-1253_substitute_for_requested_15-1256,151253,OEUS250000000000015125301,7650
MI,Michigan,15-1252,151252,OEUS260000000000015125201,41490
MI,Michigan,15-1253_substitute_for_requested_15-1256,151253,OEUS260000000000015125301,3500
MN,Minnesota,15-1252,151252,OEUS270000000000015125201,39580
MN,Minnesota,15-1253_substitute_for_requested_15-1256,151253,OEUS270000000000015125301,2930
MS,Mississippi,15-1252,151252,OEUS280000000000015125201,3200
MS,Mississippi,15-1253_substitute_for_requested_15-1256,151253,OEUS280000000000015125301,460
MO,Missouri,15-1252,151252,OEUS290000000000015125201,17060
MO,Missouri,15-1253_substitute_for_requested_15-1256,151253,OEUS290000000000015125301,2400
MT,Montana,15-1252,151252,OEUS300000000000015125201,2070
MT,Montana,15-1253_substitute_for_requested_15-1256,151253,OEUS300000000000015125301,260
NE,Nebraska,15-1252,151252,OEUS310000000000015125201,8940
NE,Nebraska,15-1253_substitute_for_requested_15-1256,151253,OEUS310000000000015125301,1680
NV,Nevada,15-1252,151252,OEUS320000000000015125201,4640
NV,Nevada,15-1253_substitute_for_requested_15-1256,151253,OEUS320000000000015125301,680
NH,New Hampshire,15-1252,151252,OEUS330000000000015125201,8010
NH,New Hampshire,15-1253_substitute_for_requested_15-1256,151253,OEUS330000000000015125301,610
NJ,New Jersey,15-1252,151252,OEUS340000000000015125201,57120
NJ,New Jersey,15-1253_substitute_for_requested_15-1256,151253,OEUS340000000000015125301,6930
NM,New Mexico,15-1252,151252,OEUS350000000000015125201,4810
NM,New Mexico,15-1253_substitute_for_requested_15-1256,151253,OEUS350000000000015125301,400
NY,New York,15-1252,151252,OEUS360000000000015125201,104130
NY,New York,15-1253_substitute_for_requested_15-1256,151253,OEUS360000000000015125301,11140
NC,North Carolina,15-1252,151252,OEUS370000000000015125201,57590
NC,North Carolina,15-1253_substitute_for_requested_15-1256,151253,OEUS370000000000015125301,7280
ND,North Dakota,15-1252,151252,OEUS380000000000015125201,1510
ND,North Dakota,15-1253_substitute_for_requested_15-1256,151253,OEUS380000000000015125301,470
OH,Ohio,15-1252,151252,OEUS390000000000015125201,44280
OH,Ohio,15-1253_substitute_for_requested_15-1256,151253,OEUS390000000000015125301,4000
OK,Oklahoma,15-1252,151252,OEUS400000000000015125201,7150
OK,Oklahoma,15-1253_substitute_for_requested_15-1256,151253,OEUS400000000000015125301,1720
OR,Oregon,15-1252,151252,OEUS410000000000015125201,21100
OR,Oregon,15-1253_substitute_for_requested_15-1256,151253,OEUS410000000000015125301,3010
PA,Pennsylvania,15-1252,151252,OEUS420000000000015125201,47350
PA,Pennsylvania,15-1253_substitute_for_requested_15-1256,151253,OEUS420000000000015125301,5690
RI,Rhode Island,15-1252,151252,OEUS440000000000015125201,6010
RI,Rhode Island,15-1253_substitute_for_requested_15-1256,151253,OEUS440000000000015125301,440
SC,South Carolina,15-1252,151252,OEUS450000000000015125201,12230
SC,South Carolina,15-1253_substitute_for_requested_15-1256,151253,OEUS450000000000015125301,1320
SD,South Dakota,15-1252,151252,OEUS460000000000015125201,2190
SD,South Dakota,15-1253_substitute_for_requested_15-1256,151253,OEUS460000000000015125301,350
TN,Tennessee,15-1252,151252,OEUS470000000000015125201,18750
TN,Tennessee,15-1253_substitute_for_requested_15-1256,151253,OEUS470000000000015125301,2290
TX,Texas,15-1252,151252,OEUS480000000000015125201,151460
TX,Texas,15-1253_substitute_for_requested_15-1256,151253,OEUS480000000000015125301,19300
UT,Utah,15-1252,151252,OEUS490000000000015125201,29160
UT,Utah,15-1253_substitute_for_requested_15-1256,151253,OEUS490000000000015125301,4300
VT,Vermont,15-1252,151252,OEUS500000000000015125201,
VT,Vermont,15-1253_substitute_for_requested_15-1256,151253,OEUS500000000000015125301,130
VA,Virginia,15-1252,151252,OEUS510000000000015125201,83290
VA,Virginia,15-1253_substitute_for_requested_15-1256,151253,OEUS510000000000015125301,9880
WA,Washington,15-1252,151252,OEUS530000000000015125201,91470
WA,Washington,15-1253_substitute_for_requested_15-1256,151253,OEUS530000000000015125301,9220
WV,West Virginia,15-1252,151252,OEUS540000000000015125201,2280
WV,West Virginia,15-1253_substitute_for_requested_15-1256,151253,OEUS540000000000015125301,260
WI,Wisconsin,15-1252,151252,OEUS550000000000015125201,22170
WI,Wisconsin,15-1253_substitute_for_requested_15-1256,151253,OEUS550000000000015125301,3820
WY,Wyoming,15-1252,151252,OEUS560000000000015125201,1020
WY,Wyoming,15-1253_substitute_for_requested_15-1256,151253,OEUS560000000000015125301,
