tech_a,tech_b,phi,freq_a,freq_b,source,n_rows_capped
agile,scrum,0.5756845075277143,0.039689533622559656,0.08219224511930585,scraped,29504
scrum,kanban,0.311428472883992,0.08219224511930585,0.011862798264642082,scraped,29504
generative_ai,tensorflow,0.18294853463653976,0.053247017353579174,0.03813042299349241,scraped,29504
generative_ai,pytorch,0.18758819406908187,0.053247017353579174,0.04870526030368764,scraped,29504
generative_ai,langgraph,0.16305257527567224,0.053247017353579174,0.020641268980477225,scraped,29504
generative_ai,fine_tuning,0.2021176712986158,0.053247017353579174,0.020675162689804773,scraped,29504
generative_ai,llm,0.3139509782123111,0.053247017353579174,0.13269387201735358,scraped,29504
tensorflow,pytorch,0.81004103043982,0.03813042299349241,0.04870526030368764,scraped,29504
tensorflow,scikit_learn,0.46696734596824646,0.03813042299349241,0.014608188720173537,scraped,29504
tensorflow,pandas,0.1802180270830205,0.03813042299349241,0.01704853579175705,scraped,29504
tensorflow,numpy,0.15934296819928528,0.03813042299349241,0.011896691973969632,scraped,29504
tensorflow,mlflow,0.19205009917414345,0.03813042299349241,0.013252440347071584,scraped,29504
tensorflow,fine_tuning,0.199922880519996,0.03813042299349241,0.020675162689804773,scraped,29504
tensorflow,llm,0.1960095208190319,0.03813042299349241,0.13269387201735358,scraped,29504
pytorch,scikit_learn,0.43048243769992356,0.04870526030368764,0.014608188720173537,scraped,29504
pytorch,pandas,0.17819904863983627,0.04870526030368764,0.01704853579175705,scraped,29504
pytorch,numpy,0.17268612932243485,0.04870526030368764,0.011896691973969632,scraped,29504
pytorch,mlflow,0.19271474092578034,0.04870526030368764,0.013252440347071584,scraped,29504
pytorch,fine_tuning,0.24819628284176318,0.04870526030368764,0.020675162689804773,scraped,29504
pytorch,llm,0.24104388093942694,0.04870526030368764,0.13269387201735358,scraped,29504
scikit_learn,pandas,0.3527671699149198,0.014608188720173537,0.01704853579175705,scraped,29504
scikit_learn,numpy,0.3227580987606035,0.014608188720173537,0.011896691973969632,scraped,29504
scikit_learn,mlflow,0.19093197465582243,0.014608188720173537,0.013252440347071584,scraped,29504
pandas,numpy,0.7196722622797694,0.01704853579175705,0.011896691973969632,scraped,29504
langgraph,llm,0.2882390583974729,0.020641268980477225,0.13269387201735358,scraped,29504
langgraph,agent,0.3128725304701305,0.020641268980477225,0.04121475054229935,scraped,29504
fine_tuning,llm,0.28299958139593595,0.020675162689804773,0.13269387201735358,scraped,29504
llm,claude,0.18796579479624884,0.13269387201735358,0.03782537960954447,scraped,29504
llm,agent,0.33555642901840876,0.13269387201735358,0.04121475054229935,scraped,29504
