definition,side,family,group,n_all,n_denominator,n_in_def_all,n_in_def_denom,share_of_all,share_of_denom
S1,senior,label,2026-03_scraped,19740,19740,8809,8809,0.4462512664640324,0.4462512664640324
S2,senior,label,2026-03_scraped,19740,19740,154,154,0.007801418439716312,0.007801418439716312
S3,senior,title_keyword,2026-03_scraped,19740,19740,8377,8377,0.42436676798378925,0.42436676798378925
S4,senior,yoe_llm,2026-03_scraped,19740,9371,5950,5950,0.30141843971631205,0.6349375733646356
S5,senior,yoe_llm,2026-03_scraped,19740,9371,1956,1956,0.09908814589665653,0.20872905773129868
S4_rule,senior,yoe_rule,2026-03_scraped,19740,13330,7676,7676,0.38885511651469096,0.5758439609902476
J1,junior,label,2026-04_scraped,25577,25577,803,803,0.03139539429956602,0.03139539429956602
J2,junior,label,2026-04_scraped,25577,25577,872,872,0.0340931305469758,0.0340931305469758
J3,junior,yoe_llm,2026-04_scraped,25577,11140,1555,1555,0.06079680963365524,0.1395870736086176
J4,junior,yoe_llm,2026-04_scraped,25577,11140,3237,3237,0.12655901786761545,0.2905745062836625
J5,junior,title_keyword,2026-04_scraped,25577,25577,509,509,0.0199006920279939,0.0199006920279939
J6,junior,label,2026-04_scraped,25577,25577,816,816,0.03190366344762873,0.03190366344762873
J3_rule,junior,yoe_rule,2026-04_scraped,25577,17141,2908,2908,0.1136958986589514,0.16965171226882914
S1,senior,label,2026-04_scraped,25577,25577,11219,11219,0.43863627477812095,0.43863627477812095
S2,senior,label,2026-04_scraped,25577,25577,171,171,0.006685694178363373,0.006685694178363373
S3,senior,title_keyword,2026-04_scraped,25577,25577,10607,10607,0.4147085271923994,0.4147085271923994
S4,senior,yoe_llm,2026-04_scraped,25577,11140,7009,7009,0.2740352660593502,0.6291741472172352
S5,senior,yoe_llm,2026-04_scraped,25577,11140,2412,2412,0.09430347577902021,0.21651705565529622
S4_rule,senior,yoe_rule,2026-04_scraped,25577,17141,9897,9897,0.3869492121828205,0.5773875503179511
J1,junior,label,pooled-2026,45317,45317,1650,1650,0.03641017719619569,0.03641017719619569
J2,junior,label,pooled-2026,45317,45317,1771,1771,0.039080256857250036,0.039080256857250036
J3,junior,yoe_llm,pooled-2026,45317,20511,2911,2911,0.06423637928371251,0.14192384574130953
J4,junior,yoe_llm,pooled-2026,45317,20511,5927,5927,0.13078976984354657,0.2889668958120033
J5,junior,title_keyword,pooled-2026,45317,45317,1119,1119,0.024692720171238167,0.024692720171238167
J6,junior,label,pooled-2026,45317,45317,1689,1689,0.037270781384469404,0.037270781384469404
J3_rule,junior,yoe_rule,pooled-2026,45317,30471,5227,5227,0.11534302800273628,0.17154015293229627
S1,senior,label,pooled-2026,45317,45317,20028,20028,0.44195335083964077,0.44195335083964077
S2,senior,label,pooled-2026,45317,45317,325,325,0.0071717015689476355,0.0071717015689476355
S3,senior,title_keyword,pooled-2026,45317,45317,18984,18984,0.4189156387227751,0.4189156387227751
S4,senior,yoe_llm,pooled-2026,45317,20511,12959,12959,0.2859633250215151,0.6318073228999074
S5,senior,yoe_llm,pooled-2026,45317,20511,4368,4368,0.09638766908665622,0.21295890010238408
S4_rule,senior,yoe_rule,pooled-2026,45317,30471,17573,17573,0.3877794205265132,0.5767122838108365
