uid,source,title,seniority_final,seniority_final_source,yoe_min_years_llm,yoe_extracted,desc_preview
linkedin_li-4022066752,scraped,Application Engineer: Co-Op,entry,llm,0,,"**About This Position**
 We're looking for a 3-Semester Application Engineer Co-Op who wants to help simplify and unify healthcare payments across the revenue cycle. We run an agile development team with weekly sprints to quickly deliver code to our clients. Our team prides itself on rapid development, so as a Co-Op, your code will make it to production many times during your term. That's right, a"
linkedin_li-4263144299,scraped,Software Engineer 2 - 23831 (FS Poly Required),mid-senior,llm,0,2.0,"Requisition Number: 23831
   

  

 Required Travel: 0 - 10%
   

  

 Employment Type: Full Time/Salaried/Exempt
   

  

 Anticipated Salary Range: $78,341\.00 - $128,500\.00
   

  

 Security Clearance: TS/SCI with Poly
   

  

 Level of Experience: Mid
   

  

 This opportunity resides with
 **Warfare Systems (WS)** 
 , a business group within HII’s Mission Technologies division. Warfare Sy"
linkedin_li-4336575503,scraped,Software Engineer Data/AI/Intelligent Systems I (Full Time) – United States,entry,llm,0,1.0,"Please note this posting is to advertise potential job opportunities. This exact role may not be open today but could open in the near future. When you apply, a Cisco representative may contact you directly if a relevant position opens.
   

  

 Applications are accepted until further notice.
   

  

 Please note this posting is to advertise potential job opportunities. This exact role may not b"
linkedin_li-4369178667,scraped,Cloud Engineer (Multiple Levels) - 27003,unknown,llm,0,3.0,"Requisition Number: 27003
   

  

 Required Travel: 0 - 10%
   

  

 Employment Type: Full Time/Salaried/Exempt
   

  

 Anticipated Salary Range: $75,850\.00 - $167,000\.00
   

  

 Security Clearance: Secret
   

  

 Level of Experience: College
   

  

 This opportunity resides with
 **Warfare Systems (WS)** 
 , a business group within HII’s Mission Technologies division. Warfare Systems "
linkedin_li-4384623601,scraped,Associate Software Engineer - Seeking 2025 & 2026 Grads,entry,llm,0,,"Veeva Systems is building the industry cloud for Life Sciences to help companies work in a more efficient and connected way. Learn more about our products, vision and values, and status as a public benefit corporation on our website.
   

  

**The Role**
 We are hiring recent university graduates to grow the next generation of Software Engineers through our Engineering Development Program.
   

 "
linkedin_li-4385793769,scraped,Software Engineer 1,entry,llm,0,2.0,"Lensa is a career site that helps job seekers find great jobs in the US. We are not a staffing firm or agency. Lensa does not hire directly for these jobs, but promotes jobs on LinkedIn on behalf of its direct clients, recruitment ad agencies, and marketing partners. Lensa partners with DirectEmployers to promote this job for Intuit Inc. Clicking ""Apply Now"" or ""Read more"" on Lensa redirects you t"
linkedin_li-4386955875,scraped,"Veeva, Associate Software Engineer - Seeking 2025 & 2026 Grads - Application via WayUp",entry,llm,0,,"This role is with Veeva. WayUp is partnering with Veeva to hire top talent.
   

  

 Veeva Systems is building the industry cloud for Life Sciences to help companies work in a more efficient and connected way. Learn more about our products, vision and values, and status as a public benefit corporation on our website .
   

  

 The Role
   

  

 We are hiring recent university graduates to grow "
linkedin_li-4387540282,scraped,Software Engineer 1,entry,llm,0,2.0,"Lensa is a career site that helps job seekers find great jobs in the US. We are not a staffing firm or agency. Lensa does not hire directly for these jobs, but promotes jobs on LinkedIn on behalf of its direct clients, recruitment ad agencies, and marketing partners. Lensa partners with DirectEmployers to promote this job for Intuit. Clicking ""Apply Now"" or ""Read more"" on Lensa redirects you to th"
linkedin_li-4394981412,scraped,Associate Quality Engineer,entry,llm,0,,"Abbott is a global healthcare leader that helps people live more fully at all stages of life. Our portfolio of life-changing technologies spans the spectrum of healthcare, with leading businesses and products in diagnostics, medical devices, nutritionals and branded generic medicines. Our 115,000 colleagues serve people in more than 160 countries.
   

  

***MAIN PURPOSE OF THE ROLE***
 The
 **As"
linkedin_li-4395461759,scraped,Senior Software Engineer,mid-senior,llm,0,,"**IMPORTANT:** 

**This is a high-bar, builder-focused role.** 

**We are ONLY considering candidates who have demonstrated exceptional builder ability, including owning and shipping real, customer-facing products.** 

**Experience limited to internal tools or purely execution-based roles will NOT be considered. Profiles without clear evidence of ownership, product impact, or independent building "
