company_name_canonical,source,period,n_postings,mean_desc_len,median_desc_len,entry_share,ai_share,ai_density_per_1k,scope_share,median_size
Boeing,scraped,2026-03,10,7515.2,7606.0,0.1,0.1,0.0392156862745098,0.0,
Booz Allen Hamilton,kaggle_arshkon,2024-04,9,6473.0,6456.0,0.0,0.0,0.0,0.0,39065.0
Booz Allen Hamilton,scraped,2026-03,50,5105.32,4990.0,0.0,0.0,0.0,0.0,
Box,kaggle_arshkon,2024-04,1,4983.0,4983.0,0.0,0.0,0.0,0.0,3371.0
Box,scraped,2026-03,7,7168.0,7194.0,0.0,0.14285714285714285,0.1187507421921387,0.0,
Brightpath Associates LLC,kaggle_arshkon,2024-04,3,2850.3333333333335,2966.0,0.0,0.0,0.0,0.0,75.0
Brightpath Associates LLC,scraped,2026-03,1,833.0,833.0,0.0,0.0,0.0,0.0,
Broadcom,kaggle_arshkon,2024-04,1,8204.0,8204.0,0.0,0.0,0.0,0.0,55209.0
Broadcom,scraped,2026-03,2,2900.0,2900.0,0.0,0.0,0.0,0.0,
Brooksource,kaggle_arshkon,2024-04,4,2758.75,2782.0,0.0,0.0,0.0,0.0,2135.0
Brooksource,scraped,2026-03,5,4037.2,3274.0,0.4,0.2,0.16556291390728478,0.0,
Bruker Daltonics,kaggle_arshkon,2024-04,1,5493.0,5493.0,0.0,0.0,0.0,0.0,902.0
Bruker Daltonics,scraped,2026-03,1,5659.0,5659.0,1.0,0.0,0.0,0.0,
ByteDance,kaggle_arshkon,2024-04,4,4429.25,4238.0,0.25,0.0,0.0,0.0,40692.0
ByteDance,scraped,2026-03,6,7362.833333333333,7158.5,1.0,0.3333333333333333,0.49796211353912007,0.0,
CACI International Inc,kaggle_arshkon,2024-04,11,4971.090909090909,4439.0,0.5454545454545454,0.0,0.0,0.0,19894.0
CACI International Inc,scraped,2026-03,4,5000.75,5214.0,0.0,0.0,0.0,0.0,
CBTS,kaggle_arshkon,2024-04,1,1720.0,1720.0,0.0,0.0,0.0,0.0,2113.0
CBTS,scraped,2026-03,2,1364.0,1364.0,0.0,0.0,0.0,0.0,
CBase Inc,kaggle_arshkon,2024-04,3,3367.3333333333335,2889.0,0.0,0.0,0.0,0.0,17.0
CBase Inc,scraped,2026-03,1,1310.0,1310.0,0.0,0.0,0.0,0.0,
CCC Intelligent Solutions,kaggle_arshkon,2024-04,1,3530.0,3530.0,0.0,0.0,0.0,0.0,2204.0
CCC Intelligent Solutions,scraped,2026-03,1,3895.0,3895.0,1.0,0.0,0.0,0.0,
CGI,kaggle_arshkon,2024-04,8,7367.375,7522.0,1.0,0.0,0.0,0.0,67195.0
CGI,scraped,2026-03,11,8065.454545454545,7940.0,0.7272727272727273,0.0,0.0,0.0,
CIBC US,kaggle_arshkon,2024-04,1,9158.0,9158.0,1.0,0.0,0.0,0.0,1573.0
CIBC US,scraped,2026-03,1,7603.0,7603.0,0.0,0.0,0.0,0.0,
CVS Health,kaggle_arshkon,2024-04,1,3101.0,3101.0,0.0,0.0,0.0,0.0,116525.0
CVS Health,scraped,2026-03,5,6177.4,6148.0,0.2,0.4,0.5240947417473116,0.2,
Cadence Design Systems,kaggle_arshkon,2024-04,2,2342.5,2342.5,0.5,0.0,0.0,0.0,9727.0
Cadence Design Systems,scraped,2026-03,1,5134.0,5134.0,1.0,0.0,0.0,0.0,
Calyptus,kaggle_arshkon,2024-04,4,1225.75,1311.0,0.0,0.0,0.0,0.0,18.0
Calyptus,scraped,2026-03,2,3864.0,3864.0,0.0,0.0,0.0,0.0,
Capgemini,kaggle_arshkon,2024-04,3,4306.666666666667,4415.0,0.0,0.0,0.0,0.0,296033.0
Capgemini,scraped,2026-03,22,6699.909090909091,7281.5,0.045454545454545456,0.0,0.0,0.0,
Capgemini Engineering,kaggle_arshkon,2024-04,1,5930.0,5930.0,0.0,0.0,0.0,0.0,49347.0
Capgemini Engineering,scraped,2026-03,1,8363.0,8363.0,0.0,0.0,0.0,0.0,
Capital One,kaggle_arshkon,2024-04,115,5815.713043478261,5787.0,0.09565217391304348,0.0,0.0,0.0,55249.0
Capital One,scraped,2026-03,47,6524.063829787234,6158.0,0.02127659574468085,0.2127659574468085,0.04377452302451581,0.0,
CarMax,kaggle_arshkon,2024-04,3,4692.333333333333,4706.0,0.0,0.0,0.0,0.0,15844.0
CarMax,scraped,2026-03,1,2897.0,2897.0,0.0,0.0,0.0,0.0,
Caterpillar Inc.,kaggle_arshkon,2024-04,3,4447.0,5126.0,0.0,0.0,0.0,0.0,51233.0
Caterpillar Inc.,scraped,2026-03,2,7955.0,7955.0,0.5,0.0,0.0,0.0,
Centene Corporation,kaggle_arshkon,2024-04,3,4395.666666666667,4379.0,0.0,0.0,0.0,0.3333333333333333,30740.0
Centene Corporation,scraped,2026-03,1,4800.0,4800.0,0.0,0.0,0.0,0.0,
Central Point Partners,kaggle_arshkon,2024-04,2,2945.5,2945.5,0.0,0.0,0.0,0.0,45.0
Central Point Partners,scraped,2026-03,1,4535.0,4535.0,0.0,0.0,0.0,0.0,
"Chart Industries, Inc.",kaggle_arshkon,2024-04,1,4825.0,4825.0,1.0,0.0,0.0,0.0,1970.0
"Chart Industries, Inc.",scraped,2026-03,1,7166.0,7166.0,0.0,0.0,0.0,0.0,
Chick-fil-A Corporate Support Center,kaggle_arshkon,2024-04,1,4504.0,4504.0,0.0,0.0,0.0,0.0,63379.0
Chick-fil-A Corporate Support Center,scraped,2026-03,1,6134.0,6134.0,0.0,0.0,0.0,0.0,
Chime,kaggle_arshkon,2024-04,1,4443.0,4443.0,0.0,0.0,0.0,0.0,1772.0
Chime,scraped,2026-03,4,7787.25,7765.0,0.0,0.0,0.0,0.0,
Cisco,kaggle_arshkon,2024-04,5,4954.8,4288.0,0.0,0.0,0.0,0.0,99409.0
Cisco,scraped,2026-03,10,7568.0,7375.0,0.7,0.0,0.0,0.0,
City Storage Systems,kaggle_arshkon,2024-04,1,3030.0,3030.0,1.0,0.0,0.0,0.0,90.0
City Storage Systems,scraped,2026-03,3,5106.333333333333,5250.0,0.0,0.0,0.0,0.0,
ClearanceJobs,kaggle_arshkon,2024-04,12,6084.166666666667,4271.0,0.4166666666666667,0.0,0.0,0.0,505.0
ClearanceJobs,scraped,2026-03,1,3122.0,3122.0,0.0,0.0,0.0,0.0,
Cloudflare,kaggle_arshkon,2024-04,7,8369.0,8093.0,0.0,0.0,0.0,0.0,4297.0
Cloudflare,scraped,2026-03,9,7898.888888888889,8191.0,0.0,0.1111111111111111,0.032215456976257204,0.0,
Cloudious LLC,kaggle_arshkon,2024-04,3,677.3333333333334,533.0,0.0,0.0,0.0,0.0,87.0
Cloudious LLC,scraped,2026-03,1,1380.0,1380.0,0.0,0.0,0.0,0.0,
CoBank,kaggle_arshkon,2024-04,1,8127.0,8127.0,0.0,0.0,0.0,0.0,1374.0
CoBank,scraped,2026-03,1,9041.0,9041.0,0.0,0.0,0.0,0.0,
Codebase Inc,kaggle_arshkon,2024-04,1,2460.0,2460.0,0.0,0.0,0.0,0.0,13.0
Codebase Inc,scraped,2026-03,1,3087.0,3087.0,0.0,1.0,6.289308176100629,0.0,
Cogent Communications,kaggle_arshkon,2024-04,6,4232.666666666667,4369.0,1.0,0.0,0.0,0.0,2388.0
Cogent Communications,scraped,2026-03,2,4334.0,4334.0,0.0,0.0,0.0,0.0,
Coinbase,kaggle_arshkon,2024-04,1,6580.0,6580.0,0.0,0.0,0.0,0.0,4556.0
Coinbase,scraped,2026-03,2,7617.5,7617.5,1.0,0.0,0.0,0.0,
Collins Aerospace,kaggle_arshkon,2024-04,3,8519.333333333334,7303.0,0.0,0.0,0.0,0.0,50706.0
Collins Aerospace,scraped,2026-03,2,9594.5,9594.5,0.0,0.0,0.0,0.0,
Comcast,kaggle_arshkon,2024-04,2,6090.5,6090.5,0.0,0.0,0.0,0.0,58143.0
Comcast,scraped,2026-03,1,9574.0,9574.0,0.0,0.0,0.0,0.0,
Compunnel Inc.,kaggle_arshkon,2024-04,23,1492.4347826086957,1471.0,0.0,0.0,0.0,0.0,2215.0
Compunnel Inc.,scraped,2026-03,3,1584.6666666666667,1910.0,0.0,0.0,0.0,0.0,
Confidential,kaggle_arshkon,2024-04,5,1939.8,1709.0,0.0,0.0,0.0,0.0,27287.0
Confidential,scraped,2026-03,1,1333.0,1333.0,0.0,0.0,0.0,0.0,
Confidential Jobs,kaggle_arshkon,2024-04,2,3422.0,3422.0,0.0,0.0,0.0,0.0,723.0
Confidential Jobs,scraped,2026-03,1,3477.0,3477.0,0.0,1.0,0.6839945280437756,0.0,
Congensys Corp,kaggle_arshkon,2024-04,1,373.0,373.0,0.0,0.0,0.0,0.0,23.0
Congensys Corp,scraped,2026-03,1,2280.0,2280.0,0.0,0.0,0.0,0.0,
Constellation,kaggle_arshkon,2024-04,1,5697.0,5697.0,1.0,0.0,0.0,0.0,8473.0
Constellation,scraped,2026-03,1,2989.0,2989.0,1.0,0.0,0.0,0.0,
ConsultNet Technology Services and Solutions,kaggle_arshkon,2024-04,2,1457.0,1457.0,0.0,0.0,0.0,0.0,220.0
ConsultNet Technology Services and Solutions,scraped,2026-03,3,3298.0,2867.0,0.3333333333333333,0.0,0.0,0.0,
Cox Automotive Inc.,kaggle_arshkon,2024-04,1,5571.0,5571.0,1.0,0.0,0.0,1.0,9776.0
Cox Automotive Inc.,scraped,2026-03,2,4786.5,4786.5,0.0,0.5,0.26567481402763016,0.0,
CrowdStrike,kaggle_arshkon,2024-04,4,4807.75,4898.5,0.0,0.0,0.0,0.0,8128.0
CrowdStrike,scraped,2026-03,3,6630.333333333333,5861.0,0.0,0.0,0.0,0.0,
Cullerton Group,kaggle_arshkon,2024-04,1,3133.0,3133.0,0.0,0.0,0.0,0.0,8.0
Cullerton Group,scraped,2026-03,1,2819.0,2819.0,0.0,0.0,0.0,0.0,
CyberCoders,kaggle_arshkon,2024-04,2,2711.5,2711.5,0.0,0.0,0.0,0.0,643.0
CyberCoders,scraped,2026-03,5,3254.8,3775.0,0.0,0.0,0.0,0.0,
Cynet Systems,kaggle_arshkon,2024-04,1,1452.0,1452.0,0.0,0.0,0.0,0.0,691.0
Cynet Systems,scraped,2026-03,4,1919.25,1748.0,0.25,0.25,0.6067961165048543,0.0,
DAT Freight & Analytics,kaggle_arshkon,2024-04,1,7615.0,7615.0,0.0,0.0,0.0,0.0,1052.0
DAT Freight & Analytics,scraped,2026-03,1,8176.0,8176.0,0.0,1.0,0.12493753123438281,1.0,
DNV,kaggle_arshkon,2024-04,2,6480.0,6480.0,0.0,0.0,0.0,1.0,20468.0
DNV,scraped,2026-03,2,7264.0,7264.0,0.0,0.0,0.0,1.0,
Databricks,kaggle_arshkon,2024-04,3,4515.0,4515.0,0.0,0.0,0.0,0.0,8558.0
Databricks,scraped,2026-03,2,5636.0,5636.0,0.0,0.0,0.0,0.0,
Dell Technologies,kaggle_arshkon,2024-04,1,4847.0,4847.0,0.0,0.0,0.0,0.0,137389.0
Dell Technologies,scraped,2026-03,3,3977.6666666666665,3520.0,0.0,0.3333333333333333,0.2632964718272775,0.0,
Deloitte,kaggle_arshkon,2024-04,11,3458.5454545454545,3405.0,0.09090909090909091,0.0,0.0,0.0,435078.0
Deloitte,scraped,2026-03,64,8045.75,7577.0,0.0,0.53125,0.8954909397387274,0.53125,
Delta Air Lines,kaggle_arshkon,2024-04,3,4679.333333333333,4769.0,0.6666666666666666,0.0,0.0,0.0,72654.0
Delta Air Lines,scraped,2026-03,2,6697.5,6697.5,0.0,0.0,0.0,0.0,
Delta Dental Ins.,kaggle_arshkon,2024-04,2,6910.0,6910.0,1.0,0.0,0.0,0.0,5363.0
Delta Dental Ins.,scraped,2026-03,1,10867.0,10867.0,0.0,0.0,0.0,0.0,
Dexian,kaggle_arshkon,2024-04,6,2378.8333333333335,2267.0,0.16666666666666666,0.0,0.0,0.0,3690.0
Dexian,scraped,2026-03,1,2426.0,2426.0,0.0,0.0,0.0,0.0,
Digitive,kaggle_arshkon,2024-04,2,1499.0,1499.0,0.0,0.0,0.0,0.0,81.0
Digitive,scraped,2026-03,1,1238.0,1238.0,0.0,0.0,0.0,0.0,
Docusign,kaggle_arshkon,2024-04,3,7059.666666666667,7090.0,1.0,0.0,0.0,0.0,7463.0
Docusign,scraped,2026-03,1,7066.0,7066.0,1.0,0.0,0.0,0.0,
DoorDash,kaggle_arshkon,2024-04,1,5910.0,5910.0,1.0,0.0,0.0,0.0,56182.0
DoorDash,scraped,2026-03,11,8400.09090909091,8030.0,0.0,0.0,0.0,0.0,
Draper,kaggle_arshkon,2024-04,1,3456.0,3456.0,1.0,0.0,0.0,0.0,2279.0
Draper,scraped,2026-03,2,6103.0,6103.0,0.0,0.0,0.0,0.0,
Dunham-Bush USA,kaggle_arshkon,2024-04,1,1957.0,1957.0,1.0,0.0,0.0,0.0,82.0
Dunham-Bush USA,scraped,2026-03,1,3527.0,3527.0,0.0,0.0,0.0,1.0,
E-Solutions,kaggle_arshkon,2024-04,2,1748.5,1748.5,0.0,0.0,0.0,0.0,1571.0
E-Solutions,scraped,2026-03,1,1779.0,1779.0,1.0,1.0,2.2962112514351323,0.0,
EPAM Systems,kaggle_arshkon,2024-04,1,6035.0,6035.0,0.0,0.0,0.0,0.0,56199.0
EPAM Systems,scraped,2026-03,1,3265.0,3265.0,0.0,0.0,0.0,0.0,
EPITEC,kaggle_arshkon,2024-04,10,2900.3,2944.5,0.1,0.1,0.024102193299590263,0.0,556.0
EPITEC,scraped,2026-03,2,3060.5,3060.5,0.0,0.5,1.2266928361138372,0.0,
EVONA,kaggle_arshkon,2024-04,4,1494.0,1221.5,0.0,0.0,0.0,0.0,63.0
EVONA,scraped,2026-03,2,2251.0,2251.0,0.0,0.0,0.0,0.0,
EXL,kaggle_arshkon,2024-04,1,783.0,783.0,0.0,0.0,0.0,0.0,33376.0
EXL,scraped,2026-03,1,1743.0,1743.0,1.0,0.0,0.0,0.0,
Early Warning®,kaggle_arshkon,2024-04,1,7906.0,7906.0,0.0,0.0,0.0,0.0,1338.0
Early Warning®,scraped,2026-03,7,7600.857142857143,8248.0,0.0,0.0,0.0,0.0,
Eaton,kaggle_arshkon,2024-04,1,5042.0,5042.0,0.0,0.0,0.0,0.0,47227.0
Eaton,scraped,2026-03,2,6063.0,6063.0,0.0,0.0,0.0,0.0,
Eclaro,kaggle_arshkon,2024-04,2,3378.5,3378.5,1.0,0.0,0.0,0.0,1042.0
Eclaro,scraped,2026-03,2,4381.0,4381.0,0.0,0.0,0.0,0.0,
Eliassen Group,kaggle_arshkon,2024-04,12,2578.4166666666665,2478.5,0.0,0.0,0.0,0.0,1218.0
Eliassen Group,scraped,2026-03,1,4315.0,4315.0,0.0,0.0,0.0,0.0,
Empower Professionals Inc,kaggle_arshkon,2024-04,6,1279.5,1420.0,0.0,0.0,0.0,0.0,80.0
Empower Professionals Inc,scraped,2026-03,4,2388.0,2427.5,0.0,0.0,0.0,0.0,
Envision Technology Solutions,kaggle_arshkon,2024-04,1,1487.0,1487.0,0.0,0.0,0.0,0.0,34.0
Envision Technology Solutions,scraped,2026-03,3,1858.0,1737.0,0.0,0.0,0.0,0.0,
Epsilon,kaggle_arshkon,2024-04,1,5679.0,5679.0,0.0,0.0,0.0,0.0,9403.0
Epsilon,scraped,2026-03,1,8562.0,8562.0,0.0,0.0,0.0,0.0,
Equifax,kaggle_arshkon,2024-04,4,3971.5,4002.0,0.0,0.0,0.0,0.0,15130.0
Equifax,scraped,2026-03,2,3980.5,3980.5,0.0,0.5,0.2639218791237794,0.0,
Ernst & Young,kaggle_arshkon,2024-04,1,9546.0,9546.0,0.0,0.0,0.0,0.0,351055.0
Ernst & Young,scraped,2026-03,2,8730.0,8730.0,0.0,0.0,0.0,0.0,
Esri,kaggle_arshkon,2024-04,4,4345.25,4436.0,0.0,0.0,0.0,0.0,6535.0
Esri,scraped,2026-03,4,5476.5,5480.5,0.5,0.0,0.0,0.0,
Exact Sciences,kaggle_arshkon,2024-04,1,6573.0,6573.0,0.0,0.0,0.0,0.0,5451.0
Exact Sciences,scraped,2026-03,1,7491.0,7491.0,0.0,0.0,0.0,0.0,
Expedia Group,kaggle_arshkon,2024-04,1,7508.0,7508.0,0.0,0.0,0.0,0.0,22722.0
Expedia Group,scraped,2026-03,4,7641.25,7572.0,0.0,0.0,0.0,0.0,
Experis,kaggle_arshkon,2024-04,26,2799.0384615384614,2799.0,0.7307692307692307,0.0,0.0,0.0,9287.0
Experis,scraped,2026-03,4,3207.75,3643.5,0.25,0.0,0.0,0.0,
Extend Information Systems Inc.,kaggle_arshkon,2024-04,3,2149.0,2063.0,0.0,0.0,0.0,0.0,51.0
Extend Information Systems Inc.,scraped,2026-03,2,4477.0,4477.0,0.0,0.0,0.0,0.0,
