spec,archetype,archetype_name,period,n,share_of_period
exclude_aggregators,nmf_6,Embedded Firmware Systems,2024-01,1243,0.08793152235427278
exclude_aggregators,nmf_6,Embedded Firmware Systems,2024-04,211,0.050745550745550747
exclude_aggregators,nmf_6,Embedded Firmware Systems,2026-03,415,0.08053561032408306
exclude_aggregators,nmf_6,Embedded Firmware Systems,2026-04,416,0.08120242045676361
exclude_aggregators,nmf_7,Large Employer Data Platforms,2024-01,317,0.02242501414827391
exclude_aggregators,nmf_7,Large Employer Data Platforms,2024-04,178,0.04280904280904281
exclude_aggregators,nmf_7,Large Employer Data Platforms,2026-03,258,0.050067921599068504
exclude_aggregators,nmf_7,Large Employer Data Platforms,2026-04,212,0.041382002732773766
exclude_title_lookup_llm,nmf_0,Product Backend Engineering,2024-01,1083,0.07235919021848065
exclude_title_lookup_llm,nmf_0,Product Backend Engineering,2024-04,358,0.08661988870070167
exclude_title_lookup_llm,nmf_0,Product Backend Engineering,2026-03,1021,0.17226252741690568
exclude_title_lookup_llm,nmf_0,Product Backend Engineering,2026-04,841,0.1445017182130584
exclude_title_lookup_llm,nmf_1,Enterprise Application Support,2024-01,4795,0.32037148393131554
exclude_title_lookup_llm,nmf_1,Enterprise Application Support,2024-04,1203,0.2910718606339221
exclude_title_lookup_llm,nmf_1,Enterprise Application Support,2026-03,981,0.16551375063269783
exclude_title_lookup_llm,nmf_1,Enterprise Application Support,2026-04,993,0.17061855670103093
exclude_title_lookup_llm,nmf_2,Java Dotnet Web Services,2024-01,2693,0.17992917752388587
exclude_title_lookup_llm,nmf_2,Java Dotnet Web Services,2024-04,1143,0.27655456085168156
exclude_title_lookup_llm,nmf_2,Java Dotnet Web Services,2026-03,784,0.1322760249704741
exclude_title_lookup_llm,nmf_2,Java Dotnet Web Services,2026-04,840,0.14432989690721648
exclude_title_lookup_llm,nmf_3,Cloud DevOps Infrastructure,2024-01,1370,0.09153470969466158
exclude_title_lookup_llm,nmf_3,Cloud DevOps Infrastructure,2024-04,659,0.15944834260827487
exclude_title_lookup_llm,nmf_3,Cloud DevOps Infrastructure,2026-03,941,0.15876497384848995
exclude_title_lookup_llm,nmf_3,Cloud DevOps Infrastructure,2026-04,969,0.16649484536082473
exclude_title_lookup_llm,nmf_4,Defense Clearance Systems,2024-01,2501,0.16710095543529097
exclude_title_lookup_llm,nmf_4,Defense Clearance Systems,2024-04,180,0.04355189934672151
exclude_title_lookup_llm,nmf_4,Defense Clearance Systems,2026-03,428,0.07221191159102412
exclude_title_lookup_llm,nmf_4,Defense Clearance Systems,2026-04,442,0.07594501718213058
exclude_title_lookup_llm,nmf_5,AI LLM Platforms,2024-01,393,0.026257767087592705
exclude_title_lookup_llm,nmf_5,AI LLM Platforms,2024-04,200,0.04839099927413501
exclude_title_lookup_llm,nmf_5,AI LLM Platforms,2026-03,1001,0.16888813902480176
exclude_title_lookup_llm,nmf_5,AI LLM Platforms,2026-04,1068,0.18350515463917524
exclude_title_lookup_llm,nmf_6,Embedded Firmware Systems,2024-01,1163,0.0777042827553952
exclude_title_lookup_llm,nmf_6,Embedded Firmware Systems,2024-04,213,0.051536414226953785
exclude_title_lookup_llm,nmf_6,Embedded Firmware Systems,2026-03,487,0.08216635734773073
exclude_title_lookup_llm,nmf_6,Embedded Firmware Systems,2026-04,436,0.07491408934707904
exclude_title_lookup_llm,nmf_7,Large Employer Data Platforms,2024-01,969,0.06474243335337743
exclude_title_lookup_llm,nmf_7,Large Employer Data Platforms,2024-04,177,0.04282603435760948
exclude_title_lookup_llm,nmf_7,Large Employer Data Platforms,2026-03,284,0.047916315167875825
exclude_title_lookup_llm,nmf_7,Large Employer Data Platforms,2026-04,231,0.039690721649484534
