period_label,bucket,n_bucket,n_denominator_all,n_denominator_known,share_of_all,share_of_all_lo,share_of_all_hi,share_of_known,share_of_known_lo,share_of_known_hi,pp_change_share_of_all,pp_change_share_of_known,base_share_of_all,comp_share_of_all,base_share_of_known,comp_share_of_known,base_n_all,comp_n_all
pooled-2026,C_5-7,8590.0,25815.0,20510.0,0.33275227580863836,0.3270295423395353,0.33852477721534313,0.4188200877620673,0.41208387559810483,0.42558670371856716,,,,,,,,
pooled-2026,D_8-10,3624.0,25815.0,20510.0,0.14038349796629868,0.13619935691721394,0.1446746501673755,0.1766942954656265,0.1715351371529171,0.18197453939293987,,,,,,,,
pooled-2026,E_11plus,744.0,25815.0,20510.0,0.02882045322486926,0.026848650547010522,0.030932464891498992,0.036274987810823986,0.03380173845180094,0.03892191312829943,,,,,,,,
pooled-2026,unknown,5305.0,25815.0,20510.0,0.2055006779004455,0.20061559200144638,0.2104733980196223,,,,,,,,,,,
delta_pooled-2026_minus_pooled-2024,A_0-2,,,,,,,,,,0.03968511917648357,0.050432878658803415,0.07307877778264872,0.11276389695913229,0.09149788682145013,0.14193076548025355,22811.0,25815.0
delta_pooled-2026_minus_pooled-2024,B_3-4,,,,,,,,,,0.0194179689091048,0.025500457366732815,0.1603612292315111,0.1797791981406159,0.20077940611449585,0.22627986348122867,22811.0,25815.0
delta_pooled-2026_minus_pooled-2024,C_5-7,,,,,,,,,,-0.018788647430149963,-0.021324815909923467,0.3515409232387883,0.33275227580863836,0.4401449036719908,0.4188200877620673,22811.0,25815.0
delta_pooled-2026_minus_pooled-2024,D_8-10,,,,,,,,,,-0.0331731194551208,-0.04060632476599982,0.17355661742141948,0.14038349796629868,0.21730062023162633,0.1766942954656265,22811.0,25815.0
delta_pooled-2026_minus_pooled-2024,E_11plus,,,,,,,,,,-0.01133561183146321,-0.014002195349612924,0.04015606505633247,0.02882045322486926,0.05027718316043691,0.036274987810823986,22811.0,25815.0
delta_pooled-2026_minus_pooled-2024,unknown,,,,,,,,,,0.004194290631145597,,0.2013063872692999,0.2055006779004455,,,22811.0,25815.0
delta_pooled-2026_minus_arshkon-2024,A_0-2,,,,,,,,,,0.016967011958065506,0.011936555868209547,0.09579688500106678,0.11276389695913229,0.129994209612044,0.14193076548025355,4687.0,25815.0
delta_pooled-2026_minus_arshkon-2024,B_3-4,,,,,,,,,,0.017841924831462935,0.006534640551292353,0.16193727330915297,0.1797791981406159,0.2197452229299363,0.22627986348122867,4687.0,25815.0
delta_pooled-2026_minus_arshkon-2024,C_5-7,,,,,,,,,,0.02701299695222703,0.003938790715165175,0.30573927885641133,0.33275227580863836,0.41488129704690213,0.4188200877620673,4687.0,25815.0
delta_pooled-2026_minus_arshkon-2024,D_8-10,,,,,,,,,,-0.010032546411768317,-0.027416879983128556,0.150416044378067,0.14038349796629868,0.20411117544875507,0.1766942954656265,4687.0,25815.0
delta_pooled-2026_minus_arshkon-2024,E_11plus,,,,,,,,,,0.005777995362697297,0.005006892848461508,0.023042457862171965,0.02882045322486926,0.03126809496236248,0.036274987810823986,4687.0,25815.0
delta_pooled-2026_minus_arshkon-2024,unknown,,,,,,,,,,-0.05756738269268444,,0.2630680605931299,0.2055006779004455,,,4687.0,25815.0
delta_pooled-2026_minus_asaniczka-2024,A_0-2,,,,,,,,,,0.04556018916835762,0.05943838485038562,0.06720370779077467,0.11276389695913229,0.08249238062986793,0.14193076548025355,18124.0,25815.0
delta_pooled-2026_minus_asaniczka-2024,B_3-4,,,,,,,,,,0.019825545525299193,0.029937161144621832,0.15995365261531672,0.1797791981406159,0.19634270233660683,0.22627986348122867,18124.0,25815.0
delta_pooled-2026_minus_asaniczka-2024,C_5-7,,,,,,,,,,-0.030633290291560256,-0.027234771702883576,0.3633855661001986,0.33275227580863836,0.4460548594649509,0.4188200877620673,18124.0,25815.0
delta_pooled-2026_minus_asaniczka-2024,D_8-10,,,,,,,,,,-0.039157442223504896,-0.04369175262106498,0.17954094018980357,0.14038349796629868,0.2203860480866915,0.1766942954656265,18124.0,25815.0
delta_pooled-2026_minus_asaniczka-2024,E_11plus,,,,,,,,,,-0.015761316803821975,-0.018449021671058843,0.04458177002869124,0.02882045322486926,0.05472400948188283,0.036274987810823986,18124.0,25815.0
delta_pooled-2026_minus_asaniczka-2024,unknown,,,,,,,,,,0.020166314625230303,,0.18533436327521519,0.2055006779004455,,,18124.0,25815.0
