period_label,bucket,n_bucket,n_denominator_all,n_denominator_known,share_of_all,share_of_all_lo,share_of_all_hi,share_of_known,share_of_known_lo,share_of_known_hi,pp_change_share_of_all,pp_change_share_of_known,base_share_of_all,comp_share_of_all,base_share_of_known,comp_share_of_known,base_n_all,comp_n_all
pooled-2026,B_3-4,2561.0,14143.0,11489.0,0.1810789790002121,0.17481937850060053,0.18751178027722554,0.22290886935329446,0.2153918098566533,0.2306111631406501,,,,,,,,
pooled-2026,C_5-7,4671.0,14143.0,11489.0,0.33026939121827054,0.32256532738710547,0.33806563296012243,0.40656279919923405,0.39761378483721344,0.41557427594890417,,,,,,,,
pooled-2026,D_8-10,2065.0,14143.0,11489.0,0.14600862617549318,0.1402851434483901,0.1519243558135956,0.17973713987292192,0.17282348880220835,0.1868648853594306,,,,,,,,
pooled-2026,E_11plus,434.0,14143.0,11489.0,0.030686558721629075,0.027969137967538093,0.03365885591070619,0.03777526329532596,0.03444074789142838,0.04141877405051579,,,,,,,,
pooled-2026,unknown,2654.0,14143.0,11489.0,0.1876546701548469,0.18130511374282005,0.1941738561942261,,,,,,,,,,,
delta_pooled-2026_minus_pooled-2024,A_0-2,,,,,,,,,,0.05052273958958392,0.06172159387111675,0.07377903513996427,0.12430177472954819,0.09129433440810686,0.1530159282792236,13432.0,14143.0
delta_pooled-2026_minus_pooled-2024,B_3-4,,,,,,,,,,0.018109949816174004,0.021250647335791018,0.1629690291840381,0.1810789790002121,0.20165822201750344,0.22290886935329446,13432.0,14143.0
delta_pooled-2026_minus_pooled-2024,C_5-7,,,,,,,,,,-0.012494158513712772,-0.017573543499982913,0.3427635497319833,0.33026939121827054,0.42413634269921696,0.40656279919923405,13432.0,14143.0
delta_pooled-2026_minus_pooled-2024,D_8-10,,,,,,,,,,-0.03691275559937282,-0.04661016551629965,0.182921381774866,0.14600862617549318,0.22634730538922157,0.17973713987292192,13432.0,14143.0
delta_pooled-2026_minus_pooled-2024,E_11plus,,,,,,,,,,-0.015025174452879559,-0.018788532190625214,0.045711733174508634,0.030686558721629075,0.056563795485951175,0.03777526329532596,13432.0,14143.0
delta_pooled-2026_minus_pooled-2024,unknown,,,,,,,,,,-0.004200600839792762,,0.19185527099463967,0.1876546701548469,,,13432.0,14143.0
delta_pooled-2026_minus_arshkon-2024,A_0-2,,,,,,,,,,0.024267749550916,0.02099976303449977,0.10003402517863219,0.12430177472954819,0.13201616524472384,0.1530159282792236,2939.0,14143.0
delta_pooled-2026_minus_arshkon-2024,B_3-4,,,,,,,,,,0.01945938049731996,0.009617445913689598,0.16161959850289215,0.1810789790002121,0.21329142343960486,0.22290886935329446,2939.0,14143.0
delta_pooled-2026_minus_arshkon-2024,C_5-7,,,,,,,,,,0.020980517451683278,-0.0016096300778202788,0.30928887376658726,0.33026939121827054,0.4081724292770543,0.40656279919923405,2939.0,14143.0
delta_pooled-2026_minus_arshkon-2024,D_8-10,,,,,,,,,,-0.014930468754755205,-0.032656214415358265,0.16093909493024838,0.14600862617549318,0.21239335428828018,0.17973713987292192,2939.0,14143.0
delta_pooled-2026_minus_arshkon-2024,E_11plus,,,,,,,,,,0.004827422961166332,0.003648635544989183,0.025859135760462743,0.030686558721629075,0.03412662775033678,0.03777526329532596,2939.0,14143.0
delta_pooled-2026_minus_arshkon-2024,unknown,,,,,,,,,,-0.05460460170633036,,0.24225927186117727,0.1876546701548469,,,2939.0,14143.0
