group_type,metric,group_value,category,n,share
period,llm_extraction_coverage,2026-04,not_selected,14276,0.8225397557040793
period,llm_extraction_coverage,2026-04,labeled,1987,0.11448490435584235
period,llm_extraction_coverage,2026-04,deferred,1091,0.06286010601521087
period,llm_extraction_coverage,2026-04,skipped_short,2,0.00011523392486748098
period,llm_classification_coverage,2024-01,not_selected,12028,0.663467372717745
period,llm_classification_coverage,2024-01,rule_sufficient,3709,0.20458933200948756
period,llm_classification_coverage,2024-01,labeled,2345,0.1293507639693309
period,llm_classification_coverage,2024-01,deferred,47,0.002592531303436483
period,llm_classification_coverage,2024-04,labeled,2910,0.6203368151780004
period,llm_classification_coverage,2024-04,rule_sufficient,1770,0.3773182690257941
period,llm_classification_coverage,2024-04,deferred,7,0.0014922191430398635
period,llm_classification_coverage,2024-04,not_selected,4,0.0008526966531656363
period,llm_classification_coverage,2026-03,not_selected,16134,0.8150131339664579
period,llm_classification_coverage,2026-03,labeled,2169,0.10956758941200243
period,llm_classification_coverage,2026-03,rule_sufficient,1461,0.07380278844210952
period,llm_classification_coverage,2026-03,deferred,32,0.0016164881794301878
period,llm_classification_coverage,2026-04,not_selected,14455,0.8328531919797189
period,llm_classification_coverage,2026-04,rule_sufficient,1224,0.07052316201889837
period,llm_classification_coverage,2026-04,labeled,1026,0.05911500345701775
period,llm_classification_coverage,2026-04,deferred,651,0.03750864254436506
seniority_final,seniority_final,associate,associate,51,1.0
seniority_final,seniority_final,director,director,363,1.0
seniority_final,seniority_final,entry,entry,1375,1.0
seniority_final,seniority_final,mid-senior,mid-senior,28528,1.0
seniority_final,seniority_final,unknown,unknown,29655,1.0
seniority_final,seniority_3level,associate,mid,51,1.0
seniority_final,seniority_3level,director,senior,363,1.0
seniority_final,seniority_3level,entry,junior,1375,1.0
seniority_final,seniority_3level,mid-senior,senior,28528,1.0
seniority_final,seniority_3level,unknown,unknown,29655,1.0
seniority_final,is_aggregator,associate,false,47,0.9215686274509803
seniority_final,is_aggregator,associate,true,4,0.0784313725490196
seniority_final,is_aggregator,director,false,326,0.8980716253443526
seniority_final,is_aggregator,director,true,37,0.10192837465564739
seniority_final,is_aggregator,entry,false,1190,0.8654545454545455
seniority_final,is_aggregator,entry,true,185,0.13454545454545455
seniority_final,is_aggregator,mid-senior,false,24356,0.8537577117218171
seniority_final,is_aggregator,mid-senior,true,4172,0.14624228827818284
seniority_final,is_aggregator,unknown,false,24583,0.8289664474793458
seniority_final,is_aggregator,unknown,true,5072,0.1710335525206542
seniority_final,text_source,associate,llm,51,1.0
seniority_final,text_source,director,raw,226,0.6225895316804407
seniority_final,text_source,director,llm,137,0.3774104683195592
seniority_final,text_source,entry,raw,766,0.5570909090909091
seniority_final,text_source,entry,llm,609,0.4429090909090909
seniority_final,text_source,mid-senior,raw,14376,0.5039259674705553
seniority_final,text_source,mid-senior,llm,14152,0.49607403252944476
seniority_final,text_source,unknown,raw,18385,0.6199629067610858
seniority_final,text_source,unknown,llm,11270,0.38003709323891416
seniority_final,llm_extraction_coverage,associate,labeled,51,1.0
seniority_final,llm_extraction_coverage,director,not_selected,216,0.5950413223140496
seniority_final,llm_extraction_coverage,director,labeled,137,0.3774104683195592
seniority_final,llm_extraction_coverage,director,deferred,10,0.027548209366391185
seniority_final,llm_extraction_coverage,entry,not_selected,743,0.5403636363636364
seniority_final,llm_extraction_coverage,entry,labeled,609,0.4429090909090909
seniority_final,llm_extraction_coverage,entry,deferred,23,0.016727272727272726
seniority_final,llm_extraction_coverage,mid-senior,labeled,14152,0.49607403252944476
seniority_final,llm_extraction_coverage,mid-senior,not_selected,13870,0.48618900729108244
seniority_final,llm_extraction_coverage,mid-senior,deferred,504,0.017666853617498597
seniority_final,llm_extraction_coverage,mid-senior,skipped_short,2,7.010656197420079e-05
seniority_final,llm_extraction_coverage,unknown,not_selected,17707,0.5970999831394369
seniority_final,llm_extraction_coverage,unknown,labeled,11270,0.38003709323891416
seniority_final,llm_extraction_coverage,unknown,deferred,670,0.02259315461136402
seniority_final,llm_extraction_coverage,unknown,skipped_short,8,0.0002697690102849435
seniority_final,llm_classification_coverage,associate,labeled,51,1.0
seniority_final,llm_classification_coverage,director,not_selected,246,0.6776859504132231
seniority_final,llm_classification_coverage,director,rule_sufficient,96,0.2644628099173554
seniority_final,llm_classification_coverage,director,labeled,21,0.05785123966942149
seniority_final,llm_classification_coverage,entry,not_selected,859,0.6247272727272727
seniority_final,llm_classification_coverage,entry,rule_sufficient,277,0.20145454545454544
seniority_final,llm_classification_coverage,entry,labeled,237,0.17236363636363636
seniority_final,llm_classification_coverage,entry,deferred,2,0.0014545454545454545
seniority_final,llm_classification_coverage,mid-senior,not_selected,19498,0.6834688726864835
seniority_final,llm_classification_coverage,mid-senior,rule_sufficient,7791,0.2731001121704992
seniority_final,llm_classification_coverage,mid-senior,labeled,1239,0.043431015143017386
seniority_final,llm_classification_coverage,unknown,not_selected,22018,0.7424717585567358
seniority_final,llm_classification_coverage,unknown,labeled,6902,0.23274321362333503
seniority_final,llm_classification_coverage,unknown,deferred,735,0.024785027819929185
