group_type,metric,group_value,n,nonnull_n,nonnull_share,mean_value,median_value,p25,p75,p90,p95,sd_value,skewness,kurtosis,bimodality_coefficient
period,swe_confidence,2024-01,18129,18129,1.0,0.9869327920475728,1.0,1.0,1.0,1.0,1.0,0.034155869657954425,-2.281885444675942,6.376667170329116,0.9733926856815331
period,swe_confidence,2024-04,4691,4691,1.0,0.9883493027791812,1.0,1.0,1.0,1.0,1.0,0.03279206951008806,-2.512740607822736,7.5214391553766,0.9724023835216636
period,swe_confidence,2026-03,19796,19796,1.0,0.9933331704869528,1.0,1.0,1.0,1.0,1.0,0.025335028534088824,-3.618645233960646,14.44502185453893,0.9757405333960971
period,swe_confidence,2026-04,17356,17356,1.0,0.9931615989118634,1.0,1.0,1.0,1.0,1.0,0.02580212426235857,-3.592170969960195,14.279699326769338,0.973668419709672
seniority_final,description_length,associate,51,51,1.0,4897.21568627451,4968.0,3132.0,6798.5,7655.0,9027.0,2404.5629732966067,0.1582355071382904,2.410111727609532,0.42530745109314744
seniority_final,description_length,director,363,363,1.0,6075.812672176308,5826.0,4757.5,7203.5,9035.8,10141.499999999993,2169.388868842758,0.6063843829412537,3.9189055004970403,0.3490010207445874
seniority_final,description_length,entry,1375,1375,1.0,4517.792,4385.0,2990.5,6025.5,7345.200000000001,7972.4,2096.849265376935,0.33113013953782605,2.8872845304503643,0.3843220706541365
seniority_final,description_length,mid-senior,28528,28528,1.0,4876.807697700505,4806.0,3229.75,6335.0,7817.0,8760.649999999998,2281.8118055069817,0.44845576042092655,3.5925850202479728,0.3343310074181088
seniority_final,description_length,unknown,29655,29655,1.0,4095.6817737312426,3890.0,2263.0,5616.5,7202.0,8093.299999999999,2296.835511325416,0.6259386350253537,3.7117120589793675,0.374974985317184
seniority_final,yoe_extracted,associate,37,37,1.0,3.054054054054054,3.0,2.0,4.0,5.0,6.0,1.6490055243143422,1.0093069673261206,3.847192598999486,0.5247204298578763
seniority_final,yoe_extracted,director,273,273,1.0,7.358974358974359,6.0,5.0,10.0,12.0,15.0,3.6656295667543453,0.8667832337943323,3.482679540980744,0.5028637156474579
seniority_final,yoe_extracted,entry,361,361,1.0,2.0941828254847645,2.0,1.0,2.0,4.0,5.0,1.5677281722408225,3.9100720742956447,32.99925841850528,0.4936069598779927
seniority_final,yoe_extracted,mid-senior,21349,21349,1.0,5.949131106843412,5.0,4.0,8.0,10.0,10.0,2.8324218715646006,1.171261250077023,5.491840760191362,0.4318866878160072
seniority_final,yoe_extracted,unknown,18900,18900,1.0,4.56941798941799,4.0,3.0,5.0,8.0,10.0,2.7746549650415195,1.7287037636388025,8.025975152573157,0.4969385808701713
seniority_final,yoe_min_extracted,associate,37,37,1.0,2.918918918918919,2.0,2.0,4.0,5.0,5.199999999999996,1.622384705343382,1.0869646721992583,4.216644487153641,0.517352649780018
seniority_final,yoe_min_extracted,director,273,273,1.0,6.384615384615385,5.0,5.0,9.0,10.0,13.0,3.4292295613760513,0.9080058634627405,3.7378999882456663,0.48810151524118484
seniority_final,yoe_min_extracted,entry,361,361,1.0,1.8614958448753463,2.0,1.0,2.0,3.0,4.0,1.391516750651532,5.300135337371898,54.21427029646975,0.536601054212707
seniority_final,yoe_min_extracted,mid-senior,21349,21349,1.0,5.108717035926741,5.0,3.0,7.0,9.0,10.0,2.813154907903848,1.0109318762562818,4.766881436720729,0.4241731801540306
seniority_final,yoe_min_extracted,unknown,18900,18900,1.0,3.9634391534391535,3.0,2.0,5.0,7.0,8.0,2.4279199542510255,1.4939132554783832,6.602217664765992,0.48949867741274594
seniority_final,yoe_max_extracted,associate,37,37,1.0,3.864864864864865,3.0,2.0,5.0,6.799999999999997,9.199999999999996,2.382367661733947,1.1856000199971322,4.058404415734547,0.5927569460772412
seniority_final,yoe_max_extracted,director,273,273,1.0,9.505494505494505,9.0,6.0,12.0,16.0,18.0,4.192185376248288,0.687663181331589,2.8307767045129006,0.5203097258116388
seniority_final,yoe_max_extracted,entry,361,361,1.0,2.8753462603878117,2.0,2.0,4.0,5.0,6.0,1.7868272484719416,2.3803193724499723,16.823471274243694,0.3962274019551473
seniority_final,yoe_max_extracted,mid-senior,21349,21349,1.0,7.1328399456649025,7.0,5.0,8.0,10.0,12.0,2.9692956398888097,1.2132765701953288,5.164885023006157,0.47862440785683175
seniority_final,yoe_max_extracted,unknown,18900,18900,1.0,5.525449735449736,5.0,3.0,7.0,10.0,10.0,3.090267264935361,1.4441578354174236,6.201723424851467,0.4975378039647808
seniority_final,yoe_match_count,associate,51,51,1.0,1.3725490196078431,1.0,0.0,1.0,3.0,6.0,1.7995642174007072,2.5624679142920077,10.2016823026228,0.7416660887225228
seniority_final,yoe_match_count,director,363,363,1.0,1.6887052341597797,1.0,1.0,2.0,3.8000000000000114,5.0,1.6997104818954742,2.480269081314417,12.206609124783384,0.5858903682926911
seniority_final,yoe_match_count,entry,1375,1375,1.0,0.4370909090909091,0.0,0.0,1.0,1.0,2.0,0.889166711468316,3.3506677182505467,20.20990348284714,0.6049991366116019
seniority_final,yoe_match_count,mid-senior,28528,28528,1.0,1.7237450925406619,1.0,1.0,2.0,4.0,6.0,1.8940624983679033,2.4323767555314757,11.506020128960708,0.6011163376501553
seniority_final,yoe_match_count,unknown,29655,29655,1.0,1.239352554375316,1.0,0.0,2.0,3.0,4.0,1.4551716862424722,2.7111990677498614,15.900000592536694,0.5251949731931084
seniority_final,company_size,associate,15,15,1.0,66454.73333333334,2637.0,578.0,70026.5,114567.0,259010.6999999995,152505.18923277268,3.3959028478568682,15.247525510120335,0.8219140964062885
seniority_final,company_size,director,13,13,1.0,17060.76923076923,1333.0,133.0,41038.0,51417.200000000004,54030.2,22756.38438312,0.8067147680018442,1.7058780565526996,0.9677061678419401
seniority_final,company_size,entry,170,170,1.0,35931.958823529414,2456.0,126.75,13277.75,68478.7,122352.0,120841.09720098512,5.182364642392869,30.442317919284513,0.9150716893695227
seniority_final,company_size,mid-senior,2052,2052,1.0,28402.430799220274,819.0,101.75,12974.0,72592.00000000006,174692.0,86080.90095472155,5.262054069678597,35.68610212179107,0.803932380575197
seniority_final,company_size,unknown,2396,2396,1.0,27935.271702838065,481.0,83.0,6313.0,41451.0,126669.0,102119.0792324426,5.26408680052931,32.12971945955097,0.8935842057273959
seniority_final,posting_age_days,associate,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
seniority_final,posting_age_days,director,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,
seniority_final,posting_age_days,entry,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,
seniority_final,posting_age_days,mid-senior,154,154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,
seniority_final,posting_age_days,unknown,138,138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,
seniority_final,swe_confidence,associate,51,51,1.0,0.9900943947773354,1.0,1.0,1.0,1.0,1.0,0.03035124205855474,-2.7885595763272777,9.016574461392732,0.9733257955450838
seniority_final,swe_confidence,director,363,363,1.0,0.999724517906336,1.0,1.0,1.0,1.0,1.0,0.005248638810814776,-19.052558883257582,365.9999999999983,0.9945355191256805
seniority_final,swe_confidence,entry,1375,1375,1.0,0.994868320352381,1.0,1.0,1.0,1.0,1.0,0.022458788579791226,-4.2154278274327055,19.17599332921234,0.9788192687624906
seniority_final,swe_confidence,mid-senior,28528,28528,1.0,0.9919875185487488,1.0,1.0,1.0,1.0,1.0,0.0277132459625898,-3.2515604166186365,11.905231770117876,0.9720638259196678
seniority_final,swe_confidence,unknown,29655,29655,1.0,0.9896823010037018,1.0,1.0,1.0,1.0,1.0,0.030830785507963556,-2.706303284873901,8.5220284049061,0.9767718522185547
seniority_3level,description_length,junior,1375,1375,1.0,4517.792,4385.0,2990.5,6025.5,7345.200000000001,7972.4,2096.8492653769345,0.33113013953782605,2.8872845304503643,0.3843220706541365
seniority_3level,description_length,mid,51,51,1.0,4897.21568627451,4968.0,3132.0,6798.5,7655.0,9027.0,2404.562973296607,0.1582355071382904,2.410111727609532,0.42530745109314744
seniority_3level,description_length,senior,28891,28891,1.0,4891.8725554671,4822.0,3248.5,6348.5,7832.0,8790.0,2284.3053713062636,0.44767237068829224,3.5926756286384003,0.3341271730486348
seniority_3level,description_length,unknown,29655,29655,1.0,4095.6817737312426,3890.0,2263.0,5616.5,7202.0,8093.299999999999,2296.835511325416,0.6259386350253537,3.7117120589793675,0.374974985317184
seniority_3level,yoe_extracted,junior,361,361,1.0,2.0941828254847645,2.0,1.0,2.0,4.0,5.0,1.5677281722408225,3.9100720742956447,32.99925841850528,0.4936069598779927
seniority_3level,yoe_extracted,mid,37,37,1.0,3.054054054054054,3.0,2.0,4.0,5.0,6.0,1.6490055243143424,1.0093069673261206,3.847192598999486,0.5247204298578763
seniority_3level,yoe_extracted,senior,21622,21622,1.0,5.9669318286929975,5.0,4.0,8.0,10.0,10.0,2.848707783727765,1.1735270577818473,5.465659230686347,0.4349275457935214
seniority_3level,yoe_extracted,unknown,18900,18900,1.0,4.56941798941799,4.0,3.0,5.0,8.0,10.0,2.774654965041519,1.7287037636388025,8.025975152573157,0.4969385808701713
seniority_3level,yoe_min_extracted,junior,361,361,1.0,1.8614958448753463,2.0,1.0,2.0,3.0,4.0,1.391516750651532,5.300135337371898,54.21427029646975,0.536601054212707
seniority_3level,yoe_min_extracted,mid,37,37,1.0,2.918918918918919,2.0,2.0,4.0,5.0,5.199999999999996,1.622384705343382,1.0869646721992583,4.216644487153641,0.517352649780018
seniority_3level,yoe_min_extracted,senior,21622,21622,1.0,5.124826565535103,5.0,3.0,7.0,10.0,10.0,2.8252701273873146,1.0148263455273616,4.763713063833726,0.42611141443158745
seniority_3level,yoe_min_extracted,unknown,18900,18900,1.0,3.9634391534391535,3.0,2.0,5.0,7.0,8.0,2.427919954251025,1.4939132554783832,6.602217664765992,0.48949867741274594
seniority_3level,yoe_max_extracted,junior,361,361,1.0,2.8753462603878117,2.0,2.0,4.0,5.0,6.0,1.7868272484719416,2.3803193724499723,16.823471274243694,0.3962274019551473
seniority_3level,yoe_max_extracted,mid,37,37,1.0,3.864864864864865,3.0,2.0,5.0,6.799999999999997,9.199999999999996,2.3823676617339475,1.1856000199971322,4.058404415734547,0.5927569460772412
seniority_3level,yoe_max_extracted,senior,21622,21622,1.0,7.1627971510498565,7.0,5.0,9.0,10.0,12.950000000000728,2.999444578252398,1.220250069997815,5.154287191691621,0.482900960067145
seniority_3level,yoe_max_extracted,unknown,18900,18900,1.0,5.525449735449736,5.0,3.0,7.0,10.0,10.0,3.09026726493536,1.4441578354174236,6.201723424851467,0.4975378039647808
seniority_3level,yoe_match_count,junior,1375,1375,1.0,0.4370909090909091,0.0,0.0,1.0,1.0,2.0,0.889166711468316,3.3506677182505467,20.20990348284714,0.6049991366116019
seniority_3level,yoe_match_count,mid,51,51,1.0,1.3725490196078431,1.0,0.0,1.0,3.0,6.0,1.7995642174007072,2.5624679142920077,10.2016823026228,0.7416660887225228
seniority_3level,yoe_match_count,senior,28891,28891,1.0,1.7233048354158735,1.0,1.0,2.0,4.0,6.0,1.8917219501833842,2.4332944901215203,11.516643780155858,0.6009495654959023
seniority_3level,yoe_match_count,unknown,29655,29655,1.0,1.239352554375316,1.0,0.0,2.0,3.0,4.0,1.4551716862424724,2.7111990677498614,15.900000592536694,0.5251949731931084
seniority_3level,company_size,junior,170,170,1.0,35931.958823529414,2456.0,126.75,13277.75,68478.7,122352.0,120841.09720098512,5.182364642392869,30.442317919284513,0.9150716893695227
seniority_3level,company_size,mid,15,15,1.0,66454.73333333334,2637.0,578.0,70026.5,114567.0,259010.6999999995,152505.18923277268,3.3959028478568682,15.247525510120335,0.8219140964062885
seniority_3level,company_size,senior,2065,2065,1.0,28331.030508474578,819.0,102.0,13118.0,71130.4000000003,173570.19999999975,85831.61629118105,5.276966372394113,35.892131266546954,0.803696327787154
seniority_3level,company_size,unknown,2396,2396,1.0,27935.271702838065,481.0,83.0,6313.0,41451.0,126669.0,102119.0792324426,5.26408680052931,32.12971945955097,0.8935842057273959
seniority_3level,posting_age_days,junior,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,
seniority_3level,posting_age_days,mid,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
seniority_3level,posting_age_days,senior,158,158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,
seniority_3level,posting_age_days,unknown,138,138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,
seniority_3level,swe_confidence,junior,1375,1375,1.0,0.994868320352381,1.0,1.0,1.0,1.0,1.0,0.022458788579791212,-4.2154278274327055,19.17599332921234,0.9788192687624906
seniority_3level,swe_confidence,mid,51,51,1.0,0.9900943947773354,1.0,1.0,1.0,1.0,1.0,0.03035124205855475,-2.7885595763272777,9.016574461392732,0.9733257955450838
seniority_3level,swe_confidence,senior,28891,28891,1.0,0.9920847298175453,1.0,1.0,1.0,1.0,1.0,0.027558333442798396,-3.2767141408386466,12.072735354097526,0.972178650200298
seniority_3level,swe_confidence,unknown,29655,29655,1.0,0.9896823010037021,1.0,1.0,1.0,1.0,1.0,0.03083078550796354,-2.706303284873901,8.5220284049061,0.9767718522185547
