title_normalized,arshkon_n,asaniczka_n,source_n,scraped_n,top_employers_2024
computer scientist,1,10,11,0,"[""U.S. Census Bureau"", ""USAJOBS"", ""navXcom"", ""Pacific Fusion"", ""LinQuest""]"
software engineer 3 with security clearance,0,11,11,1,"[""ClearanceJobs""]"
senior lead software engineer backend,0,11,11,0,"[""Capital One"", ""Jobs for Humanity"", ""ClickJobs.io""]"
lead software engineer full stack (enterprise data),0,11,11,0,"[""Capital One"", ""Jobs for Humanity"", ""ClickJobs.io""]"
engineer systems 3,0,11,11,0,"[""HII"", ""Newport News Shipbuilding, A Division of HII"", ""Mission Technologies, a division of HII""]"
senior data engineer (hybrid),1,10,11,2,"[""Capital One"", ""Jobs for Humanity"", ""Fannie Mae"", ""ClickJobs.io""]"
systems engineer 4,1,10,11,2,"[""Blackstone Talent Group"", ""CRG"", ""Crane Company"", ""LinQuest"", ""Advanced IT Concepts""]"
senior applications developer,2,8,10,0,"[""Oracle"", ""Commonwealth of Pennsylvania"", ""CyanStar Technologies"", ""cFive Solutions"", ""City of Sacramento""]"
mobile architect,1,9,10,0,"[""OSO Ventures Inc"", ""TEKsystems"", ""Photon"", ""Compunnel Inc."", ""Peterson Technology Partners""]"
senior lead software engineer frontend,1,9,10,0,"[""Capital One"", ""Jobs for Humanity""]"
software engineering lead,2,8,10,0,"[""UST"", ""LexisNexis Risk Solutions"", ""Zipline"", ""FedEx Dataworks"", ""firstPRO, Inc""]"
senior programmer,1,9,10,1,"[""Broward County Public Schools"", ""Roche"", ""RedBalloon"", ""AVI-SPL"", ""Brown University""]"
lead software engineer full stack(javascript/java/aws),0,10,10,0,"[""Capital One"", ""ClickJobs.io"", ""Jobs for Humanity""]"
senior software engineer full stack (java python),0,10,10,0,"[""Capital One"", ""ClickJobs.io""]"
lead software engineer full stack (java python aws),0,10,10,1,"[""Capital One"", ""ClickJobs.io""]"
technical systems engineer (electronic security),0,10,10,0,"[""Global Guardian""]"
programmer analyst senior,0,10,10,1,"[""FIS"", ""Jobs for Humanity"", ""FIS Global"", ""ClickJobs.io"", ""Metropolitan St. Louis Sewer District""]"
