archetype,period_bucket,n,total,share,variant
17,2024,33,2350,0.014042553191489362,no_aggregator
17,2026-03,7,2208,0.003170289855072464,no_aggregator
17,2026-04,7,2270,0.0030837004405286344,no_aggregator
18,2024,17,2350,0.00723404255319149,no_aggregator
18,2026-03,7,2208,0.003170289855072464,no_aggregator
18,2026-04,8,2270,0.003524229074889868,no_aggregator
19,2024,19,2350,0.008085106382978723,no_aggregator
19,2026-03,6,2208,0.002717391304347826,no_aggregator
19,2026-04,5,2270,0.0022026431718061676,no_aggregator
20,2026-03,6,2208,0.002717391304347826,no_aggregator
20,2026-04,29,2270,0.01277533039647577,no_aggregator
21,2024,7,2350,0.0029787234042553193,no_aggregator
21,2026-03,11,2208,0.004981884057971014,no_aggregator
21,2026-04,13,2270,0.005726872246696035,no_aggregator
22,2024,8,2350,0.003404255319148936,no_aggregator
22,2026-03,9,2208,0.004076086956521739,no_aggregator
22,2026-04,7,2270,0.0030837004405286344,no_aggregator
-1,2024,762,2664,0.28603603603603606,llm_text_only
-1,2026-03,683,2431,0.2809543397778692,llm_text_only
-1,2026-04,360,1287,0.27972027972027974,llm_text_only
0,2024,347,2664,0.13025525525525525,llm_text_only
0,2026-03,273,2431,0.11229946524064172,llm_text_only
0,2026-04,173,1287,0.13442113442113443,llm_text_only
1,2024,109,2664,0.04091591591591592,llm_text_only
1,2026-03,368,2431,0.15137803373097491,llm_text_only
1,2026-04,176,1287,0.13675213675213677,llm_text_only
2,2024,241,2664,0.09046546546546547,llm_text_only
2,2026-03,237,2431,0.09749074454956808,llm_text_only
2,2026-04,123,1287,0.09557109557109557,llm_text_only
3,2024,240,2664,0.09009009009009009,llm_text_only
3,2026-03,197,2431,0.08103661044837515,llm_text_only
3,2026-04,110,1287,0.08547008547008547,llm_text_only
4,2024,212,2664,0.07957957957957958,llm_text_only
4,2026-03,150,2431,0.061703002879473466,llm_text_only
4,2026-04,70,1287,0.05439005439005439,llm_text_only
5,2024,135,2664,0.05067567567567568,llm_text_only
5,2026-03,95,2431,0.0390785684903332,llm_text_only
5,2026-04,36,1287,0.027972027972027972,llm_text_only
6,2024,74,2664,0.027777777777777776,llm_text_only
6,2026-03,81,2431,0.03331962155491567,llm_text_only
6,2026-04,33,1287,0.02564102564102564,llm_text_only
7,2024,86,2664,0.03228228228228228,llm_text_only
7,2026-03,65,2431,0.026737967914438502,llm_text_only
7,2026-04,26,1287,0.020202020202020204,llm_text_only
8,2024,51,2664,0.019144144144144143,llm_text_only
8,2026-03,52,2431,0.0213903743315508,llm_text_only
8,2026-04,40,1287,0.03108003108003108,llm_text_only
9,2024,117,2664,0.04391891891891892,llm_text_only
9,2026-03,17,2431,0.006993006993006993,llm_text_only
9,2026-04,13,1287,0.010101010101010102,llm_text_only
10,2024,38,2664,0.014264264264264264,llm_text_only
10,2026-03,53,2431,0.021801727684080625,llm_text_only
10,2026-04,29,1287,0.022533022533022532,llm_text_only
11,2024,57,2664,0.021396396396396396,llm_text_only
11,2026-03,33,2431,0.013574660633484163,llm_text_only
11,2026-04,28,1287,0.021756021756021756,llm_text_only
12,2024,18,2664,0.006756756756756757,llm_text_only
12,2026-03,34,2431,0.013986013986013986,llm_text_only
12,2026-04,19,1287,0.014763014763014764,llm_text_only
13,2024,20,2664,0.0075075075075075074,llm_text_only
13,2026-03,29,2431,0.01192924722336487,llm_text_only
13,2026-04,9,1287,0.006993006993006993,llm_text_only
15,2024,27,2664,0.010135135135135136,llm_text_only
15,2026-03,12,2431,0.0049362402303578775,llm_text_only
15,2026-04,10,1287,0.00777000777000777,llm_text_only
16,2024,35,2664,0.013138138138138139,llm_text_only
16,2026-03,12,2431,0.0049362402303578775,llm_text_only
16,2026-04,9,1287,0.006993006993006993,llm_text_only
17,2024,33,2664,0.012387387387387387,llm_text_only
17,2026-03,8,2431,0.003290826820238585,llm_text_only
17,2026-04,4,1287,0.003108003108003108,llm_text_only
18,2024,20,2664,0.0075075075075075074,llm_text_only
18,2026-03,9,2431,0.003702180172768408,llm_text_only
18,2026-04,10,1287,0.00777000777000777,llm_text_only
19,2024,26,2664,0.00975975975975976,llm_text_only
19,2026-03,8,2431,0.003290826820238585,llm_text_only
19,2026-04,2,1287,0.001554001554001554,llm_text_only
20,2026-03,1,2431,0.00041135335252982314,llm_text_only
21,2024,7,2664,0.002627627627627628,llm_text_only
21,2026-03,1,2431,0.00041135335252982314,llm_text_only
22,2024,9,2664,0.0033783783783783786,llm_text_only
22,2026-03,13,2431,0.0053475935828877,llm_text_only
22,2026-04,7,1287,0.005439005439005439,llm_text_only
