company_name_canonical,n_swe_postings,junior_share_j3,junior_share_j1_j2,is_aggregator,specialist_category
City of New York,13,0.5455,0.0769,False,direct-employer
24-MAG,13,0.6667,0.0,False,direct-employer
Delta Air Lines,13,0.375,0.0,False,direct-employer
ImpetusIT,13,1.0,0.0,False,direct-employer
Benchling,13,0.5,0.2308,False,direct-employer
Ring,13,0.1111,0.0,False,direct-employer
LangChain,13,0.0,0.0,False,direct-employer
Hopper,13,0.0,0.0,False,direct-employer
Sam's Club,12,0.625,0.0,False,direct-employer
Global Payments Inc.,12,0.5714,0.0833,False,direct-employer
Skyrocket Ventures,12,1.0,0.0,False,direct-employer
Avride,12,0.0,0.0,False,direct-employer
RTX,12,0.5714,0.0,False,direct-employer
AARATECH,12,0.8333,0.0833,False,direct-employer
Lawrence Livermore National Laboratory,12,1.0,0.0,False,direct-employer
MeeBoss,11,0.3333,0.0909,False,direct-employer
Blackhawk Network,11,0.375,0.0909,False,direct-employer
Flexton Inc.,11,0.5,0.0909,False,direct-employer
HIRECLOUT,10,0.125,0.1,False,direct-employer
Tinder,10,0.6667,0.5,False,direct-employer
Eli Lilly and Company,10,0.1429,0.0,False,direct-employer
Indotronix Avani Group,10,0.0,0.0,False,direct-employer
Kastle Systems,10,0.3333,0.1,False,direct-employer
Macquarie Group,10,0.6,0.0,False,direct-employer
InfiCare Technologies,10,0.0,0.0,True,aggregator
"Sabre Systems, LLC",10,0.0,0.0,False,direct-employer
Fusion Technology LLC,10,0.6667,0.0,False,direct-employer
Fintal Partners,9,0.0,0.0,False,direct-employer
ConsultAdd Inc,9,1.0,0.2222,False,staffing
edkey,9,1.0,0.2222,False,direct-employer
Swift,9,0.5,0.1111,False,direct-employer
Bosch USA,9,0.0,0.0,False,direct-employer
Nutanix,9,0.25,0.2222,False,direct-employer
Anyscale,9,0.5,0.0,False,direct-employer
Cogent Communications,9,0.0,0.0,False,direct-employer
Seneca Resources,9,0.3333,0.0,False,direct-employer
David Joseph & Company,9,0.5,0.0,False,direct-employer
Arcadia,9,0.3333,0.0,False,direct-employer
Honey,9,0.0,0.0,False,direct-employer
Aretum,9,0.25,0.0,False,direct-employer
Clevanoo LLC,9,0.0,0.0,False,direct-employer
Xylem,9,0.375,0.0,False,direct-employer
Top Prospect Group,9,0.25,0.0,False,direct-employer
Stand8 Technology Consulting,8,0.25,0.0,False,staffing
SSTech LLC,8,0.0,0.0,True,aggregator
INNOVIT USA INC,8,0.25,0.0,True,aggregator
Stryker,8,0.6667,0.125,False,direct-employer
"3 Key Consulting, Inc.",8,0.625,0.0,False,staffing
HackerRank,8,0.5,0.0,False,direct-employer
"Newport News Shipbuilding, A Division of HII",8,0.625,0.0,False,direct-employer
Inspira Financial,8,0.6667,0.0,False,direct-employer
Mirage,8,1.0,0.25,False,direct-employer
Henkel,7,0.2,0.1429,False,direct-employer
CNH,7,0.4,0.0,False,direct-employer
Rillet,7,0.3333,0.0,False,direct-employer
Generac,7,0.5,0.1429,False,direct-employer
Axle,7,0.3333,0.1429,False,direct-employer
Hallmark Global Solutions Ltd,7,1.0,0.1429,False,staffing
RoviSys,7,0.6667,0.0,False,direct-employer
Retell AI,7,0.6,0.0,False,direct-employer
Optimal Inc.,7,0.3333,0.0,False,direct-employer
LexisNexis Risk Solutions,7,0.5,0.2857,False,staffing
Alldus,7,0.3333,0.0,False,direct-employer
Modine Manufacturing Company,7,0.3333,0.0,False,staffing
The University of Texas at Austin,7,0.3333,0.0,False,college-jobsite
Mach Industries,7,0.25,0.0,False,direct-employer
Venteon,7,0.0,0.0,False,direct-employer
Nigel Frank International,7,0.0,0.0,False,direct-employer
"Eccalon, LLC",7,0.0,0.0,False,direct-employer
Tencent,7,0.6667,0.1429,False,direct-employer
Hays,7,0.25,0.1429,True,aggregator
SHEIN Technology LLC,7,0.0,0.0,False,direct-employer
Kaynes,7,0.0,0.0,False,direct-employer
HealthStream,6,0.25,0.0,False,direct-employer
Phoenix Operations Group,6,0.3333,0.0,False,direct-employer
TD Securities,6,0.0,0.0,False,direct-employer
Inclusively,6,0.4,0.0,False,direct-employer
Client Server Technology Solutions LLC,6,0.0,0.0,False,staffing
Pariveda,6,0.0,0.0,False,direct-employer
Alexander Chapman,6,0.0,0.0,False,direct-employer
Hilton,6,0.0,0.0,False,direct-employer
Bosch México,6,0.2,0.1667,False,direct-employer
Mujin US,6,0.2,0.0,False,direct-employer
PsiQuantum,6,0.0,0.0,False,direct-employer
Divergent,6,0.5,0.0,False,direct-employer
Barclays Corporate & Investment Bank,6,0.5,0.0,False,direct-employer
Collibra,6,0.3333,0.0,False,direct-employer
Snyk,6,0.0,0.3333,False,direct-employer
Pragmatike,6,0.0,0.0,False,direct-employer
Wing,6,0.0,0.0,False,direct-employer
Tata Technologies,6,1.0,0.0,False,staffing
"Next Phase Solutions and Services, Inc.",6,0.6667,0.5,False,staffing
Wonder,6,0.6667,0.0,False,direct-employer
Stellar Science Ltd Co,6,0.0,0.0,False,direct-employer
Millennium Space Systems,6,1.0,0.1667,False,direct-employer
Omnicell,6,0.6667,0.0,False,direct-employer
U-Haul,6,0.0,0.3333,False,direct-employer
Klarity,6,1.0,0.3333,False,direct-employer
CGI Technologies and Solutions,5,-1.0,1.0,True,aggregator
"Monarch Recruiters, LLC",5,0.5,0.4,False,staffing
Bentley Systems,5,0.0,0.0,False,direct-employer
University of Washington,5,0.0,0.0,False,college-jobsite
Meltwater,5,1.0,0.0,False,direct-employer
Avathon,5,0.0,0.2,False,direct-employer
Allied Universal,5,0.0,0.0,False,college-jobsite
Colgate-Palmolive,5,1.0,0.0,False,direct-employer
TBG | The Bachrach Group,5,0.5,0.0,False,direct-employer
Auger,5,0.3333,0.0,False,direct-employer
A1,5,0.0,0.0,False,direct-employer
Rad Hires,5,0.0,0.0,False,direct-employer
"Qorvo, Inc.",5,0.25,0.0,False,direct-employer
Dark Wolf,5,0.0,0.0,False,direct-employer
Orchard,5,0.0,0.0,False,direct-employer
Amerit Consulting,5,0.0,0.0,False,staffing
Lunar Outpost,5,0.0,0.0,False,direct-employer
Schonfeld,5,0.0,0.0,False,direct-employer
Sysco,5,0.0,0.2,False,direct-employer
"Spatial Front, Inc",5,0.0,0.0,False,direct-employer
Algo Capital Group,5,0.6667,0.0,False,direct-employer
Enfabrica,5,0.0,0.0,False,direct-employer
EliseAI,5,0.75,0.2,False,direct-employer
ZOLL Medical Corporation,5,0.3333,0.0,False,direct-employer
XPENG,5,0.0,0.0,False,direct-employer
Kensho Technologies,5,0.6667,0.0,False,direct-employer
NextPath Workforce Solutions,5,0.3333,0.0,False,staffing
Cartesia,5,1.0,0.0,False,direct-employer
Reevo,5,0.6667,0.2,False,direct-employer
"Safran Defense & Space, Inc.",5,0.3333,0.0,False,direct-employer
Mariana Minerals,5,1.0,0.2,False,direct-employer
Prometheus Group,5,0.6667,0.2,False,direct-employer
Intelletec,5,0.0,0.0,False,tech-giant-intern
Coda Search│Staffing,5,0.0,0.0,False,staffing
Stellar IT Solutions,5,0.0,0.0,False,staffing
Zealthy,5,0.8,0.2,False,direct-employer
Optimal Staffing,5,1.0,0.0,False,staffing
Vanderbilt University Medical Center,5,0.75,0.2,False,college-jobsite
International,5,0.3333,0.2,False,direct-employer
Securian Financial,5,1.0,0.0,False,direct-employer
WIDIA,5,0.0,0.0,False,direct-employer
Innovative Information Technologies,5,0.0,0.0,True,aggregator
Gotion Inc.,5,0.0,0.0,False,direct-employer
Ascensus,5,1.0,0.2,False,direct-employer
Novaflow (YC S25),5,1.0,0.4,False,direct-employer
Valeo,5,1.0,0.0,False,direct-employer
Amazon Music,5,0.25,0.0,False,tech-giant-intern
HealthPartners,5,0.0,0.0,False,direct-employer
micro1,5,0.0,0.0,False,direct-employer
BlackSky,5,0.0,0.4,False,direct-employer
Futurex,5,0.0,0.0,False,direct-employer
John Galt Staffing,5,0.3333,0.0,False,staffing
Smith+Nephew,5,0.4,0.0,False,direct-employer
Lark,5,1.0,0.4,False,direct-employer
Shields Group Search,5,0.3333,0.0,False,direct-employer
SkillStorm,5,1.0,1.0,False,direct-employer
Wolverine Trading,5,0.6667,0.2,False,direct-employer
Bell Flight,5,0.8,0.0,False,direct-employer
Plaud,5,0.0,0.0,False,direct-employer
Artisan,5,0.3333,0.0,False,direct-employer
