column,source,value,count
llm_classification_coverage,scraped,rule_sufficient,10884
company_name_canonical_method,kaggle_arshkon,passthrough,4965
company_name_canonical_method,kaggle_arshkon,exact_normalized,47
company_name_canonical_method,kaggle_arshkon,fuzzy,4
company_name_canonical_method,kaggle_arshkon,alias,3
company_name_canonical_method,kaggle_asaniczka,passthrough,22983
company_name_canonical_method,kaggle_asaniczka,exact_normalized,151
company_name_canonical_method,kaggle_asaniczka,alias,69
company_name_canonical_method,kaggle_asaniczka,fuzzy,10
company_name_canonical_method,scraped,passthrough,22731
company_name_canonical_method,scraped,alias,839
company_name_canonical_method,scraped,exact_normalized,514
company_name_canonical_method,scraped,fuzzy,11
metro_source,kaggle_arshkon,city_state_lookup,2639
metro_source,kaggle_arshkon,unresolved,1954
metro_source,kaggle_arshkon,manual_alias,346
metro_source,kaggle_arshkon,city_state_reference,80
metro_source,kaggle_asaniczka,city_state_lookup,13946
metro_source,kaggle_asaniczka,unresolved,6269
metro_source,kaggle_asaniczka,manual_alias,2033
metro_source,kaggle_asaniczka,city_state_reference,965
metro_source,scraped,search_metro,18655
metro_source,scraped,unresolved,5438
metro_source,scraped,city_state_lookup,2
dedup_method,kaggle_arshkon,stage4_title_company_deduplicated,5019
dedup_method,kaggle_asaniczka,stage4_title_company_deduplicated,23213
dedup_method,scraped,stage4_title_company_deduplicated,24095
yoe_resolution_rule,kaggle_arshkon,no_valid_mentions,1773
yoe_resolution_rule,kaggle_arshkon,required_total_role,871
yoe_resolution_rule,kaggle_arshkon,degree_ladder_parallel_min_path,781
yoe_resolution_rule,kaggle_arshkon,overall_total_role,484
yoe_resolution_rule,kaggle_arshkon,range_primary,413
yoe_resolution_rule,kaggle_arshkon,required_subskill_fallback,237
yoe_resolution_rule,kaggle_arshkon,preferred_total_role,220
yoe_resolution_rule,kaggle_arshkon,subskill_only_abstain,206
yoe_resolution_rule,kaggle_asaniczka,required_total_role,7671
yoe_resolution_rule,kaggle_asaniczka,no_valid_mentions,5908
yoe_resolution_rule,kaggle_asaniczka,degree_ladder_parallel_min_path,2940
yoe_resolution_rule,kaggle_asaniczka,overall_total_role,2651
yoe_resolution_rule,kaggle_asaniczka,range_primary,1711
yoe_resolution_rule,kaggle_asaniczka,required_subskill_fallback,1161
yoe_resolution_rule,kaggle_asaniczka,subskill_only_abstain,550
yoe_resolution_rule,kaggle_asaniczka,preferred_total_role,329
yoe_resolution_rule,scraped,overall_total_role,7575
yoe_resolution_rule,scraped,no_valid_mentions,5910
yoe_resolution_rule,scraped,degree_ladder_parallel_min_path,3434
yoe_resolution_rule,scraped,required_total_role,2168
yoe_resolution_rule,scraped,range_primary,1931
yoe_resolution_rule,scraped,subskill_only_abstain,1660
yoe_resolution_rule,scraped,required_subskill_fallback,640
yoe_resolution_rule,scraped,overall_primary,494
seniority_imputed,kaggle_arshkon,unknown,2803
seniority_imputed,kaggle_arshkon,mid-senior,2031
seniority_imputed,kaggle_arshkon,entry,103
seniority_imputed,kaggle_arshkon,associate,70
seniority_imputed,kaggle_arshkon,director,12
seniority_imputed,kaggle_asaniczka,mid-senior,15675
seniority_imputed,kaggle_asaniczka,unknown,7144
seniority_imputed,kaggle_asaniczka,associate,169
seniority_imputed,kaggle_asaniczka,entry,134
seniority_imputed,kaggle_asaniczka,director,91
seniority_imputed,scraped,mid-senior,11873
seniority_imputed,scraped,unknown,11038
seniority_imputed,scraped,entry,674
seniority_imputed,scraped,associate,336
seniority_imputed,scraped,director,174
