period,metro,n,n_junior,junior_rate
2024-04,Dallas-Fort Worth Metro,245,2.0,0.00816326530612245
2024-04,San Francisco Bay Area,358,1.0,0.002793296089385475
2024-04,Seattle Metro,173,0.0,0.0
2024-04,San Diego Metro,53,0.0,0.0
2024-04,Philadelphia Metro,80,0.0,0.0
2024-04,Boston Metro,132,0.0,0.0
2024-04,Minneapolis-Saint Paul,54,0.0,0.0
2024-04,Detroit Metro,67,0.0,0.0
2024-04,Tampa Bay Metro,42,0.0,0.0
2024-04,Pittsburgh Metro,40,0.0,0.0
2024-04,Salt Lake City Metro,31,0.0,0.0
2024-04,Raleigh-Durham-Chapel Hill,51,0.0,0.0
2024-04,Richmond Metro,33,0.0,0.0
2024-04,Chicago Metro,151,0.0,0.0
2024-04,Columbus Metro,39,0.0,0.0
2026-03,Nashville Metro,76,2.0,0.02631578947368421
2026-03,Raleigh-Durham-Chapel Hill,157,4.0,0.025477707006369428
2026-03,Washington DC Metro,764,18.0,0.02356020942408377
2026-03,Philadelphia Metro,256,6.0,0.0234375
2026-03,San Diego Metro,158,3.0,0.0189873417721519
2026-03,Portland Metro,53,1.0,0.018867924528301886
2026-03,Boston Metro,436,6.0,0.013761467889908258
2026-03,Tampa Bay Metro,73,1.0,0.0136986301369863
2026-03,Miami Metro,74,1.0,0.013513513513513514
2026-03,Los Angeles Metro,465,6.0,0.012903225806451613
2026-03,unknown,3239,29.0,0.008953380673047236
2026-03,Houston Metro,144,1.0,0.006944444444444444
2026-03,Minneapolis-Saint Paul,168,1.0,0.005952380952380952
2026-03,Dallas-Fort Worth Metro,543,3.0,0.0055248618784530384
2026-03,Salt Lake City Metro,485,2.0,0.004123711340206186
2026-03,New York City Metro,570,2.0,0.0035087719298245615
2026-03,Chicago Metro,291,1.0,0.003436426116838488
2026-03,Atlanta Metro,309,1.0,0.003236245954692557
2026-03,San Francisco Bay Area,1499,3.0,0.0020013342228152103
2026-03,Seattle Metro,649,1.0,0.0015408320493066256
2026-03,Columbus Metro,141,0.0,0.0
2026-03,Pittsburgh Metro,132,0.0,0.0
2026-03,Denver Metro,223,0.0,0.0
2026-03,Charlotte Metro,278,0.0,0.0
2026-03,Austin Metro,299,0.0,0.0
2026-03,Detroit Metro,162,0.0,0.0
2026-03,Phoenix Metro,164,0.0,0.0
2026-04,Miami Metro,115,3.0,0.02608695652173913
2026-04,Washington DC Metro,1140,28.0,0.02456140350877193
2026-04,San Diego Metro,159,3.0,0.018867924528301886
2026-04,Columbus Metro,165,2.0,0.012121212121212121
2026-04,Austin Metro,417,5.0,0.011990407673860911
2026-04,Houston Metro,173,2.0,0.011560693641618497
2026-04,Tampa Bay Metro,87,1.0,0.011494252873563218
2026-04,Minneapolis-Saint Paul,176,2.0,0.011363636363636364
2026-04,unknown,3493,36.0,0.010306326939593472
2026-04,Los Angeles Metro,573,5.0,0.008726003490401396
2026-04,Chicago Metro,371,3.0,0.008086253369272238
2026-04,New York City Metro,667,5.0,0.0074962518740629685
2026-04,Boston Metro,532,3.0,0.005639097744360902
2026-04,Dallas-Fort Worth Metro,726,4.0,0.005509641873278237
2026-04,Salt Lake City Metro,566,3.0,0.00530035335689046
2026-04,Raleigh-Durham-Chapel Hill,209,1.0,0.004784688995215311
2026-04,Philadelphia Metro,260,1.0,0.0038461538461538464
2026-04,Phoenix Metro,271,1.0,0.0036900369003690036
2026-04,San Francisco Bay Area,1748,2.0,0.0011441647597254005
2026-04,Detroit Metro,218,0.0,0.0
2026-04,Atlanta Metro,337,0.0,0.0
2026-04,Portland Metro,35,0.0,0.0
2026-04,Charlotte Metro,380,0.0,0.0
2026-04,Denver Metro,231,0.0,0.0
2026-04,Seattle Metro,757,0.0,0.0
2026-04,Nashville Metro,55,0.0,0.0
2026-04,Pittsburgh Metro,146,0.0,0.0
