company,n_2024,n_2026,n_ai_raw_2024,n_ai_raw_2026,n_ai_core_2024,n_ai_core_2026,rate_raw_2024,rate_raw_2026,rate_core_2024,rate_core_2026,delta_raw,delta_core,bp_2024,bp_2026,bp_share_change
BCforward,13,25,0,3,0,3,0.0,0.12,0.0,0.12,0.12,0.12,0.4463298589147714,0.4399572202459836,-0.006372638668787789
BLUE ORIGIN,106,50,0,12,0,11,0.0,0.24,0.0,0.22,0.24,0.22,0.5037329745555948,0.4971505302926852,-0.006582444262909659
Bank of America,5,5,0,2,0,2,0.0,0.4,0.0,0.4,0.4,0.4,0.2508356343554716,0.27350547291608196,0.022669838560610334
Base-2 Solutions,7,19,0,2,0,2,0.0,0.10526315789473684,0.0,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.330798836008636,0.32523094803919605,-0.005567887969439966
Baxter International Inc.,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5908662067338877,0.5404577317673274,-0.05040847496656031
Belay Technologies,52,8,0,1,0,1,0.0,0.125,0.0,0.125,0.125,0.125,0.3335035138407034,0.5008564769312853,0.1673529630905819
BioSpace,25,25,1,10,1,9,0.04,0.4,0.04,0.36,0.36000000000000004,0.32,0.4184821982060034,0.4461805024091885,0.027698304203185087
Blizzard Entertainment,10,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6624702483421403,0.6794175179308846,0.016947269588744263
Boeing,9,62,1,1,1,1,0.1111111111111111,0.016129032258064516,0.1111111111111111,0.016129032258064516,-0.09498207885304659,-0.09498207885304659,0.4290838899233016,0.4353196930559047,0.006235803132603079
Booz Allen Hamilton,10,193,1,39,1,39,0.1,0.20207253886010362,0.1,0.20207253886010362,0.10207253886010362,0.10207253886010362,0.627683186142886,0.5802883185275226,-0.04739486761536338
Bristol Myers Squibb,8,7,0,5,0,5,0.0,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.46582860483967414,0.6773114230286431,0.21148281818896897
Broadcom,6,15,0,1,0,0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.46959327683415486,0.3525839425827715,-0.11700933425138338
Brooksource,29,25,1,8,1,8,0.034482758620689655,0.32,0.034482758620689655,0.32,0.28551724137931034,0.28551724137931034,0.2608729740930321,0.2518726406703956,-0.009000333422636508
ByteDance,44,77,2,21,2,21,0.045454545454545456,0.2727272727272727,0.045454545454545456,0.2727272727272727,0.22727272727272724,0.22727272727272724,0.6640019693710969,0.7029551350777754,0.038953165706678505
CACI International Inc,52,48,0,9,0,9,0.0,0.1875,0.0,0.1875,0.1875,0.1875,0.36544119807428355,0.43158217109385455,0.066140973019571
CAE,8,5,0,1,0,1,0.0,0.2,0.0,0.2,0.2,0.2,0.4302173831984787,0.4873968079251514,0.0571794247266727
CBTS,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.14354325184825434,0.058298390369268094,-0.08524486147898624
CGI,23,50,0,10,0,10,0.0,0.2,0.0,0.2,0.2,0.2,0.651838719364302,0.621413379546663,-0.030425339817639063
CVS Health,22,24,1,11,1,10,0.045454545454545456,0.4583333333333333,0.045454545454545456,0.4166666666666667,0.41287878787878785,0.3712121212121212,0.5619369518341646,0.4462559052593327,-0.11568104657483191
Capgemini,23,78,1,68,1,23,0.043478260869565216,0.8717948717948718,0.043478260869565216,0.2948717948717949,0.8283166109253066,0.25139353400222963,0.6275647043046801,0.7162529790008543,0.08868827469617413
Capital One,710,151,28,44,18,43,0.03943661971830986,0.2913907284768212,0.02535211267605634,0.2847682119205298,0.2519541087585113,0.25941609924447345,0.6159654999966142,0.635563751066227,0.01959825106961277
Captivation,41,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.354521633379722,0.4192916208594235,0.06476998747970153
Centraprise,17,12,0,3,0,3,0.0,0.25,0.0,0.25,0.25,0.25,0.0825892857142857,0.13820962273678128,0.05562033702249558
CesiumAstro,8,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.29887260428410367,0.4160204252069961,0.11714782092289244
Cisco,6,56,1,13,0,8,0.16666666666666666,0.23214285714285715,0.0,0.14285714285714285,0.0654761904761905,0.14285714285714285,0.578313710596278,0.7017607726622865,0.12344706206600853
Cloudflare,26,24,0,7,0,7,0.0,0.2916666666666667,0.0,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.7036436371499621,0.6232897198156775,-0.08035391733428465
Cognizant,20,36,0,9,0,9,0.0,0.25,0.0,0.25,0.25,0.25,0.5522141119221411,0.4030930971297587,-0.14912101479238238
Collabera,18,15,0,3,0,3,0.0,0.2,0.0,0.2,0.2,0.2,0.17340806656650876,0.4005306756406939,0.22712260907418513
Collins Aerospace,71,30,0,1,0,1,0.0,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.602504817418056,0.6721683425556811,0.06966352513762519
Compunnel Inc.,48,17,0,1,0,1,0.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.06329919574148002,0.07946367699416701,0.01616448125268699
"Conch Technologies, Inc",68,9,2,5,2,5,0.029411764705882353,0.5555555555555556,0.029411764705882353,0.5555555555555556,0.5261437908496732,0.5261437908496732,0.18831974273572993,0.33149807938540343,0.1431783366496735
Confidential,10,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.10099413501934185,0.1343905031892274,0.03339636816988556
Cox Automotive Inc.,7,8,0,4,0,4,0.0,0.5,0.0,0.5,0.5,0.5,0.4967902350813743,0.294530844997408,-0.20225939008396632
Crusoe,8,17,0,4,0,4,0.0,0.23529411764705882,0.0,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.525288825001331,0.42159896778199246,-0.10368985721933854
Curtiss-Wright Corporation,10,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4639246214458632,0.5125828872733083,0.048658265827445035
CyberCoders,97,99,0,20,0,19,0.0,0.20202020202020202,0.0,0.1919191919191919,0.20202020202020202,0.1919191919191919,0.5430358958831796,0.6021708991866539,0.05913500330347432
Cypress HCM,9,10,2,4,2,4,0.2222222222222222,0.4,0.2222222222222222,0.4,0.1777777777777778,0.1777777777777778,0.0859238363892807,0.28018048288772635,0.19425664649844565
DRW,7,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.32217261904761896,0.45605055149140483,0.13387793244378587
DataAnnotation,8,43,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.32372486407180456,0.5072884294342443,0.18356356536243978
Databricks,14,38,0,11,0,9,0.0,0.2894736842105263,0.0,0.23684210526315788,0.2894736842105263,0.23684210526315788,0.6048135900215431,0.6280568419650294,0.02324325194348631
Datadog,7,12,1,4,1,4,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.19047619047619047,0.19047619047619047,0.674521954120114,0.6027352476434371,-0.07178670647667684
Deloitte,22,37,0,25,0,22,0.0,0.6756756756756757,0.0,0.5945945945945946,0.6756756756756757,0.5945945945945946,0.4337383796624106,0.3635244680121962,-0.0702139116502144
Dexian,12,23,0,8,0,8,0.0,0.34782608695652173,0.0,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.3345889192074979,0.4063970526668341,0.07180813345933623
DivIHN Integration Inc,7,6,0,1,0,1,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5147048971662089,0.27280521262002744,-0.2418996845461815
Draper,17,16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4323631974248927,0.48721821391760467,0.05485501649271196
ECS,7,12,1,0,1,0,0.14285714285714285,0.0,0.14285714285714285,0.0,-0.14285714285714285,-0.14285714285714285,0.27115297601908606,0.30830420363897104,0.037151227619884986
ELEVI Associates,5,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.38286193981660843,0.5263061355507321,0.1434441957341237
EPITEC,16,13,1,2,1,2,0.0625,0.15384615384615385,0.0625,0.15384615384615385,0.09134615384615385,0.09134615384615385,0.23074189600031592,0.09152144003668894,-0.13922045596362698
EVONA,26,13,2,1,2,1,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.24738394922845075,0.28734446965009963,0.03996052042164888
Eclaro,7,8,0,1,0,1,0.0,0.125,0.0,0.125,0.125,0.125,0.23656022296094825,0.4323279465032043,0.19576772354225602
Ehub Global Inc,5,5,1,2,1,2,0.2,0.4,0.2,0.4,0.2,0.2,-0.0005578800557879404,0.09096103302479719,0.09151891308058513
Eliassen Group,18,21,0,12,0,6,0.0,0.5714285714285714,0.0,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.3796457246916646,0.3762408182140822,-0.0034049064775824034
Empower Professionals,10,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15155269883063582,0.19314968898941742,0.0415969901587816
Entegee,7,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6604194989318315,0.518625,-0.1417944989318315
Equifax,5,20,0,5,0,5,0.0,0.25,0.0,0.25,0.25,0.25,0.15045763528341272,0.12577567224928277,-0.02468196303412995
Experis,44,35,2,6,2,6,0.045454545454545456,0.17142857142857143,0.045454545454545456,0.17142857142857143,0.12597402597402596,0.12597402597402596,0.3928272163566281,0.5815518514164358,0.18872463505980774
FIS,60,9,0,3,0,3,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.529428970410628,0.56057850060632,0.031149530195692
FanDuel,5,8,0,1,0,1,0.0,0.125,0.0,0.125,0.125,0.125,0.48775946659957226,0.5333125632837448,0.04555309668417251
Fanatics,5,19,0,4,0,4,0.0,0.21052631578947367,0.0,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.6275724275724275,0.5298807902035179,-0.09769163736890962
FastTek Global,9,15,0,7,0,7,0.0,0.4666666666666667,0.0,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.47433628318584065,0.47326226667544036,-0.0010740165104002886
Fidelity Investments,29,30,0,3,0,3,0.0,0.1,0.0,0.1,0.1,0.1,0.6093401924534368,0.4132349167330731,-0.19610527572036374
Fiserv,9,11,0,3,0,3,0.0,0.2727272727272727,0.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.6170782785880045,0.5198172874209417,-0.09726099116706277
Flex,6,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4399634456452639,0.41043253340997266,-0.02953091223529125
Ford Motor Company,14,33,2,3,2,3,0.14285714285714285,0.09090909090909091,0.14285714285714285,0.09090909090909091,-0.05194805194805194,-0.05194805194805194,0.45213373199238915,0.4410962779422596,-0.01103745405012957
Franklin Fitch,10,10,0,4,0,4,0.0,0.4,0.0,0.4,0.4,0.4,0.3865971357409713,0.18231135952654942,-0.2042857762144219
Freeform,7,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5264639178074706,0.4997734994337486,-0.02669041837372199
GE HealthCare,10,8,1,0,1,0,0.1,0.0,0.1,0.0,-0.1,-0.1,0.3882745436143493,0.482774548673929,0.09450000505957967
GEICO,9,45,0,15,0,13,0.0,0.3333333333333333,0.0,0.28888888888888886,0.3333333333333333,0.28888888888888886,0.36794432398405263,0.5539451035010372,0.18600077951698457
GM Financial,6,12,0,9,0,2,0.0,0.75,0.0,0.16666666666666666,0.75,0.16666666666666666,0.22424961677298128,0.28555117292920906,0.06130155615622779
Garmin,16,26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15392702642146805,0.16218513104667365,0.008258104625205598
Genentech,5,11,1,8,1,8,0.2,0.7272727272727273,0.2,0.7272727272727273,0.5272727272727273,0.5272727272727273,0.3784993418165862,0.3682412207052639,-0.010258121111322294
General Atomics,9,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3574402575137329,0.20980400386116604,-0.14763625365256683
General Dynamics Information Technology,21,45,0,24,0,2,0.0,0.5333333333333333,0.0,0.044444444444444446,0.5333333333333333,0.044444444444444446,0.4742201678326017,0.5558664178220993,0.08164624998949765
General Dynamics Mission Systems,18,39,0,1,0,1,0.0,0.02564102564102564,0.0,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.4677507819564476,0.4645883724062806,-0.003162409550167
General Motors,14,114,0,17,0,15,0.0,0.14912280701754385,0.0,0.13157894736842105,0.14912280701754385,0.13157894736842105,0.6426117507372191,0.5246718507257588,-0.11793990001146026
GliaCell Technologies,26,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5867248196608976,0.5825801150369762,-0.004144704623921469
Goldman Sachs,35,25,0,7,0,7,0.0,0.28,0.0,0.28,0.28,0.28,0.466753468826662,0.416209405660096,-0.05054406316656601
Goliath Partners,7,19,0,5,0,1,0.0,0.2631578947368421,0.0,0.05263157894736842,0.2631578947368421,0.05263157894736842,0.3563308069549711,0.3282127031019202,-0.028118103853050913
Google,33,466,1,116,1,112,0.030303030303030304,0.24892703862660945,0.030303030303030304,0.24034334763948498,0.21862400832357914,0.21004031733645467,0.5525441405544896,0.5035951652240136,-0.04894897533047604
Guidehouse,13,10,0,1,0,1,0.0,0.1,0.0,0.1,0.1,0.1,0.5295486351144009,0.5418144725423626,0.012265837427961723
HCA Healthcare,11,13,0,4,0,4,0.0,0.3076923076923077,0.0,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.4895783611774065,0.38275944502979375,-0.10681891614761274
HCLTech,17,8,0,1,0,0,0.0,0.125,0.0,0.0,0.125,0.0,0.25929226069246436,0.5911183554565238,0.33182609476405944
HTC Global Services,21,9,2,2,2,2,0.09523809523809523,0.2222222222222222,0.09523809523809523,0.2222222222222222,0.12698412698412698,0.12698412698412698,0.37994818143058606,0.3183930249556228,-0.061555156474963235
Harnham,18,32,6,16,5,16,0.3333333333333333,0.5,0.2777777777777778,0.5,0.16666666666666669,0.2222222222222222,0.3623874940786357,0.2710429014191724,-0.09134459265946326
Honeywell,44,32,1,7,1,7,0.022727272727272728,0.21875,0.022727272727272728,0.21875,0.19602272727272727,0.19602272727272727,0.3404961052801744,0.4225687593341546,0.08207265405398023
Huntington National Bank,7,9,0,3,0,3,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.24076762544233732,0.3020693254119583,0.06130169996962098
ICE,26,34,0,11,0,11,0.0,0.3235294117647059,0.0,0.3235294117647059,0.3235294117647059,0.3235294117647059,0.29954416710922294,0.22234872584803944,-0.0771954412611835
"IDR, Inc.",13,15,0,4,0,4,0.0,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.4032400726223174,0.34886750126637234,-0.05437257135594509
INSPYR Solutions,14,13,0,4,0,4,0.0,0.3076923076923077,0.0,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.30088627269420287,0.40913531998045927,0.1082490472862564
Inceed,7,6,0,2,0,2,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4410377358490566,0.4771992611406142,0.036161525291557584
Info Way Solutions,6,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03814317673378076,0.1716369529983791,0.13349377626459835
InfoVision Inc.,8,11,2,3,2,3,0.25,0.2727272727272727,0.25,0.2727272727272727,0.022727272727272707,0.022727272727272707,0.0918912282855564,0.08874386059341999,-0.0031473676921364158
Infosys,42,31,32,31,1,8,0.7619047619047619,1.0,0.023809523809523808,0.25806451612903225,0.23809523809523814,0.23425499231950844,0.29499628568396485,0.4398842108280072,0.14488792514404236
Innova Solutions,6,9,0,5,0,5,0.0,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5259123370241761,0.7462488967343337,0.22033655971015764
Innovative Defense Technologies (IDT),10,7,0,2,0,2,0.0,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.20588370807224476,0.37123160374300346,0.1653478956707587
Insight Global,61,77,1,14,1,14,0.01639344262295082,0.18181818181818182,0.01639344262295082,0.18181818181818182,0.165424739195231,0.165424739195231,0.10484382935500258,0.13577769484432645,0.030933865489323864
Intel,5,20,1,0,1,0,0.2,0.0,0.2,0.0,-0.2,-0.2,0.4189505347593583,0.5896462046506661,0.1706956698913078
Intellectt Inc,90,15,0,6,0,6,0.0,0.4,0.0,0.4,0.4,0.4,0.15516778523489938,0.0761710640546559,-0.07899672118024348
"Intelliforce-IT Solutions Group, LLC.",8,10,0,1,0,1,0.0,0.1,0.0,0.1,0.1,0.1,0.5855106028805095,0.4808355006501951,-0.1046751022303144
Intuit,17,59,2,39,2,38,0.11764705882352941,0.6610169491525424,0.11764705882352941,0.6440677966101694,0.543369890329013,0.52642073778664,0.15763556163966852,0.30991948457541596,0.15228392293574744
Intuitive,17,13,0,2,0,2,0.0,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.504518544755351,0.45233588169467764,-0.05218266306067332
JPMorgan Chase & Co.,12,389,0,72,0,71,0.0,0.18508997429305912,0.0,0.18251928020565553,0.18508997429305912,0.18251928020565553,0.5099732009568518,0.4802654852465045,-0.02970771571034736
Javen Technologies,5,7,0,3,0,3,0.0,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.21069995541685238,0.24044407654477273,0.029744121127920353
Jobot,70,62,3,18,3,16,0.04285714285714286,0.2903225806451613,0.04285714285714286,0.25806451612903225,0.24746543778801844,0.21520737327188938,0.3667411410935356,0.4253580515809393,0.058616910487403695
Jobs via eFinancialCareers,22,14,2,3,2,3,0.09090909090909091,0.21428571428571427,0.09090909090909091,0.21428571428571427,0.12337662337662336,0.12337662337662336,0.5419559254705382,0.41625405497695067,-0.1257018704935875
KLA,24,14,0,3,0,3,0.0,0.21428571428571427,0.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.6853093231727562,0.6440650823137531,-0.04124424085900302
KPMG US,63,10,0,9,0,9,0.0,0.9,0.0,0.9,0.9,0.9,0.6779566168539806,0.6721494908806087,-0.005807125973371852
Kforce Inc,99,85,1,19,1,19,0.010101010101010102,0.2235294117647059,0.010101010101010102,0.2235294117647059,0.21342840166369578,0.21342840166369578,0.4568819615438665,0.48733625226138355,0.03045429071751704
L3Harris Technologies,70,34,0,1,0,1,0.0,0.029411764705882353,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.3606477670160395,0.4897108182000045,0.129063051183965
LER TechForce,6,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2701463314097279,0.2066710537139097,-0.06347527769581818
LTIMindtree,14,8,2,0,2,0,0.14285714285714285,0.0,0.14285714285714285,0.0,-0.14285714285714285,-0.14285714285714285,0.6966862597498278,0.5552699228791773,-0.14141633687065047
"LanceSoft, Inc.",15,5,0,1,0,1,0.0,0.2,0.0,0.2,0.2,0.2,0.07751836734693873,0.262291072156543,0.18477270480960428
Lawrence Harvey,7,6,0,1,0,1,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.279733275032794,0.33975277678251525,0.06001950174972126
Ledgent Technology,17,21,0,4,0,4,0.0,0.19047619047619047,0.0,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.27610961705154125,0.24478746949662344,-0.0313221475549178
Leidos,69,130,0,21,0,19,0.0,0.16153846153846155,0.0,0.14615384615384616,0.16153846153846155,0.14615384615384616,0.3027694388948742,0.5714157829991591,0.2686463441042849
Lennar,8,7,0,2,0,2,0.0,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2341883532423208,0.473215959995833,0.2390276067535122
Leonardo DRS,19,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3081583482818051,0.47531258880363736,0.16715424052183225
"Liberty Personnel Services, Inc.",39,6,0,1,0,1,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3940316172119368,0.5031416143064282,0.10910999709449143
Lockheed Martin,86,111,0,3,0,2,0.0,0.02702702702702703,0.0,0.018018018018018018,0.02702702702702703,0.018018018018018018,0.4168754126618517,0.45266700583101793,0.03579159316916625
Lorven Technologies Inc.,31,33,0,3,0,3,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.15227262088657956,0.19002699749309004,0.03775437660651049
Lumicity,11,5,0,2,0,2,0.0,0.4,0.0,0.4,0.4,0.4,0.20873969910032508,0.3272441563543509,0.11850445725402581
Luxoft,17,10,0,6,0,6,0.0,0.6,0.0,0.6,0.6,0.6,0.2871311005938565,0.06333474666101335,-0.22379635393284314
Lyft,13,11,1,3,1,3,0.07692307692307693,0.2727272727272727,0.07692307692307693,0.2727272727272727,0.19580419580419578,0.19580419580419578,0.4586368180519852,0.5468674768407065,0.08823065878872127
MITRE,7,5,1,1,1,1,0.14285714285714285,0.2,0.14285714285714285,0.2,0.05714285714285716,0.05714285714285716,0.4118330788340132,0.4221636752840442,0.010330596450030982
ManTech,39,28,0,2,0,2,0.0,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.42040052248572457,0.1617678037271616,-0.258632718758563
Mastech Digital,16,13,0,1,0,1,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.08140020898641576,0.14293451501723298,0.06153430603081722
Matlen Silver,12,9,0,1,0,1,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.33061612466514967,0.31442003351331227,-0.0161960911518374
Medtronic,28,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.45140494756655025,0.6041273725952028,0.15272242502865252
MetroStar,6,28,0,3,0,3,0.0,0.10714285714285714,0.0,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.5213559803851894,0.5860077062299383,0.06465172584474888
