topic,rank,term,weight
18,7,rxjs,0.01926756581649112
18,8,code,0.018029336431583255
18,9,java,0.01561651651352262
19,0,backend,0.03133471029263974
19,1,engineering,0.019858718727672742
19,2,systems,0.018042068378148746
19,3,platform,0.01727326847068035
19,4,design,0.017051557519201326
19,5,build,0.016862951876022665
19,6,software,0.014843562153977963
19,7,services,0.014735100212754022
19,8,api,0.013725543946244595
19,9,scale,0.013568329026186711
20,0,internship,0.04851814100765151
20,1,interns,0.03037096948582165
20,2,software,0.025727338969404153
20,3,currently,0.021101546526384896
20,4,pursuing,0.019814497314904513
20,5,engineering,0.01854189649465853
20,6,youll,0.01846891376347035
20,7,software engineering,0.017816405952379547
20,8,data,0.015149891027448103
20,9,currently pursuing,0.014989530247991649
21,0,golang,0.07105253274788532
21,1,design,0.022175261421938278
21,2,cloud,0.018382961036655036
21,3,aws,0.01800964907934659
21,4,software,0.017710693327669787
21,5,expectation,0.017015873838908877
21,6,docker,0.01615440781282995
21,7,code,0.016047081248342653
21,8,services,0.015259225238166044
21,9,backend,0.015223119314690415
