company,period,is_aggregator,n_posts,mean_pairwise_cos
Axle,2026,False,5,0.7889487147331238
Axon,2026,False,27,0.6780533194541931
B4Corp,2026,False,26,0.7361032366752625
"BAE Systems, Inc.",2024,False,52,0.6086806058883667
"BAE Systems, Inc.",2026,False,98,0.6453738212585449
BCforward,2024,False,12,0.5874137878417969
BCforward,2026,False,14,0.578626811504364
BCforward,2026,True,8,0.785489022731781
BDO USA,2026,False,7,0.7424361109733582
BIP,2026,False,6,0.9035835266113281
BLUE ORIGIN,2024,False,106,0.6924509406089783
BLUE ORIGIN,2026,False,67,0.7020836472511292
BNY,2026,False,46,0.7115799188613892
BTI360,2026,False,7,0.8024333715438843
BURGEON IT SERVICES,2026,True,6,0.6774511933326721
BVS,2024,False,5,0.4899790287017822
Ball Aerospace,2024,False,16,0.6868621706962585
Bandwidth Inc.,2026,False,5,0.735409140586853
Bank of America,2024,False,5,0.6763297319412231
Barclays,2026,False,12,0.671818733215332
Barclays Corporate & Investment Bank,2024,False,6,0.696834146976471
Barrington James,2024,False,9,0.5863144397735596
"Barrow Wise Consulting, LLC",2026,False,11,0.6053608059883118
Base-2 Solutions,2024,False,7,0.7115322947502136
Base-2 Solutions,2026,False,20,0.7369502186775208
Baselayer,2026,False,5,0.8011407852172852
Baseten,2026,False,5,0.7963253259658813
Baxter International Inc.,2024,False,5,0.6140682101249695
Baxter International Inc.,2026,False,7,0.8595904111862183
BayOne Solutions,2026,False,8,0.5828120112419128
Bayforce,2024,False,9,0.643194854259491
Bayside Solutions,2026,False,9,0.6597374677658081
Beacon Hill,2026,False,8,0.5126534104347229
Beacon Hill Staffing Group,2024,False,7,0.4790534973144531
BeaconFire Inc.,2026,False,13,0.64949631690979
Bechtel Corporation,2024,False,5,0.5915855765342712
Belay Technologies,2024,False,52,0.6444761753082275
Belcan,2024,False,21,0.594893217086792
Bell Flight,2024,False,5,0.7040826082229614
Benchling,2026,False,6,0.7267728447914124
"Bespoke Technologies, Inc.",2026,False,5,0.6163896322250366
BetterUp,2026,False,6,0.6792799234390259
Betterment,2026,False,9,0.6462126970291138
BigBear.ai,2026,False,8,0.5809478759765625
BillionToOne,2026,False,5,0.7262258529663086
Bilt,2026,False,7,0.597223162651062
BioSpace,2024,False,25,0.5342822074890137
BioSpace,2026,False,24,0.4879356026649475
BlackLine,2026,False,5,0.8409557342529297
BlackRock,2026,False,20,0.6434064507484436
Blizzard Entertainment,2024,False,10,0.689664900302887
Blizzard Entertainment,2026,False,5,0.675581693649292
Bloomberg,2026,False,67,0.5688732266426086
BlueHalo,2024,False,6,0.5476833581924438
Boeing,2024,False,9,0.5908291339874268
Boeing,2026,False,55,0.6405923366546631
Boost Mobile,2026,False,5,0.5578231811523438
Booz Allen Hamilton,2024,False,9,0.6829243898391724
Booz Allen Hamilton,2026,False,220,0.6486016511917114
Bosch México,2024,False,6,0.6210451722145081
Bosch USA,2024,False,7,0.5471460223197937
Bose Corporation,2024,False,7,0.6848090291023254
Bose Corporation,2026,False,5,0.5678078532218933
Boston Dynamics,2026,False,9,0.6285300850868225
Bot Auto,2026,False,6,0.7224997282028198
Bowman Williams,2024,False,51,0.7269344329833984
Box,2026,False,17,0.8423035740852356
Brain Corp,2026,False,7,0.6049562096595764
Brex,2026,False,5,0.9486141204833984
Bright Sol,2026,True,9,0.6898998618125916
Bright Vision Technologies,2026,False,24,0.738510251045227
Bristol Myers Squibb,2024,False,8,0.5217199325561523
Broadcom,2024,False,6,0.5924021601676941
Broadcom,2026,False,26,0.6001826524734497
Broadridge,2026,False,5,0.6925937533378601
Brooksource,2024,False,29,0.5653170347213745
Brooksource,2026,False,32,0.6003180742263794
BuildOps,2026,False,5,0.7039978504180908
Bumble Inc.,2026,False,8,0.6016514897346497
Burtch Works,2026,False,9,0.6419105529785156
By Light Professional IT Services,2024,False,7,0.6065411567687988
ByteDance,2024,False,44,0.6094681620597839
ByteDance,2026,False,84,0.5760360956192017
CACI International Inc,2024,False,52,0.649309515953064
CACI International Inc,2026,False,55,0.6318787932395935
CAE,2024,False,8,0.6648558378219604
CBRE,2026,False,24,0.5947409272193909
CBTS,2024,False,5,0.5635590553283691
CCC Intelligent Solutions,2026,False,9,0.6772329807281494
CCS Global Tech,2026,True,6,0.963665246963501
CENTSTONE SERVICES LLC,2024,False,9,0.5950697064399719
CERES Group,2024,False,7,0.6449106335639954
CG Infinity,2024,False,5,0.7814361453056335
CGI,2024,False,22,0.6724898219108582
CGI,2026,False,62,0.6337530016899109
CGI Technologies and Solutions,2026,True,5,0.7501484155654907
CGS Federal (Contact Government Services),2026,False,6,0.5775429010391235
CHAOS Industries,2026,False,13,0.6863995790481567
CLEAR,2026,False,9,0.8013002872467041
CME Group,2026,False,8,0.5773917436599731
CNA Insurance,2026,False,5,0.6917184591293335
CNA Search,2024,False,12,0.626141369342804
CNN,2026,False,8,0.7015965580940247
CVS Health,2024,False,22,0.5803248882293701
CVS Health,2026,False,31,0.6902148127555847
Cadence,2026,False,25,0.5573161840438843
Cadence Design Systems,2024,False,14,0.49934059381484985
Calance,2026,False,5,0.40349966287612915
Cambridge Mobile Telematics,2026,False,11,0.6713478565216064
Campminder,2026,False,5,0.5642377734184265
Candescent,2026,False,5,0.7635946273803711
Canonical,2026,False,7,0.6871069073677063
Capco,2026,False,8,0.807062029838562
Cape,2026,False,8,0.7036891579627991
Capgemini,2024,True,23,0.5954967141151428
Capgemini,2026,True,90,0.5611594915390015
Capgemini Engineering,2024,False,17,0.5104560852050781
Capital One,2024,False,86,0.7208805084228516
Capital One,2024,True,470,0.6310974359512329
Capital One,2026,False,137,0.763555109500885
Capleo Global,2024,False,5,0.5351018309593201
Capstone Investment Advisors,2026,False,5,0.6796964406967163
Captivation,2024,False,41,0.6970499157905579
Captivation,2026,False,8,0.855693519115448
CarGurus,2026,False,8,0.6485371589660645
Cardinal Health,2024,False,5,0.8190809488296509
Cargill,2026,False,17,0.7103767991065979
Caribou Thunder LLC,2024,False,6,0.6403696537017822
Carrier,2024,False,9,0.5217063426971436
Carta,2026,False,5,0.6055208444595337
Castelion,2026,False,5,0.7385408282279968
Caterpillar Inc.,2026,False,6,0.5835841298103333
Cayuse Holdings,2026,False,5,0.5545681715011597
Cbase Inc,2026,False,5,0.5490512251853943
Cboe Global Markets,2026,False,7,0.6051715612411499
Celestica,2026,False,5,0.553810715675354
Centene Corporation,2026,False,6,0.7234202027320862
Central Business Solutions Inc.,2024,False,17,0.569115936756134
Centraprise,2024,False,17,0.5469173192977905
Centraprise,2026,False,11,0.5448095202445984
