company_industry,arshkon,scraped,arshkon_pct,scraped_pct
Public Safety,6,5,0.14,0.12
Plastics Manufacturing,6,0,0.14,0.0
Renewable Energy Semiconductor Manufacturing,6,0,0.14,0.0
Research Services,6,25,0.14,0.59
Government Relations Services,6,0,0.14,0.0
Capital Markets,6,2,0.14,0.05
Automotive,5,3,0.11,0.07
Truck Transportation,5,6,0.11,0.14
Defense & Space,5,4,0.11,0.09
Non-profit Organizations,5,4,0.11,0.09
Retail Apparel and Fashion,5,2,0.11,0.05
Law Practice,5,11,0.11,0.26
Design Services,5,1,0.11,0.02
Civil Engineering,4,7,0.09,0.17
Food and Beverage Manufacturing,4,1,0.09,0.02
E-Learning Providers,4,5,0.09,0.12
Computer Networking Products,4,0,0.09,0.0
Space Research and Technology,4,3,0.09,0.07
Data Security Software Products,4,0,0.09,0.0
Data Infrastructure and Analytics,4,3,0.09,0.07
Computer Networking,3,0,0.07,0.0
Book and Periodical Publishing,3,2,0.07,0.05
Wholesale Building Materials,3,2,0.07,0.05
Spectator Sports,3,5,0.07,0.12
Mining,3,1,0.07,0.02
Consumer Electronics,3,0,0.07,0.0
Executive Search Services,3,0,0.07,0.0
Civic and Social Organizations,3,0,0.07,0.0
IT System Data Services,3,3,0.07,0.07
"Agriculture, Construction, Mining Machinery Manufacturing",3,1,0.07,0.02
Legal Services,3,1,0.07,0.02
Media Production,3,1,0.07,0.02
Education,3,0,0.07,0.0
Internet News,3,0,0.07,0.0
Market Research,3,0,0.07,0.0
Nanotechnology Research,2,2,0.05,0.05
Personal Care Product Manufacturing,2,0,0.05,0.0
Strategic Management Services,2,0,0.05,0.0
Semiconductors,2,1,0.05,0.02
Veterinary Services,2,0,0.05,0.0
Robotics Engineering,2,6,0.05,0.14
Social Networking Platforms,2,1,0.05,0.02
Renewable Energy Power Generation,2,0,0.05,0.0
Restaurants,2,2,0.05,0.05
Paper and Forest Product Manufacturing,2,0,0.05,0.0
Professional Services,2,6,0.05,0.14
Electrical Equipment Manufacturing,2,0,0.05,0.0
Insurance Agencies and Brokerages,2,0,0.05,0.0
Internet Publishing,2,48,0.05,1.14
Business Content,2,1,0.05,0.02
Mental Health Care,2,6,0.05,0.14
Military and International Affairs,2,0,0.05,0.0
Maritime Transportation,2,1,0.05,0.02
Electric Power Generation,2,2,0.05,0.05
Engines and Power Transmission Equipment Manufacturing,2,1,0.05,0.02
Business Intelligence Platforms,2,0,0.05,0.0
IT System Testing and Evaluation,2,0,0.05,0.0
Events Services,2,0,0.05,0.0
Transportation Programs,2,0,0.05,0.0
Writing and Editing,2,0,0.05,0.0
Agricultural Chemical Manufacturing,2,0,0.05,0.0
Venture Capital and Private Equity Principals,1,2,0.02,0.05
Security and Investigations,1,2,0.02,0.05
Industrial Automation,1,1,0.02,0.02
Individual and Family Services,1,0,0.02,0.0
IT System Operations and Maintenance,1,2,0.02,0.05
Musicians,1,1,0.02,0.02
Public Relations and Communications Services,1,0,0.02,0.0
Public Health,1,0,0.02,0.0
Retail Office Equipment,1,2,0.02,0.05
Retail Pharmacies,1,1,0.02,0.02
Building Construction,1,0,0.02,0.0
Human Resources,1,0,0.02,0.0
Wholesale Machinery,1,0,0.02,0.0
Securities and Commodity Exchanges,1,0,0.02,0.0
Mechanical Or Industrial Engineering,1,0,0.02,0.0
Medical Device,1,0,0.02,0.0
Outsourcing and Offshoring Consulting,1,0,0.02,0.0
Loan Brokers,1,0,0.02,0.0
Railroad Equipment Manufacturing,1,0,0.02,0.0
Retail Groceries,1,0,0.02,0.0
Research,1,1,0.02,0.02
Architecture and Planning,1,2,0.02,0.05
Armed Forces,1,2,0.02,0.05
"Electric Power Transmission, Control, and Distribution",1,0,0.02,0.0
Rail Transportation,1,1,0.02,0.02
Wood Product Manufacturing,1,0,0.02,0.0
Farming,1,0,0.02,0.0
"Glass, Ceramics and Concrete Manufacturing",1,0,0.02,0.0
Facilities Services,1,0,0.02,0.0
Renewable Energy Equipment Manufacturing,1,0,0.02,0.0
Solar Electric Power Generation,1,0,0.02,0.0
Religious Institutions,1,0,0.02,0.0
Biotechnology,1,1,0.02,0.02
Food and Beverage Retail,1,2,0.02,0.05
Law Enforcement,1,0,0.02,0.0
"Oil and Gas, Industrial Machinery Manufacturing, and Energy Technology",0,1,0.0,0.02
"Oil and Gas, Defense and Space Manufacturing, and Aviation and Aerospace Component Manufacturing",0,1,0.0,0.02
"Retail Office Equipment, E-Learning Providers, and Professional Training and Coaching",0,1,0.0,0.02
"Oil and Gas, Utilities, and Renewable Energy Semiconductor Manufacturing",0,1,0.0,0.02
Consumer Goods,0,1,0.0,0.02
"Construction, Software Development, and IT Services and IT Consulting",0,23,0.0,0.55
Online Audio and Video Media,0,8,0.0,0.19
Packaging and Containers Manufacturing,0,1,0.0,0.02
"Pharmaceutical Manufacturing, Biotechnology Research, and Medical Equipment Manufacturing",0,1,0.0,0.02
"Pharmaceutical Manufacturing, Industrial Machinery Manufacturing, and Oil and Gas",0,1,0.0,0.02
Photography,0,3,0.0,0.07
Professional Training and Coaching,0,1,0.0,0.02
Public Safety and Telecommunications,0,1,0.0,0.02
Security Systems Services,0,1,0.0,0.02
Semiconductor Manufacturing and Construction,0,1,0.0,0.02
Semiconductor Manufacturing and IT System Custom Software Development,0,1,0.0,0.02
"Semiconductor Manufacturing, Software Development, and Computer Hardware Manufacturing",0,1,0.0,0.02
"Semiconductors, Consumer Electronics, and Computer Hardware",0,1,0.0,0.02
Real Estate Agents and Brokers,0,1,0.0,0.02
"Construction, Software Development, and Information Services",0,1,0.0,0.02
Non-profit Organizations and Primary and Secondary Education,0,1,0.0,0.02
Data Security Software Products and Software Development,0,1,0.0,0.02
"Data Infrastructure and Analytics, Technology, Information and Media, and Public Health",0,1,0.0,0.02
"Data Infrastructure and Analytics, Software Development, and Technology, Information and Media",0,1,0.0,0.02
"Data Infrastructure and Analytics, Insurance, and IT Services and IT Consulting",0,1,0.0,0.02
"Consumer Services, Technology, Information and Media, and Internet Marketplace Platforms",0,1,0.0,0.02
Biotechnology Research and Pharmaceutical Manufacturing,0,2,0.0,0.05
"Banking, Investment Banking, and Financial Services",0,1,0.0,0.02
"Motor Vehicle Manufacturing, Renewable Energy Semiconductor Manufacturing, and Utilities",0,2,0.0,0.05
"Manufacturing, Hospitality, and Restaurants",0,1,0.0,0.02
"Manufacturing, Health and Human Services, and Software Development",0,1,0.0,0.02
"Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Electrical Equipment Manufacturing",0,1,0.0,0.02
Manufacturing and Wholesale,0,2,0.0,0.05
Manufacturing and Retail Apparel and Fashion,0,1,0.0,0.02
Manufacturing and Online and Mail Order Retail,0,1,0.0,0.02
Manufacturing and IT System Custom Software Development,0,1,0.0,0.02
Manufacturing and Engineering Services,0,1,0.0,0.02
"Banking, Investment Banking, and Capital Markets",0,1,0.0,0.02
"Construction, Machinery Manufacturing, and Truck Transportation",0,2,0.0,0.05
"Computer Hardware Manufacturing, Software Development, and IT Services and IT Consulting",0,4,0.0,0.09
"Computer Hardware Manufacturing, Software Development, and Computers and Electronics Manufacturing",0,15,0.0,0.36
"Computer Hardware Manufacturing, Defense and Space Manufacturing, and IT Services and IT Consulting",0,1,0.0,0.02
Newspaper Publishing,0,1,0.0,0.02
Motor Vehicle Parts Manufacturing,0,1,0.0,0.02
Real Estate and Financial Services,0,1,0.0,0.02
"Motor Vehicle Manufacturing, Industrial Machinery Manufacturing, and Appliances, Electrical, and Electronics Manufacturing",0,1,0.0,0.02
"Non-profit Organizations, Hospitals, and Mental Health Care",0,1,0.0,0.02
"Motor Vehicle Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and IT Services and IT Consulting",0,34,0.0,0.81
Motor Vehicle Manufacturing and Motor Vehicle Parts Manufacturing,0,2,0.0,0.05
Mobile Computing Software Products,0,1,0.0,0.02
"Business Consulting and Services, IT Services and IT Consulting, and Professional Training and Coaching",0,3,0.0,0.07
Business Consulting and Services and IT Services and IT Consulting,0,1,0.0,0.02
Business Consulting and Services and Hospitals and Health Care,0,1,0.0,0.02
Business Consulting and Services and Financial Services,0,1,0.0,0.02
Oil and Gas and Utilities,0,1,0.0,0.02
Nuclear Electric Power Generation,0,1,0.0,0.02
"Motor Vehicle Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Industrial Machinery Manufacturing",0,3,0.0,0.07
"Technology, Information and Internet and Semiconductor Manufacturing",0,1,0.0,0.02
"Transportation, Logistics, Supply Chain and Storage and Truck Transportation",0,1,0.0,0.02
"Telecommunications, IT Services and IT Consulting, and Software Development",0,1,0.0,0.02
"Telecommunications, IT Services and IT Consulting, and Computer and Network Security",0,1,0.0,0.02
"Accounting, Financial Services, and Business Consulting and Services",0,64,0.0,1.52
"Technology, Information and Media, Embedded Software Products, and Software Development",0,1,0.0,0.02
"Appliances, Electrical, and Electronics Manufacturing, Nanotechnology Research, and Semiconductor Manufacturing",0,3,0.0,0.07
"Appliances, Electrical, and Electronics Manufacturing, Industrial Machinery Manufacturing, and Medical Equipment Manufacturing",0,3,0.0,0.07
Software Development and Robotics Engineering,0,1,0.0,0.02
"Software Development, IT Services and IT Consulting, and Mental Health Care",0,1,0.0,0.02
"Software Development, IT Services and IT Consulting, and Financial Services",0,1,0.0,0.02
"Software Development, IT Services and IT Consulting, and Business Consulting and Services",0,1,0.0,0.02
"Software Development, IT Services and IT Consulting, and Biotechnology Research",0,1,0.0,0.02
"Software Development, Human Resources Services, and IT Services and IT Consulting",0,1,0.0,0.02
"Software Development, Hospitals and Health Care, and IT Services and IT Consulting",0,1,0.0,0.02
"Software Development, Financial Services, and Technology, Information and Internet",0,23,0.0,0.55
"Wireless Services, Telecommunications, and Communications Equipment Manufacturing",0,4,0.0,0.09
Wholesale Motor Vehicles and Parts,0,1,0.0,0.02
"Appliances, Electrical, and Electronics Manufacturing, Industrial Machinery Manufacturing, and Manufacturing",0,1,0.0,0.02
"Banking, Financial Services, and Investment Management",0,1,0.0,0.02
"Banking, Financial Services, and Investment Banking",0,2,0.0,0.05
"Banking, Financial Services, and IT Services and IT Consulting",0,1,0.0,0.02
"Banking, Capital Markets, and Financial Services",0,1,0.0,0.02
Defense and Space Manufacturing and Space Research and Technology,0,1,0.0,0.02
Defense and Space Manufacturing and Aviation and Aerospace Component Manufacturing,0,1,0.0,0.02
Defense and Space Manufacturing and Automation Machinery Manufacturing,0,1,0.0,0.02
Wholesale Building Materials and Internet Marketplace Platforms,0,1,0.0,0.02
"Technology, Information and Internet and Transportation, Logistics, Supply Chain and Storage",0,1,0.0,0.02
"Wellness and Fitness Services, IT Services and IT Consulting, and Manufacturing",0,2,0.0,0.05
Staffing and Recruiting and Financial Services,0,1,0.0,0.02
"Staffing and Recruiting and Appliances, Electrical, and Electronics Manufacturing",0,1,0.0,0.02
"Software Development, Technology, Information and Media, and Information Services",0,1,0.0,0.02
"Alternative Dispute Resolution, Law Practice, and Legal Services",0,1,0.0,0.02
"Utilities, Utilities Administration, and Oil and Gas",0,1,0.0,0.02
Venture Capital and Private Equity Principals and Banking,0,1,0.0,0.02
"Technology, Information and Internet, Business Consulting and Services, and Marketing Services",0,12,0.0,0.28
"Technology, Information and Internet, Banking, and Investment Banking",0,1,0.0,0.02
Wholesale,0,2,0.0,0.05
"Software Development, IT Services and IT Consulting, and Pharmaceutical Manufacturing",0,10,0.0,0.24
"Robotics Engineering, Software Development, and Automation Machinery Manufacturing",0,1,0.0,0.02
"Robotics Engineering, Motor Vehicle Manufacturing, and Manufacturing",0,1,0.0,0.02
Robot Manufacturing and Robotics Engineering,0,1,0.0,0.02
Robot Manufacturing,0,1,0.0,0.02
Retail and Retail Recyclable Materials & Used Merchandise,0,1,0.0,0.02
Retail and Information Services,0,1,0.0,0.02
"Software Development, Financial Services, and IT Services and IT Consulting",0,1,0.0,0.02
"Wholesale Building Materials and Technology, Information and Media",0,1,0.0,0.02
"Software Development, Consumer Services, and Technology, Information and Internet",0,5,0.0,0.12
"Software Development, Consumer Services, and Entertainment Providers",0,1,0.0,0.02
"Software Development, Capital Markets, and Financial Services",0,1,0.0,0.02
"Software Development, Biotechnology Research, and Hospitals and Health Care",0,1,0.0,0.02
"Software Development and Technology, Information and Media",0,2,0.0,0.05
Software Development and Semiconductor Manufacturing,0,1,0.0,0.02
Medical Practices,0,5,0.0,0.12
"Retail Appliances, Electrical, and Electronic Equipment",0,1,0.0,0.02
"Real Estate, Financial Services, and Capital Markets",0,5,0.0,0.12
"Software Development, Defense and Space Manufacturing, and Research Services",0,1,0.0,0.02
"Technology, Information and Internet and Health and Human Services",0,1,0.0,0.02
"Staffing and Recruiting, IT Services and IT Consulting, and Financial Services",0,1,0.0,0.02
"Staffing and Recruiting, Construction, and Building Construction",0,1,0.0,0.02
"Staffing and Recruiting and Technology, Information and Media",0,1,0.0,0.02
Staffing and Recruiting and IT Services and IT Consulting,0,1,0.0,0.02
Software Development and Information Services,0,1,0.0,0.02
Software Development and IT System Custom Software Development,0,1,0.0,0.02
Software Development and IT Services and IT Consulting,0,8,0.0,0.19
Software Development and Financial Services,0,1,0.0,0.02
"Software Development, IT Services and IT Consulting, and Technology, Information and Internet",0,6,0.0,0.14
Software Development and Construction Hardware Manufacturing,0,1,0.0,0.02
Software Development and Banking,0,1,0.0,0.02
"Software Development, Technology, Information and Internet, and Technology, Information and Media",0,10,0.0,0.24
"Software Development, Technology, Information and Internet, and IT Services and IT Consulting",0,1,0.0,0.02
"Software Development, Technology, Information and Internet, and Financial Services",0,5,0.0,0.12
"Software Development, Spectator Sports, and Entertainment Providers",0,1,0.0,0.02
"Software Development, IT System Testing and Evaluation, and IT System Operations and Maintenance",0,1,0.0,0.02
"Software Development, IT System Custom Software Development, and Insurance Carriers",0,1,0.0,0.02
"Software Development, IT System Custom Software Development, and Business Consulting and Services",0,1,0.0,0.02
Software Development and Defense and Space Manufacturing,0,2,0.0,0.05
Financial Services and IT Services and IT Consulting,0,1,0.0,0.02
Financial Services and Hospitals and Health Care,0,1,0.0,0.02
Financial Services and Capital Markets,0,1,0.0,0.02
"Capital Markets, Investment Banking, and Investment Management",0,1,0.0,0.02
"Capital Markets, Investment Advice, and Investment Management",0,1,0.0,0.02
"Capital Markets, IT Services and IT Consulting, and Financial Services",0,5,0.0,0.12
Business Intelligence Platforms and Internet Publishing,0,1,0.0,0.02
Financial Services and Advertising Services,0,1,0.0,0.02
Defense and Space Manufacturing and Telecommunications,0,8,0.0,0.19
Entertainment Providers and Broadcast Media Production and Distribution,0,2,0.0,0.05
"Engineering Services, Motor Vehicle Manufacturing, and Motor Vehicle Parts Manufacturing",0,1,0.0,0.02
Engineering Services and Motor Vehicle Manufacturing,0,1,0.0,0.02
Engineering Services and Defense and Space Manufacturing,0,1,0.0,0.02
Energy Technology and Services for Renewable Energy,0,1,0.0,0.02
Energy Technology and Oil and Gas,0,1,0.0,0.02
Electronic and Precision Equipment Maintenance,0,2,0.0,0.05
"Electrical Equipment Manufacturing and Appliances, Electrical, and Electronics Manufacturing",0,1,0.0,0.02
"Financial Services, Investment Management, and Computer and Network Security",0,1,0.0,0.02
"Entertainment Providers, Technology, Information and Media, and Broadcast Media Production and Distribution",0,1,0.0,0.02
"Gambling Facilities and Casinos, IT Services and IT Consulting, and Printing Services",0,1,0.0,0.02
Furniture and Home Furnishings Manufacturing,0,1,0.0,0.02
"Food and Beverage Services, Beverage Manufacturing, and Manufacturing",0,1,0.0,0.02
Food & Beverages,0,6,0.0,0.14
"Financial Services, Technology, Information and Media, and Data Infrastructure and Analytics",0,1,0.0,0.02
"Hospitals and Health Care, Medical Practices, and Medical Equipment Manufacturing",0,1,0.0,0.02
"Hospitals and Health Care, Insurance, and Pharmaceutical Manufacturing",0,1,0.0,0.02
"Hospitals and Health Care and Technology, Information and Media",0,1,0.0,0.02
Hospitals and Health Care and Manufacturing,0,1,0.0,0.02
Financial Services and Insurance,0,2,0.0,0.05
Hospitals and Health Care and Information Services,0,1,0.0,0.02
"Financial Services, Insurance, and Banking",0,1,0.0,0.02
"Financial Services, Information Services, and IT Services and IT Consulting",0,1,0.0,0.02
"Financial Services, Engineering Services, and Technology, Information and Media",0,1,0.0,0.02
"Financial Services, Capital Markets, and Investment Banking",0,2,0.0,0.05
"Financial Services, Banking, and IT Services and IT Consulting",0,1,0.0,0.02
"Financial Services, Banking, and Capital Markets",0,2,0.0,0.05
"Financial Services and Technology, Information and Media",0,2,0.0,0.05
Financial Services and Investment Management,0,1,0.0,0.02
Hospitals and Health Care and Insurance,0,1,0.0,0.02
Travel Arrangements,0,2,0.0,0.05
Transportation/Trucking/Railroad,0,1,0.0,0.02
"Technology, Information and Media and Software Development",0,2,0.0,0.05
"Technology, Information and Internet, Wellness and Fitness Services, and Software Development",0,1,0.0,0.02
"Technology, Information and Internet, Software Development, and IT Services and IT Consulting",0,4,0.0,0.09
"Technology, Information and Internet, Defense and Space Manufacturing, and Space Research and Technology",0,1,0.0,0.02
Banking and Financial Services,0,4,0.0,0.09
"Aviation and Aerospace Component Manufacturing, Defense and Space Manufacturing, and Manufacturing",0,1,0.0,0.02
"Financial Services, Investment Management, and Banking",0,6,0.0,0.14
Aviation & Aerospace,0,1,0.0,0.02
"Appliances, Electrical, and Electronics Manufacturing and IT Services and IT Consulting",0,1,0.0,0.02
"Appliances, Electrical, and Electronics Manufacturing, Software Development, and Computer Hardware Manufacturing",0,1,0.0,0.02
"Banking, Information Services, and Software Development",0,1,0.0,0.02
"Airlines and Aviation, IT Services and IT Consulting, and Security and Investigations",0,1,0.0,0.02
"Airlines and Aviation, Aviation and Aerospace Component Manufacturing, and Software Development",0,1,0.0,0.02
"Airlines and Aviation, Aviation and Aerospace Component Manufacturing, and Defense and Space Manufacturing",0,9,0.0,0.21
"Advertising Services, IT Services and IT Consulting, and Software Development",0,13,0.0,0.31
"Accounting, IT Services and IT Consulting, and Business Consulting and Services",0,64,0.0,1.52
"Aviation and Aerospace Component Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Automation Machinery Manufacturing",0,1,0.0,0.02
"Financial Services, Investment Banking, and Investment Management",0,6,0.0,0.14
"Financial Services, Investment Banking, and Banking",0,1,0.0,0.02
"Appliances, Electrical, and Electronics Manufacturing and Industrial Machinery Manufacturing",0,1,0.0,0.02
"Alternative Medicine, Hospitals and Health Care, and Mental Health Care",0,1,0.0,0.02
"Construction, Civil Engineering, and Industrial Machinery Manufacturing",0,4,0.0,0.09
"Construction, Building Construction, and Architecture and Planning",0,1,0.0,0.02
Construction and Machinery Manufacturing,0,2,0.0,0.05
Construction and Civil Engineering,0,7,0.0,0.17
"Education Administration Programs, Higher Education, and Primary and Secondary Education",0,1,0.0,0.02
"Software Development, Technology, Information and Media, and Consumer Services",0,2,0.0,0.05
Education Administration Programs and E-Learning Providers,0,2,0.0,0.05
"Computers and Electronics Manufacturing, Software Development, and Financial Services",0,1,0.0,0.02
Computers and Electronics Manufacturing and Retail,0,1,0.0,0.02
"Computer and Network Security, Software Development, and IT System Custom Software Development",0,2,0.0,0.05
"Computer and Network Security, Software Development, and Defense and Space Manufacturing",0,2,0.0,0.05
"Computer and Network Security, Government Administration, and IT Services and IT Consulting",0,1,0.0,0.02
"Computer Networking Products, Software Development, and Computer and Network Security",0,1,0.0,0.02
Financial Services and Banking,0,1,0.0,0.02
"Software Development, Technology, Information and Media, and Engineering Services",0,1,0.0,0.02
"Education Administration Programs, E-Learning Providers, and Higher Education",0,1,0.0,0.02
"Leasing Non-residential Real Estate, Facilities Services, and Real Estate",0,1,0.0,0.02
Leasing Non-residential Real Estate,0,1,0.0,0.02
"Computer Hardware Manufacturing, Computers and Electronics Manufacturing, and Semiconductor Manufacturing",0,1,0.0,0.02
"Computer Hardware Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Semiconductor Manufacturing",0,1,0.0,0.02
"Computer Hardware Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Computers and Electronics Manufacturing",0,4,0.0,0.09
"Defense and Space Manufacturing, Technology, Information and Media, and Software Development",0,1,0.0,0.02
"Defense and Space Manufacturing, Space Research and Technology, and Engineering Services",0,1,0.0,0.02
"Defense and Space Manufacturing, Software Development, and Armed Forces",0,1,0.0,0.02
Government Administration and IT Services and IT Consulting,0,10,0.0,0.24
"IT Services and IT Consulting, Software Development, and Business Consulting and Services",0,1,0.0,0.02
"IT Services and IT Consulting, Information Services, and Technology, Information and Media",0,1,0.0,0.02
"IT Services and IT Consulting, Information Services, and Research Services",0,5,0.0,0.12
"IT Services and IT Consulting, IT System Testing and Evaluation, and Software Development",0,1,0.0,0.02
"IT Services and IT Consulting, Financial Services, and Banking",0,3,0.0,0.07
"IT Services and IT Consulting, Engineering Services, and Software Development",0,1,0.0,0.02
"IT Services and IT Consulting, Computer and Network Security, and Security and Investigations",0,1,0.0,0.02
"IT Services and IT Consulting, Computer and Network Security, and Information Services",0,22,0.0,0.52
Information Technology & Services and Financial Services,0,1,0.0,0.02
"Defense and Space Manufacturing, Robotics Engineering, and Automation Machinery Manufacturing",0,1,0.0,0.02
Medical Equipment Manufacturing and Pharmaceutical Manufacturing,0,1,0.0,0.02
Medical Equipment Manufacturing and Hospitals and Health Care,0,2,0.0,0.05
Medical Equipment Manufacturing and Engineering Services,0,1,0.0,0.02
"Defense and Space Manufacturing, Government Administration, and Software Development",0,1,0.0,0.02
"Defense and Space Manufacturing, Engineering Services, and Aviation and Aerospace Component Manufacturing",0,1,0.0,0.02
"Defense and Space Manufacturing, Airlines and Aviation, and Semiconductor Manufacturing",0,1,0.0,0.02
"Accounting, Financial Services, and IT Services and IT Consulting",0,59,0.0,1.4
"Electric Power Generation, Electric Power Transmission, Control, and Distribution, and Utilities",0,1,0.0,0.02
"Investment Management, Financial Services, and Investment Banking",0,1,0.0,0.02
IT System Custom Software Development and Software Development,0,1,0.0,0.02
"Insurance, IT Services and IT Consulting, and Business Consulting and Services",0,1,0.0,0.02
"Insurance, Financial Services, and Business Consulting and Services",0,1,0.0,0.02
Insurance and Financial Services,0,3,0.0,0.07
"Insurance Agencies and Brokerages and Technology, Information and Media",0,1,0.0,0.02
"Information Technology & Services, Capital Markets, and Financial Services",0,1,0.0,0.02
"Biotechnology Research, Medical Equipment Manufacturing, and Research Services",0,2,0.0,0.05
"Biotechnology Research, Hospitals and Health Care, and Medical Equipment Manufacturing",0,1,0.0,0.02
"IT System Design Services and Technology, Information and Media",0,1,0.0,0.02
IT System Data Services and Software Development,0,3,0.0,0.07
"Investment Management, Business Consulting and Services, and IT Services and IT Consulting",0,1,0.0,0.02
"IT Services and IT Consulting, Software Development, and Financial Services",0,2,0.0,0.05
Hospitals and Health Care and Financial Services,0,1,0.0,0.02
"Hospitality, Food and Beverage Services, and Retail",0,3,0.0,0.07
Hospitality and Software Development,0,1,0.0,0.02
"Computer Games, Software Development, and Technology, Information and Internet",0,2,0.0,0.05
Climate Data and Analytics,0,1,0.0,0.02
Civic and Social Organizations and Non-profit Organizations,0,1,0.0,0.02
"Chemical Manufacturing, Food and Beverage Services, and Food and Beverage Manufacturing",0,2,0.0,0.05
"Capital Markets, Venture Capital and Private Equity Principals, and Investment Management",0,1,0.0,0.02
"Information Services, IT Services and IT Consulting, and IT System Testing and Evaluation",0,1,0.0,0.02
IT Services and IT Consulting and Utilities,0,1,0.0,0.02
IT Services and IT Consulting and Telecommunications,0,1,0.0,0.02
IT Services and IT Consulting and Staffing and Recruiting,0,3,0.0,0.07
IT Services and IT Consulting and Software Development,0,3,0.0,0.07
IT Services and IT Consulting and Restaurants,0,1,0.0,0.02
IT Services and IT Consulting and Investment Banking,0,1,0.0,0.02
IT Services and IT Consulting and Hospitals and Health Care,0,2,0.0,0.05
"Health, Wellness & Fitness",0,1,0.0,0.02
"Government Administration, Railroad Equipment Manufacturing, and Rail Transportation",0,1,0.0,0.02
IT Services and IT Consulting and Wholesale Building Materials,0,1,0.0,0.02
"Information Services, Financial Services, and Technology, Information and Media",0,1,0.0,0.02
"Information Services, Banking, and Financial Services",0,1,0.0,0.02
"Information Services and Technology, Information and Media",0,3,0.0,0.07
"Information Services and Technology, Information and Internet",0,71,0.0,1.68
Information Services and Software Development,0,1,0.0,0.02
Information Services and Engineering Services,0,1,0.0,0.02
IT Services and IT Consulting and Health and Human Services,0,1,0.0,0.02
IT Services and IT Consulting and Financial Services,0,5,0.0,0.12
IT Services and IT Consulting and Engineering Services,0,1,0.0,0.02
"IT Services and IT Consulting, Software Development, and Higher Education",0,1,0.0,0.02
"Hospitals and Health Care, Technology, Information and Media, and Software Development",0,1,0.0,0.02
"Hospitals and Health Care, Software Development, and Health and Human Services",0,1,0.0,0.02
"Hospitals and Health Care, Medical Practices, and Wellness and Fitness Services",0,2,0.0,0.05
IT System Custom Software Development and IT Services and IT Consulting,0,1,0.0,0.02
"IT Services and IT Consulting, Technology, Information and Internet, and Telecommunications",0,1,0.0,0.02
"IT Services and IT Consulting, Technology, Information and Internet, and Computer and Network Security",0,9,0.0,0.21
"IT Services and IT Consulting, Technology, Information and Internet, and Advertising Services",0,2,0.0,0.05
