,nmf_0,nmf_1,nmf_2,nmf_3,nmf_4,nmf_5,nmf_6,nmf_7,nmf_8,nmf_9,nmf_10,nmf_11
bert_23,0.0,0.15384615384615385,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.0,0.0
bert_24,0.034482758620689655,0.07142857142857142,0.15384615384615385,0.07142857142857142,0.07142857142857142,0.15384615384615385,0.0,0.07142857142857142,0.0,0.034482758620689655,0.15384615384615385,0.07142857142857142
bert_25,0.25,0.034482758620689655,0.034482758620689655,0.1111111111111111,0.0,0.07142857142857142,0.0,0.07142857142857142,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655
bert_26,0.0,0.07142857142857142,0.034482758620689655,0.07142857142857142,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655
bert_27,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.15384615384615385,0.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0
bert_28,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.15384615384615385
bert_29,0.0,0.25,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.034482758620689655,0.15384615384615385,0.0,0.0,0.07142857142857142
bert_30,0.0,0.034482758620689655,0.15384615384615385,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.07142857142857142,0.034482758620689655
bert_31,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.034482758620689655,0.0,0.0,0.07142857142857142
bert_32,0.0,0.1111111111111111,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.0,0.034482758620689655,0.07142857142857142,0.0,0.0,0.0
bert_33,0.0,0.07142857142857142,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0
bert_34,0.0,0.15384615384615385,0.0,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.07142857142857142,0.0,0.0,0.0
bert_35,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0
