company_industry,arshkon,scraped,arshkon_pct,scraped_pct
Food and Beverage Manufacturing,4,6,0.08,0.02
Computer Networking Products,4,1,0.08,0.0
Data Security Software Products,4,3,0.08,0.01
E-Learning Providers,4,15,0.08,0.06
Civil Engineering,4,85,0.08,0.35
"Agriculture, Construction, Mining Machinery Manufacturing",4,1,0.08,0.0
Space Research and Technology,4,16,0.08,0.07
Data Infrastructure and Analytics,4,18,0.08,0.07
Education,3,7,0.06,0.03
Civic and Social Organizations,3,0,0.06,0.0
Consumer Electronics,3,0,0.06,0.0
Computer Networking,3,0,0.06,0.0
Spectator Sports,3,11,0.06,0.05
Media Production,3,2,0.06,0.01
Maritime Transportation,3,3,0.06,0.01
Market Research,3,1,0.06,0.0
Legal Services,3,5,0.06,0.02
IT System Data Services,3,42,0.06,0.17
Executive Search Services,3,4,0.06,0.02
Outsourcing and Offshoring Consulting,3,1,0.06,0.0
Internet News,3,13,0.06,0.05
Book and Periodical Publishing,3,9,0.06,0.04
Military and International Affairs,2,0,0.04,0.0
Mental Health Care,2,36,0.04,0.15
Renewable Energy Power Generation,2,1,0.04,0.0
Paper and Forest Product Manufacturing,2,0,0.04,0.0
Personal Care Product Manufacturing,2,1,0.04,0.0
Medical Device,2,6,0.04,0.02
Nanotechnology Research,2,3,0.04,0.01
Renewable Energy Equipment Manufacturing,2,1,0.04,0.0
Professional Services,2,103,0.04,0.43
Strategic Management Services,2,0,0.04,0.0
Social Networking Platforms,2,14,0.04,0.06
Semiconductors,2,8,0.04,0.03
Security and Investigations,2,13,0.04,0.05
Robotics Engineering,2,40,0.04,0.17
Restaurants,2,9,0.04,0.04
Transportation Programs,2,0,0.04,0.0
Travel Arrangements,2,10,0.04,0.04
Agricultural Chemical Manufacturing,2,1,0.04,0.0
Veterinary Services,2,1,0.04,0.0
Writing and Editing,2,0,0.04,0.0
Venture Capital and Private Equity Principals,2,24,0.04,0.1
Plastics Manufacturing,2,3,0.04,0.01
IT System Testing and Evaluation,2,2,0.04,0.01
Events Services,2,0,0.04,0.0
Internet Publishing,2,202,0.04,0.84
Insurance Agencies and Brokerages,2,0,0.04,0.0
Business Content,2,1,0.04,0.0
Electrical Equipment Manufacturing,2,0,0.04,0.0
Engines and Power Transmission Equipment Manufacturing,2,1,0.04,0.0
Electric Power Generation,2,8,0.04,0.03
Business Intelligence Platforms,2,5,0.04,0.02
"Glass, Ceramics and Concrete Manufacturing",1,2,0.02,0.01
Furniture and Home Furnishings Manufacturing,1,1,0.02,0.0
Retail Groceries,1,0,0.02,0.0
Industrial Automation,1,6,0.02,0.02
Retail Office Equipment,1,11,0.02,0.05
Wood Product Manufacturing,1,0,0.02,0.0
Individual and Family Services,1,0,0.02,0.0
Food and Beverage Retail,1,3,0.02,0.01
Wholesale Machinery,1,0,0.02,0.0
Law Enforcement,1,0,0.02,0.0
Real Estate and Equipment Rental Services,1,0,0.02,0.0
Public Health,1,2,0.02,0.01
Facilities Services,1,6,0.02,0.02
Solar Electric Power Generation,1,0,0.02,0.0
Farming,1,1,0.02,0.0
IT System Operations and Maintenance,1,6,0.02,0.02
Public Relations and Communications Services,1,0,0.02,0.0
Building Construction,1,1,0.02,0.0
Think Tanks,1,2,0.02,0.01
Rail Transportation,1,3,0.02,0.01
Retail Pharmacies,1,4,0.02,0.02
Operations Consulting,1,0,0.02,0.0
Loan Brokers,1,0,0.02,0.0
Musicians,1,16,0.02,0.07
Research,1,8,0.02,0.03
Religious Institutions,1,1,0.02,0.0
Armed Forces,1,5,0.02,0.02
Architecture and Planning,1,4,0.02,0.02
Mechanical Or Industrial Engineering,1,0,0.02,0.0
Natural Gas Distribution,1,0,0.02,0.0
HVAC and Refrigeration Equipment Manufacturing,1,1,0.02,0.0
Metalworking Machinery Manufacturing,1,0,0.02,0.0
Securities and Commodity Exchanges,1,0,0.02,0.0
Biotechnology,1,4,0.02,0.02
Human Resources,1,1,0.02,0.0
Online Audio and Video Media,0,39,0.0,0.16
"Oil, Gas, and Mining, Chemical Manufacturing, and Wholesale Petroleum and Petroleum Products",0,1,0.0,0.0
"Online and Mail Order Retail, Internet Marketplace Platforms, and Retail",0,1,0.0,0.0
Photography,0,4,0.0,0.02
Plastics Manufacturing and Plastics and Rubber Product Manufacturing,0,1,0.0,0.0
"Professional Services, Pharmaceutical Manufacturing, and Medical Equipment Manufacturing",0,1,0.0,0.0
Philanthropic Fundraising Services and Information Services,0,1,0.0,0.0
Packaging and Containers Manufacturing,0,5,0.0,0.02
"Pharmaceutical Manufacturing, Industrial Machinery Manufacturing, and Manufacturing",0,1,0.0,0.0
"Paint, Coating, and Adhesive Manufacturing",0,1,0.0,0.0
Pharmaceutical Manufacturing and Biotechnology Research,0,8,0.0,0.03
"Pharmaceutical Manufacturing, Biotechnology Research, and Medical Equipment Manufacturing",0,2,0.0,0.01
Pharmaceutical Manufacturing and Medical Equipment Manufacturing,0,1,0.0,0.0
Pharmaceutical Manufacturing and Software Development,0,1,0.0,0.0
"Pharmaceutical Manufacturing, Industrial Machinery Manufacturing, and Oil and Gas",0,1,0.0,0.0
"Motor Vehicle Manufacturing, Renewable Energy Semiconductor Manufacturing, and Utilities",0,10,0.0,0.04
"Motor Vehicle Manufacturing, Motor Vehicle Parts Manufacturing, and Retail Motor Vehicles",0,1,0.0,0.0
"Motor Vehicle Manufacturing, Manufacturing, and Armed Forces",0,1,0.0,0.0
"Motor Vehicle Manufacturing, Industrial Machinery Manufacturing, and Truck Transportation",0,1,0.0,0.0
"Motor Vehicle Manufacturing, Industrial Machinery Manufacturing, and Appliances, Electrical, and Electronics Manufacturing",0,1,0.0,0.0
"Motor Vehicle Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Industrial Machinery Manufacturing",0,7,0.0,0.03
"Motor Vehicle Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and IT Services and IT Consulting",0,151,0.0,0.63
"Motor Vehicle Manufacturing, Agriculture, Construction, Mining Machinery Manufacturing, and Automation Machinery Manufacturing",0,1,0.0,0.0
Motor Vehicle Manufacturing and Truck Transportation,0,1,0.0,0.0
Motor Vehicle Manufacturing and Software Development,0,2,0.0,0.01
"Oil and Gas, Utilities, and Renewable Energy Semiconductor Manufacturing",0,8,0.0,0.03
"Oil and Gas, Pipeline Transportation, and Energy Technology",0,1,0.0,0.0
"Oil and Gas, Industrial Machinery Manufacturing, and Energy Technology",0,1,0.0,0.0
"Aviation and Aerospace Component Manufacturing, Computer Hardware Manufacturing, and Software Development",0,1,0.0,0.0
Oil and Gas and Utilities,0,2,0.0,0.01
"Oil and Gas and Transportation, Logistics, Supply Chain and Storage",0,1,0.0,0.0
Oil and Gas and Oil Extraction,0,1,0.0,0.0
Oil and Gas and Engineering Services,0,1,0.0,0.0
Nuclear Electric Power Generation,0,8,0.0,0.03
"Non-profit Organizations, IT Services and IT Consulting, and Staffing and Recruiting",0,2,0.0,0.01
"Non-profit Organizations, Hospitals, and Mental Health Care",0,1,0.0,0.0
"Non-profit Organizations and Technology, Information and Media",0,2,0.0,0.01
Non-profit Organizations and Primary and Secondary Education,0,7,0.0,0.03
Non-profit Organizations and Information Services,0,1,0.0,0.0
Non-profit Organizations and IT Services and IT Consulting,0,1,0.0,0.0
Non-profit Organizations and Government Relations Services,0,1,0.0,0.0
Primary and Secondary Education and Engineering Services,0,1,0.0,0.0
"Oil and Gas, Defense and Space Manufacturing, and Aviation and Aerospace Component Manufacturing",0,5,0.0,0.02
Retail and Business Consulting and Services,0,1,0.0,0.0
"Retail Office Equipment, E-Learning Providers, and Professional Training and Coaching",0,4,0.0,0.02
"Retail Office Equipment, Consumer Services, and Environmental Services",0,1,0.0,0.0
Retail Health and Personal Care Products,0,3,0.0,0.01
"Retail Appliances, Electrical, and Electronic Equipment",0,1,0.0,0.0
"Retail Apparel and Fashion, IT Services and IT Consulting, and Retail",0,1,0.0,0.0
Retail Apparel and Fashion and Retail Luxury Goods and Jewelry,0,1,0.0,0.0
Research Services and Financial Services,0,1,0.0,0.0
"Real Estate, Venture Capital and Private Equity Principals, and Investment Banking",0,1,0.0,0.0
"Real Estate, Financial Services, and Capital Markets",0,6,0.0,0.02
"Robotics Engineering, Industrial Machinery Manufacturing, and Electrical Equipment Manufacturing",0,1,0.0,0.0
"Professional Services, Manufacturing, and Technology, Information and Media",0,1,0.0,0.0
Robotics Engineering and Software Development,0,2,0.0,0.01
Robotics Engineering and Robot Manufacturing,0,2,0.0,0.01
Robotics Engineering and Farming,0,1,0.0,0.0
Robot Manufacturing and Robotics Engineering,0,1,0.0,0.0
Robot Manufacturing,0,6,0.0,0.02
"Retail, Warehousing and Storage, and Transportation, Logistics, Supply Chain and Storage",0,1,0.0,0.0
"Retail, Transportation, Logistics, Supply Chain and Storage, and Internet Marketplace Platforms",0,1,0.0,0.0
"Retail, Software Development, and IT System Custom Software Development",0,1,0.0,0.0
"Retail, Retail Pharmacies, and Retail Office Equipment",0,1,0.0,0.0
"Retail, Retail Apparel and Fashion, and IT Services and IT Consulting",0,1,0.0,0.0
"Retail, Retail Apparel and Fashion, and Consumer Services",0,1,0.0,0.0
"Retail, Consumer Services, and Entertainment Providers",0,1,0.0,0.0
"Robotics Engineering, Engineering Services, and Manufacturing",0,1,0.0,0.0
"Aviation and Aerospace Component Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Automation Machinery Manufacturing",0,5,0.0,0.02
"Aviation and Aerospace Component Manufacturing, Airlines and Aviation, and Defense and Space Manufacturing",0,1,0.0,0.0
Aviation and Aerospace Component Manufacturing and Defense and Space Manufacturing,0,4,0.0,0.02
Aviation & Aerospace,0,17,0.0,0.07
Automation Machinery Manufacturing and Robotics Engineering,0,1,0.0,0.0
Automation Machinery Manufacturing and Motor Vehicle Manufacturing,0,1,0.0,0.0
"Architecture and Planning, Design Services, and Civil Engineering",0,1,0.0,0.0
"Architecture and Planning, Civil Engineering, and Construction",0,3,0.0,0.01
Architecture and Planning and Design Services,0,2,0.0,0.01
"Appliances, Electrical, and Electronics Manufacturing, Transportation, Logistics, Supply Chain and Storage, and Industrial Machinery Manufacturing",0,3,0.0,0.01
Motor Vehicle Parts Manufacturing,0,4,0.0,0.02
Retail and IT Services and IT Consulting,0,2,0.0,0.01
"Real Estate, Financial Services, and Banking",0,1,0.0,0.0
"Real Estate and Transportation, Logistics, Supply Chain and Storage",0,7,0.0,0.03
Real Estate and IT System Design Services,0,1,0.0,0.0
Real Estate and Financial Services,0,1,0.0,0.0
Real Estate Agents and Brokers,0,1,0.0,0.0
Railroad Equipment Manufacturing and Rail Transportation,0,2,0.0,0.01
Railroad Equipment Manufacturing,0,2,0.0,0.01
Public Safety and Telecommunications,0,1,0.0,0.0
"Public Relations and Communications Services, Energy Technology, and Engineering Services",0,1,0.0,0.0
Public Policy Offices,0,1,0.0,0.0
"Public Health, Health and Human Services, and Hospitals and Health Care",0,1,0.0,0.0
Professional Training and Coaching,0,7,0.0,0.03
Professional Services and Data Infrastructure and Analytics,0,1,0.0,0.0
"Internet Marketplace Platforms, Transportation, Logistics, Supply Chain and Storage, and Software Development",0,1,0.0,0.0
Internet Marketplace Platforms and IT Services and IT Consulting,0,1,0.0,0.0
"Insurance, IT Services and IT Consulting, and Financial Services",0,1,0.0,0.0
"Insurance, IT Services and IT Consulting, and Business Consulting and Services",0,1,0.0,0.0
"Insurance, Financial Services, and IT Services and IT Consulting",0,1,0.0,0.0
Manufacturing and Online and Mail Order Retail,0,2,0.0,0.01
Manufacturing and Industrial Machinery Manufacturing,0,1,0.0,0.0
Manufacturing and IT System Custom Software Development,0,1,0.0,0.0
Manufacturing and Food and Beverage Services,0,6,0.0,0.02
Manufacturing and Food and Beverage Manufacturing,0,1,0.0,0.0
Manufacturing and Engineering Services,0,1,0.0,0.0
Manufacturing and Construction,0,1,0.0,0.0
"Machinery Manufacturing, Manufacturing, and Construction",0,1,0.0,0.0
Medical Practices and Hospitals,0,3,0.0,0.01
Machinery Manufacturing and Industrial Machinery Manufacturing,0,1,0.0,0.0
"Leisure, Travel & Tourism",0,4,0.0,0.02
"Legal Services, Software Development, and IT Services and IT Consulting",0,3,0.0,0.01
"Leasing Non-residential Real Estate, IT Services and IT Consulting, and Research Services",0,6,0.0,0.02
"Leasing Non-residential Real Estate, Facilities Services, and Real Estate",0,1,0.0,0.0
Leasing Non-residential Real Estate,0,1,0.0,0.0
Marketing Services and Retail,0,1,0.0,0.0
"Manufacturing, Wholesale Building Materials, and Retail",0,1,0.0,0.0
"Manufacturing, Semiconductor Manufacturing, and Aviation and Aerospace Component Manufacturing",0,1,0.0,0.0
"Manufacturing, Machinery Manufacturing, and Computers and Electronics Manufacturing",0,1,0.0,0.0
"Manufacturing, Hospitals and Health Care, and Medical Equipment Manufacturing",0,1,0.0,0.0
"Manufacturing, Hospitality, and Restaurants",0,3,0.0,0.01
"Manufacturing, Health and Human Services, and Software Development",0,1,0.0,0.0
"Machinery Manufacturing, Aviation and Aerospace Component Manufacturing, and Defense and Space Manufacturing",0,1,0.0,0.0
Information Technology & Services and Motor Vehicle Manufacturing,0,1,0.0,0.0
Information Technology & Services and Financial Services,0,3,0.0,0.01
"Information Services, Technology, Information and Media, and Staffing and Recruiting",0,1,0.0,0.0
"Information Services, Technology, Information and Media, and Financial Services",0,1,0.0,0.0
"Insurance, Financial Services, and Business Consulting and Services",0,1,0.0,0.0
"Biotechnology Research, Research Services, and Medical Equipment Manufacturing",0,2,0.0,0.01
"Biotechnology Research, Research Services, and Hospitals and Health Care",0,2,0.0,0.01
"Biotechnology Research, Pharmaceutical Manufacturing, and Appliances, Electrical, and Electronics Manufacturing",0,2,0.0,0.01
"Biotechnology Research, Medical Equipment Manufacturing, and Research Services",0,3,0.0,0.01
"Biotechnology Research, Hospitals and Health Care, and Medical Equipment Manufacturing",0,3,0.0,0.01
Biotechnology Research and Pharmaceutical Manufacturing,0,3,0.0,0.01
"Banking, Software Development, and Investment Banking",0,1,0.0,0.0
"Banking, Investment Banking, and IT Services and IT Consulting",0,1,0.0,0.0
Internet Publishing and Marketing Services,0,1,0.0,0.0
"Banking, Investment Banking, and Capital Markets",0,1,0.0,0.0
"Banking, Insurance, and Financial Services",0,1,0.0,0.0
"Banking, Information Services, and Software Development",0,1,0.0,0.0
"Banking, Financial Services, and Investment Management",0,2,0.0,0.01
"Banking, Financial Services, and Investment Banking",0,39,0.0,0.16
"Law Practice, Courts of Law, and Legal Services",0,1,0.0,0.0
Law Practice and Legal Services,0,6,0.0,0.02
"Investment Management, Real Estate, and Venture Capital and Private Equity Principals",0,1,0.0,0.0
"Investment Management, Financial Services, and Investment Banking",0,1,0.0,0.0
"Investment Management, Financial Services, and Capital Markets",0,1,0.0,0.0
"Investment Management, Capital Markets, and Financial Services",0,2,0.0,0.01
"Investment Management, Business Consulting and Services, and IT Services and IT Consulting",0,1,0.0,0.0
Investment Management and Financial Services,0,1,0.0,0.0
"Investment Banking, Banking, and IT Services and IT Consulting",0,1,0.0,0.0
"Banking, Investment Banking, and Financial Services",0,11,0.0,0.05
"Banking and Technology, Information and Internet",0,1,0.0,0.0
Banking and Software Development,0,1,0.0,0.0
Banking and Investment Banking,0,2,0.0,0.01
Banking and Financial Services,0,32,0.0,0.13
Banking and Capital Markets,0,1,0.0,0.0
"Aviation and Aerospace Component Manufacturing, Engineering Services, and Defense and Space Manufacturing",0,1,0.0,0.0
"Aviation and Aerospace Component Manufacturing, Defense and Space Manufacturing, and Manufacturing",0,2,0.0,0.01
"Aviation and Aerospace Component Manufacturing, Defense and Space Manufacturing, and Engines and Power Transmission Equipment Manufacturing",0,1,0.0,0.0
"Aviation and Aerospace Component Manufacturing, Defense and Space Manufacturing, and Biotechnology Research",0,2,0.0,0.01
"Aviation and Aerospace Component Manufacturing, Defense and Space Manufacturing, and Airlines and Aviation",0,2,0.0,0.01
Motor Vehicle Manufacturing and Retail,0,2,0.0,0.01
Motor Vehicle Manufacturing and Research Services,0,3,0.0,0.01
Motor Vehicle Manufacturing and Motor Vehicle Parts Manufacturing,0,5,0.0,0.02
"Manufacturing, Food and Beverage Manufacturing, and Food and Beverage Services",0,2,0.0,0.01
"Motor Vehicle Manufacturing and Agriculture, Construction, Mining Machinery Manufacturing",0,1,0.0,0.0
Mobile Gaming Apps,0,9,0.0,0.04
Mobile Computing Software Products,0,3,0.0,0.01
"Mining, Aviation and Aerospace Component Manufacturing, and Chemical Manufacturing",0,1,0.0,0.0
Metal Ore Mining,0,8,0.0,0.03
Mental Health Care and Software Development,0,1,0.0,0.0
Medical and Diagnostic Laboratories,0,3,0.0,0.01
"Medical Practices, Engineering Services, and Biotechnology Research",0,1,0.0,0.0
"Medical Practices, Biotechnology Research, and Engineering Services",0,1,0.0,0.0
Retail and Retail Recyclable Materials & Used Merchandise,0,1,0.0,0.0
Medical Practices,0,8,0.0,0.03
Newspaper Publishing,0,5,0.0,0.02
"Museums, Historical Sites, and Zoos",0,1,0.0,0.0
"Movies, Videos, and Sound",0,1,0.0,0.0
Motor Vehicle Manufacturing and Industrial Machinery Manufacturing,0,1,0.0,0.0
"Manufacturing, Aviation and Aerospace Component Manufacturing, and Motor Vehicle Manufacturing",0,1,0.0,0.0
"Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Medical Equipment Manufacturing",0,2,0.0,0.01
"Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Electrical Equipment Manufacturing",0,1,0.0,0.0
Manufacturing and Wholesale,0,2,0.0,0.01
Manufacturing and Textile Manufacturing,0,1,0.0,0.0
Manufacturing and Software Development,0,1,0.0,0.0
Manufacturing and Retail Apparel and Fashion,0,1,0.0,0.0
Manufacturing and Retail,0,1,0.0,0.0
"Medical Equipment Manufacturing, Pharmaceutical Manufacturing, and Hospitals and Health Care",0,1,0.0,0.0
"Medical Equipment Manufacturing, Pharmaceutical Manufacturing, and Biotechnology Research",0,3,0.0,0.01
"Medical Equipment Manufacturing, Hospitals and Health Care, and Pharmaceutical Manufacturing",0,9,0.0,0.04
"Medical Equipment Manufacturing, Biotechnology Research, and Pharmaceutical Manufacturing",0,1,0.0,0.0
"Medical Equipment Manufacturing, Biotechnology Research, and Hospitals and Health Care",0,1,0.0,0.0
"Banking, Capital Markets, and Financial Services",0,5,0.0,0.02
"Medical Equipment Manufacturing and Technology, Information and Media",0,1,0.0,0.0
Medical Equipment Manufacturing and Pharmaceutical Manufacturing,0,1,0.0,0.0
Medical Equipment Manufacturing and Hospitals and Health Care,0,2,0.0,0.01
Medical Equipment Manufacturing and Engineering Services,0,2,0.0,0.01
"Mechanical Or Industrial Engineering, HVAC and Refrigeration Equipment Manufacturing, and Boilers, Tanks, and Shipping Container Manufacturing",0,1,0.0,0.0
Mechanical Or Industrial Engineering and Manufacturing,0,1,0.0,0.0
"Measuring and Control Instrument Manufacturing, Plastics Manufacturing, and Automation Machinery Manufacturing",0,1,0.0,0.0
Measuring and Control Instrument Manufacturing,0,1,0.0,0.0
Marketing Services and Software Development,0,1,0.0,0.0
"Medical Equipment Manufacturing, Software Development, and Hospitals and Health Care",0,1,0.0,0.0
"Banking, Financial Services, and Insurance",0,5,0.0,0.02
"Banking, Financial Services, and IT Services and IT Consulting",0,9,0.0,0.04
"Banking, Financial Services, and Capital Markets",0,3,0.0,0.01
"Banking, Capital Markets, and IT Services and IT Consulting",0,1,0.0,0.0
"Medical Equipment Manufacturing, Biotechnology Research, and Defense and Space Manufacturing",0,1,0.0,0.0
"Staffing and Recruiting, IT Services and IT Consulting, and Business Consulting and Services",0,3,0.0,0.01
"Staffing and Recruiting, IT Services and IT Consulting, and Audio and Video Equipment Manufacturing",0,1,0.0,0.0
"Staffing and Recruiting, Hospitals and Health Care, and Software Development",0,1,0.0,0.0
"Staffing and Recruiting, Engineering Services, and IT Services and IT Consulting",0,1,0.0,0.0
"Staffing and Recruiting, Construction, and Building Construction",0,1,0.0,0.0
"Staffing and Recruiting, Civil Engineering, and Engineering Services",0,1,0.0,0.0
"Staffing and Recruiting, Banking, and Investment Banking",0,1,0.0,0.0
"Staffing and Recruiting and Technology, Information and Media",0,4,0.0,0.02
Staffing and Recruiting and Real Estate,0,1,0.0,0.0
Staffing and Recruiting and Medical Equipment Manufacturing,0,2,0.0,0.01
"Technology, Information and Internet, Computer Networking Products, and Software Development",0,3,0.0,0.01
"Technology, Information and Internet, Business Consulting and Services, and Marketing Services",0,12,0.0,0.05
"Technology, Information and Internet, Banking, and Investment Banking",0,2,0.0,0.01
"Semiconductor Manufacturing, Computers and Electronics Manufacturing, and Software Development",0,1,0.0,0.0
"Technology, Information and Internet and Wellness and Fitness Services",0,1,0.0,0.0
"Technology, Information and Internet and Transportation, Logistics, Supply Chain and Storage",0,13,0.0,0.05
"Technology, Information and Internet and Software Development",0,7,0.0,0.03
"Technology, Information and Internet and Semiconductor Manufacturing",0,1,0.0,0.0
"Technology, Information and Internet and Health and Human Services",0,1,0.0,0.0
"Technology, Information and Internet and Financial Services",0,9,0.0,0.04
"Technology, Information and Internet and Computer and Network Security",0,2,0.0,0.01
"Technology, Information and Internet and Banking",0,2,0.0,0.01
"Technology, Information and Internet and Appliances, Electrical, and Electronics Manufacturing",0,1,0.0,0.0
"Staffing and Recruiting, Software Development, and IT Services and IT Consulting",0,2,0.0,0.01
"Staffing and Recruiting, Semiconductor Manufacturing, and Computer Hardware Manufacturing",0,1,0.0,0.0
"Staffing and Recruiting, Manufacturing, and Civil Engineering",0,1,0.0,0.0
"Technology, Information and Media, Computer Hardware Manufacturing, and Software Development",0,1,0.0,0.0
"Technology, Information and Media and Software Development",0,6,0.0,0.02
"Technology, Information and Internet, Advertising Services, and Industrial Machinery Manufacturing",0,1,0.0,0.0
"Appliances, Electrical, and Electronics Manufacturing, Industrial Machinery Manufacturing, and Manufacturing",0,1,0.0,0.0
"Appliances, Electrical, and Electronics Manufacturing, IT Services and IT Consulting, and Software Development",0,1,0.0,0.0
"Appliances, Electrical, and Electronics Manufacturing, Automation Machinery Manufacturing, and Motor Vehicle Parts Manufacturing",0,1,0.0,0.0
"Appliances, Electrical, and Electronics Manufacturing and Utilities",0,1,0.0,0.0
"Appliances, Electrical, and Electronics Manufacturing and Technology, Information and Media",0,1,0.0,0.0
"Appliances, Electrical, and Electronics Manufacturing and Software Development",0,2,0.0,0.01
"Appliances, Electrical, and Electronics Manufacturing and Semiconductor Manufacturing",0,9,0.0,0.04
"Appliances, Electrical, and Electronics Manufacturing and Manufacturing",0,1,0.0,0.0
"Appliances, Electrical, and Electronics Manufacturing and Industrial Machinery Manufacturing",0,6,0.0,0.02
Staffing and Recruiting and Manufacturing,0,1,0.0,0.0
Staffing and Recruiting and Information Services,0,1,0.0,0.0
Staffing and Recruiting and IT Services and IT Consulting,0,8,0.0,0.03
Staffing and Recruiting and Hospitals and Health Care,0,2,0.0,0.01
Staffing and Recruiting and Government Administration,0,1,0.0,0.0
"Staffing and Recruiting, IT Services and IT Consulting, and Civil Engineering",0,2,0.0,0.01
Staffing and Recruiting and Broadcast Media Production and Distribution,0,1,0.0,0.0
"Staffing and Recruiting and Appliances, Electrical, and Electronics Manufacturing",0,1,0.0,0.0
"Spectator Sports, Software Development, and Information Services",0,3,0.0,0.01
"Space Research and Technology, Automation Machinery Manufacturing, and Robotics Engineering",0,1,0.0,0.0
Space Research and Technology and Defense and Space Manufacturing,0,1,0.0,0.0
"Software Development, Technology, Information and Media, and Staffing and Recruiting",0,1,0.0,0.0
"Software Development, Technology, Information and Media, and Information Services",0,2,0.0,0.01
"Software Development, Technology, Information and Media, and IT System Data Services",0,1,0.0,0.0
"Software Development, Technology, Information and Media, and IT System Custom Software Development",0,1,0.0,0.0
"Staffing and Recruiting, Manufacturing, and Agriculture, Construction, Mining Machinery Manufacturing",0,1,0.0,0.0
"Staffing and Recruiting, IT Services and IT Consulting, and Software Development",0,2,0.0,0.01
"Staffing and Recruiting, IT Services and IT Consulting, and Information Services",0,1,0.0,0.0
"Staffing and Recruiting, IT Services and IT Consulting, and Financial Services",0,1,0.0,0.0
"Staffing and Recruiting, IT Services and IT Consulting, and Engineering Services",0,1,0.0,0.0
Staffing and Recruiting and Financial Services,0,3,0.0,0.01
Warehousing and Storage,0,1,0.0,0.0
Venture Capital and Private Equity Principals and Investment Banking,0,1,0.0,0.0
Venture Capital and Private Equity Principals and Banking,0,2,0.0,0.01
Vehicle Repair and Maintenance,0,1,0.0,0.0
"Utilities, Utilities Administration, and Oil and Gas",0,1,0.0,0.0
