term,count_a,count_b,freq_a,freq_b,z_score,abs_z,category
criminal,117,605,0.0004418729369821211,0.0006943161330378568,-4.478941551865402,4.478941551865402,
internships,15,4,5.665037653616938e-05,4.590519887853599e-06,4.466670187790989,4.466670187790989,
delivery,167,803,0.000630707525436019,0.00092154686748661,-4.46457442362118,4.46457442362118,
mechanical,77,134,0.0002908052662190028,0.00015378241624309556,4.455162246156926,4.455162246156926,
include,395,998,0.0014917932487857936,0.001145334712019473,4.447902875327052,4.447902875327052,
pipelines,163,786,0.0006156007583597073,0.0009020371579632322,-4.4448645350973255,4.4448645350973255,
ethical,29,30,0.0001095240613032608,3.4428899158901994e-05,4.444008686416648,4.444008686416648,
contingent,29,30,0.0001095240613032608,3.4428899158901994e-05,4.444008686416648,4.444008686416648,
react,138,687,0.0005211834641327583,0.0007884217907388557,-4.4422953499688225,4.4422953499688225,
confirming,15,3,5.665037653616938e-05,3.4428899158901995e-06,4.429992026756629,4.429992026756629,
almost,33,38,0.00012463082837957262,4.360993893460919e-05,4.4131571475448235,4.4131571475448235,
saic,21,16,7.931052715063713e-05,1.8362079551414397e-05,4.409214800953513,4.409214800953513,
combat,21,16,7.931052715063713e-05,1.8362079551414397e-05,4.409214800953513,4.409214800953513,
crime,37,46,0.00013973759545588446,5.279097871031639e-05,4.408096680031008,4.408096680031008,
breastfeeding,35,42,0.00013218421191772854,4.820045882246279e-05,4.40798074596263,4.40798074596263,
york,85,470,0.00032101880037162646,0.0005393860868227979,-4.4060586691571455,4.4060586691571455,
architectural,30,232,0.00011330075307233876,0.0002662501534955087,-4.404832576699084,4.404832576699084,System Design
docker,95,511,0.00035878571806240606,0.0005864389156732973,-4.401302997660104,4.401302997660104,
domain,45,299,0.00016995112960850814,0.00034314136161705654,-4.396164039939067,4.396164039939067,
technologies,653,2600,0.002466179725207907,0.0029838379271048395,-4.37018225253822,4.37018225253822,
retool,16,2,6.042706830524734e-05,2.2952599439267997e-06,4.364537527112752,4.364537527112752,
saving,19,13,7.175714361248121e-05,1.4919189635524197e-05,4.363920032195712,4.363920032195712,
anticipates,19,13,7.175714361248121e-05,1.4919189635524197e-05,4.363920032195712,4.363920032195712,
operator,15,6,5.665037653616938e-05,6.885779831780399e-06,4.363356783884086,4.363356783884086,
veterans,77,136,0.0002908052662190028,0.00015607767618702238,4.363271227126663,4.363271227126663,
non,141,694,0.0005325135394399921,0.0007964552005425994,-4.362936828059116,4.362936828059116,
sexual,384,972,0.001450249639325936,0.0011154963327484246,4.355871486068894,4.355871486068894,
lifecycle,147,313,0.0005551736900544599,0.0003592081812245441,4.354320494454139,4.354320494454139,
bargaining,23,20,8.686391068879305e-05,2.2952599439267995e-05,4.353274239735655,4.353274239735655,
prior,95,180,0.00035878571806240606,0.00020657339495341195,4.353235051871381,4.353235051871381,
required,715,1946,0.0027003346148907403,0.002233287925440776,4.347746207787548,4.347746207787548,
nation,57,90,0.00021527143083744364,0.00010328669747670598,4.33830939239045,4.33830939239045,
safety,133,277,0.0005023000052873684,0.00031789350223386173,4.3365242443229635,4.3365242443229635,
college,37,47,0.00013973759545588446,5.393860868227979e-05,4.331298410888367,4.331298410888367,
progressive,35,43,0.00013218421191772854,4.9348088794426194e-05,4.328106055531447,4.328106055531447,
states,193,437,0.000728901511432046,0.0005015142977480057,4.326499176150733,4.326499176150733,
family,145,309,0.000547620306516304,0.00035461766133669054,4.316838945620766,4.316838945620766,
discriminate,107,211,0.0004041060192913416,0.00024214992408427735,4.314977373602342,4.314977373602342,
heroku,14,4,5.287368476709142e-05,4.590519887853599e-06,4.311693775898007,4.311693775898007,
university,55,86,0.00020771804729928772,9.869617758885239e-05,4.309896309207318,4.309896309207318,
pension,21,17,7.931052715063713e-05,1.9509709523377798e-05,4.298903490215932,4.298903490215932,
force,49,73,0.00018505789668481996,8.377698795332819e-05,4.291231470937006,4.291231470937006,
android,39,267,0.00014729097899404038,0.00030641720251422774,-4.27479642939184,4.27479642939184,
restful,35,249,0.00013218421191772854,0.00028575986301888656,-4.272129600296603,4.272129600296603,
ordinance,39,52,0.00014729097899404038,5.9676758542096786e-05,4.265122373562157,4.265122373562157,
