term,count_a,count_b,freq_a,freq_b,z_score,abs_z,category,favors
software_engineering,169,275,0.0010592888348449614,0.0018076050875866828,-5.473945386303267,5.473945386303267,,Junior 2026 (scraped)
ai_generated,3,71,1.8803943813815885e-05,0.0004666907680678345,-5.452612330727943,5.452612330727943,AI/LLM,Junior 2026 (scraped)
team_members,198,96,0.0012410602917118485,0.0006310185033029875,5.444200782961246,5.444200782961246,,Junior 2024 (arshkon)
talent_solutions,65,9,0.0004074187826326775,5.915798468465508e-05,5.426742836969659,5.426742836969659,,Junior 2024 (arshkon)
information_collected,3,65,1.8803943813815885e-05,0.0004272521116113978,-5.2926099434202545,5.2926099434202545,,Junior 2026 (scraped)
los_angeles,19,71,0.00011909164415416726,0.0004666907680678345,-5.288266948523166,5.288266948523166,,Junior 2026 (scraped)
gender_identity,342,206,0.002143649594775011,0.0013540605383376607,5.21900377023137,5.21900377023137,,Junior 2024 (arshkon)
privacy_policy,13,61,8.14837565265355e-05,0.00040095967397377327,-5.216719705123616,5.216719705123616,,Junior 2026 (scraped)
clients_across,77,21,0.00048263455788794104,0.00013803529759752852,5.086086086285894,5.086086086285894,,Junior 2024 (arshkon)
rust_go,7,51,4.387586889890373e-05,0.0003352285798797121,-5.045530288471142,5.045530288471142,,Junior 2026 (scraped)
large_language,7,51,4.387586889890373e-05,0.0003352285798797121,-5.045530288471142,5.045530288471142,,Junior 2026 (scraped)
real_world,47,108,0.0002945951197497822,0.000709895816215861,-5.034647125088166,5.034647125088166,,Junior 2026 (scraped)
sexual_orientation,378,238,0.0023692969205408015,0.0015644000394386564,5.027279366112637,5.027279366112637,,Junior 2024 (arshkon)
language_models,6,50,3.760788762763177e-05,0.00032865547047030596,-5.018286275745684,5.018286275745684,,Junior 2026 (scraped)
orientation_gender,280,164,0.0017550347559561492,0.0010779899431426036,4.964482980690779,4.964482980690779,,Junior 2024 (arshkon)
wide_range,63,14,0.0003948828200901336,9.202353173168567e-05,4.930633133522585,4.930633133522585,,Junior 2024 (arshkon)
action_employer,66,16,0.00041368676390394945,0.00010516975055049791,4.915810514128547,4.915810514128547,,Junior 2024 (arshkon)
software_systems,80,25,0.000501438501701757,0.00016432773523515298,4.870512116136811,4.870512116136811,System Design,Junior 2024 (arshkon)
javascript_including,3,51,1.8803943813815885e-05,0.0003352285798797121,-4.851739998895253,4.851739998895253,,Junior 2026 (scraped)
base_salary,55,116,0.00034473896991995786,0.0007624806914911099,-4.850283593374459,4.850283593374459,,Junior 2026 (scraped)
affirmative_action,89,31,0.0005578503331432046,0.0002037663916915897,4.830939711958545,4.830939711958545,,Junior 2024 (arshkon)
cloud_platforms,22,68,0.00013789558796798316,0.0004469714398396161,-4.79505812939803,4.79505812939803,,Junior 2026 (scraped)
experience_strong,10,50,6.267981271271962e-05,0.00032865547047030596,-4.783479084652737,4.783479084652737,,Junior 2026 (scraped)
development_team,72,21,0.0004512946515315812,0.00013803529759752852,4.777797166506917,4.777797166506917,,Junior 2024 (arshkon)
interpersonal_skills,51,8,0.00031966704483487,5.258487527524896e-05,4.747035732654825,4.747035732654825,,Junior 2024 (arshkon)
web_services,66,18,0.00041368676390394945,0.00011831596936931016,4.708556525532601,4.708556525532601,,Junior 2024 (arshkon)
consistent_requirements,56,12,0.00035100695119122985,7.887731291287344e-05,4.693970933520752,4.693970933520752,,Junior 2024 (arshkon)
per_year,46,101,0.00028832713847851024,0.0006638840503500181,-4.689963637935523,4.689963637935523,,Junior 2026 (scraped)
benefits_pay,4,44,2.5071925085087846e-05,0.00028921681401386924,-4.683990616764491,4.683990616764491,,Junior 2026 (scraped)
continuous_integration,67,19,0.00041995474517522144,0.00012488907877871626,4.666929804333906,4.666929804333906,,Junior 2024 (arshkon)
race_color,275,166,0.0017236948495997894,0.0010911361619614158,4.659577487992881,4.659577487992881,,Junior 2024 (arshkon)
