company,n_arsh,n_scraped,j1_arsh,j1_scraped,j2_arsh,j2_scraped,j3_arsh,j3_scraped,j4_arsh,j4_scraped,nyoe_arsh,nyoe_scraped,len_arsh,len_scraped,ai_arsh,ai_scraped
Mastech Digital,7,22,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,9.0,1078.142857142857,1736.909090909091,0.0,4.0
Motion Recruitment,40,229,0.0,2.0,0.0,2.0,1.0,16.0,2.0,33.0,22.0,148.0,1681.075,2311.192139737991,3.0,92.0
TikTok,14,150,1.0,85.0,1.0,85.0,1.0,9.0,5.0,12.0,6.0,21.0,6297.642857142857,6903.413333333333,0.0,51.0
Visa,5,67,0.0,2.0,0.0,2.0,1.0,37.0,1.0,43.0,5.0,56.0,6559.4,7128.20895522388,2.0,32.0
"Zillion Technologies, Inc.",5,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,2539.0,3242.714285714286,1.0,2.0
Leonardo DRS,5,15,0.0,1.0,0.0,1.0,0.0,3.0,0.0,5.0,4.0,11.0,5235.4,5096.466666666666,0.0,3.0
The Walt Disney Company,5,67,0.0,1.0,0.0,3.0,0.0,1.0,2.0,14.0,4.0,56.0,5131.2,5854.298507462687,1.0,36.0
Harnham,6,35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,24.0,1936.1666666666667,2264.4285714285716,4.0,17.0
Ford Motor Company,14,48,0.0,1.0,0.0,1.0,4.0,8.0,5.0,22.0,13.0,43.0,5255.714285714285,6230.5625,2.0,8.0
Empower Professionals,7,10,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,7.0,1368.4285714285713,2445.9,0.0,5.0
Ehub Global Inc,5,5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,4.0,717.0,1710.8,1.0,2.0
OSI Engineering,6,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,2563.6666666666665,2420.3333333333335,0.0,6.0
Thermo Fisher Scientific,6,8,1.0,0.0,1.0,0.0,2.0,1.0,2.0,5.0,6.0,7.0,3955.8333333333335,5138.0,2.0,3.0
Collabera,14,18,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,8.0,8.0,1027.7857142857142,2367.1111111111113,1.0,5.0
Tata Consultancy Services,39,131,0.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,23.0,59.0,1114.4871794871794,2126.9847328244273,1.0,43.0
Matlen Silver,5,26,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,18.0,1663.4,2385.730769230769,0.0,2.0
Smart IT Frame LLC,6,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,23.0,980.6666666666666,2151.5135135135133,1.0,10.0
"Metasys Technologies, Inc.",6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1346.5,2324.2,0.0,0.0
Amazon Web Services (AWS),12,339,0.0,0.0,0.0,1.0,2.0,24.0,8.0,199.0,11.0,327.0,6288.666666666667,6846.961651917404,3.0,175.0
NBCUniversal,5,11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,8.0,6272.0,7171.909090909091,0.0,4.0
Boeing,8,84,1.0,4.0,3.0,7.0,2.0,17.0,2.0,28.0,7.0,72.0,7034.875,7151.023809523809,1.0,5.0
Cloudflare,7,38,0.0,3.0,0.0,3.0,0.0,3.0,1.0,7.0,2.0,18.0,8369.0,8395.894736842105,1.0,38.0
IntePros,5,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,3156.6,2640.5,0.0,3.0
ICE,26,51,2.0,3.0,2.0,3.0,3.0,3.0,5.0,10.0,20.0,44.0,3476.3076923076924,3438.3137254901962,0.0,20.0
Experis,26,58,1.0,1.0,1.0,1.0,2.0,6.0,6.0,10.0,17.0,31.0,2799.0384615384614,3639.7241379310344,3.0,14.0
Honeywell,11,49,1.0,1.0,1.0,1.0,4.0,5.0,4.0,9.0,8.0,42.0,3533.818181818182,5962.959183673469,1.0,16.0
Robinhood,5,24,0.0,2.0,0.0,2.0,0.0,3.0,0.0,6.0,1.0,12.0,5028.0,5601.166666666667,1.0,6.0
BCforward,8,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,24.0,2034.25,3410.871794871795,0.0,6.0
General Dynamics Mission Systems,5,63,0.0,7.0,0.0,7.0,2.0,23.0,2.0,24.0,2.0,55.0,3938.6,4322.777777777777,0.0,14.0
Franklin Fitch,7,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1275.142857142857,1755.5625,0.0,6.0
Mindlance,5,28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,20.0,1855.8,2893.1785714285716,1.0,12.0
Optomi,6,22,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,14.0,1825.6666666666667,2143.4545454545455,0.0,10.0
FIS,6,15,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,9.0,6308.833333333333,6351.733333333334,0.0,6.0
Rose International,8,15,1.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,8.0,12.0,4383.625,5804.066666666667,0.0,7.0
"Softworld, a Kelly Company",7,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,2726.5714285714284,1964.6666666666667,0.0,0.0
UST,6,19,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,13.0,3333.1666666666665,7259.8421052631575,0.0,12.0
SSi People,5,10,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,6.0,1735.6,2453.1,0.0,10.0
Fidelity Investments,29,46,0.0,0.0,0.0,0.0,1.0,5.0,3.0,7.0,17.0,37.0,6005.931034482759,4669.934782608696,0.0,8.0
General Motors,14,182,1.0,10.0,1.0,10.0,1.0,16.0,2.0,32.0,11.0,144.0,7339.357142857143,7201.7032967032965,2.0,74.0
WEX,6,18,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,13.0,3592.8333333333335,4214.055555555556,2.0,9.0
Goliath Partners,5,37,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,9.0,1240.2,1039.027027027027,0.0,9.0
Wells Fargo,16,288,0.0,0.0,0.0,0.0,2.0,70.0,6.0,104.0,16.0,252.0,5427.0625,5888.552083333333,0.0,149.0
Insight Global,25,121,1.0,3.0,1.0,3.0,2.0,10.0,4.0,19.0,13.0,72.0,1595.68,2169.8429752066118,1.0,33.0
TekWissen ®,8,5,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,5.0,2.0,3846.5,2795.8,0.0,4.0
myGwork - LGBTQ+ Business Community,12,107,1.0,3.0,1.0,3.0,3.0,13.0,6.0,51.0,10.0,89.0,3932.75,6551.710280373832,0.0,59.0
American Express,6,18,0.0,0.0,0.0,0.0,1.0,3.0,2.0,5.0,4.0,12.0,6757.0,8948.833333333334,0.0,14.0
Russell Tobin,5,17,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,10.0,2111.2,4192.117647058823,0.0,5.0
EPITEC,11,33,0.0,0.0,1.0,0.0,1.0,2.0,2.0,4.0,7.0,22.0,2984.818181818182,2635.181818181818,2.0,6.0
Apex Systems,52,173,2.0,1.0,2.0,1.0,3.0,19.0,8.0,29.0,26.0,108.0,4332.711538461538,8548.381502890174,1.0,61.0
Cognizant,8,55,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,25.0,4811.375,3764.4545454545455,2.0,13.0
Goldman Sachs,6,47,0.0,0.0,0.0,4.0,0.0,9.0,1.0,15.0,4.0,32.0,3906.3333333333335,5274.595744680851,0.0,14.0
Radley James,6,10,2.0,0.0,2.0,0.0,1.0,1.0,2.0,5.0,2.0,5.0,986.3333333333334,1613.7,0.0,4.0
Wipro,6,22,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,5.0,4.0,2231.1666666666665,3487.318181818182,0.0,10.0
State Street,6,9,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,5.0,7.0,4503.166666666667,6155.111111111111,1.0,7.0
Ampstek,6,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,1107.5,1406.1470588235295,0.0,7.0
VySystems,5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,1564.4,1496.0833333333333,0.0,5.0
Uber,6,187,0.0,3.0,0.0,4.0,1.0,30.0,1.0,59.0,5.0,149.0,2958.1666666666665,3613.8342245989306,1.0,74.0
Randstad Digital Americas,7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,68.0,3424.5714285714284,3498.87,0.0,25.0
CGI,8,85,1.0,6.0,1.0,6.0,0.0,6.0,2.0,12.0,7.0,62.0,7367.375,8202.388235294118,0.0,25.0
VDart,7,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,13.0,1751.4285714285713,2591.3809523809523,0.0,10.0
Amtex Systems Inc.,5,18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,11.0,753.2,1649.888888888889,0.0,2.0
Photon,13,17,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,6.0,14.0,2438.923076923077,2164.8823529411766,1.0,5.0
Dexian,7,38,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,22.0,2857.4285714285716,2731.5789473684213,0.0,12.0
Piper Companies,16,99,0.0,0.0,0.0,0.0,1.0,5.0,5.0,14.0,14.0,57.0,2429.9375,2114.6060606060605,0.0,20.0
Capital One,52,223,0.0,0.0,0.0,0.0,9.0,24.0,11.0,87.0,52.0,223.0,5585.0192307692305,6540.017937219731,4.0,78.0
Selby Jennings,11,16,0.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,7.0,9.0,1298.3636363636363,2087.375,0.0,2.0
Actalent,23,238,0.0,2.0,0.0,2.0,1.0,33.0,3.0,47.0,15.0,155.0,3679.391304347826,4840.605042016807,0.0,12.0
Palo Alto Networks,13,50,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,6.0,34.0,5691.461538461538,6571.56,6.0,50.0
MITRE,5,13,1.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,4.0,12.0,5737.8,6546.538461538462,1.0,8.0
Booz Allen Hamilton,9,303,0.0,2.0,0.0,2.0,0.0,74.0,2.0,134.0,6.0,240.0,6473.0,5634.270627062706,1.0,191.0
System One,5,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,28.0,1899.4,3011.975,0.0,4.0
"BAE Systems, Inc.",14,128,1.0,3.0,1.0,3.0,1.0,16.0,1.0,17.0,11.0,95.0,7540.5,6427.421875,0.0,10.0
AllSTEM Connections,6,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,6.0,4078.0,4480.714285714285,0.0,4.0
Ascendion,8,11,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,5.0,10.0,3690.25,3850.5454545454545,0.0,7.0
Compunnel Inc.,26,37,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,15.0,21.0,1470.423076923077,1829.1351351351352,1.0,5.0
TEKsystems,23,110,0.0,0.0,0.0,0.0,1.0,6.0,2.0,11.0,7.0,63.0,2283.478260869565,5423.854545454546,1.0,45.0
ApTask,7,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,1371.4285714285713,4217.4,0.0,2.0
Talent Groups,15,30,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,20.0,666.5333333333333,1901.8333333333333,0.0,11.0
Akkodis,25,67,2.0,0.0,2.0,0.0,1.0,4.0,4.0,10.0,15.0,42.0,2811.24,4214.55223880597,4.0,15.0
Confidential,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1939.8,2361.8571428571427,0.0,2.0
Open Systems Technologies,31,15,0.0,0.0,0.0,0.0,1.0,3.0,2.0,5.0,8.0,9.0,540.3225806451613,1676.4666666666667,0.0,2.0
Qualcomm,5,164,0.0,1.0,0.0,1.0,4.0,99.0,4.0,105.0,5.0,127.0,4816.2,6299.530487804878,2.0,74.0
Oracle,19,46,0.0,0.0,0.0,0.0,2.0,4.0,4.0,10.0,13.0,33.0,6278.368421052632,6944.152173913043,0.0,46.0
"American Unit, Inc",8,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,2334.375,2322.5714285714284,0.0,3.0
Infosys,5,47,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,5.0,47.0,2141.0,4473.021276595745,2.0,47.0
Macquarie Group,5,5,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,4.0,1.0,4306.4,5075.8,0.0,4.0
