source,period,seniority_final,n,mean,median,p25,p75,metric,text_source,company_cap,aggregator_excluded
scraped,2026-04,associate,10,0.4,0.0,0.0,1.0,scope_count,llm,25,True
scraped,2026-04,director,14,0.8571428571428571,1.0,0.0,1.75,scope_count,llm,25,True
scraped,2026-04,entry,57,0.42105263157894735,0.0,0.0,1.0,scope_count,llm,25,True
scraped,2026-04,mid-senior,751,0.6018641810918774,0.0,0.0,1.0,scope_count,llm,25,True
scraped,2026-04,unknown,606,0.41254125412541254,0.0,0.0,1.0,scope_count,llm,25,True
kaggle_arshkon,2024-04,associate,14,0.21428571428571427,0.0,0.0,0.0,management_strong_count,llm,25,True
kaggle_arshkon,2024-04,director,12,0.16666666666666666,0.0,0.0,0.0,management_strong_count,llm,25,True
kaggle_arshkon,2024-04,entry,162,0.06790123456790123,0.0,0.0,0.0,management_strong_count,llm,25,True
kaggle_arshkon,2024-04,mid-senior,1859,0.15438407746100055,0.0,0.0,0.0,management_strong_count,llm,25,True
kaggle_arshkon,2024-04,unknown,2138,0.11225444340505145,0.0,0.0,0.0,management_strong_count,llm,25,True
kaggle_asaniczka,2024-01,associate,7,0.2857142857142857,0.0,0.0,0.5,management_strong_count,llm,25,True
kaggle_asaniczka,2024-01,director,42,0.09523809523809523,0.0,0.0,0.0,management_strong_count,llm,25,True
kaggle_asaniczka,2024-01,entry,113,0.09734513274336283,0.0,0.0,0.0,management_strong_count,llm,25,True
kaggle_asaniczka,2024-01,mid-senior,6263,0.13939006865719303,0.0,0.0,0.0,management_strong_count,llm,25,True
kaggle_asaniczka,2024-01,unknown,4705,0.10201912858660998,0.0,0.0,0.0,management_strong_count,llm,25,True
scraped,2026-03,associate,11,0.18181818181818182,0.0,0.0,0.0,management_strong_count,llm,25,True
scraped,2026-03,director,30,0.23333333333333334,0.0,0.0,0.0,management_strong_count,llm,25,True
scraped,2026-03,entry,132,0.11363636363636363,0.0,0.0,0.0,management_strong_count,llm,25,True
scraped,2026-03,mid-senior,1284,0.1721183800623053,0.0,0.0,0.0,management_strong_count,llm,25,True
scraped,2026-03,unknown,1135,0.09251101321585903,0.0,0.0,0.0,management_strong_count,llm,25,True
scraped,2026-04,associate,10,0.0,0.0,0.0,0.0,management_strong_count,llm,25,True
scraped,2026-04,director,14,0.14285714285714285,0.0,0.0,0.0,management_strong_count,llm,25,True
scraped,2026-04,entry,57,0.21052631578947367,0.0,0.0,0.0,management_strong_count,llm,25,True
scraped,2026-04,mid-senior,751,0.1318242343541944,0.0,0.0,0.0,management_strong_count,llm,25,True
scraped,2026-04,unknown,606,0.0858085808580858,0.0,0.0,0.0,management_strong_count,llm,25,True
kaggle_arshkon,2024-04,associate,14,0.2857142857142857,0.0,0.0,0.0,management_broad_count,llm,25,True
kaggle_arshkon,2024-04,director,12,1.0,1.0,0.75,1.25,management_broad_count,llm,25,True
kaggle_arshkon,2024-04,entry,162,0.5,0.0,0.0,1.0,management_broad_count,llm,25,True
kaggle_arshkon,2024-04,mid-senior,1859,0.671866594943518,0.0,0.0,1.0,management_broad_count,llm,25,True
kaggle_arshkon,2024-04,unknown,2138,0.47988774555659497,0.0,0.0,1.0,management_broad_count,llm,25,True
kaggle_asaniczka,2024-01,associate,7,0.0,0.0,0.0,0.0,management_broad_count,llm,25,True
kaggle_asaniczka,2024-01,director,42,0.6666666666666666,0.5,0.0,1.0,management_broad_count,llm,25,True
kaggle_asaniczka,2024-01,entry,113,0.45132743362831856,0.0,0.0,1.0,management_broad_count,llm,25,True
kaggle_asaniczka,2024-01,mid-senior,6263,0.5625099792431743,0.0,0.0,1.0,management_broad_count,llm,25,True
kaggle_asaniczka,2024-01,unknown,4705,0.45887353878852283,0.0,0.0,1.0,management_broad_count,llm,25,True
scraped,2026-03,associate,11,0.6363636363636364,1.0,0.0,1.0,management_broad_count,llm,25,True
scraped,2026-03,director,30,0.6333333333333333,0.0,0.0,1.0,management_broad_count,llm,25,True
scraped,2026-03,entry,132,0.5151515151515151,0.0,0.0,1.0,management_broad_count,llm,25,True
scraped,2026-03,mid-senior,1284,0.6526479750778816,1.0,0.0,1.0,management_broad_count,llm,25,True
scraped,2026-03,unknown,1135,0.4845814977973568,0.0,0.0,1.0,management_broad_count,llm,25,True
scraped,2026-04,associate,10,0.3,0.0,0.0,0.75,management_broad_count,llm,25,True
scraped,2026-04,director,14,0.7857142857142857,1.0,0.0,1.0,management_broad_count,llm,25,True
scraped,2026-04,entry,57,0.7017543859649122,1.0,0.0,1.0,management_broad_count,llm,25,True
scraped,2026-04,mid-senior,751,0.6697736351531292,0.0,0.0,1.0,management_broad_count,llm,25,True
scraped,2026-04,unknown,606,0.5412541254125413,0.0,0.0,1.0,management_broad_count,llm,25,True
kaggle_arshkon,2024-04,associate,14,0.07142857142857142,0.0,0.0,0.0,education_flag,llm,25,True
kaggle_arshkon,2024-04,director,12,0.08333333333333333,0.0,0.0,0.0,education_flag,llm,25,True
kaggle_arshkon,2024-04,entry,162,0.08024691358024691,0.0,0.0,0.0,education_flag,llm,25,True
kaggle_arshkon,2024-04,mid-senior,1859,0.0914470145239376,0.0,0.0,0.0,education_flag,llm,25,True
kaggle_arshkon,2024-04,unknown,2138,0.06735266604303088,0.0,0.0,0.0,education_flag,llm,25,True
kaggle_asaniczka,2024-01,associate,7,0.14285714285714285,0.0,0.0,0.0,education_flag,llm,25,True
kaggle_asaniczka,2024-01,director,42,0.14285714285714285,0.0,0.0,0.0,education_flag,llm,25,True
kaggle_asaniczka,2024-01,entry,113,0.08849557522123894,0.0,0.0,0.0,education_flag,llm,25,True
kaggle_asaniczka,2024-01,mid-senior,6263,0.11320453456809836,0.0,0.0,0.0,education_flag,llm,25,True
kaggle_asaniczka,2024-01,unknown,4705,0.1073326248671626,0.0,0.0,0.0,education_flag,llm,25,True
scraped,2026-03,associate,11,0.09090909090909091,0.0,0.0,0.0,education_flag,llm,25,True
scraped,2026-03,director,30,0.06666666666666667,0.0,0.0,0.0,education_flag,llm,25,True
scraped,2026-03,entry,132,0.11363636363636363,0.0,0.0,0.0,education_flag,llm,25,True
scraped,2026-03,mid-senior,1284,0.07476635514018691,0.0,0.0,0.0,education_flag,llm,25,True
scraped,2026-03,unknown,1135,0.050220264317180616,0.0,0.0,0.0,education_flag,llm,25,True
scraped,2026-04,associate,10,0.1,0.0,0.0,0.0,education_flag,llm,25,True
scraped,2026-04,director,14,0.2857142857142857,0.0,0.0,0.75,education_flag,llm,25,True
scraped,2026-04,entry,57,0.05263157894736842,0.0,0.0,0.0,education_flag,llm,25,True
scraped,2026-04,mid-senior,751,0.09986684420772303,0.0,0.0,0.0,education_flag,llm,25,True
scraped,2026-04,unknown,606,0.09405940594059406,0.0,0.0,0.0,education_flag,llm,25,True
kaggle_arshkon,2024-04,associate,14,0.7142857142857143,1.0,0.25,1.0,yoe_flag,llm,25,True
kaggle_arshkon,2024-04,director,12,1.0,1.0,1.0,1.0,yoe_flag,llm,25,True
kaggle_arshkon,2024-04,entry,162,0.36419753086419754,0.0,0.0,1.0,yoe_flag,llm,25,True
kaggle_arshkon,2024-04,mid-senior,1859,0.6804733727810651,1.0,0.0,1.0,yoe_flag,llm,25,True
kaggle_arshkon,2024-04,unknown,2138,0.5940130963517306,1.0,0.0,1.0,yoe_flag,llm,25,True
kaggle_asaniczka,2024-01,associate,7,0.5714285714285714,1.0,0.0,1.0,yoe_flag,llm,25,True
kaggle_asaniczka,2024-01,director,42,0.8571428571428571,1.0,1.0,1.0,yoe_flag,llm,25,True
kaggle_asaniczka,2024-01,entry,113,0.4690265486725664,0.0,0.0,1.0,yoe_flag,llm,25,True
kaggle_asaniczka,2024-01,mid-senior,6263,0.7688008941401884,1.0,1.0,1.0,yoe_flag,llm,25,True
kaggle_asaniczka,2024-01,unknown,4705,0.6558979808714134,1.0,0.0,1.0,yoe_flag,llm,25,True
scraped,2026-03,associate,11,0.7272727272727273,1.0,0.5,1.0,yoe_flag,llm,25,True
scraped,2026-03,director,30,0.8333333333333334,1.0,1.0,1.0,yoe_flag,llm,25,True
scraped,2026-03,entry,132,0.21212121212121213,0.0,0.0,0.0,yoe_flag,llm,25,True
scraped,2026-03,mid-senior,1284,0.7593457943925234,1.0,1.0,1.0,yoe_flag,llm,25,True
scraped,2026-03,unknown,1135,0.6405286343612335,1.0,0.0,1.0,yoe_flag,llm,25,True
scraped,2026-04,associate,10,0.7,1.0,0.25,1.0,yoe_flag,llm,25,True
scraped,2026-04,director,14,0.7142857142857143,1.0,0.25,1.0,yoe_flag,llm,25,True
scraped,2026-04,entry,57,0.15789473684210525,0.0,0.0,0.0,yoe_flag,llm,25,True
scraped,2026-04,mid-senior,751,0.7776298268974701,1.0,1.0,1.0,yoe_flag,llm,25,True
scraped,2026-04,unknown,606,0.6666666666666666,1.0,0.0,1.0,yoe_flag,llm,25,True
kaggle_arshkon,2024-04,associate,14,3.4285714285714284,3.5,2.0,5.0,requirement_breadth,llm,25,True
kaggle_arshkon,2024-04,director,12,5.0,5.5,2.0,6.25,requirement_breadth,llm,25,True
kaggle_arshkon,2024-04,entry,162,3.611111111111111,3.0,1.0,5.0,requirement_breadth,llm,25,True
kaggle_arshkon,2024-04,mid-senior,1859,4.979020979020979,5.0,3.0,7.0,requirement_breadth,llm,25,True
kaggle_arshkon,2024-04,unknown,2138,4.094948550046773,3.0,2.0,6.0,requirement_breadth,llm,25,True
kaggle_asaniczka,2024-01,associate,7,3.7142857142857144,4.0,1.5,5.5,requirement_breadth,llm,25,True
kaggle_asaniczka,2024-01,director,42,3.5238095238095237,2.0,2.0,5.0,requirement_breadth,llm,25,True
kaggle_asaniczka,2024-01,entry,113,3.814159292035398,3.0,2.0,5.0,requirement_breadth,llm,25,True
kaggle_asaniczka,2024-01,mid-senior,6263,4.536005109372505,4.0,2.0,6.0,requirement_breadth,llm,25,True
kaggle_asaniczka,2024-01,unknown,4705,3.8695005313496282,3.0,2.0,5.0,requirement_breadth,llm,25,True
scraped,2026-03,associate,11,6.454545454545454,7.0,4.0,8.0,requirement_breadth,llm,25,True
scraped,2026-03,director,30,6.8,7.0,5.25,9.0,requirement_breadth,llm,25,True
scraped,2026-03,entry,132,4.166666666666667,3.0,2.0,6.25,requirement_breadth,llm,25,True
scraped,2026-03,mid-senior,1284,5.896417445482866,5.0,3.0,8.0,requirement_breadth,llm,25,True
scraped,2026-03,unknown,1135,4.980616740088106,4.0,3.0,7.0,requirement_breadth,llm,25,True
scraped,2026-04,associate,10,5.2,5.5,4.0,6.75,requirement_breadth,llm,25,True
scraped,2026-04,director,14,9.285714285714286,6.0,4.25,15.75,requirement_breadth,llm,25,True
scraped,2026-04,entry,57,4.245614035087719,4.0,2.0,6.0,requirement_breadth,llm,25,True
scraped,2026-04,mid-senior,751,5.826897470039947,5.0,3.0,8.0,requirement_breadth,llm,25,True
scraped,2026-04,unknown,606,4.749174917491749,4.0,2.0,6.0,requirement_breadth,llm,25,True
kaggle_arshkon,2024-04,associate,14,2.142857142857143,2.0,2.0,3.0,credential_stack_depth,llm,25,True
kaggle_arshkon,2024-04,director,12,2.6666666666666665,2.5,2.0,3.0,credential_stack_depth,llm,25,True
kaggle_arshkon,2024-04,entry,162,1.8148148148148149,2.0,1.0,2.0,credential_stack_depth,llm,25,True
kaggle_arshkon,2024-04,mid-senior,1859,2.423883808499193,2.0,2.0,3.0,credential_stack_depth,llm,25,True
kaggle_arshkon,2024-04,unknown,2138,2.0636108512628626,2.0,1.0,3.0,credential_stack_depth,llm,25,True
kaggle_asaniczka,2024-01,associate,7,2.5714285714285716,2.0,1.5,4.0,credential_stack_depth,llm,25,True
kaggle_asaniczka,2024-01,director,42,2.261904761904762,2.0,2.0,3.0,credential_stack_depth,llm,25,True
kaggle_asaniczka,2024-01,entry,113,1.8938053097345133,2.0,1.0,2.0,credential_stack_depth,llm,25,True
kaggle_asaniczka,2024-01,mid-senior,6263,2.350311352387035,2.0,2.0,3.0,credential_stack_depth,llm,25,True
kaggle_asaniczka,2024-01,unknown,4705,2.056748140276302,2.0,1.0,3.0,credential_stack_depth,llm,25,True
scraped,2026-03,associate,11,2.5454545454545454,3.0,2.0,3.0,credential_stack_depth,llm,25,True
scraped,2026-03,director,30,3.033333333333333,3.0,2.0,4.0,credential_stack_depth,llm,25,True
scraped,2026-03,entry,132,2.022727272727273,2.0,1.0,3.0,credential_stack_depth,llm,25,True
scraped,2026-03,mid-senior,1284,2.810747663551402,3.0,2.0,4.0,credential_stack_depth,llm,25,True
scraped,2026-03,unknown,1135,2.511894273127753,2.0,2.0,3.0,credential_stack_depth,llm,25,True
scraped,2026-04,associate,10,2.5,2.0,2.0,3.0,credential_stack_depth,llm,25,True
scraped,2026-04,director,14,3.642857142857143,3.5,3.0,4.75,credential_stack_depth,llm,25,True
scraped,2026-04,entry,57,2.0701754385964914,2.0,1.0,3.0,credential_stack_depth,llm,25,True
scraped,2026-04,mid-senior,751,2.822902796271638,3.0,2.0,4.0,credential_stack_depth,llm,25,True
scraped,2026-04,unknown,606,2.443894389438944,2.0,2.0,3.0,credential_stack_depth,llm,25,True
kaggle_arshkon,2024-04,associate,14,855.5,637.0,404.5,1258.5,text_len,llm,25,True
kaggle_arshkon,2024-04,director,12,887.5833333333334,753.0,607.5,1080.25,text_len,llm,25,True
kaggle_arshkon,2024-04,entry,162,639.8765432098766,635.0,390.25,861.75,text_len,llm,25,True
kaggle_arshkon,2024-04,mid-senior,1859,724.9150080688543,668.0,444.0,953.0,text_len,llm,25,True
kaggle_arshkon,2024-04,unknown,2138,626.6847521047708,569.0,329.0,858.0,text_len,llm,25,True
kaggle_asaniczka,2024-01,associate,7,605.0,547.0,366.5,821.5,text_len,llm,25,True
kaggle_asaniczka,2024-01,director,42,734.2857142857143,741.5,562.5,924.75,text_len,llm,25,True
kaggle_asaniczka,2024-01,entry,113,558.3274336283185,495.0,329.0,748.0,text_len,llm,25,True
kaggle_asaniczka,2024-01,mid-senior,6263,717.2570653041673,653.0,442.5,925.5,text_len,llm,25,True
kaggle_asaniczka,2024-01,unknown,4705,629.3054197662061,568.0,351.0,813.0,text_len,llm,25,True
scraped,2026-03,associate,11,890.2727272727273,811.0,593.5,1116.0,text_len,llm,25,True
scraped,2026-03,director,30,1012.9,956.0,796.5,1320.75,text_len,llm,25,True
scraped,2026-03,entry,132,712.7878787878788,637.0,431.0,905.75,text_len,llm,25,True
scraped,2026-03,mid-senior,1284,950.202492211838,892.0,631.0,1188.0,text_len,llm,25,True
scraped,2026-03,unknown,1135,818.6651982378854,773.0,528.0,1042.0,text_len,llm,25,True
scraped,2026-04,associate,10,856.1,848.0,608.75,962.5,text_len,llm,25,True
scraped,2026-04,director,14,1383.857142857143,1242.5,858.0,1959.25,text_len,llm,25,True
scraped,2026-04,entry,57,742.7894736842105,699.0,534.0,892.0,text_len,llm,25,True
scraped,2026-04,mid-senior,751,932.7390146471372,849.0,634.0,1169.0,text_len,llm,25,True
scraped,2026-04,unknown,606,839.0577557755776,784.0,531.25,1072.25,text_len,llm,25,True
kaggle_arshkon,2024-04,associate,14,2.552620097753277,1.1837082647814212,0.0,2.0982973156195106,tech_density,llm,25,True
kaggle_arshkon,2024-04,director,12,3.613600503456137,2.820082550639807,1.8825564330141868,4.837086912777649,tech_density,llm,25,True
kaggle_arshkon,2024-04,entry,162,3.7447095505649948,2.973979339135357,1.1217144863563404,5.606175054291379,tech_density,llm,25,True
kaggle_arshkon,2024-04,mid-senior,1859,5.527183629232924,4.0761546797320225,1.6666666666666667,7.407407407407407,tech_density,llm,25,True
kaggle_arshkon,2024-04,unknown,2138,5.635062385466692,3.7313432835820897,0.870030532432952,7.6923076923076925,tech_density,llm,25,True
kaggle_asaniczka,2024-01,associate,7,4.264606649145636,3.9564787339268053,1.370539241740096,6.314186768569382,tech_density,llm,25,True
kaggle_asaniczka,2024-01,director,42,2.732383152326149,1.116368512313016,0.0,4.970219664128812,tech_density,llm,25,True
kaggle_asaniczka,2024-01,entry,113,5.827619432692411,4.555808656036446,1.3531799729364005,8.080808080808081,tech_density,llm,25,True
kaggle_asaniczka,2024-01,mid-senior,6263,5.2198030705228184,3.4602076124567476,0.9002938248221267,7.444168734491315,tech_density,llm,25,True
kaggle_asaniczka,2024-01,unknown,4705,5.549301296677392,3.1104199066874028,0.0,7.633587786259542,tech_density,llm,25,True
scraped,2026-03,associate,11,5.378361197519698,5.253940455341506,3.4409467164290644,7.2795162975523695,tech_density,llm,25,True
scraped,2026-03,director,30,4.450368962962777,3.7735849056603774,1.893939393939394,6.385696040868455,tech_density,llm,25,True
scraped,2026-03,entry,132,3.9748423330512646,2.534854245880862,0.0,5.908419497784343,tech_density,llm,25,True
scraped,2026-03,mid-senior,1284,4.196015060251209,3.289473684210526,1.1873336603665503,6.042296072507553,tech_density,llm,25,True
scraped,2026-03,unknown,1135,4.262460313538692,2.8787367121284007,0.9159642242075238,5.9719406046849555,tech_density,llm,25,True
scraped,2026-04,associate,10,4.355566588874782,4.274571658951224,2.0129078703908356,5.6031176081999705,tech_density,llm,25,True
scraped,2026-04,director,14,3.9146779935736538,3.911716796292472,1.2226975795978574,5.344873586271729,tech_density,llm,25,True
scraped,2026-04,entry,57,3.2585952336238346,2.557544757033248,0.0,5.313496280552604,tech_density,llm,25,True
scraped,2026-04,mid-senior,751,4.021733621163462,3.1948918023862447,1.1597590880918376,5.85308398634681,tech_density,llm,25,True
scraped,2026-04,unknown,606,3.7604543281926315,2.4752475247524752,0.48801825300180635,5.40331998665332,tech_density,llm,25,True
kaggle_arshkon,2024-04,associate,14,0.5945193826180072,0.0,0.0,0.561377245508982,scope_density,llm,25,True
kaggle_arshkon,2024-04,director,12,0.28113422855603215,0.0,0.0,0.18261504747991233,scope_density,llm,25,True
kaggle_arshkon,2024-04,entry,162,0.23191124383940753,0.0,0.0,0.0,scope_density,llm,25,True
kaggle_arshkon,2024-04,mid-senior,1859,0.4559373491540019,0.0,0.0,0.8453157614001905,scope_density,llm,25,True
kaggle_arshkon,2024-04,unknown,2138,0.32923181463064066,0.0,0.0,0.0,scope_density,llm,25,True
kaggle_asaniczka,2024-01,associate,7,0.8151572593653105,0.0,0.0,0.49455984174085066,scope_density,llm,25,True
kaggle_asaniczka,2024-01,director,42,0.32364421280669714,0.0,0.0,0.0,scope_density,llm,25,True
kaggle_asaniczka,2024-01,entry,113,0.28640994337001113,0.0,0.0,0.0,scope_density,llm,25,True
kaggle_asaniczka,2024-01,mid-senior,6263,0.42089235106385176,0.0,0.0,0.44011097921474746,scope_density,llm,25,True
kaggle_asaniczka,2024-01,unknown,4705,0.32198288496938143,0.0,0.0,0.0,scope_density,llm,25,True
scraped,2026-03,associate,11,0.10614021121902031,0.0,0.0,0.0,scope_density,llm,25,True
scraped,2026-03,director,30,0.5497080510446186,0.0,0.0,0.946969696969697,scope_density,llm,25,True
scraped,2026-03,entry,132,0.4726058845542855,0.0,0.0,0.8810572687224669,scope_density,llm,25,True
scraped,2026-03,mid-senior,1284,0.7140083748442184,0.0,0.0,1.2135922330097086,scope_density,llm,25,True
scraped,2026-03,unknown,1135,0.6602884551061388,0.0,0.0,1.1299435028248588,scope_density,llm,25,True
scraped,2026-04,associate,10,0.38619838845242127,0.0,0.0,0.9367651370344866,scope_density,llm,25,True
scraped,2026-04,director,14,0.6719072136127465,0.5957710109959244,0.0,1.0687254655080882,scope_density,llm,25,True
scraped,2026-04,entry,57,0.585796561500694,0.0,0.0,1.2019230769230769,scope_density,llm,25,True
scraped,2026-04,mid-senior,751,0.6839926273413897,0.0,0.0,1.2430095181659937,scope_density,llm,25,True
scraped,2026-04,unknown,606,0.5347752253247771,0.0,0.0,0.9842529220008622,scope_density,llm,25,True
