source,period,seniority_final,n,mean,median,p25,p75,metric,text_source,company_cap
scraped,2026-03,entry,161,0.13043478260869565,0.0,0.0,0.0,management_strong_count,llm,25
scraped,2026-03,mid-senior,1411,0.16513111268603828,0.0,0.0,0.0,management_strong_count,llm,25
scraped,2026-03,unknown,1334,0.08695652173913043,0.0,0.0,0.0,management_strong_count,llm,25
scraped,2026-04,associate,11,0.0,0.0,0.0,0.0,management_strong_count,llm,25
scraped,2026-04,director,15,0.2,0.0,0.0,0.0,management_strong_count,llm,25
scraped,2026-04,entry,58,0.20689655172413793,0.0,0.0,0.0,management_strong_count,llm,25
scraped,2026-04,mid-senior,819,0.1282051282051282,0.0,0.0,0.0,management_strong_count,llm,25
scraped,2026-04,unknown,716,0.0824022346368715,0.0,0.0,0.0,management_strong_count,llm,25
kaggle_arshkon,2024-04,associate,15,0.26666666666666666,0.0,0.0,0.0,management_broad_count,llm,25
kaggle_arshkon,2024-04,director,13,1.0,1.0,1.0,1.0,management_broad_count,llm,25
kaggle_arshkon,2024-04,entry,172,0.5,0.0,0.0,1.0,management_broad_count,llm,25
kaggle_arshkon,2024-04,mid-senior,1992,0.6646586345381527,0.0,0.0,1.0,management_broad_count,llm,25
kaggle_arshkon,2024-04,unknown,2366,0.47886728655959426,0.0,0.0,1.0,management_broad_count,llm,25
kaggle_asaniczka,2024-01,associate,7,0.0,0.0,0.0,0.0,management_broad_count,llm,25
kaggle_asaniczka,2024-01,director,46,0.6956521739130435,1.0,0.0,1.0,management_broad_count,llm,25
kaggle_asaniczka,2024-01,entry,118,0.4576271186440678,0.0,0.0,1.0,management_broad_count,llm,25
kaggle_asaniczka,2024-01,mid-senior,6690,0.5566517189835576,0.0,0.0,1.0,management_broad_count,llm,25
kaggle_asaniczka,2024-01,unknown,4984,0.4606741573033708,0.0,0.0,1.0,management_broad_count,llm,25
scraped,2026-03,associate,11,0.6363636363636364,1.0,0.0,1.0,management_broad_count,llm,25
scraped,2026-03,director,30,0.6333333333333333,0.0,0.0,1.0,management_broad_count,llm,25
scraped,2026-03,entry,161,0.4968944099378882,0.0,0.0,1.0,management_broad_count,llm,25
scraped,2026-03,mid-senior,1411,0.6378454996456414,0.0,0.0,1.0,management_broad_count,llm,25
scraped,2026-03,unknown,1334,0.46401799100449775,0.0,0.0,1.0,management_broad_count,llm,25
scraped,2026-04,associate,11,0.36363636363636365,0.0,0.0,1.0,management_broad_count,llm,25
scraped,2026-04,director,15,0.7333333333333333,1.0,0.0,1.0,management_broad_count,llm,25
scraped,2026-04,entry,58,0.6896551724137931,1.0,0.0,1.0,management_broad_count,llm,25
scraped,2026-04,mid-senior,819,0.6593406593406593,0.0,0.0,1.0,management_broad_count,llm,25
scraped,2026-04,unknown,716,0.5293296089385475,0.0,0.0,1.0,management_broad_count,llm,25
kaggle_arshkon,2024-04,associate,15,0.06666666666666667,0.0,0.0,0.0,education_flag,llm,25
kaggle_arshkon,2024-04,director,13,0.15384615384615385,0.0,0.0,0.0,education_flag,llm,25
kaggle_arshkon,2024-04,entry,172,0.08139534883720931,0.0,0.0,0.0,education_flag,llm,25
kaggle_arshkon,2024-04,mid-senior,1992,0.09538152610441768,0.0,0.0,0.0,education_flag,llm,25
kaggle_arshkon,2024-04,unknown,2366,0.07185122569737955,0.0,0.0,0.0,education_flag,llm,25
kaggle_asaniczka,2024-01,associate,7,0.14285714285714285,0.0,0.0,0.0,education_flag,llm,25
kaggle_asaniczka,2024-01,director,46,0.13043478260869565,0.0,0.0,0.0,education_flag,llm,25
kaggle_asaniczka,2024-01,entry,118,0.0847457627118644,0.0,0.0,0.0,education_flag,llm,25
kaggle_asaniczka,2024-01,mid-senior,6690,0.11150971599402093,0.0,0.0,0.0,education_flag,llm,25
kaggle_asaniczka,2024-01,unknown,4984,0.10573836276083468,0.0,0.0,0.0,education_flag,llm,25
scraped,2026-03,associate,11,0.09090909090909091,0.0,0.0,0.0,education_flag,llm,25
scraped,2026-03,director,30,0.06666666666666667,0.0,0.0,0.0,education_flag,llm,25
scraped,2026-03,entry,161,0.10559006211180125,0.0,0.0,0.0,education_flag,llm,25
scraped,2026-03,mid-senior,1411,0.0744153082919915,0.0,0.0,0.0,education_flag,llm,25
scraped,2026-03,unknown,1334,0.04872563718140929,0.0,0.0,0.0,education_flag,llm,25
scraped,2026-04,associate,11,0.18181818181818182,0.0,0.0,0.0,education_flag,llm,25
scraped,2026-04,director,15,0.26666666666666666,0.0,0.0,0.5,education_flag,llm,25
scraped,2026-04,entry,58,0.06896551724137931,0.0,0.0,0.0,education_flag,llm,25
scraped,2026-04,mid-senior,819,0.09768009768009768,0.0,0.0,0.0,education_flag,llm,25
scraped,2026-04,unknown,716,0.08519553072625698,0.0,0.0,0.0,education_flag,llm,25
