source,period,state_abbr,swe_postings
scraped,2026-03,GA,655
scraped,2026-03,MD,614
scraped,2026-03,IL,613
scraped,2026-03,PA,515
scraped,2026-03,CO,475
scraped,2026-03,FL,349
scraped,2026-03,AZ,348
scraped,2026-03,MN,342
scraped,2026-03,MI,330
scraped,2026-03,OH,266
scraped,2026-03,DC,201
scraped,2026-03,TN,161
scraped,2026-03,DE,142
scraped,2026-03,NH,117
scraped,2026-03,OR,96
scraped,2026-03,CT,50
scraped,2026-03,RI,49
scraped,2026-03,KS,20
scraped,2026-03,SC,16
scraped,2026-03,MO,10
scraped,2026-03,IN,6
scraped,2026-03,WI,4
scraped,2026-03,WV,1
scraped,2026-04,CA,3401
scraped,2026-04,TX,1873
scraped,2026-04,NY,1188
scraped,2026-04,WA,1090
scraped,2026-04,VA,940
scraped,2026-04,NC,785
scraped,2026-04,MA,758
scraped,2026-04,MD,596
scraped,2026-04,NJ,582
scraped,2026-04,IL,498
scraped,2026-04,GA,484
scraped,2026-04,PA,427
scraped,2026-04,CO,425
scraped,2026-04,AZ,413
scraped,2026-04,FL,309
scraped,2026-04,MI,286
scraped,2026-04,MN,272
scraped,2026-04,OH,243
scraped,2026-04,DC,195
scraped,2026-04,NH,96
scraped,2026-04,DE,81
scraped,2026-04,TN,80
scraped,2026-04,OR,77
scraped,2026-04,CT,39
scraped,2026-04,RI,24
scraped,2026-04,SC,11
scraped,2026-04,IN,2
scraped,2026-04,WI,2
scraped,2026-04,WV,2
