column,source,distinct_count,top_5_values
asaniczka_skills,kaggle_asaniczka,1007277,"Front Counter, DriveThru, Outside Order Taker, Runner, Dining Room Attendant, Drinks, Make Up Table, Prep, Grill, Fry, Porter, Coaching, High school diploma/GED, Restaurant leadership experience, Food Handlers Certification(139); Front Counter, DriveThru, Outside Order Taker, Runner, Dining Room Attendant, Drinks, Make Up Table, Prep, Grill, Fry, Porter, Coaching, High school diploma/GED, 1+ years of restaurant leadership experience, Food Handlers Certification(96); Communication, Collaboration, Holds Self Accountable, Solution Oriented, People Centric, Relevant, Initiative, Deliver, Evolve(89); VolunteerMatch, LinkedIn for Good(68); Leadership, Training, Coaching, Development, Customer Service, Merchandising, Product Knowledge, Operational Knowledge, Building Materials, Decor, Electrical, Flooring, Gardening, Hardware, Kitchen & Bath, Lumber, Millwork, Paint, Plumbing, Pro Account Sales, Tool Rental, Front End, Freight, Receiving, Associate Support, Special Services, Merchandising Execution(61)"
source,scraped,1,scraped(26576)
source_platform,scraped,1,linkedin(26576)
title_normalized,scraped,15955,software engineer(398); accountant(255); financial analyst(160); electrical engineer(158); associate team leader(152)
company_name,scraped,7496,Lensa(846); Jobs via Dice(759); Deloitte(422); PwC(276); Google(227)
company_name_effective,scraped,7915,Deloitte(422); Jobs via Dice(320); PwC(276); Google(227); Amazon(225)
company_name_canonical,scraped,7851,Deloitte(422); Jobs via Dice(320); PricewaterhouseCoopers(276); Google(231); Amazon(225)
company_industry,scraped,1425,Software Development(2778); Hospitals and Health Care(2201); IT Services and IT Consulting(1625); Financial Services(1225); Staffing and Recruiting(1036)
company_size_category,scraped,0,
location,scraped,2016,"New York, NY(1130); Austin, TX(788); Chicago, IL(719); Atlanta, GA(718); San Francisco, CA(675)"
location_normalized,scraped,2016,"New York, NY(1130); Austin, TX(788); Chicago, IL(719); Atlanta, GA(718); San Francisco, CA(675)"
city_extracted,scraped,1818,New York(1130); Austin(843); Chicago(719); Atlanta(718); San Francisco(675)
state_normalized,scraped,32,CA(4216); TX(3100); NY(1407); FL(1305); NC(1263)
country_extracted,scraped,4,US(25546); Texas Metropolitan Area(55); Ohio Metropolitan Area(26); Oregon Metropolitan Area(14)
metro_area,scraped,26,San Francisco Bay Area(1767); New York City Metro(1454); Washington DC Metro(1447); Los Angeles Metro(1376); Dallas-Fort Worth Metro(1198)
seniority_raw,scraped,7,mid-senior level(13065); entry level(6660); not applicable(3870); associate(1231); director(948)
seniority_native,scraped,6,mid-senior(13065); entry(6660); associate(1231); director(948); intern(595)
seniority_imputed,scraped,5,unknown(15527); mid-senior(8087); associate(1149); director(983); entry(830)
seniority_final,scraped,5,unknown(12967); mid-senior(8788); entry(2542); associate(1289); director(990)
seniority_final_source,scraped,8,unknown(12967); title_keyword(8699); native_backfill(2737); weak_title_associate(949); weak_title_level(547)
seniority_3level,scraped,4,unknown(12967); senior(9778); junior(2542); mid(1289)
is_swe,scraped,2,False(22357); True(4219)
is_swe_adjacent,scraped,2,False(25978); True(598)
is_control,scraped,2,False(22489); True(4087)
swe_classification_tier,scraped,5,unresolved(18762); regex(6934); embedding_adjacent(427); embedding_llm(395); embedding_high(58)
is_aggregator,scraped,2,False(23881); True(2695)
is_remote,scraped,2,False(21941); True(4635)
is_remote_inferred,scraped,1,False(26576)
period,scraped,1,2026-03(26576)
date_flag,scraped,1,ok(26576)
is_english,scraped,1,True(26576)
work_type,scraped,7,fulltime(22311); contract(1453); internship(1383); parttime(1090); volunteer(202)
ghost_job_risk,scraped,3,low(26555); medium(12); high(9)
description_quality_flag,scraped,2,ok(26575); too_short(1)
boilerplate_flag,scraped,4,ok(13522); under_removed(12961); over_removed(92); empty_core(1)
dedup_method,scraped,1,stage4_title_company_deduplicated(26576)
query_tier,scraped,3,control(14617); adjacent(6940); swe(5014)
search_metro_name,scraped,26,San Francisco Bay Area(2220); Washington DC Metro(1899); New York City Metro(1717); Los Angeles Metro(1602); Dallas-Fort Worth Metro(1407)
skills_raw,scraped,0,
asaniczka_skills,scraped,0,
