metro_area,arshkon,asaniczka,scraped,scraped_J1,scraped_J2,scraped_S1,arshkon_J1,arshkon_S1
Tampa Bay Metro,42.0,172.0,290.0,6.0,6.0,97.0,1.0,21.0
Nashville Metro,11.0,91.0,214.0,8.0,9.0,70.0,0.0,9.0
Portland Metro,14.0,102.0,155.0,6.0,6.0,61.0,0.0,7.0
Tucson Metro,10.0,56.0,0.0,0.0,0.0,0.0,3.0,4.0
Lexington-Fayette Metro,2.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
Grand Rapids-Wyoming-Kentwood Metro,3.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
Wichita Metro,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0
Huntsville Metro,9.0,133.0,0.0,0.0,0.0,0.0,0.0,4.0
Des Moines Metro,3.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
Tulsa Metro,5.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0
Jacksonville Metro,3.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
Albuquerque Metro,7.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0
Greensboro-High Point Metro,5.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0
San Antonio Metro,8.0,84.0,0.0,0.0,0.0,0.0,0.0,4.0
Milwaukee Metro,14.0,50.0,0.0,0.0,0.0,0.0,1.0,5.0
Fort Wayne Metro,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
Chattanooga Metro,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Bakersfield-Delano Metro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Indianapolis Metro,11.0,45.0,0.0,0.0,0.0,0.0,0.0,4.0
Syracuse Metro,3.0,15.0,0.0,0.0,0.0,0.0,1.0,2.0
Springfield Metro,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Greenville-Anderson-Greer Metro,1.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0
Dayton-Kettering-Beavercreek Metro,4.0,68.0,0.0,0.0,0.0,0.0,0.0,2.0
Birmingham Metro,3.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0
Savannah Metro,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Harrisburg-Carlisle Metro,12.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0
Reno Metro,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Tallahassee Metro,6.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0
Memphis Metro,7.0,22.0,0.0,0.0,0.0,0.0,1.0,3.0
Winston-Salem Metro,2.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0
New Orleans Metro,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
El Paso Metro,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Rochester Metro,3.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0
Buffalo-Cheektowaga Metro,3.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0
Las Vegas Metro,10.0,51.0,0.0,0.0,0.0,0.0,0.0,5.0
Richmond Metro,33.0,51.0,0.0,0.0,0.0,0.0,0.0,12.0
Knoxville Metro,2.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0
Baton Rouge Metro,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchorage Metro,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Orlando Metro,17.0,128.0,0.0,0.0,0.0,0.0,0.0,5.0
Boise City Metro,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
Little Rock-North Little Rock-Conway Metro,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
Louisville Metro,7.0,31.0,0.0,0.0,0.0,0.0,0.0,4.0
Hartford-West Hartford-East Hartford Metro,6.0,61.0,0.0,0.0,0.0,0.0,1.0,1.0
Omaha Metro,10.0,41.0,0.0,0.0,0.0,0.0,0.0,5.0
Oklahoma City Metro,3.0,59.0,0.0,0.0,0.0,0.0,1.0,1.0
Sacramento Metro,6.0,19.0,0.0,0.0,0.0,0.0,0.0,5.0
Columbia Metro,2.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0
Cincinnati Metro,15.0,104.0,0.0,0.0,0.0,0.0,3.0,2.0
Urban Honolulu Metro,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
Albany Metro,4.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia Beach-Chesapeake-Norfolk Metro,4.0,51.0,0.0,0.0,0.0,0.0,0.0,2.0
Cleveland Metro,14.0,44.0,0.0,0.0,0.0,0.0,0.0,9.0
Charleston-North Charleston Metro,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
Augusta-Richmond County Metro,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Naples-Marco Island Metro,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlottesville Metro,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
Akron Metro,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Madison Metro,10.0,36.0,0.0,0.0,0.0,0.0,0.0,2.0
St. Louis Metro,7.0,99.0,0.0,0.0,0.0,0.0,0.0,1.0
Cape Coral-Fort Myers Metro,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Fresno Metro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincoln Metro,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
