term,coef,se,t,p,ci_low,ci_high,classifier,n,r2,subset
period_2026:C(archetype)[T.other],0.023538628013315636,0.007639223959807821,3.0812852375004587,0.002061091009214003,0.00856602418225685,0.038511231844374424,T13_full,67962,0.008640846550295955,full_corpus
period_2026:C(archetype)[T.noise/outlier],0.002284044115611736,0.00801533521344123,0.28495927553741396,0.7756753423247938,-0.013425724226748743,0.017993812457972214,T13_full,67962,0.008640846550295955,full_corpus
is_aggregator_int,-0.019371321153490672,0.002371356272485904,-8.168878450804705,3.112695728674772e-16,-0.024019094042076194,-0.01472354826490515,T13_full,67962,0.008640846550295955,full_corpus
log_desc_len,-0.01615263583439562,0.001541264591115252,-10.480118681444337,1.066098722239484e-25,-0.019173458923628366,-0.013131812745162874,T13_full,67962,0.008640846550295955,full_corpus
Intercept,-0.28500294929672054,0.013200710158273137,-21.58997098486431,2.2315285720365384e-103,-0.31087586577728793,-0.25913003281615316,simple_full,67962,0.03400221137937576,full_corpus
C(seniority_final)[T.entry],0.024661594949423528,0.013476727859343613,1.8299393745140653,0.06725900482413187,-0.0017523062843375313,0.05107549618318459,simple_full,67962,0.03400221137937576,full_corpus
C(seniority_final)[T.director],0.05093613396479975,0.02588347877843277,1.9679013938127177,0.04907938441866999,0.00020544776446472512,0.10166682016513477,simple_full,67962,0.03400221137937576,full_corpus
C(seniority_final)[T.unknown],0.015452360476333598,0.0037090770559723733,4.166093139384132,3.098641457721178e-05,0.008182703030743893,0.022722017921923302,simple_full,67962,0.03400221137937576,full_corpus
C(archetype)[T.other],-0.010605228208596173,0.007427017315315409,-1.4279256070572108,0.15331327222001867,-0.02516191465916974,0.003951458241977393,simple_full,67962,0.03400221137937576,full_corpus
C(archetype)[T.noise/outlier],-0.023851554371178117,0.007564069734171178,-3.153270026507974,0.0016145238569822535,-0.03867685862670309,-0.009026250115653146,simple_full,67962,0.03400221137937576,full_corpus
period_2026,0.029612598921015483,0.00309577443624803,9.565489841341579,1.1167139111217786e-21,0.023544992521709555,0.035680205320321415,simple_full,67962,0.03400221137937576,full_corpus
period_2026:C(seniority_final)[T.entry],0.015812733175668836,0.015051627646348322,1.050566327257316,0.2934578131216563,-0.013687914919881257,0.04531338127121893,simple_full,67962,0.03400221137937576,full_corpus
period_2026:C(seniority_final)[T.director],-0.10819362701261222,0.02977408733640125,-3.6338184203663797,0.00027925742900169266,-0.16654976586450876,-0.04983748816071566,simple_full,67962,0.03400221137937576,full_corpus
period_2026:C(seniority_final)[T.unknown],-7.168512720419424e-05,0.004506740259936923,-0.015906203390829,0.9873092210390237,-0.008904733724357244,0.008761363469948857,simple_full,67962,0.03400221137937576,full_corpus
period_2026:C(archetype)[T.other],0.009755719873338533,0.009067325048078573,1.075920386840641,0.28196286342336385,-0.008015910657013386,0.02752735040369045,simple_full,67962,0.03400221137937576,full_corpus
period_2026:C(archetype)[T.noise/outlier],0.017432840607213423,0.009332440499338462,1.8679830434974822,0.061764434476664416,-0.0008584066593529602,0.03572408787377981,simple_full,67962,0.03400221137937576,full_corpus
is_aggregator_int,-0.02932276165679972,0.0028849690445544238,-10.163977915863063,2.8711748174226704e-24,-0.03497719708063932,-0.02366832623296012,simple_full,67962,0.03400221137937576,full_corpus
log_desc_len,0.06340970771635726,0.0015840777875351494,40.02941535783024,0.0,0.060304972304078476,0.06651444312863605,simple_full,67962,0.03400221137937576,full_corpus
Intercept,0.32490666559137127,0.015322536627548044,21.20449593230072,8.679544310757645e-100,0.2948750456495813,0.35493828553316126,T13_llm_frame,48277,0.009697906294427017,llm_frame_only
C(seniority_final)[T.entry],0.026722794986780853,0.01102438766047619,2.4239709097481597,0.015351835172792915,0.0051153922206397355,0.048330197752921966,T13_llm_frame,48277,0.009697906294427017,llm_frame_only
C(seniority_final)[T.director],0.02847070013686637,0.020027142756839277,1.4216056919624052,0.15514075146791614,-0.01078177837978082,0.06772317865351356,T13_llm_frame,48277,0.009697906294427017,llm_frame_only
C(seniority_final)[T.unknown],0.021052995023554167,0.0033894100764885185,6.211403916449496,5.251329697217617e-10,0.01440987334479952,0.027696116702308815,T13_llm_frame,48277,0.009697906294427017,llm_frame_only
C(archetype)[T.other],-0.0283424776337466,0.006635323153583758,-4.271454001217521,1.9420258856461382e-05,-0.0413474720405555,-0.015337483226937702,T13_llm_frame,48277,0.009697906294427017,llm_frame_only
C(archetype)[T.noise/outlier],-0.009664093192990513,0.006888484652329618,-1.4029345611915114,0.1606363535960703,-0.02316527501961348,0.0038370886336324544,T13_llm_frame,48277,0.009697906294427017,llm_frame_only
period_2026,-0.023040069482216735,0.0027378653122340107,-8.415340732527406,3.917545261908931e-17,-0.028406186888716906,-0.017673952075716565,T13_llm_frame,48277,0.009697906294427017,llm_frame_only
period_2026:C(seniority_final)[T.entry],-0.026614479457221174,0.012400184190382503,-2.1462971072529053,0.031849282250431335,-0.05091839387203385,-0.002310565042408501,T13_llm_frame,48277,0.009697906294427017,llm_frame_only
period_2026:C(seniority_final)[T.director],0.014461253361785865,0.026174160637585975,0.552501131250015,0.5806050595736163,-0.03683915881344858,0.06576166553702031,T13_llm_frame,48277,0.009697906294427017,llm_frame_only
period_2026:C(seniority_final)[T.unknown],-0.009017093992009385,0.004211490241282439,-2.1410696630899926,0.03226842068700859,-0.01727146318616487,-0.0007627247978539003,T13_llm_frame,48277,0.009697906294427017,llm_frame_only
period_2026:C(archetype)[T.other],0.025589775451317767,0.00769391031741259,3.3259778702389964,0.0008810892365458322,0.010509988328907954,0.04066956257372758,T13_llm_frame,48277,0.009697906294427017,llm_frame_only
period_2026:C(archetype)[T.noise/outlier],0.004437957411873148,0.008070421485379222,0.5499040440345244,0.5823851903307663,-0.011379778039528375,0.020255692863274673,T13_llm_frame,48277,0.009697906294427017,llm_frame_only
is_aggregator_int,-0.025554155417948643,0.0028188280306716993,-9.065524799630765,1.2400584813395862e-19,-0.031078956836677142,-0.020029353999220144,T13_llm_frame,48277,0.009697906294427017,llm_frame_only
log_desc_len,-0.01114782341624093,0.0018211599547607563,-6.121276380528259,9.282872761086171e-10,-0.014717231337658607,-0.007578415494823253,T13_llm_frame,48277,0.009697906294427017,llm_frame_only
Intercept,-0.28329057743218833,0.015348817322181872,-18.45683426193243,4.594965373689788e-76,-0.3133737065889493,-0.25320744827542735,simple_llm_frame,48277,0.035677493937386395,llm_frame_only
C(seniority_final)[T.entry],0.024354663810643554,0.013480491078843667,1.8066599850257574,0.07081531043198566,-0.002066613197803529,0.050775940819090634,simple_llm_frame,48277,0.035677493937386395,llm_frame_only
C(seniority_final)[T.director],0.051165147805301125,0.025848861833898187,1.979396544965209,0.04777137720462956,0.0005023095695087035,0.10182798604109355,simple_llm_frame,48277,0.035677493937386395,llm_frame_only
C(seniority_final)[T.unknown],0.01527950985256898,0.003725176803092461,4.101687157475229,4.1014856366736574e-05,0.0079782974824637,0.022580722222674262,simple_llm_frame,48277,0.035677493937386395,llm_frame_only
C(archetype)[T.other],-0.01068071277119504,0.007430691184010504,-1.4373780993856928,0.1506105882436564,-0.025244599872094917,0.0038831743297048377,simple_llm_frame,48277,0.035677493937386395,llm_frame_only
C(archetype)[T.noise/outlier],-0.024039490541054847,0.007564189710457807,-3.1780655246945027,0.0014826124031486793,-0.03886502994578061,-0.009213951136329087,simple_llm_frame,48277,0.035677493937386395,llm_frame_only
period_2026,0.028905991954152704,0.0035254103583601502,8.199326891295108,2.4173675136580444e-16,0.021996314621042363,0.03581566928726304,simple_llm_frame,48277,0.035677493937386395,llm_frame_only
period_2026:C(seniority_final)[T.entry],0.017837056673071887,0.015648906464976374,1.1398276750514666,0.25435810143600956,-0.012834236395717818,0.04850834974186159,simple_llm_frame,48277,0.035677493937386395,llm_frame_only
period_2026:C(seniority_final)[T.director],-0.10955612509416343,0.03179362092475665,-3.4458524039599303,0.0005692611871790279,-0.17187047704480551,-0.047241773143521355,simple_llm_frame,48277,0.035677493937386395,llm_frame_only
period_2026:C(seniority_final)[T.unknown],7.376668489774189e-05,0.005055616520075268,0.01459103644527288,0.9883584503734444,-0.009835059614095502,0.009982592983890986,simple_llm_frame,48277,0.035677493937386395,llm_frame_only
period_2026:C(archetype)[T.other],0.010571472180950092,0.009163535960975805,1.1536455169674873,0.2486455292503954,-0.007388728273600121,0.028531672635500306,simple_llm_frame,48277,0.035677493937386395,llm_frame_only
period_2026:C(archetype)[T.noise/outlier],0.018271087144743518,0.009423348245111393,1.9389166853959918,0.0525114838876592,-0.0001983360294535337,0.03674051031894057,simple_llm_frame,48277,0.035677493937386395,llm_frame_only
is_aggregator_int,-0.03307872420147747,0.003420759482569414,-9.669994154815951,4.0440117664758297e-22,-0.03978328958708739,-0.02637415881586755,simple_llm_frame,48277,0.035677493937386395,llm_frame_only
log_desc_len,0.0632737008152197,0.0018520897290787764,34.16341002370972,8.454425837862264e-256,0.05964367165008875,0.06690372998035064,simple_llm_frame,48277,0.035677493937386395,llm_frame_only
