company_industry,kaggle_arshkon,scraped
Computer Hardware Manufacturing and Software Development,0.0,0.000801878687210035
"Computer Hardware Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Computers and Electronics Manufacturing",0.0,0.0006873245890371728
"Computer Hardware Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Semiconductor Manufacturing",0.0,0.00028638524543215534
"Computer Hardware Manufacturing, Computers and Electronics Manufacturing, and Semiconductor Manufacturing",0.0,0.0003150237699753709
"Computer Hardware Manufacturing, Defense and Space Manufacturing, and IT Services and IT Consulting",0.0,0.0007732401626668194
"Computer Hardware Manufacturing, Software Development, and Computers and Electronics Manufacturing",0.0,0.002033335242568303
"Computer Hardware Manufacturing, Software Development, and IT Services and IT Consulting",0.0,0.0013460106535311302
Computer Networking Products,0.000964785335262904,0.0005154934417778796
Computer and Network Security,0.013024602026049204,0.007216908184890314
"Computer and Network Security, Software Development, and IT Services and IT Consulting",0.0,0.0004009393436050175
Computers and Electronics Manufacturing,0.002653159671972986,0.004839910647803425
Construction,0.002170767004341534,0.0015464803253336388
Construction and Civil Engineering,0.0,0.000429577868148233
"Construction, Machinery Manufacturing, and Truck Transportation",0.0,0.0003436622945185864
"Construction, Software Development, and IT Services and IT Consulting",0.0,0.004181224583309468
Consumer Services,0.003859141341051616,0.00160375737442007
Data Infrastructure and Analytics,0.000964785335262904,0.0011455409817286214
Data Security Software Products,0.000964785335262904,0.0001718311472592932
Defense & Space,0.00120598166907863,0.001288733604444699
Defense and Space Manufacturing,0.02532561505065123,0.04965920155793573
Defense and Space Manufacturing and Aviation and Aerospace Component Manufacturing,0.0,0.001174179506271837
Defense and Space Manufacturing and Space Research and Technology,0.0,0.0005154934417778796
Defense and Space Manufacturing and Telecommunications,0.0,0.0005441319663210952
Design,0.0,0.0005154934417778796
Design Services,0.00120598166907863,0.0007159631135803884
E-Learning Providers,0.000964785335262904,0.000801878687210035
Education,0.000723589001447178,0.0004009393436050175
Education Administration Programs,0.002170767004341534,0.0006014090154075262
Education Administration Programs and E-Learning Providers,0.0,0.00028638524543215534
Electric Power Generation,0.000482392667631452,0.0006586860644939573
"Electric Power Transmission, Control, and Distribution",0.00120598166907863,0.0003436622945185864
Embedded Software Products,0.0,0.0003150237699753709
Energy Technology,0.0,0.0005441319663210952
Engineering Services,0.005065123010130246,0.0036943696660748037
Entertainment Providers,0.011336227689339121,0.01128357867002692
Environmental Services,0.002170767004341534,0.0005154934417778796
Facilities Services,0.000241196333815726,0.0003436622945185864
Financial Services,0.09261939218523878,0.08938083509937568
Financial Services and Banking,0.0,0.0009450713099261126
Financial Services and Hospitals and Health Care,0.0,0.00028638524543215534
Financial Services and IT Services and IT Consulting,0.0,0.0007446016381236039
Financial Services and Insurance,0.0,0.0005154934417778796
Financial Services and Software Development,0.0,0.0007159631135803884
"Financial Services, Banking, and Investment Banking",0.0,0.000429577868148233
"Financial Services, IT Services and IT Consulting, and Technology, Information and Internet",0.0,0.00037230081906180194
"Financial Services, Investment Banking, and Investment Management",0.0,0.00037230081906180194
"Financial Services, Investment Management, and Banking",0.0,0.008620195887507875
Food and Beverage Manufacturing,0.000964785335262904,0.0003150237699753709
Food and Beverage Services,0.001929570670525808,0.0010596254080989748
Freight and Package Transportation,0.0,0.00028638524543215534
Gambling Facilities and Casinos,0.001929570670525808,0.0004868549172346641
Gambling Facilities and Casinos and Spectator Sports,0.0,0.000429577868148233
Government Administration,0.005306319343945972,0.0022338049143708115
Government Administration and IT Services and IT Consulting,0.0,0.0024056360616301047
Government Relations Services,0.000964785335262904,0.0005154934417778796
Ground Passenger Transportation,0.0,0.0004868549172346641
Health and Human Services,0.00241196333815726,0.0005154934417778796
Higher Education,0.005065123010130246,0.002892490978864769
Hospitality,0.00120598166907863,0.001174179506271837
"Hospitality, Food and Beverage Services, and Retail",0.0,0.00028638524543215534
Hospitals and Health Care,0.018330921369995177,0.01847184833037402
Human Resources Services,0.004582730342498794,0.0021765278652843808
IT Services and IT Consulting,0.25615050651230103,0.1395555300990893
IT Services and IT Consulting and Banking,0.0,0.0004009393436050175
IT Services and IT Consulting and Financial Services,0.0,0.0018328655707657941
IT Services and IT Consulting and Information Services,0.0,0.0006014090154075262
IT Services and IT Consulting and Software Development,0.0,0.0014032877026175612
IT Services and IT Consulting and Telecommunications,0.0,0.00037230081906180194
"IT Services and IT Consulting, Financial Services, and Banking",0.0,0.000429577868148233
"IT Services and IT Consulting, Information Services, and Research Services",0.0,0.00037230081906180194
"IT Services and IT Consulting, Information Services, and Technology, Information and Media",0.0,0.0006300475399507418
"IT Services and IT Consulting, Software Development, and Financial Services",0.0,0.0003150237699753709
"IT Services and IT Consulting, Software Development, and IT System Custom Software Development",0.0,0.00045821639269144854
"IT Services and IT Consulting, Technology, Information and Internet, and Advertising Services",0.0,0.0005441319663210952
"IT Services and IT Consulting, Technology, Information and Internet, and Computer and Network Security",0.0,0.0010882639326421904
"IT Services and IT Consulting, Technology, Information and Internet, and Telecommunications",0.0,0.000429577868148233
IT System Custom Software Development,0.002894356005788712,0.0017755885216793632
IT System Data Services,0.000723589001447178,0.002462913110716536
IT System Operations and Maintenance,0.000241196333815726,0.0003150237699753709
Industrial Automation,0.000241196333815726,0.00037230081906180194
Industrial Machinery Manufacturing,0.005788712011577424,0.0026920213070622603
Information Services,0.03424987940183309,0.0051262958932355805
Information Services and IT Services and IT Consulting,0.0,0.0003436622945185864
Information Services and Software Development,0.0,0.00028638524543215534
"Information Services and Technology, Information and Internet",0.0,0.02339767455180709
Information Technology & Services,0.02725518572117704,0.009794375393779713
Insurance,0.015195369030390739,0.011111747522767628
Insurance and Financial Services,0.0,0.0007159631135803884
Internet Marketplace Platforms,0.00241196333815726,0.006100005727704909
Internet News,0.000723589001447178,0.0010596254080989748
Internet Publishing,0.000482392667631452,0.004209863107852684
Investment Banking,0.003135552339604438,0.0007446016381236039
Investment Management,0.001929570670525808,0.001288733604444699
Law Practice,0.001447178002894356,0.0010596254080989748
"Leasing Non-residential Real Estate, IT Services and IT Consulting, and Research Services",0.0,0.0004868549172346641
Legal Services,0.000723589001447178,0.0004868549172346641
Machinery Manufacturing,0.002653159671972986,0.0012600950799014836
Manufacturing,0.010130246020260492,0.0045821639269144855
Maritime Transportation,0.000723589001447178,0.0002577467208889398
Marketing Services,0.001447178002894356,0.001718311472592932
Medical Device,0.000482392667631452,0.00037230081906180194
Medical Equipment Manufacturing,0.009406657018813314,0.007446016381236039
"Medical Equipment Manufacturing, Hospitals and Health Care, and Pharmaceutical Manufacturing",0.0,0.0007159631135803884
Medical Practices,0.0,0.000429577868148233
Mental Health Care,0.000482392667631452,0.0018042270462225785
Mining,0.00120598166907863,0.0002577467208889398
Motor Vehicle Manufacturing,0.014954172696575013,0.007016438513087806
"Motor Vehicle Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and IT Services and IT Consulting",0.0,0.005384042614124521
"Motor Vehicle Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Industrial Machinery Manufacturing",0.0,0.00037230081906180194
"Motor Vehicle Manufacturing, Renewable Energy Semiconductor Manufacturing, and Utilities",0.0,0.0006300475399507418
Musicians,0.000241196333815726,0.000801878687210035
Non-profit Organizations,0.00120598166907863,0.002577467208889398
Non-profit Organizations and Primary and Secondary Education,0.0,0.000801878687210035
Nuclear Electric Power Generation,0.0,0.0003436622945185864
Oil and Gas,0.003135552339604438,0.003064322126124062
"Oil and Gas, Defense and Space Manufacturing, and Aviation and Aerospace Component Manufacturing",0.0,0.0005441319663210952
Online Audio and Video Media,0.0,0.0018328655707657941
Pharmaceutical Manufacturing,0.008200675349734683,0.0026633827825190445
Pharmaceutical Manufacturing and Biotechnology Research,0.0,0.0004868549172346641
Professional Services,0.000482392667631452,0.0022338049143708115
Professional Training and Coaching,0.0,0.0006873245890371728
Public Safety,0.000964785335262904,0.0006873245890371728
Real Estate,0.002653159671972986,0.005183572942322011
"Real Estate, Financial Services, and Capital Markets",0.0,0.0003436622945185864
Renewable Energy Power Generation,0.000482392667631452,0.00037230081906180194
Renewable Energy Semiconductor Manufacturing,0.000964785335262904,0.0006014090154075262
Research,0.000241196333815726,0.00045821639269144854
Research Services,0.001447178002894356,0.007675124577581763
Restaurants,0.000482392667631452,0.0005727704908643107
Retail,0.014954172696575013,0.014376539320694198
Retail Apparel and Fashion,0.00120598166907863,0.0010023483590125438
Retail Office Equipment,0.000241196333815726,0.0006014090154075262
Robot Manufacturing,0.0,0.0003150237699753709
Robotics Engineering,0.000482392667631452,0.002634744257975829
Security Systems Services,0.0,0.0004009393436050175
Security and Investigations,0.000482392667631452,0.0008877942608396816
Semiconductor Manufacturing,0.008924264351181863,0.017269030299558966
"Semiconductor Manufacturing, Software Development, and Computer Hardware Manufacturing",0.0,0.0005154934417778796
Semiconductors,0.000482392667631452,0.0005727704908643107
Services for Renewable Energy,0.001447178002894356,0.0002577467208889398
Social Networking Platforms,0.000482392667631452,0.0009737098344693282
Software Development,0.12855764592378197,0.19230769230769232
Software Development and Computer and Network Security,0.0,0.0004009393436050175
Software Development and Defense and Space Manufacturing,0.0,0.0005727704908643107
Software Development and Financial Services,0.0,0.0006014090154075262
Software Development and IT Services and IT Consulting,0.0,0.003980754911506959
Software Development and IT System Custom Software Development,0.0,0.0010882639326421904
Software Development and Research Services,0.0,0.0003436622945185864
"Software Development and Technology, Information and Media",0.0,0.0004009393436050175
"Software Development, Consumer Services, and Entertainment Providers",0.0,0.0008877942608396816
"Software Development, Consumer Services, and Technology, Information and Internet",0.0,0.0005154934417778796
"Software Development, Defense and Space Manufacturing, and IT Services and IT Consulting",0.0,0.0005441319663210952
"Software Development, Defense and Space Manufacturing, and Research Services",0.0,0.0003150237699753709
"Software Development, Design Services, and IT Services and IT Consulting",0.0,0.0003150237699753709
"Software Development, Financial Services, and Technology, Information and Internet",0.0,0.005326765565038089
"Software Development, IT Services and IT Consulting, and Business Consulting and Services",0.0,0.0006586860644939573
"Software Development, IT Services and IT Consulting, and Pharmaceutical Manufacturing",0.0,0.0008305172117532505
"Software Development, IT Services and IT Consulting, and Research Services",0.0,0.0003436622945185864
"Software Development, IT Services and IT Consulting, and Technology, Information and Internet",0.0,0.0008877942608396816
"Software Development, Technology, Information and Internet, and Financial Services",0.0,0.0005154934417778796
"Software Development, Technology, Information and Internet, and IT Services and IT Consulting",0.0,0.000801878687210035
Space Research and Technology,0.000964785335262904,0.0012028180308150524
Spectator Sports,0.000723589001447178,0.0008877942608396816
Staffing and Recruiting,0.046068499758803665,0.022939458159115644
Staffing and Recruiting and IT Services and IT Consulting,0.0,0.00028638524543215534
"Technology, Information and Internet",0.02532561505065123,0.06174465891517269
"Technology, Information and Internet and Financial Services",0.0,0.00028638524543215534
"Technology, Information and Internet and Software Development",0.0,0.0003150237699753709
"Technology, Information and Internet and Transportation, Logistics, Supply Chain and Storage",0.0,0.0003436622945185864
"Technology, Information and Internet, Business Consulting and Services, and Marketing Services",0.0,0.0003436622945185864
"Technology, Information and Internet, Software Development, and IT Services and IT Consulting",0.0,0.0014319262271607768
"Technology, Information and Media",0.01808972503617945,0.006300475399507417
"Technology, Information and Media and Software Development",0.0,0.00037230081906180194
Telecommunications,0.01085383502170767,0.007159631135803883
"Transportation, Logistics, Supply Chain and Storage",0.002653159671972986,0.002520190159802967
Travel Arrangements,0.000482392667631452,0.0004868549172346641
Truck Transportation,0.001447178002894356,0.0007159631135803884
Utilities,0.004100337674867342,0.003064322126124062
Venture Capital and Private Equity Principals,0.000482392667631452,0.0014605647517039922
Wellness and Fitness Services,0.00241196333815726,0.0023769975370868893
Wholesale,0.0,0.0009164327853828971
Wholesale Building Materials,0.000964785335262904,0.0010023483590125438
Wireless Services,0.001929570670525808,0.00020046967180250875
"Wireless Services, IT Services and IT Consulting, and Telecommunications",0.0,0.00045821639269144854
"Wireless Services, Telecommunications, and Communications Equipment Manufacturing",0.0,0.0006300475399507418
