source,period,seniority_final,n,mean,median,p25,p75,metric,text_source,company_cap
scraped,2026-03,associate,15,0.4666666666666667,0.0,0.0,1.0,management_broad_count,llm,none
scraped,2026-03,director,36,0.6666666666666666,0.5,0.0,1.0,management_broad_count,llm,none
scraped,2026-03,entry,223,0.5112107623318386,0.0,0.0,1.0,management_broad_count,llm,none
scraped,2026-03,mid-senior,1891,0.6282390269698572,0.0,0.0,1.0,management_broad_count,llm,none
scraped,2026-03,unknown,1814,0.46141124586549065,0.0,0.0,1.0,management_broad_count,llm,none
scraped,2026-04,associate,13,0.3076923076923077,0.0,0.0,1.0,management_broad_count,llm,none
scraped,2026-04,director,16,0.75,1.0,0.0,1.0,management_broad_count,llm,none
scraped,2026-04,entry,62,0.6774193548387096,1.0,0.0,1.0,management_broad_count,llm,none
scraped,2026-04,mid-senior,1010,0.6722772277227723,0.0,0.0,1.0,management_broad_count,llm,none
scraped,2026-04,unknown,886,0.5146726862302483,0.0,0.0,1.0,management_broad_count,llm,none
kaggle_arshkon,2024-04,associate,15,0.06666666666666667,0.0,0.0,0.0,education_flag,llm,none
kaggle_arshkon,2024-04,director,13,0.15384615384615385,0.0,0.0,0.0,education_flag,llm,none
kaggle_arshkon,2024-04,entry,175,0.08,0.0,0.0,0.0,education_flag,llm,none
kaggle_arshkon,2024-04,mid-senior,2059,0.0947061680427392,0.0,0.0,0.0,education_flag,llm,none
kaggle_arshkon,2024-04,unknown,2417,0.0719900703351262,0.0,0.0,0.0,education_flag,llm,none
kaggle_asaniczka,2024-01,associate,8,0.125,0.0,0.0,0.0,education_flag,llm,none
kaggle_asaniczka,2024-01,director,72,0.1111111111111111,0.0,0.0,0.0,education_flag,llm,none
kaggle_asaniczka,2024-01,entry,149,0.08053691275167785,0.0,0.0,0.0,education_flag,llm,none
kaggle_asaniczka,2024-01,mid-senior,9192,0.11716710182767624,0.0,0.0,0.0,education_flag,llm,none
kaggle_asaniczka,2024-01,unknown,6153,0.11376564277588168,0.0,0.0,0.0,education_flag,llm,none
scraped,2026-03,associate,15,0.06666666666666667,0.0,0.0,0.0,education_flag,llm,none
scraped,2026-03,director,36,0.05555555555555555,0.0,0.0,0.0,education_flag,llm,none
scraped,2026-03,entry,223,0.11659192825112108,0.0,0.0,0.0,education_flag,llm,none
scraped,2026-03,mid-senior,1891,0.074034902168165,0.0,0.0,0.0,education_flag,llm,none
scraped,2026-03,unknown,1814,0.05181918412348401,0.0,0.0,0.0,education_flag,llm,none
scraped,2026-04,associate,13,0.15384615384615385,0.0,0.0,0.0,education_flag,llm,none
scraped,2026-04,director,16,0.25,0.0,0.0,0.25,education_flag,llm,none
scraped,2026-04,entry,62,0.06451612903225806,0.0,0.0,0.0,education_flag,llm,none
scraped,2026-04,mid-senior,1010,0.0891089108910891,0.0,0.0,0.0,education_flag,llm,none
scraped,2026-04,unknown,886,0.08239277652370203,0.0,0.0,0.0,education_flag,llm,none
kaggle_arshkon,2024-04,associate,15,0.7333333333333333,1.0,0.5,1.0,yoe_flag,llm,none
kaggle_arshkon,2024-04,director,13,1.0,1.0,1.0,1.0,yoe_flag,llm,none
kaggle_arshkon,2024-04,entry,175,0.37142857142857144,0.0,0.0,1.0,yoe_flag,llm,none
kaggle_arshkon,2024-04,mid-senior,2059,0.6770276833414279,1.0,0.0,1.0,yoe_flag,llm,none
kaggle_arshkon,2024-04,unknown,2417,0.5887463798096815,1.0,0.0,1.0,yoe_flag,llm,none
kaggle_asaniczka,2024-01,associate,8,0.625,1.0,0.0,1.0,yoe_flag,llm,none
kaggle_asaniczka,2024-01,director,72,0.8194444444444444,1.0,1.0,1.0,yoe_flag,llm,none
kaggle_asaniczka,2024-01,entry,149,0.47651006711409394,0.0,0.0,1.0,yoe_flag,llm,none
kaggle_asaniczka,2024-01,mid-senior,9192,0.762402088772846,1.0,1.0,1.0,yoe_flag,llm,none
kaggle_asaniczka,2024-01,unknown,6153,0.6426133593369088,1.0,0.0,1.0,yoe_flag,llm,none
scraped,2026-03,associate,15,0.8,1.0,1.0,1.0,yoe_flag,llm,none
scraped,2026-03,director,36,0.8055555555555556,1.0,1.0,1.0,yoe_flag,llm,none
scraped,2026-03,entry,223,0.2242152466367713,0.0,0.0,0.0,yoe_flag,llm,none
scraped,2026-03,mid-senior,1891,0.7535695399259651,1.0,1.0,1.0,yoe_flag,llm,none
scraped,2026-03,unknown,1814,0.6604189636163176,1.0,0.0,1.0,yoe_flag,llm,none
scraped,2026-04,associate,13,0.6923076923076923,1.0,0.0,1.0,yoe_flag,llm,none
scraped,2026-04,director,16,0.6875,1.0,0.0,1.0,yoe_flag,llm,none
scraped,2026-04,entry,62,0.16129032258064516,0.0,0.0,0.0,yoe_flag,llm,none
scraped,2026-04,mid-senior,1010,0.7772277227722773,1.0,1.0,1.0,yoe_flag,llm,none
scraped,2026-04,unknown,886,0.6681715575620768,1.0,0.0,1.0,yoe_flag,llm,none
kaggle_arshkon,2024-04,associate,15,3.466666666666667,4.0,2.0,5.0,requirement_breadth,llm,none
kaggle_arshkon,2024-04,director,13,5.076923076923077,6.0,2.0,6.0,requirement_breadth,llm,none
kaggle_arshkon,2024-04,entry,175,3.617142857142857,3.0,1.0,5.0,requirement_breadth,llm,none
kaggle_arshkon,2024-04,mid-senior,2059,4.975716367168529,5.0,3.0,7.0,requirement_breadth,llm,none
kaggle_arshkon,2024-04,unknown,2417,4.042614811750103,3.0,2.0,6.0,requirement_breadth,llm,none
kaggle_asaniczka,2024-01,associate,8,3.5,3.0,1.75,5.25,requirement_breadth,llm,none
kaggle_asaniczka,2024-01,director,72,3.25,2.0,2.0,4.0,requirement_breadth,llm,none
kaggle_asaniczka,2024-01,entry,149,3.6308724832214767,3.0,1.0,5.0,requirement_breadth,llm,none
kaggle_asaniczka,2024-01,mid-senior,9192,4.592471714534378,4.0,2.0,6.0,requirement_breadth,llm,none
kaggle_asaniczka,2024-01,unknown,6153,3.8433284576629285,3.0,2.0,5.0,requirement_breadth,llm,none
scraped,2026-03,associate,15,6.6,7.0,2.5,8.5,requirement_breadth,llm,none
