source,term,category,n,doc_share,mentions_per_1000_chars,mentions,doc_count,company_count,char_count
kaggle_arshkon,python,tech_stack,2783,0.34998203377650017,0.3460121278427721,1470,974,570,4248406.0
scraped,python,tech_stack,3353,0.4697286012526096,0.3291697398675569,2310,1575,730,7017656.0
kaggle_asaniczka,sql,tech_stack,20544,0.28241822429906543,0.27472063012755316,9376,5802,1683,34129217.0
kaggle_arshkon,sql,tech_stack,2783,0.2975206611570248,0.3260046238518635,1385,828,510,4248406.0
scraped,sql,tech_stack,3353,0.24724127646883387,0.1906619532219875,1338,829,443,7017656.0
kaggle_asaniczka,aws,tech_stack,20544,0.30865459501557635,0.37864917908898993,12923,6341,1466,34129217.0
kaggle_arshkon,aws,tech_stack,2783,0.31800215594681996,0.44040047019988204,1871,885,539,4248406.0
scraped,aws,tech_stack,3353,0.3945720250521921,0.4450203885741906,3123,1323,589,7017656.0
kaggle_asaniczka,java,tech_stack,20544,0.2971183800623053,0.327725069110141,11185,6104,1400,34129217.0
kaggle_arshkon,java,tech_stack,2783,0.31225296442687744,0.3707272798315415,1575,869,482,4248406.0
scraped,java,tech_stack,3353,0.3077840739636147,0.2515084808944753,1765,1032,427,7017656.0
kaggle_asaniczka,azure,tech_stack,20544,0.22021028037383178,0.23876902889392393,8149,4524,1227,34129217.0
kaggle_arshkon,azure,tech_stack,2783,0.25763564498742364,0.45334650219399936,1926,717,445,4248406.0
scraped,azure,tech_stack,3353,0.262451535937966,0.35610180949308434,2499,880,397,7017656.0
kaggle_asaniczka,javascript,tech_stack,20544,0.18740264797507789,0.1633497774062616,5575,3850,1305,34129217.0
kaggle_arshkon,javascript,tech_stack,2783,0.2012217031979878,0.20690112950598413,879,560,347,4248406.0
scraped,javascript,tech_stack,3353,0.1756635848493886,0.10801327394788231,758,589,292,7017656.0
kaggle_asaniczka,linux,tech_stack,20544,0.1782028816199377,0.15291883197906356,5219,3661,1111,34129217.0
kaggle_arshkon,linux,tech_stack,2783,0.1167804527488322,0.12451728954341934,529,325,240,4248406.0
scraped,linux,tech_stack,3353,0.14613778705636743,0.11627814187529283,816,490,277,7017656.0
kaggle_asaniczka,git,tech_stack,20544,0.12461059190031153,0.08535208997030316,2913,2560,1040,34129217.0
kaggle_arshkon,git,tech_stack,2783,0.14444843693855552,0.1092174335503716,464,402,300,4248406.0
scraped,git,tech_stack,3353,0.12794512376975842,0.06839890698546637,480,429,268,7017656.0
kaggle_asaniczka,react,tech_stack,20544,0.12753115264797507,0.11561941195427952,3946,2620,1006,34129217.0
kaggle_arshkon,react,tech_stack,2783,0.1383399209486166,0.16688612152416693,709,385,287,4248406.0
scraped,react,tech_stack,3353,0.1759618252311363,0.14905261813916215,1046,590,331,7017656.0
kaggle_asaniczka,ci cd,tech_stack,20544,0.12125194704049844,0.09850797338831417,3362,2491,940,34129217.0
kaggle_arshkon,ci cd,tech_stack,2783,0.18469277757815308,0.172770681521493,734,514,366,4248406.0
scraped,ci cd,tech_stack,3353,0.31076647778109157,0.22799635661822124,1600,1042,557,7017656.0
kaggle_asaniczka,docker,tech_stack,20544,0.17226440809968846,0.11714303319645453,3998,3539,855,34129217.0
kaggle_arshkon,docker,tech_stack,2783,0.15702479338842976,0.11980964154555851,509,437,290,4248406.0
scraped,docker,tech_stack,3353,0.19236504622725917,0.12782045742909026,897,645,359,7017656.0
kaggle_asaniczka,kubernetes,tech_stack,20544,0.18083138629283488,0.13988015019506603,4774,3715,831,34129217.0
kaggle_arshkon,kubernetes,tech_stack,2783,0.17175709665828243,0.15700006072865919,667,478,314,4248406.0
scraped,kubernetes,tech_stack,3353,0.2281538920369818,0.15332754982575378,1076,765,392,7017656.0
kaggle_asaniczka,angular,tech_stack,20544,0.08367406542056074,0.07023307918256666,2397,1719,720,34129217.0
kaggle_arshkon,angular,tech_stack,2783,0.09809558030901905,0.0969775487559334,412,273,195,4248406.0
scraped,angular,tech_stack,3353,0.0706829704742022,0.05300915291373644,372,237,155,7017656.0
kaggle_asaniczka,typescript,tech_stack,20544,0.09817951713395638,0.09423011374682284,3216,2017,613,34129217.0
kaggle_arshkon,typescript,tech_stack,2783,0.09701760689902983,0.0896806943592491,381,270,183,4248406.0
scraped,typescript,tech_stack,3353,0.14554130629287204,0.09832342879160791,690,488,289,7017656.0
kaggle_asaniczka,jenkins,tech_stack,20544,0.07671339563862928,0.05285793694007102,1804,1576,593,34129217.0
kaggle_arshkon,jenkins,tech_stack,2783,0.09198706431908013,0.0708501023678057,301,256,190,4248406.0
scraped,jenkins,tech_stack,3353,0.08917387414255891,0.04944670984157673,347,299,188,7017656.0
kaggle_asaniczka,microservices,tech_stack,20544,0.10187889408099689,0.07322172084990992,2499,2093,553,34129217.0
kaggle_arshkon,microservices,tech_stack,2783,0.11067193675889328,0.09132837115850038,388,308,199,4248406.0
scraped,microservices,tech_stack,3353,0.1413659409484044,0.09191103126172043,645,474,242,7017656.0
kaggle_asaniczka,terraform,tech_stack,20544,0.07179711838006231,0.053443945110138336,1824,1475,505,34129217.0
kaggle_arshkon,terraform,tech_stack,2783,0.08264462809917356,0.0790884863640622,336,230,188,4248406.0
scraped,terraform,tech_stack,3353,0.14762898896510587,0.10345334681551789,726,495,265,7017656.0
kaggle_asaniczka,node,tech_stack,20544,0.08513434579439252,0.07480394290909165,2553,1749,518,34129217.0
kaggle_arshkon,node,tech_stack,2783,0.08408192597915919,0.0863853407607465,367,234,147,4248406.0
scraped,node,tech_stack,3353,0.06949000894721145,0.04759423944405368,334,233,176,7017656.0
kaggle_asaniczka,spring,tech_stack,20544,0.058751947040498444,0.07128789388868781,2433,1207,497,34129217.0
kaggle_arshkon,spring,tech_stack,2783,0.09234638878907654,0.12004502394545155,510,257,183,4248406.0
scraped,spring,tech_stack,3353,0.08261258574410975,0.07139135916608053,501,277,146,7017656.0
kaggle_asaniczka,kafka,tech_stack,20544,0.07359813084112149,0.060241639882919085,2056,1512,444,34129217.0
kaggle_arshkon,kafka,tech_stack,2783,0.07402084081925979,0.06473015997058662,275,206,148,4248406.0
scraped,kafka,tech_stack,3353,0.08887563376081122,0.054006636973941154,379,298,168,7017656.0
