source,period,n,technology,rate
kaggle_asaniczka,2024,18129,pytorch,0.013790060124662143
kaggle_asaniczka,2024,18129,scikit_learn,0.005681504771360803
kaggle_asaniczka,2024,18129,pandas,0.006950190302829721
kaggle_asaniczka,2024,18129,numpy,0.005626344530862155
kaggle_asaniczka,2024,18129,jupyter,0.002040928898449997
kaggle_asaniczka,2024,18129,mlflow,0.002206409619945943
kaggle_asaniczka,2024,18129,xgboost,0.0006619228859837829
kaggle_asaniczka,2024,18129,keras,0.0019306084174527001
kaggle_asaniczka,2024,18129,langchain,0.0011032048099729715
kaggle_asaniczka,2024,18129,llamaindex,0.00011032048099729714
kaggle_asaniczka,2024,18129,rag,0.00038612168349054
kaggle_asaniczka,2024,18129,vector_database,0.0007170831264824315
kaggle_asaniczka,2024,18129,pinecone,0.0006619228859837829
kaggle_asaniczka,2024,18129,weaviate,0.0
kaggle_asaniczka,2024,18129,chroma,0.0
kaggle_asaniczka,2024,18129,hugging_face,0.0009377240884770258
kaggle_asaniczka,2024,18129,openai_api,0.0
kaggle_asaniczka,2024,18129,claude_api,0.0
kaggle_asaniczka,2024,18129,anthropic,0.00022064096199459428
kaggle_asaniczka,2024,18129,gemini,0.00033096144299189144
kaggle_asaniczka,2024,18129,prompt_engineering,0.0017651276959567543
kaggle_asaniczka,2024,18129,fine_tuning,0.008660157758287827
kaggle_asaniczka,2024,18129,mcp,0.0009928843289756743
kaggle_asaniczka,2024,18129,llm,0.011473330023718904
kaggle_asaniczka,2024,18129,ai_agent,0.0004964421644878371
kaggle_asaniczka,2024,18129,copilot,0.00077224336698108
kaggle_asaniczka,2024,18129,cursor_tool,5.516024049864857e-05
kaggle_asaniczka,2024,18129,chatgpt,0.0009928843289756743
kaggle_asaniczka,2024,18129,claude_tool,0.0
kaggle_asaniczka,2024,18129,codex,0.00011032048099729714
kaggle_asaniczka,2024,18129,tabnine,0.0
kaggle_asaniczka,2024,18129,gpt_model,0.00077224336698108
scraped,2026,45317,tensorflow,0.0372045810622945
scraped,2026,45317,pytorch,0.0477304322881038
scraped,2026,45317,scikit_learn,0.015137807003994086
scraped,2026,45317,pandas,0.015027473133702583
scraped,2026,45317,numpy,0.0105699847739259
scraped,2026,45317,jupyter,0.0035748173974446676
scraped,2026,45317,mlflow,0.012644261535406138
scraped,2026,45317,xgboost,0.001853609020897235
scraped,2026,45317,keras,0.0029790144978705563
scraped,2026,45317,langchain,0.03323256173180043
scraped,2026,45317,llamaindex,0.00849570801244566
scraped,2026,45317,rag,0.05390912902442792
scraped,2026,45317,vector_database,0.00423682061919368
scraped,2026,45317,pinecone,0.008363307368095858
scraped,2026,45317,weaviate,0.004965024163117594
scraped,2026,45317,chroma,0.002537679016704548
scraped,2026,45317,hugging_face,0.011827790895249024
scraped,2026,45317,openai_api,0.0018977425690138358
scraped,2026,45317,claude_api,0.0008826709623320167
scraped,2026,45317,anthropic,0.01376966701237946
scraped,2026,45317,gemini,0.0106141183220425
scraped,2026,45317,prompt_engineering,0.0372266478363528
scraped,2026,45317,fine_tuning,0.02809100337621643
scraped,2026,45317,mcp,0.021493037932784606
scraped,2026,45317,llm,0.13652713109870468
scraped,2026,45317,ai_agent,0.10161749453847342
scraped,2026,45317,copilot,0.04060286426727277
scraped,2026,45317,cursor_tool,0.020345565681752983
scraped,2026,45317,chatgpt,0.00739236930953064
scraped,2026,45317,claude_tool,0.017609285698523734
scraped,2026,45317,codex,0.006112496414149215
scraped,2026,45317,tabnine,0.0001324006443498025
scraped,2026,45317,gpt_model,0.0032658825606284615
