boundary_case,source,period,is_swe,is_swe_adjacent,is_control,n,avg_swe_confidence
sales_solutions_engineer,kaggle_asaniczka,2024-01,False,False,False,473,0.4772846334265352
sales_solutions_engineer,kaggle_asaniczka,2024-01,True,False,False,2,0.8571513295173645
sales_solutions_engineer,kaggle_asaniczka,2024-01,False,True,False,8,0.7843142831325531
sales_solutions_engineer,scraped,2026-04,False,False,True,1,0.39388614892959595
sales_solutions_engineer,scraped,2026-04,False,False,False,713,0.5037207801997411
sales_solutions_engineer,scraped,2026-03,False,True,False,37,0.7573858821714247
support_engineer,kaggle_asaniczka,2024-01,False,False,True,1,1.0
support_engineer,kaggle_arshkon,2024-04,False,True,False,6,0.7606831848621368
support_engineer,scraped,2026-04,False,True,False,12,0.7468361592292786
support_engineer,scraped,2026-03,False,False,False,166,0.5107841958482582
support_engineer,kaggle_asaniczka,2024-01,False,True,False,8,0.7524669662117958
support_engineer,scraped,2026-04,False,False,True,3,0.5659118990103403
support_engineer,scraped,2026-04,False,False,False,183,0.5051403286678543
support_engineer,scraped,2026-03,False,True,False,19,0.8010056225877059
support_engineer,kaggle_arshkon,2024-04,False,False,False,145,0.508402714030496
support_engineer,kaggle_asaniczka,2024-01,False,False,False,316,0.516751346048675
generic_software_engineer,kaggle_asaniczka,2024-01,False,False,True,4,0.7830466032028198
generic_software_engineer,kaggle_arshkon,2024-04,False,False,False,1002,0.5380529775888382
generic_software_engineer,kaggle_arshkon,2024-04,True,False,False,2460,0.9948442041583174
generic_software_engineer,scraped,2026-03,False,False,True,3,1.0
generic_software_engineer,scraped,2026-03,False,False,False,969,0.542371504739219
generic_software_engineer,scraped,2026-03,True,False,False,10801,0.9984198215813261
generic_software_engineer,scraped,2026-04,True,False,False,11169,0.9983992374138658
generic_software_engineer,kaggle_arshkon,2024-04,False,False,True,1,1.0
generic_software_engineer,kaggle_arshkon,2024-04,False,True,False,76,0.7634536995385822
generic_software_engineer,scraped,2026-04,False,True,False,193,0.7654349964764452
generic_software_engineer,kaggle_asaniczka,2024-01,False,True,False,254,0.7610246141782896
generic_software_engineer,scraped,2026-04,False,False,True,1,1.0
generic_software_engineer,kaggle_asaniczka,2024-01,True,False,False,8859,0.9960778564157516
generic_software_engineer,kaggle_asaniczka,2024-01,False,False,False,2501,0.5345487102884047
generic_software_engineer,scraped,2026-04,False,False,False,1058,0.5363318496058028
generic_software_engineer,scraped,2026-03,False,True,False,152,0.7589211052028757
