source,company_industry,n
scraped,Business Consulting and Services and Financial Services,1
scraped,Business Consulting and Services and Hospitals and Health Care,1
scraped,Business Consulting and Services and IT Services and IT Consulting,1
scraped,"Business Consulting and Services, IT Services and IT Consulting, and Professional Training and Coaching",3
scraped,Business Content,1
scraped,Business Intelligence Platforms and Internet Publishing,1
scraped,Capital Markets,2
scraped,"Capital Markets, IT Services and IT Consulting, and Financial Services",5
scraped,"Capital Markets, Investment Advice, and Investment Management",1
scraped,"Capital Markets, Investment Banking, and Investment Management",2
scraped,"Capital Markets, Venture Capital and Private Equity Principals, and Investment Management",1
scraped,Chemical Manufacturing,1
scraped,"Chemical Manufacturing, Food and Beverage Services, and Food and Beverage Manufacturing",2
scraped,Civic and Social Organizations and Non-profit Organizations,1
scraped,Civil Engineering,7
scraped,Climate Data and Analytics,1
scraped,Computer Games,12
scraped,"Computer Games, Software Development, and Technology, Information and Internet",2
scraped,Computer Hardware Manufacturing,5
scraped,"Computer Hardware Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Computers and Electronics Manufacturing",4
scraped,"Computer Hardware Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Semiconductor Manufacturing",1
scraped,"Computer Hardware Manufacturing, Computers and Electronics Manufacturing, and Semiconductor Manufacturing",1
scraped,"Computer Hardware Manufacturing, Defense and Space Manufacturing, and IT Services and IT Consulting",1
scraped,"Computer Hardware Manufacturing, Software Development, and Computers and Electronics Manufacturing",15
scraped,"Computer Hardware Manufacturing, Software Development, and IT Services and IT Consulting",4
scraped,"Computer Networking Products, Software Development, and Computer and Network Security",1
scraped,Computer and Network Security,22
scraped,"Computer and Network Security, Government Administration, and IT Services and IT Consulting",1
scraped,"Computer and Network Security, Software Development, and Defense and Space Manufacturing",2
scraped,"Computer and Network Security, Software Development, and IT System Custom Software Development",2
scraped,Computers and Electronics Manufacturing,31
scraped,Computers and Electronics Manufacturing and Retail,1
scraped,"Computers and Electronics Manufacturing, Software Development, and Financial Services",1
scraped,Construction,5
scraped,Construction and Civil Engineering,7
scraped,Construction and Machinery Manufacturing,2
scraped,"Construction, Building Construction, and Architecture and Planning",1
scraped,"Construction, Civil Engineering, and Industrial Machinery Manufacturing",4
scraped,"Construction, Machinery Manufacturing, and Truck Transportation",2
scraped,"Construction, Software Development, and IT Services and IT Consulting",25
scraped,"Construction, Software Development, and Information Services",1
scraped,Consumer Goods,1
scraped,Consumer Services,6
scraped,"Consumer Services, Technology, Information and Media, and Internet Marketplace Platforms",1
scraped,Data Infrastructure and Analytics,3
scraped,"Data Infrastructure and Analytics, Insurance, and IT Services and IT Consulting",1
scraped,"Data Infrastructure and Analytics, Software Development, and Technology, Information and Media",1
scraped,"Data Infrastructure and Analytics, Technology, Information and Media, and Public Health",1
scraped,Data Security Software Products and Software Development,1
scraped,Defense & Space,4
scraped,Defense and Space Manufacturing,143
scraped,Defense and Space Manufacturing and Aviation and Aerospace Component Manufacturing,1
scraped,Defense and Space Manufacturing and Space Research and Technology,1
scraped,Defense and Space Manufacturing and Telecommunications,8
scraped,"Defense and Space Manufacturing, Airlines and Aviation, and Semiconductor Manufacturing",1
scraped,"Defense and Space Manufacturing, Engineering Services, and Aviation and Aerospace Component Manufacturing",1
scraped,"Defense and Space Manufacturing, Government Administration, and Software Development",1
scraped,"Defense and Space Manufacturing, Robotics Engineering, and Automation Machinery Manufacturing",1
scraped,"Defense and Space Manufacturing, Software Development, and Armed Forces",1
scraped,"Defense and Space Manufacturing, Space Research and Technology, and Engineering Services",1
scraped,"Defense and Space Manufacturing, Technology, Information and Media, and Software Development",1
scraped,Design Services,1
scraped,E-Learning Providers,5
scraped,Education Administration Programs,4
scraped,Education Administration Programs and E-Learning Providers,2
scraped,"Education Administration Programs, E-Learning Providers, and Higher Education",1
scraped,"Education Administration Programs, Higher Education, and Primary and Secondary Education",1
scraped,Electric Power Generation,2
scraped,"Electric Power Generation, Electric Power Transmission, Control, and Distribution, and Utilities",1
scraped,"Electrical Equipment Manufacturing and Appliances, Electrical, and Electronics Manufacturing",1
scraped,Electronic and Precision Equipment Maintenance,2
scraped,Energy Technology and Oil and Gas,1
scraped,Energy Technology and Services for Renewable Energy,1
scraped,Engineering Services,10
scraped,Engineering Services and Defense and Space Manufacturing,1
scraped,Engineering Services and Motor Vehicle Manufacturing,1
scraped,"Engineering Services, Motor Vehicle Manufacturing, and Motor Vehicle Parts Manufacturing",1
scraped,Engines and Power Transmission Equipment Manufacturing,1
scraped,Entertainment Providers,32
scraped,Entertainment Providers and Broadcast Media Production and Distribution,2
scraped,"Entertainment Providers, Technology, Information and Media, and Broadcast Media Production and Distribution",1
scraped,Financial Services,319
scraped,Financial Services and Advertising Services,1
scraped,Financial Services and Banking,1
scraped,Financial Services and Capital Markets,1
scraped,Financial Services and Hospitals and Health Care,1
scraped,Financial Services and IT Services and IT Consulting,1
scraped,Financial Services and Insurance,2
scraped,Financial Services and Investment Management,1
scraped,"Financial Services and Technology, Information and Media",2
scraped,"Financial Services, Banking, and Capital Markets",2
scraped,"Financial Services, Banking, and IT Services and IT Consulting",1
scraped,"Financial Services, Capital Markets, and Investment Banking",2
scraped,"Financial Services, Engineering Services, and Technology, Information and Media",1
scraped,"Financial Services, IT Services and IT Consulting, and Banking",1
scraped,"Financial Services, Information Services, and IT Services and IT Consulting",1
scraped,"Financial Services, Insurance, and Banking",1
scraped,"Financial Services, Investment Banking, and Banking",1
scraped,"Financial Services, Investment Banking, and Investment Management",6
scraped,"Financial Services, Investment Management, and Banking",7
scraped,"Financial Services, Investment Management, and Computer and Network Security",1
scraped,"Financial Services, Technology, Information and Media, and Data Infrastructure and Analytics",1
scraped,Food & Beverages,6
scraped,Food and Beverage Manufacturing,1
scraped,Food and Beverage Retail,2
scraped,Food and Beverage Services,1
scraped,"Food and Beverage Services, Beverage Manufacturing, and Manufacturing",1
scraped,Furniture and Home Furnishings Manufacturing,1
scraped,Gambling Facilities and Casinos,2
scraped,"Gambling Facilities and Casinos, IT Services and IT Consulting, and Printing Services",1
scraped,Government Administration,3
scraped,Government Administration and IT Services and IT Consulting,10
scraped,"Government Administration, Railroad Equipment Manufacturing, and Rail Transportation",1
scraped,"Health, Wellness & Fitness",1
scraped,Higher Education,8
scraped,Hospitality,3
scraped,Hospitality and Software Development,1
scraped,"Hospitality, Food and Beverage Services, and Retail",3
scraped,Hospitals and Health Care,49
scraped,Hospitals and Health Care and Financial Services,1
scraped,Hospitals and Health Care and Information Services,1
scraped,Hospitals and Health Care and Insurance,1
scraped,Hospitals and Health Care and Manufacturing,1
scraped,"Hospitals and Health Care and Technology, Information and Media",1
scraped,"Hospitals and Health Care, Insurance, and Pharmaceutical Manufacturing",1
scraped,"Hospitals and Health Care, Medical Practices, and Medical Equipment Manufacturing",1
scraped,"Hospitals and Health Care, Medical Practices, and Wellness and Fitness Services",2
scraped,"Hospitals and Health Care, Software Development, and Health and Human Services",1
scraped,"Hospitals and Health Care, Technology, Information and Media, and Software Development",1
scraped,Human Resources Services,5
scraped,IT Services and IT Consulting,480
scraped,IT Services and IT Consulting and Banking,2
scraped,IT Services and IT Consulting and Engineering Services,1
scraped,IT Services and IT Consulting and Financial Services,5
scraped,IT Services and IT Consulting and Health and Human Services,1
scraped,IT Services and IT Consulting and Hospitals and Health Care,1
scraped,IT Services and IT Consulting and Investment Banking,2
scraped,IT Services and IT Consulting and Restaurants,1
scraped,IT Services and IT Consulting and Software Development,3
scraped,IT Services and IT Consulting and Staffing and Recruiting,3
scraped,IT Services and IT Consulting and Telecommunications,1
scraped,IT Services and IT Consulting and Utilities,1
scraped,IT Services and IT Consulting and Wholesale Building Materials,1
scraped,"IT Services and IT Consulting, Computer and Network Security, and Information Services",22
scraped,"IT Services and IT Consulting, Computer and Network Security, and Security and Investigations",1
scraped,"IT Services and IT Consulting, Engineering Services, and Software Development",1
scraped,"IT Services and IT Consulting, Financial Services, and Banking",3
scraped,"IT Services and IT Consulting, IT System Testing and Evaluation, and Software Development",1
scraped,"IT Services and IT Consulting, Information Services, and Research Services",5
scraped,"IT Services and IT Consulting, Information Services, and Technology, Information and Media",1
scraped,"IT Services and IT Consulting, Software Development, and Business Consulting and Services",1
scraped,"IT Services and IT Consulting, Software Development, and Financial Services",2
scraped,"IT Services and IT Consulting, Software Development, and Higher Education",1
scraped,"IT Services and IT Consulting, Software Development, and IT System Custom Software Development",2
scraped,"IT Services and IT Consulting, Software Development, and IT System Data Services",3
scraped,"IT Services and IT Consulting, Technology, Information and Internet, and Advertising Services",2
scraped,"IT Services and IT Consulting, Technology, Information and Internet, and Computer and Network Security",9
scraped,"IT Services and IT Consulting, Technology, Information and Internet, and Telecommunications",1
scraped,IT System Custom Software Development,24
scraped,IT System Custom Software Development and IT Services and IT Consulting,1
scraped,IT System Custom Software Development and Software Development,1
scraped,IT System Data Services,3
scraped,IT System Data Services and Software Development,3
scraped,"IT System Design Services and Technology, Information and Media",1
scraped,IT System Operations and Maintenance,2
scraped,Industrial Automation,1
scraped,Industrial Machinery Manufacturing,8
scraped,Information Services,15
scraped,Information Services and Engineering Services,1
scraped,Information Services and Software Development,1
scraped,"Information Services and Technology, Information and Internet",71
scraped,"Information Services and Technology, Information and Media",3
scraped,"Information Services, Banking, and Financial Services",1
scraped,"Information Services, Financial Services, and Technology, Information and Media",1
scraped,"Information Services, IT Services and IT Consulting, and IT System Testing and Evaluation",1
scraped,Information Technology & Services,26
scraped,Information Technology & Services and Financial Services,1
scraped,"Information Technology & Services, Capital Markets, and Financial Services",1
scraped,Insurance,49
scraped,"Insurance Agencies and Brokerages and Technology, Information and Media",1
scraped,Insurance and Financial Services,3
scraped,"Insurance, Financial Services, and Business Consulting and Services",1
scraped,"Insurance, IT Services and IT Consulting, and Business Consulting and Services",1
scraped,Internet Marketplace Platforms,16
scraped,Internet Publishing,51
scraped,Investment Banking,2
scraped,Investment Management,7
scraped,"Investment Management, Business Consulting and Services, and IT Services and IT Consulting",1
scraped,"Investment Management, Financial Services, and Investment Banking",1
scraped,Law Practice,11
scraped,Leasing Non-residential Real Estate,1
scraped,"Leasing Non-residential Real Estate, Facilities Services, and Real Estate",1
scraped,Legal Services,1
scraped,Machinery Manufacturing,5
scraped,Manufacturing,11
scraped,Manufacturing and Engineering Services,1
scraped,Manufacturing and IT System Custom Software Development,1
scraped,Manufacturing and Online and Mail Order Retail,1
scraped,Manufacturing and Retail Apparel and Fashion,1
scraped,Manufacturing and Wholesale,2
scraped,"Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Electrical Equipment Manufacturing",1
scraped,"Manufacturing, Health and Human Services, and Software Development",1
scraped,"Manufacturing, Hospitality, and Restaurants",1
scraped,Maritime Transportation,1
scraped,Marketing Services,24
scraped,Media Production,1
scraped,Medical Equipment Manufacturing,19
scraped,Medical Equipment Manufacturing and Engineering Services,1
scraped,Medical Equipment Manufacturing and Hospitals and Health Care,2
scraped,Medical Equipment Manufacturing and Pharmaceutical Manufacturing,1
scraped,Medical Practices,5
scraped,Mental Health Care,6
scraped,Mining,1
scraped,Mobile Computing Software Products,1
scraped,Motor Vehicle Manufacturing,18
scraped,Motor Vehicle Manufacturing and Motor Vehicle Parts Manufacturing,2
scraped,"Motor Vehicle Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and IT Services and IT Consulting",34
scraped,"Motor Vehicle Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Industrial Machinery Manufacturing",3
scraped,"Motor Vehicle Manufacturing, Industrial Machinery Manufacturing, and Appliances, Electrical, and Electronics Manufacturing",1
scraped,"Motor Vehicle Manufacturing, Renewable Energy Semiconductor Manufacturing, and Utilities",2
scraped,Motor Vehicle Parts Manufacturing,1
scraped,Musicians,1
scraped,Nanotechnology Research,2
scraped,Newspaper Publishing,1
scraped,Non-profit Organizations,4
scraped,Non-profit Organizations and Primary and Secondary Education,1
scraped,"Non-profit Organizations, Hospitals, and Mental Health Care",1
scraped,Nuclear Electric Power Generation,1
scraped,Oil and Gas,8
scraped,Oil and Gas and Utilities,1
scraped,"Oil and Gas, Defense and Space Manufacturing, and Aviation and Aerospace Component Manufacturing",1
scraped,"Oil and Gas, Industrial Machinery Manufacturing, and Energy Technology",1
scraped,"Oil and Gas, Utilities, and Renewable Energy Semiconductor Manufacturing",1
scraped,Online Audio and Video Media,8
scraped,Packaging and Containers Manufacturing,1
scraped,Pharmaceutical Manufacturing,4
scraped,"Pharmaceutical Manufacturing, Biotechnology Research, and Medical Equipment Manufacturing",1
scraped,"Pharmaceutical Manufacturing, Industrial Machinery Manufacturing, and Oil and Gas",1
scraped,Photography,3
scraped,Professional Services,6
scraped,Professional Training and Coaching,1
scraped,Public Safety,5
scraped,Public Safety and Telecommunications,1
scraped,Rail Transportation,1
scraped,Real Estate,18
scraped,Real Estate Agents and Brokers,1
scraped,Real Estate and Financial Services,1
scraped,"Real Estate, Financial Services, and Capital Markets",5
scraped,Research,1
scraped,Research Services,25
scraped,Restaurants,2
scraped,Retail,36
scraped,Retail Apparel and Fashion,2
scraped,"Retail Appliances, Electrical, and Electronic Equipment",1
scraped,Retail Office Equipment,2
scraped,"Retail Office Equipment, E-Learning Providers, and Professional Training and Coaching",1
scraped,Retail Pharmacies,1
scraped,Retail and Information Services,1
scraped,Retail and Retail Recyclable Materials & Used Merchandise,1
scraped,Robot Manufacturing,1
scraped,Robot Manufacturing and Robotics Engineering,1
scraped,Robotics Engineering,6
scraped,"Robotics Engineering, Motor Vehicle Manufacturing, and Manufacturing",1
scraped,"Robotics Engineering, Software Development, and Automation Machinery Manufacturing",1
scraped,Security Systems Services,1
scraped,Security and Investigations,2
scraped,Semiconductor Manufacturing,58
scraped,Semiconductor Manufacturing and Construction,1
scraped,Semiconductor Manufacturing and IT System Custom Software Development,1
scraped,"Semiconductor Manufacturing, Software Development, and Computer Hardware Manufacturing",1
scraped,Semiconductors,1
scraped,"Semiconductors, Consumer Electronics, and Computer Hardware",1
scraped,Social Networking Platforms,1
scraped,Software Development,1109
scraped,Software Development and Banking,1
scraped,Software Development and Construction Hardware Manufacturing,1
scraped,Software Development and Defense and Space Manufacturing,2
scraped,Software Development and Financial Services,1
scraped,Software Development and IT Services and IT Consulting,8
scraped,Software Development and IT System Custom Software Development,1
scraped,Software Development and Information Services,1
scraped,Software Development and Robotics Engineering,1
scraped,Software Development and Semiconductor Manufacturing,1
scraped,"Software Development and Technology, Information and Media",2
scraped,"Software Development, Biotechnology Research, and Hospitals and Health Care",1
scraped,"Software Development, Capital Markets, and Financial Services",1
scraped,"Software Development, Consumer Services, and Entertainment Providers",1
scraped,"Software Development, Consumer Services, and Technology, Information and Internet",7
scraped,"Software Development, Defense and Space Manufacturing, and Research Services",1
scraped,"Software Development, Financial Services, and IT Services and IT Consulting",1
scraped,"Software Development, Financial Services, and Technology, Information and Internet",28
scraped,"Software Development, Hospitals and Health Care, and IT Services and IT Consulting",1
scraped,"Software Development, Human Resources Services, and IT Services and IT Consulting",1
scraped,"Software Development, IT Services and IT Consulting, and Biotechnology Research",1
scraped,"Software Development, IT Services and IT Consulting, and Business Consulting and Services",1
scraped,"Software Development, IT Services and IT Consulting, and Financial Services",1
scraped,"Software Development, IT Services and IT Consulting, and Mental Health Care",1
scraped,"Software Development, IT Services and IT Consulting, and Pharmaceutical Manufacturing",10
scraped,"Software Development, IT Services and IT Consulting, and Technology, Information and Internet",6
scraped,"Software Development, IT System Custom Software Development, and Business Consulting and Services",1
scraped,"Software Development, IT System Custom Software Development, and Insurance Carriers",1
scraped,"Software Development, IT System Testing and Evaluation, and IT System Operations and Maintenance",1
scraped,"Software Development, Spectator Sports, and Entertainment Providers",1
scraped,"Software Development, Technology, Information and Internet, and Financial Services",5
scraped,"Software Development, Technology, Information and Internet, and IT Services and IT Consulting",1
scraped,"Software Development, Technology, Information and Internet, and Technology, Information and Media",11
scraped,"Software Development, Technology, Information and Media, and Consumer Services",2
scraped,"Software Development, Technology, Information and Media, and Engineering Services",1
scraped,"Software Development, Technology, Information and Media, and Information Services",1
scraped,Space Research and Technology,3
scraped,Spectator Sports,5
scraped,Staffing and Recruiting,55
scraped,"Staffing and Recruiting and Appliances, Electrical, and Electronics Manufacturing",1
scraped,Staffing and Recruiting and Financial Services,1
scraped,Staffing and Recruiting and IT Services and IT Consulting,1
scraped,"Staffing and Recruiting and Technology, Information and Media",1
scraped,"Staffing and Recruiting, Construction, and Building Construction",1
scraped,"Staffing and Recruiting, IT Services and IT Consulting, and Financial Services",1
scraped,"Technology, Information and Internet",259
scraped,"Technology, Information and Internet and Health and Human Services",1
scraped,"Technology, Information and Internet and Semiconductor Manufacturing",1
scraped,"Technology, Information and Internet and Transportation, Logistics, Supply Chain and Storage",1
scraped,"Technology, Information and Internet, Banking, and Investment Banking",2
scraped,"Technology, Information and Internet, Business Consulting and Services, and Marketing Services",12
scraped,"Technology, Information and Internet, Defense and Space Manufacturing, and Space Research and Technology",1
scraped,"Technology, Information and Internet, Financial Services, and Investment Banking",1
scraped,"Technology, Information and Internet, Software Development, and IT Services and IT Consulting",4
scraped,"Technology, Information and Internet, Wellness and Fitness Services, and Software Development",1
scraped,"Technology, Information and Media",27
scraped,"Technology, Information and Media and Software Development",2
scraped,"Technology, Information and Media, Embedded Software Products, and Software Development",1
scraped,Telecommunications,36
scraped,"Telecommunications, IT Services and IT Consulting, and Computer and Network Security",1
scraped,"Telecommunications, IT Services and IT Consulting, and Software Development",1
scraped,"Transportation, Logistics, Supply Chain and Storage",3
scraped,"Transportation, Logistics, Supply Chain and Storage and Truck Transportation",1
scraped,Transportation/Trucking/Railroad,1
scraped,Travel Arrangements,2
scraped,Truck Transportation,6
scraped,Unknown,1
scraped,Utilities,9
scraped,"Utilities, Utilities Administration, and Oil and Gas",1
scraped,Venture Capital and Private Equity Principals,2
scraped,Venture Capital and Private Equity Principals and Banking,1
scraped,Wellness and Fitness Services,8
scraped,"Wellness and Fitness Services, IT Services and IT Consulting, and Manufacturing",2
scraped,Wholesale,2
scraped,Wholesale Building Materials,2
scraped,Wholesale Building Materials and Internet Marketplace Platforms,1
scraped,"Wholesale Building Materials and Technology, Information and Media",1
scraped,Wholesale Motor Vehicles and Parts,1
scraped,Wireless Services,1
scraped,"Wireless Services, Telecommunications, and Communications Equipment Manufacturing",4
