subset,source,column,rows,non_null,non_null_rate,distinct
all,scraped,description,253626,253626,1.0,246435
all,scraped,description_raw,253626,253626,1.0,246444
all,scraped,description_length,253626,253626,1.0,13363
all,scraped,seniority_native,253626,221817,0.8745830474793593,6
all,scraped,company_industry,253626,253565,0.9997594883805289,6569
all,scraped,company_size,253626,0,0.0,0
all,scraped,company_size_raw,253626,0,0.0,0
all,scraped,company_size_category,253626,0,0.0,0
all,scraped,search_query,253626,253621,0.9999802859328303,28
all,scraped,query_tier,253626,253621,0.9999802859328303,3
all,scraped,search_metro_id,253626,236764,0.9335162798766687,26
all,scraped,search_metro_name,253626,236764,0.9335162798766687,26
all,scraped,search_metro_region,253626,236764,0.9335162798766687,5
all,scraped,search_location,253626,236764,0.9335162798766687,26
all,scraped,work_type,253626,253626,1.0,7
all,scraped,is_remote,253626,253626,1.0,2
all,scraped,job_url,253626,253626,1.0,253626
all,scraped,skills_raw,253626,0,0.0,0
all,scraped,asaniczka_skills,253626,0,0.0,0
all,scraped,company_id_kaggle,253626,0,0.0,0
all,scraped,posting_age_days,253626,3477,0.013709162309857822,2
all,scraped,is_aggregator,253626,253626,1.0,2
all,scraped,real_employer,253626,8796,0.03468098696505879,2055
all,scraped,company_name_effective,253626,253626,1.0,34580
all,scraped,company_name_canonical,253626,253626,1.0,34117
all,scraped,company_name_canonical_method,253626,253626,1.0,4
all,scraped,is_multi_location,253626,253626,1.0,2
all,scraped,is_swe,253626,253626,1.0,2
all,scraped,is_swe_adjacent,253626,253626,1.0,2
all,scraped,swe_confidence,253626,253626,1.0,37282
all,scraped,swe_classification_tier,253626,253626,1.0,5
all,scraped,is_control,253626,253626,1.0,2
all,scraped,seniority_final,253626,253626,1.0,5
all,scraped,seniority_final_source,253626,253626,1.0,4
all,scraped,seniority_3level,253626,253626,1.0,4
all,scraped,yoe_extracted,253626,148127,0.5840371255312942,20
all,scraped,yoe_min_extracted,253626,148127,0.5840371255312942,20
all,scraped,yoe_max_extracted,253626,148127,0.5840371255312942,20
all,scraped,yoe_match_count,253626,253626,1.0,25
