company_name_canonical,n_swe,n_j1,n_j2,n_llm,n_j3,n_j4,j1_share,j2_share,j3_share,j4_share,is_aggregator_any,specialist_category
Enfabrica,5,0,0,3,0,2,0.0,0.0,0.0,0.6666666666666666,False,direct-employer
EliseAI,5,1,1,4,3,3,0.2,0.2,0.75,0.75,False,direct-employer
ZOLL Medical Corporation,5,0,0,3,1,2,0.0,0.0,0.3333333333333333,0.6666666666666666,False,direct-employer
XPENG,5,0,0,3,0,2,0.0,0.0,0.0,0.6666666666666666,False,direct-employer
Kensho Technologies,5,0,0,3,2,3,0.0,0.0,0.6666666666666666,1.0,False,direct-employer
NextPath Workforce Solutions,5,0,0,3,1,2,0.0,0.0,0.3333333333333333,0.6666666666666666,False,staffing
Cartesia,5,0,0,1,1,1,0.0,0.0,1.0,1.0,False,direct-employer
Reevo,5,1,1,3,2,2,0.2,0.2,0.6666666666666666,0.6666666666666666,False,direct-employer
"Safran Defense & Space, Inc.",5,0,0,3,1,2,0.0,0.0,0.3333333333333333,0.6666666666666666,False,direct-employer
Mariana Minerals,5,1,1,1,1,1,0.2,0.2,1.0,1.0,False,direct-employer
Prometheus Group,5,0,1,3,2,2,0.0,0.2,0.6666666666666666,0.6666666666666666,False,direct-employer
Intelletec,5,0,0,3,0,2,0.0,0.0,0.0,0.6666666666666666,False,tech-giant-intern
Coda Search│Staffing,5,0,0,1,0,1,0.0,0.0,0.0,1.0,False,staffing
Stellar IT Solutions,5,0,0,1,0,1,0.0,0.0,0.0,1.0,False,staffing
Zealthy,5,1,1,5,4,5,0.2,0.2,0.8,1.0,False,direct-employer
Optimal Staffing,5,0,0,3,3,3,0.0,0.0,1.0,1.0,False,staffing
Vanderbilt University Medical Center,5,1,1,4,3,4,0.2,0.2,0.75,1.0,False,college-jobsite
International,5,1,1,3,1,2,0.2,0.2,0.3333333333333333,0.6666666666666666,False,direct-employer
Securian Financial,5,0,0,1,1,1,0.0,0.0,1.0,1.0,False,direct-employer
WIDIA,5,0,0,2,0,2,0.0,0.0,0.0,1.0,False,direct-employer
Innovative Information Technologies,5,0,0,1,0,1,0.0,0.0,0.0,1.0,True,aggregator
Gotion Inc.,5,0,0,3,0,3,0.0,0.0,0.0,1.0,False,direct-employer
Ascensus,5,1,1,1,1,1,0.2,0.2,1.0,1.0,False,direct-employer
Novaflow (YC S25),5,2,2,2,2,2,0.4,0.4,1.0,1.0,False,direct-employer
Valeo,5,0,0,2,2,2,0.0,0.0,1.0,1.0,False,direct-employer
Amazon Music,5,0,0,4,1,3,0.0,0.0,0.25,0.75,False,tech-giant-intern
HealthPartners,5,0,0,2,0,2,0.0,0.0,0.0,1.0,False,direct-employer
micro1,5,0,0,1,0,1,0.0,0.0,0.0,1.0,False,direct-employer
BlackSky,5,2,2,2,0,2,0.4,0.4,0.0,1.0,False,direct-employer
Futurex,5,0,0,3,0,2,0.0,0.0,0.0,0.6666666666666666,False,direct-employer
John Galt Staffing,5,0,0,3,1,2,0.0,0.0,0.3333333333333333,0.6666666666666666,False,staffing
Smith+Nephew,5,0,0,5,2,4,0.0,0.0,0.4,0.8,False,direct-employer
Lark,5,2,2,3,3,3,0.4,0.4,1.0,1.0,False,direct-employer
Shields Group Search,5,0,0,3,1,3,0.0,0.0,0.3333333333333333,1.0,False,direct-employer
SkillStorm,5,5,5,4,4,4,1.0,1.0,1.0,1.0,False,direct-employer
Wolverine Trading,5,1,1,3,2,3,0.2,0.2,0.6666666666666666,1.0,False,direct-employer
Bell Flight,5,0,0,5,4,4,0.0,0.0,0.8,0.8,False,direct-employer
Plaud,5,0,0,2,0,2,0.0,0.0,0.0,1.0,False,direct-employer
Artisan,5,0,0,3,1,2,0.0,0.0,0.3333333333333333,0.6666666666666666,False,direct-employer
