company_name_canonical,n_ar,n_sc,sum_len_ar,sum_len_sc,mean_yoe_ar,mean_yoe_sc,n_j1_ar,n_j1_sc,n_j2_ar,n_j2_sc,n_llm_ar,n_llm_sc,n_j3_ar,n_j3_sc,n_j4_ar,n_j4_sc
Harnham,6,47,11617.0,109580.0,5.25,5.458333333333333,0,0,0,0,4,24,0,2,0,4
"BAE Systems, Inc.",14,140,105567.0,908138.0,7.785714285714286,7.013333333333334,1,5,1,5,14,75,0,8,1,9
Aditi Consulting,8,36,13213.0,175584.0,4.4,5.083333333333333,0,0,0,0,5,12,0,0,1,3
Dexian,7,41,20002.0,109180.0,6.8,6.384615384615385,1,0,1,0,5,13,1,0,1,1
TEKsystems,23,120,52520.0,654049.0,5.833333333333333,5.813953488372093,0,0,0,0,12,43,1,1,1,6
Russell Tobin,5,17,10556.0,71266.0,6.5,6.0,0,0,1,0,2,6,0,1,0,2
Mastech Digital,7,31,7547.0,52256.0,3.75,6.571428571428571,1,0,1,0,4,7,1,0,1,0
"Zodiac Solutions, Inc",8,7,7051.0,5882.0,9.666666666666666,8.666666666666666,0,0,0,0,6,3,0,0,0,0
VySystems,5,15,7822.0,28160.0,5.5,6.0,0,0,0,0,4,5,0,0,0,1
State Street,6,11,27019.0,69164.0,4.6,7.5,0,1,0,1,5,6,1,1,1,1
Capital One,52,247,290421.0,1618128.0,5.461538461538462,5.845637583892618,0,0,0,0,52,149,3,8,5,13
"Metasys Technologies, Inc.",6,7,8079.0,14181.0,7.0,7.0,0,0,0,0,3,3,0,0,0,0
Booz Allen Hamilton,9,338,58257.0,1920873.0,4.166666666666667,4.392265193370166,0,3,0,3,6,181,0,44,2,85
Radley James,6,10,5918.0,16137.0,2.5,3.3333333333333335,2,0,2,0,2,3,1,0,2,2
Cloudflare,7,38,58583.0,319044.0,5.333333333333333,4.411764705882353,0,3,0,3,3,17,0,3,1,8
"American Unit, Inc",8,8,18675.0,18141.0,8.285714285714286,8.0,0,0,0,0,7,2,0,0,1,0
Uber,6,201,17749.0,718486.0,5.166666666666667,4.613207547169812,0,4,0,5,6,106,1,21,2,38
Cognizant,8,61,38491.0,230846.0,9.333333333333334,8.0,0,0,0,0,6,23,0,0,0,2
Qualcomm,5,174,24081.0,1096762.0,1.8,3.357142857142857,0,3,0,3,5,98,5,49,5,56
VDart,7,25,12260.0,69974.0,10.0,5.875,0,0,0,0,2,8,0,0,0,2
AllSTEM Connections,6,9,24468.0,40949.0,7.0,6.666666666666667,0,0,0,0,5,6,0,0,0,0
"V-Soft Consulting Group, Inc.",6,11,14203.0,35393.0,6.6,8.0,0,0,0,0,5,2,0,0,0,0
SynergisticIT,5,19,18220.0,87944.0,,,5,19,5,19,0,0,0,0,0,0
Honeywell,11,51,38872.0,303948.0,4.666666666666667,5.566666666666666,1,1,1,1,9,30,4,3,4,5
Fidelity Investments,29,54,174172.0,249511.0,5.375,7.037037037037037,0,0,0,0,24,27,4,0,6,2
Boeing,8,93,56279.0,668921.0,5.142857142857143,5.745762711864407,1,4,3,11,7,59,2,14,2,19
ICE,26,52,90384.0,177983.0,5.130434782608695,4.5,2,3,2,3,23,32,2,2,4,9
Goliath Partners,5,37,6201.0,38444.0,3.0,3.6666666666666665,0,0,0,0,2,3,0,0,2,2
Raas Infotek,7,33,12067.0,76855.0,9.0,9.533333333333333,0,0,0,0,5,15,0,0,0,0
"Pyramid Consulting, Inc",7,25,18458.0,89398.0,8.0,4.5,0,0,0,0,6,6,0,1,0,1
Robinhood,5,24,25140.0,134428.0,8.0,4.083333333333333,0,2,0,2,1,12,0,4,0,6
Eliassen Group,12,39,30941.0,163336.0,6.333333333333333,6.071428571428571,0,0,0,0,9,14,0,1,0,2
FIS,6,16,37853.0,100826.0,7.8,6.666666666666667,1,0,1,0,5,6,0,0,0,0
Selby Jennings,11,19,14282.0,38024.0,4.909090909090909,4.1,0,1,0,1,11,10,3,1,3,5
Northrop Grumman,14,115,92211.0,781035.0,6.642857142857143,4.810344827586207,1,0,1,3,14,58,2,18,3,23
Franklin Fitch,7,19,8926.0,34163.0,5.0,7.0,0,0,0,0,1,6,0,0,0,0
SAIC,10,32,30866.0,131548.0,5.1,5.157894736842105,0,3,0,3,10,19,1,3,3,7
Wells Fargo,16,327,86833.0,1953176.0,5.125,4.703225806451613,0,0,0,0,16,155,0,4,0,5
Procore Technologies,8,22,36616.0,98683.0,5.75,4.75,0,1,0,1,8,12,2,6,2,6
Amtex Systems Inc.,5,19,3766.0,30412.0,7.5,7.25,0,0,0,0,2,8,0,1,0,1
Entegee,5,10,7415.0,20322.0,8.4,5.0,0,1,0,1,5,6,0,1,0,1
TekWissen ®,8,5,30772.0,13979.0,3.5714285714285716,2.0,1,0,1,1,7,1,2,1,3,1
ServiceNow,10,19,67133.0,138958.0,3.2222222222222223,6.25,0,0,0,0,9,12,4,1,4,1
Centraprise,14,28,16484.0,33005.0,7.8,5.75,0,0,0,0,10,4,0,0,0,1
EPITEC,11,37,32833.0,96698.0,4.333333333333333,6.454545454545454,0,0,1,0,9,11,4,0,4,0
ApTask,7,5,9600.0,21087.0,8.666666666666666,5.0,0,0,0,0,3,1,0,0,0,0
JPMorgan Chase & Co.,12,680,55599.0,3959380.0,4.333333333333333,5.269333333333333,1,0,1,0,12,375,2,16,6,93
HTC Global Services,7,24,24634.0,100396.0,5.5,6.777777777777778,0,0,0,0,6,9,0,0,2,0
Macquarie Group,5,5,21532.0,25379.0,2.25,5.0,0,0,0,0,4,1,3,0,4,0
Matlen Silver,5,29,8317.0,69184.0,5.2,6.571428571428571,0,0,0,0,5,7,0,0,2,0
Actalent,23,276,84626.0,1368176.0,4.9375,4.4655172413793105,0,5,0,5,16,116,1,30,5,39
Compunnel Inc.,26,43,38231.0,78384.0,6.823529411764706,7.666666666666667,0,0,0,0,17,9,1,0,2,0
Mindlance,5,28,9279.0,81009.0,5.0,8.142857142857142,0,0,0,0,4,14,0,1,0,1
TikTok,14,161,88167.0,1111889.0,3.5,3.4,1,106,1,106,6,15,0,6,4,8
Leidos,13,258,52821.0,1917385.0,4.833333333333333,7.145299145299146,2,30,2,30,12,117,4,31,5,33
Akkodis,25,76,70281.0,313468.0,4.333333333333333,6.769230769230769,2,0,2,0,18,26,1,4,5,4
OSI Engineering,6,17,15382.0,39186.0,7.8,6.428571428571429,0,0,0,0,5,7,0,0,0,2
Deloitte,22,62,87562.0,353970.0,5.8,4.305555555555555,1,0,1,0,20,36,0,8,6,12
Adobe,9,138,40889.0,1057253.0,7.0,6.070422535211268,2,6,2,6,5,71,0,3,0,12
MITRE,5,14,28689.0,90944.0,7.25,4.25,1,0,1,0,4,4,0,2,0,2
"Zillion Technologies, Inc.",5,7,12695.0,22699.0,7.0,4.0,0,0,0,0,4,2,0,0,1,1
"VMC Soft Technologies, Inc",6,15,10554.0,43714.0,7.8,9.0,0,0,0,0,5,9,0,0,0,0
Tata Consultancy Services,39,142,43465.0,309568.0,7.222222222222222,6.951219512195122,0,0,1,0,27,41,0,0,1,3
Amazon Web Services (AWS),12,376,75464.0,2551251.0,3.9166666666666665,3.793577981651376,0,0,0,3,12,218,1,15,8,133
The Walt Disney Company,5,69,25656.0,406467.0,5.0,5.6875,0,1,0,3,4,32,0,0,1,10
Open Systems Technologies,31,18,16750.0,32384.0,5.333333333333333,4.166666666666667,0,0,0,0,12,6,1,2,2,2
Randstad Digital Americas,7,117,23972.0,403748.0,5.0,6.0,0,0,0,0,6,39,0,0,0,5
NBCUniversal,5,12,31360.0,85096.0,6.2,6.6,0,0,0,0,5,5,0,1,1,1
