skill,rate_junior,rate_mid,rate_senior,chi2,p_value,n_junior,n_mid,n_senior,p_fdr,sig_fdr,junior_senior_diff
GCP,3.076923076923077,2.4896265560165975,5.310880829015544,23.32227962128251,8.622462763763798e-06,130,1446,21616,4.927121579293599e-05,True,-2.233957752092467
Mentoring,0.0,2.4204702627939145,4.737231680236861,22.948764911993973,1.0392954264259544e-05,130,1446,21616,5.773863480144191e-05,True,-4.737231680236861
Hive,1.5384615384615385,0.6224066390041494,2.6045521835677277,22.536193779415612,1.2774023160778454e-05,130,1446,21616,6.90487738420457e-05,True,-1.0660906451061891
Agile Development,2.307692307692308,1.7980636237897647,4.228349370836417,21.558036429552473,2.0832043271481216e-05,130,1446,21616,0.00010964233300779588,True,-1.9206570631441093
Security,0.7692307692307693,2.4896265560165975,4.764988897113249,20.36004865584738,3.7920286397712244e-05,130,1446,21616,0.00019446300716775508,True,-3.99575812788248
Data Engineering,9.230769230769232,2.2130013831258646,3.113434492968172,20.11394201487584,4.2885747752979985e-05,130,1446,21616,0.0002144287387648999,True,6.11733473780106
Azure,5.384615384615385,6.224066390041494,9.53923019985196,20.028362043928702,4.4760655853220404e-05,130,1446,21616,0.00021834466269863613,True,-4.154614815236576
Data Analytics,5.384615384615385,2.904564315352697,1.7440784603997042,19.248858121029333,6.609423306571349e-05,130,1446,21616,0.0003147344431700643,True,3.640536924215681
ProblemSolving,6.923076923076923,3.7344398340248963,2.4518874907475943,18.950752656992293,7.671783644157421e-05,130,1446,21616,0.00035682714623988006,True,4.471189432329329
GraphQL,0.0,0.6915629322268326,2.2575869726128794,18.68783512791976,8.749599264783993e-05,130,1446,21616,0.0003977090574901815,True,-2.2575869726128794
Golang,0.7692307692307693,0.8298755186721992,2.516654330125833,17.93774196641589,0.0001273118482596105,130,1446,21616,0.0005658304367093799,True,-1.7474235608950637
Redshift,0.0,0.2766251728907331,1.5729089563286454,17.553667698507244,0.0001542657413871137,130,1446,21616,0.0006707206147265812,True,-1.5729089563286454
Computer Science,19.230769230769234,8.29875518672199,9.0719837157661,17.294907689383475,0.00017557331645933155,130,1446,21616,0.0007471204955716237,True,10.158785515003133
Leadership,2.307692307692308,3.5961272475795294,6.00018504811251,17.22251003271752,0.00018204529716019493,130,1446,21616,0.0007502845207401944,True,-3.6924927404202017
Mechanical Engineering,1.5384615384615385,3.38865836791148,1.8412287194670616,17.203110261647176,0.00018381970758134762,130,1446,21616,0.0007502845207401944,True,-0.302767181005523
Software Architecture,2.307692307692308,0.8298755186721992,2.549037749814952,16.833812410226336,0.00022109762650152136,130,1446,21616,0.0008843905060060854,True,-0.2413454421226442
SQL,34.61538461538461,19.91701244813278,22.686898593634343,16.778303947087647,0.00022731996999183663,130,1446,21616,0.0008914508627130848,True,11.92848602175027
Node,0.0,0.3457814661134163,1.6237971872686898,16.684264225085066,0.00023826379576233337,130,1446,21616,0.0009163992144705129,True,-1.6237971872686898
U.S. Citizenship,0.7692307692307693,0.4149377593360996,1.822723908216136,16.517233548596515,0.0002590170225486896,130,1446,21616,0.0009774227265988286,True,-1.0534931389853668
Snowflake,3.8461538461538463,1.0373443983402488,2.7525906735751295,16.169105039358417,0.0003082644561051344,130,1446,21616,0.001141720207796794,True,1.0935631725787167
Master's Degree,0.7692307692307693,0.5532503457814661,1.9476313841598818,15.326811799080883,0.00046970491561982013,130,1446,21616,0.001708017874981164,True,-1.1784006149291124
Bachelor's Degree,5.384615384615385,3.112033195020747,5.458919319022946,14.84239414894874,0.000598432348481175,130,1446,21616,0.0021372583874327677,True,-0.07430393440756067
Distributed Systems,0.0,1.3831258644536653,2.835862324204293,14.442236409041382,0.000730984571452992,130,1446,21616,0.0025648581454490948,True,-2.835862324204293
Spark,6.923076923076923,2.2821576763485476,3.946150999259808,13.422787390068269,0.0012169668614713434,130,1446,21616,0.00419643745334946,True,2.9769259238171153
Software design,0.0,0.5532503457814661,1.6654330125832717,12.843687133060506,0.001625656464652068,130,1446,21616,0.005510699880176502,True,-1.6654330125832717
Analytical Skills,5.384615384615385,3.6652835408022133,2.4287564766839376,12.783858882623232,0.0016750212263935919,130,1446,21616,0.00558340408797864,True,2.9558589079314475
Redis,0.7692307692307693,1.0373443983402488,2.4056254626202813,12.61562368818643,0.0018220157349531489,130,1446,21616,0.005973822081813603,True,-1.6363946933895122
Kotlin,2.307692307692308,0.8990318118948823,2.3223538119911176,12.577235841979805,0.0018573251438909878,130,1446,21616,0.005991371431906412,True,-0.014661504298809636
Full Stack Development,1.5384615384615385,0.7607192254495159,2.100296076980015,12.47603533235778,0.0019537246210494332,130,1446,21616,0.006202300384283915,True,-0.5618345385184764
Communication skills,7.6923076923076925,6.36237897648686,4.5753145817912655,12.259163155819696,0.002177491880831352,130,1446,21616,0.006699975017942622,True,3.116993110516427
Big Data,4.615384615384616,0.8990318118948823,1.7070688378978534,12.260009209802295,0.00217657093779804,130,1446,21616,0.006699975017942622,True,2.9083157774867625
Software Design,4.615384615384616,1.5214384508990317,3.025536639526277,12.027397538725388,0.0024450278406219325,130,1446,21616,0.007409175274611916,True,1.5898479758583388
Reliability,1.5384615384615385,1.1065006915629323,2.5212805329385644,11.88950785320492,0.002619546869858526,130,1446,21616,0.007819542895100076,True,-0.9828189944770258
Analytical skills,3.8461538461538463,3.8035961272475793,2.4287564766839376,11.350726587402121,0.00342942286223462,130,1446,21616,0.010086537830101824,True,1.4173973694699087
Design patterns,0.0,0.5532503457814661,1.5451517394522576,11.134694728420971,0.0038206016674028048,130,1446,21616,0.011074207731602333,True,-1.5451517394522576
MySQL,0.7692307692307693,3.6652835408022133,5.107327905255366,10.858031713616208,0.004387411519855915,130,1446,21616,0.012535461485302615,True,-4.338097136024597
Web Development,4.615384615384616,2.143845089903181,1.5405255366395263,10.737296130045953,0.004660427648350133,130,1446,21616,0.013127965206620094,True,3.0748590787450896
Software Development,15.384615384615385,8.506224066390041,10.84381939304219,10.70267476695228,0.004741805145088851,130,1446,21616,0.01317168095858014,True,4.540795991573194
Jenkins,5.384615384615385,5.463347164591978,7.7072538860103625,10.653048084516788,0.0048609370925553775,130,1446,21616,0.013317635870014733,True,-2.3226385013949775
Deployment,0.7692307692307693,0.9681881051175657,2.1326794966691343,10.213136369155606,0.00605683323131414,130,1446,21616,0.016271455589889045,True,-1.363448727438365
CI/CD,4.615384615384616,4.287690179806362,6.31939304219097,10.198344300225157,0.006101795846208392,130,1446,21616,0.016271455589889045,True,-1.7040084268063538
Communication,22.30769230769231,14.522821576763487,13.531643227239082,9.461819144235701,0.00881844637782758,130,1446,21616,0.023206437836388368,True,8.776049080453229
Troubleshooting,11.538461538461538,11.341632088520056,9.081236121391562,9.087560833966677,0.010633132799873579,130,1446,21616,0.027618526752918385,True,2.457225417069976
Splunk,0.7692307692307693,0.6915629322268326,1.6885640266469282,9.04171761093657,0.010879676129916782,130,1446,21616,0.02789660546132508,True,-0.9193332574161589
Integration,2.307692307692308,1.1756569847856155,2.3686158401184305,8.606133094652764,0.013527014116090611,130,1446,21616,0.033400034854544715,True,-0.060923532426122584
Typescript,2.307692307692308,1.2448132780082988,2.461139896373057,8.618027522860373,0.013446804814314886,130,1446,21616,0.033400034854544715,True,-0.15344758868074893
C++,13.076923076923078,8.575380359612724,10.950222057735012,8.619647855589198,0.01343591507719052,130,1446,21616,0.033400034854544715,True,2.126701019188067
US Citizenship,2.307692307692308,0.7607192254495159,1.776461880088823,8.561878644692412,0.013829665469612628,130,1446,21616,0.03373089138929909,True,0.5312304276034849
MongoDB,0.7692307692307693,2.351313969571231,3.5251665433012587,8.430646470013118,0.014767547607193612,130,1446,21616,0.03558445206552678,True,-2.7559357740704895
Programming,4.615384615384616,2.7662517289073305,1.9892672094744632,8.341862438224346,0.015437877381737405,130,1446,21616,0.03675685090889858,True,2.6261174059101524
DevSecOps,0.0,0.8990318118948823,1.7625832716506293,8.311458976102866,0.015674352705019004,130,1446,21616,0.036880829894162366,True,-1.7625832716506293
Monitoring,0.7692307692307693,2.0746887966804977,3.2198371576609914,8.262469743686378,0.016063030785786102,130,1446,21616,0.037355885548339775,True,-2.4506063884302223
Data analysis,1.5384615384615385,2.904564315352697,1.8551073279052552,8.03220553635043,0.018023068321650376,130,1446,21616,0.04096151891284176,True,-0.3166457894437167
Quality Assurance,2.307692307692308,2.7662517289073305,1.7487046632124352,8.05135025915706,0.0178513680974522,130,1446,21616,0.04096151891284176,True,0.5589876444798727
Documentation,3.8461538461538463,3.5269709543568464,5.135085122131755,7.722614659911653,0.021040474692093882,130,1446,21616,0.04728196560021097,True,-1.2889312759779084
Unit testing,2.307692307692308,2.351313969571231,3.6963360473723164,7.68927963295601,0.021394105978012896,130,1446,21616,0.04754245772891755,True,-1.3886437396800084
Data Modeling,3.8461538461538463,0.9681881051175657,1.5127683197631385,7.665436427613646,0.021650684383052413,130,1446,21616,0.047583921720994314,True,2.3333855263907077
Agile development,0.7692307692307693,1.313969571230982,2.3223538119911176,7.568294145175083,0.022728240050828765,130,1446,21616,0.04940921750180166,True,-1.5531230427603484
Confluence,3.8461538461538463,2.0055325034578146,3.28460399703923,7.312508502964661,0.025829080995075852,130,1446,21616,0.0555464107420986,False,0.5615498491146163
Containerization,2.307692307692308,0.9681881051175657,1.9615099925980755,7.284713147912448,0.026190551213800338,130,1446,21616,0.05572457705063902,False,0.3461823150942325
Software Testing,6.153846153846154,2.4896265560165975,2.535159141376758,6.827387841843543,0.032919373941672395,130,1446,21616,0.06930394514036294,False,3.618687012469396
Project Management,3.8461538461538463,6.085753803596127,4.616950407105848,6.737205402211976,0.03443772353326434,130,1446,21616,0.07174525736096737,False,-0.7707965609520016
Data Analysis,6.923076923076923,3.8035961272475793,3.2568467801628422,6.591177504841021,0.03704622756913112,130,1446,21616,0.07638397436934251,False,3.666230142914081
Engineering,9.230769230769232,4.287690179806362,4.667838638045891,6.549317062173145,0.037829784719563754,130,1446,21616,0.07720364228482399,False,4.56293059272334
Architecture,0.0,1.0373443983402488,1.7625832716506293,6.518501196157274,0.03841717713900204,130,1446,21616,0.0776104588666708,False,-1.7625832716506293
Systems Engineering,3.8461538461538463,4.633471645919779,6.111213915618061,6.323049900620824,0.04236109323838269,130,1446,21616,0.08388335294729246,False,-2.2650600694642145
JIRA,1.5384615384615385,2.0746887966804977,3.1550703182827537,6.341102821419535,0.04198044305421542,130,1446,21616,0.08388335294729246,False,-1.6166087798212152
ETL,4.615384615384616,1.5214384508990317,2.0355292376017764,6.272554997435959,0.04344421843030673,130,1446,21616,0.08518474202020927,False,2.5798553777828395
C/C++,6.923076923076923,3.250345781466114,3.1273131014063655,6.135725520280316,0.0465204740966451,130,1446,21616,0.09033101766338854,False,3.795763821670558
Data Science,4.615384615384616,1.6597510373443984,1.7949666913397482,5.985177351929395,0.050157427193693996,130,1446,21616,0.09645659075710383,False,2.8204179240448677
Puppet,0.0,1.1065006915629323,1.7672094744633604,5.790529561692575,0.055284384910333655,130,1446,21616,0.10530359030539743,False,-1.7672094744633604
C,4.615384615384616,2.2821576763485476,3.358623242042931,5.634396378499096,0.05977318145626816,130,1446,21616,0.11277958765333614,False,1.2567613733416847
SQL Server,6.923076923076923,3.0428769017980635,3.344744633604737,5.554409186945432,0.062212172845526104,130,1446,21616,0.11628443522528242,False,3.5783322894721863
Design,2.307692307692308,2.6970954356846475,3.802738712065137,5.352072275883132,0.0688354683911177,130,1446,21616,0.12630361172682147,False,-1.4950464043728289
Git,15.384615384615385,9.336099585062241,10.506106587712805,5.365205120282916,0.06838494642086346,130,1446,21616,0.12630361172682147,False,4.8785087969025795
Electrical Engineering,4.615384615384616,4.979253112033195,3.802738712065137,5.218718722510253,0.07358166793405146,130,1446,21616,0.13378485078918448,False,0.8126459033194791
Project management,0.7692307692307693,3.4578146611341634,2.660066617320503,5.138281487032735,0.07660133734956671,130,1446,21616,0.13557758822932164,False,-1.890835848089734
JSON,3.076923076923077,2.2821576763485476,3.381754256106588,5.140644637639493,0.07651088055243149,130,1446,21616,0.13557758822932164,False,-0.30483117918351077
Software development,1.5384615384615385,3.5961272475795294,4.492042931162102,5.144308050430616,0.07637086335753746,130,1446,21616,0.13557758822932164,False,-2.9535813927005634
Risk Management,0.0,2.143845089903181,1.5775351591413769,4.8851959808628695,0.0869347022977702,130,1446,21616,0.15251702157503544,False,-1.5775351591413769
Angular,5.384615384615385,5.532503457814661,6.962435233160622,4.7824765792661275,0.09151629001159224,130,1446,21616,0.15915876523755174,False,-1.5778198485452366
Testing,3.076923076923077,5.048409405255878,6.10658771280533,4.686251230573084,0.0960270251370992,130,1446,21616,0.1655638364432745,False,-3.0296646358822525
Algorithms,3.076923076923077,2.2130013831258646,3.187453737971873,4.25077159536905,0.11938690019115616,130,1446,21616,0.20408017126693362,False,-0.11053066104879594
Objectoriented programming,0.0,1.0373443983402488,1.5266469282013324,4.188389896653114,0.12316936145169359,130,1446,21616,0.20712518745553146,False,-1.5266469282013324
Unix,1.5384615384615385,1.2448132780082988,2.003145817912657,4.1872515432731365,0.12323948653604122,130,1446,21616,0.20712518745553146,False,-0.46468427945111856
Unit Testing,3.8461538461538463,2.97372060857538,4.05717986676536,4.161661062072832,0.12482649685533302,130,1446,21616,0.20804416142555504,False,-0.21102602061151332
Development,1.5384615384615385,2.5587828492392806,1.8180977054034049,4.142754067302154,0.12601213922055438,130,1446,21616,0.20828452763727998,False,-0.2796361669418663
Ruby,0.7692307692307693,1.7289073305670817,2.40099925980755,4.091438595072134,0.12928716058742099,130,1446,21616,0.21022302534539997,False,-1.6317684905767806
Data Structures,3.8461538461538463,1.5214384508990317,2.054034048852702,4.097491127641384,0.1288964946400454,130,1446,21616,0.21022302534539997,False,1.7921197973011442
VMware,1.5384615384615385,0.8990318118948823,1.5682827535159143,4.0388092778259415,0.13273446649686335,130,1446,21616,0.21408784918848928,False,-0.029821215054375738
Debugging,6.923076923076923,5.532503457814661,4.616950407105848,4.0064256953769055,0.13490116932905644,130,1446,21616,0.2158418709264903,False,2.3061265159710755
GitHub,0.0,2.904564315352697,2.669319022945966,3.873698952255744,0.1441574064399397,130,1446,21616,0.22882128006339636,False,-2.669319022945966
Adaptability,3.076923076923077,1.590594744121715,2.3362324204293117,3.719712457977393,0.1556950131884594,130,1446,21616,0.24518899714718018,False,0.7406906564937654
jQuery,0.7692307692307693,2.0746887966804977,1.4803849000740192,3.697359214846185,0.15744491822770115,130,1446,21616,0.24600768473078305,False,-0.71115413084325
Linux,14.615384615384617,10.719225449515905,12.240932642487047,3.676658015010354,0.15908303068381757,130,1446,21616,0.24664035764932957,False,2.3744519728975693
Networking,2.307692307692308,4.702627939142462,3.8258697261287935,3.658617668082761,0.16052447849696205,130,1446,21616,0.24696073614917238,False,-1.5181774184364856
Ansible,3.076923076923077,3.38865836791148,4.3625092524056255,3.598938245408654,0.16538666494561677,130,1446,21616,0.25249872510781185,False,-1.2855861754825484
Attention to detail,1.5384615384615385,2.4204702627939145,1.7440784603997042,3.5821041560695392,0.16678460690890712,130,1446,21616,0.25270394986198047,False,-0.2056169219381656
Problem solving,4.615384615384616,2.5587828492392806,2.285344189489267,3.5054273393185484,0.173303017630078,130,1446,21616,0.2606060415489895,False,2.3300404258953487
Embedded Systems,3.076923076923077,1.1756569847856155,1.6006661732050331,3.4468076920790827,0.1784576704823458,130,1446,21616,0.26438173404791965,False,1.476256903718044
XML,4.615384615384616,2.4204702627939145,3.168948926720947,3.4546256884694877,0.17776144143609973,130,1446,21616,0.26438173404791965,False,1.446435688663669
Teamwork,10.76923076923077,8.367911479944674,7.494448556624722,3.3945834780876396,0.18317894927584297,130,1446,21616,0.2693808077585926,False,3.2747822126060484
Communication Skills,7.6923076923076925,5.186721991701245,4.672464840858623,3.361706576795833,0.18621501311823524,130,1446,21616,0.2718467344791755,False,3.019842851449069
PHP,0.0,2.2821576763485476,2.044781643227239,3.1142243542886936,0.21074378401111113,130,1446,21616,0.3054257739291466,False,-2.044781643227239
PowerShell,1.5384615384615385,1.8672199170124482,2.5444115470022206,3.0463324245653083,0.2180204938156999,130,1446,21616,0.31369855225280563,False,-1.005950008540682
Spring Boot,4.615384615384616,2.2130013831258646,2.516654330125833,2.880607841135941,0.23685576240426412,130,1446,21616,0.3383653748632345,False,2.098730285258783
PostgreSQL,2.307692307692308,2.97372060857538,3.7102146558105105,2.7620044563010318,0.25132654026006984,130,1446,21616,0.3564915464681842,False,-1.4025223481182025
Robotics,2.307692307692308,1.3831258644536653,1.9753886010362696,2.5914109033401185,0.27370471076389113,130,1446,21616,0.3854995926251988,False,0.33230370665603837
Innovation,0.0,1.8672199170124482,1.924500370096225,2.569544027821766,0.2767136633069586,130,1446,21616,0.38701211651322887,False,-1.924500370096225
GitLab,1.5384615384615385,1.0373443983402488,1.5636565507031828,2.490872866720138,0.287815268531384,130,1446,21616,0.3942674911388822,False,-0.02519501224164422
Machine learning,1.5384615384615385,2.904564315352697,2.3038490007401924,2.5081133762575165,0.2853448905317389,130,1446,21616,0.3942674911388822,False,-0.7653874622786538
PyTorch,0.7692307692307693,1.1065006915629323,1.5775351591413769,2.494485084568163,0.2872959119548758,130,1446,21616,0.3942674911388822,False,-0.8083043899106076
Continuous Integration,1.5384615384615385,2.2821576763485476,2.8636195410806806,2.45554907185636,0.292943788665502,130,1446,21616,0.39856297777619326,False,-1.325158002619142
HTML,10.76923076923077,7.192254495159059,7.258512213175426,2.3766118847101554,0.3047370692033055,130,1446,21616,0.4118068502747372,False,3.5107185560553438
Systems engineering,1.5384615384615385,1.1065006915629323,1.6191709844559583,2.283133684912535,0.31931830816673995,130,1446,21616,0.42861517874730193,False,-0.08070944599441976
Coding,2.307692307692308,1.3831258644536653,1.9198741672834936,2.2312625470813794,0.3277083399848343,130,1446,21616,0.4369444533131124,False,0.38781814040881435
Javascript,2.307692307692308,1.5214384508990317,2.08179126572909,2.165204467189188,0.3387129675686986,130,1446,21616,0.445674957327235,False,0.22590104196321814
Active Directory,0.0,1.6597510373443984,1.535899333826795,2.1755975282908424,0.33695740066389246,130,1446,21616,0.445674957327235,False,-1.535899333826795
NodeJS,0.0,1.5214384508990317,1.5636565507031828,2.07711704604992,0.35396454613499356,130,1446,21616,0.46269875311763864,False,-1.5636565507031828
Design Patterns,1.5384615384615385,1.313969571230982,1.822723908216136,2.0430044293436875,0.360053655827791,130,1446,21616,0.4676021504257026,False,-0.2842623697545974
TensorFlow,0.0,1.4522821576763485,1.4988897113249446,1.994214671870513,0.3689451334128036,130,1446,21616,0.4730065812984661,False,-1.4988897113249446
Kanban,3.076923076923077,1.6597510373443984,1.5590303478904515,1.9955273920166066,0.36870305201306003,130,1446,21616,0.4730065812984661,False,1.5178927290326256
REST APIs,2.307692307692308,2.143845089903181,1.6978164322723908,1.844489474473848,0.39762547384041397,130,1446,21616,0.5065292660387439,False,0.6098758754199172
Problemsolving skills,3.076923076923077,2.143845089903181,1.8273501110288675,1.8203486778716662,0.4024540545055891,130,1446,21616,0.5094355120323912,False,1.2495729658942096
Bash,2.307692307692308,2.351313969571231,2.9330125832716507,1.791875227847631,0.40822466201839436,130,1446,21616,0.5102808275229929,False,-0.6253202755793428
Automation,6.153846153846154,5.601659751037345,4.9037749814951885,1.8013362979273015,0.40629810137461453,130,1446,21616,0.5102808275229929,False,1.2500711723509657
Data Warehousing,1.5384615384615385,1.1756569847856155,1.6145447816432272,1.6737762237015748,0.4330560507702994,130,1446,21616,0.5346370997164189,False,-0.07608324318168869
Jira,3.8461538461538463,3.8035961272475793,4.505921539600296,1.6845107433879538,0.4307379529008305,130,1446,21616,0.5346370997164189,False,-0.6597676934464496
Problem Solving,6.153846153846154,7.123098201936376,6.277757216876388,1.640331238130961,0.4403587166670869,130,1446,21616,0.5403174437632968,False,-0.12391106303023403
Maven,0.7692307692307693,2.2130013831258646,1.910621761658031,1.5798543635773203,0.45387784465185765,130,1446,21616,0.552248201456199,False,-1.1413909924272616
Implementation,0.7692307692307693,2.0055325034578146,1.6746854182087343,1.5601745432705,0.4583660072086452,130,1446,21616,0.552248201456199,False,-0.905454648977965
Postgres,0.7692307692307693,1.2448132780082988,1.5867875647668395,1.5647934381555055,0.457308656423553,130,1446,21616,0.552248201456199,False,-0.8175567955360702
CSS,10.0,7.123098201936376,7.198371576609919,1.5333689153970806,0.46455075545009383,130,1446,21616,0.5563482101198729,False,2.8016284233900812
RESTful APIs,1.5384615384615385,1.6597510373443984,2.104922279792746,1.5071070315699409,0.47069096960831136,130,1446,21616,0.5603463923908468,False,-0.5664607413312075
.NET,2.307692307692308,2.4204702627939145,2.9376387860843822,1.4503411937480624,0.48424195174520146,130,1446,21616,0.5730673985150313,False,-0.6299464783920743
Bachelor's degree,3.076923076923077,1.7980636237897647,2.1511843079200594,1.3651345959611618,0.5053180237174155,130,1446,21616,0.5944917926087242,False,0.9257387690030177
S3,0.7692307692307693,1.6597510373443984,1.910621761658031,1.3443732150988557,0.5105908943600836,130,1446,21616,0.5971823325848932,False,-1.1413909924272616
Distributed systems,0.7692307692307693,1.7289073305670817,1.9430051813471503,1.2522078232679066,0.5346708732212454,130,1446,21616,0.6217103176991225,False,-1.173774412116381
System Design,1.5384615384615385,1.4522821576763485,1.8412287194670616,1.2065801531067066,0.5470089708772821,130,1446,21616,0.6310260289829641,False,-0.302767181005523
Oracle,3.8461538461538463,4.218533886583679,3.659326424870466,1.1993404685120126,0.5489926452151788,130,1446,21616,0.6310260289829641,False,0.18682742128338026
Computer Engineering,1.5384615384615385,1.7980636237897647,2.1743153219837157,1.1437735316944853,0.5644594305861415,130,1446,21616,0.6414311711206153,False,-0.6358537835221771
Interpersonal Skills,1.5384615384615385,1.1756569847856155,1.5312731310140637,1.1539009035016126,0.5616084097532459,130,1446,21616,0.6414311711206153,False,0.007188407447474843
Artificial Intelligence,1.5384615384615385,1.4522821576763485,1.822723908216136,1.1032262680723817,0.5760198632705148,130,1446,21616,0.6508699020005817,False,-0.2842623697545974
Problemsolving,4.615384615384616,5.117565698478561,4.542931162102146,1.0246297779114721,0.5991071059292117,130,1446,21616,0.6731540516058558,False,0.07245345328246966
JavaScript,17.692307692307693,15.560165975103734,16.473908216136195,0.9776641998484216,0.6133422985676324,130,1446,21616,0.6824405753302644,False,1.2183994761714985
