column,source,platform,total,non_null,non_null_pct
seniority_raw,kaggle_arshkon,linkedin,5019,3444,68.62
seniority_raw,kaggle_asaniczka,linkedin,23213,23213,100.0
seniority_raw,scraped,linkedin,24095,24095,100.0
seniority_native,kaggle_arshkon,linkedin,5019,3444,68.62
seniority_native,kaggle_asaniczka,linkedin,23213,23213,100.0
seniority_native,scraped,linkedin,24095,19896,82.57
company_industry,kaggle_arshkon,linkedin,5019,4981,99.24
company_industry,kaggle_asaniczka,linkedin,23213,0,0.0
company_industry,scraped,linkedin,24095,24090,99.98
company_size,kaggle_arshkon,linkedin,5019,4974,99.1
company_size,kaggle_asaniczka,linkedin,23213,0,0.0
company_size,scraped,linkedin,24095,0,0.0
company_size_raw,kaggle_arshkon,linkedin,5019,4974,99.1
company_size_raw,kaggle_asaniczka,linkedin,23213,0,0.0
company_size_raw,scraped,linkedin,24095,0,0.0
company_size_category,kaggle_arshkon,linkedin,5019,4757,94.78
company_size_category,kaggle_asaniczka,linkedin,23213,0,0.0
company_size_category,scraped,linkedin,24095,0,0.0
search_query,kaggle_arshkon,linkedin,5019,0,0.0
search_query,kaggle_asaniczka,linkedin,23213,23213,100.0
search_query,scraped,linkedin,24095,24090,99.98
query_tier,kaggle_arshkon,linkedin,5019,0,0.0
query_tier,kaggle_asaniczka,linkedin,23213,0,0.0
query_tier,scraped,linkedin,24095,24090,99.98
search_metro_id,kaggle_arshkon,linkedin,5019,0,0.0
search_metro_id,kaggle_asaniczka,linkedin,23213,0,0.0
search_metro_id,scraped,linkedin,24095,24090,99.98
search_metro_name,kaggle_arshkon,linkedin,5019,0,0.0
search_metro_name,kaggle_asaniczka,linkedin,23213,23213,100.0
search_metro_name,scraped,linkedin,24095,24090,99.98
search_metro_region,kaggle_arshkon,linkedin,5019,0,0.0
search_metro_region,kaggle_asaniczka,linkedin,23213,0,0.0
search_metro_region,scraped,linkedin,24095,24090,99.98
search_location,kaggle_arshkon,linkedin,5019,0,0.0
search_location,kaggle_asaniczka,linkedin,23213,0,0.0
search_location,scraped,linkedin,24095,24090,99.98
work_type,kaggle_arshkon,linkedin,5019,5019,100.0
work_type,kaggle_asaniczka,linkedin,23213,0,0.0
work_type,scraped,linkedin,24095,24095,100.0
is_remote,kaggle_arshkon,linkedin,5019,5019,100.0
is_remote,kaggle_asaniczka,linkedin,23213,23213,100.0
is_remote,scraped,linkedin,24095,24095,100.0
job_url,kaggle_arshkon,linkedin,5019,5019,100.0
job_url,kaggle_asaniczka,linkedin,23213,23213,100.0
job_url,scraped,linkedin,24095,24095,100.0
skills_raw,kaggle_arshkon,linkedin,5019,67,1.33
skills_raw,kaggle_asaniczka,linkedin,23213,23192,99.91
skills_raw,scraped,linkedin,24095,0,0.0
asaniczka_skills,kaggle_arshkon,linkedin,5019,0,0.0
asaniczka_skills,kaggle_asaniczka,linkedin,23213,23192,99.91
asaniczka_skills,scraped,linkedin,24095,0,0.0
company_id_kaggle,kaggle_arshkon,linkedin,5019,4974,99.1
company_id_kaggle,kaggle_asaniczka,linkedin,23213,0,0.0
company_id_kaggle,scraped,linkedin,24095,0,0.0
posting_age_days,kaggle_arshkon,linkedin,5019,0,0.0
posting_age_days,kaggle_asaniczka,linkedin,23213,0,0.0
posting_age_days,scraped,linkedin,24095,179,0.74
is_aggregator,kaggle_arshkon,linkedin,5019,5019,100.0
is_aggregator,kaggle_asaniczka,linkedin,23213,23213,100.0
is_aggregator,scraped,linkedin,24095,24095,100.0
real_employer,kaggle_arshkon,linkedin,5019,44,0.88
real_employer,kaggle_asaniczka,linkedin,23213,2285,9.84
real_employer,scraped,linkedin,24095,1338,5.55
company_name_effective,kaggle_arshkon,linkedin,5019,4974,99.1
company_name_effective,kaggle_asaniczka,linkedin,23213,23213,100.0
company_name_effective,scraped,linkedin,24095,24095,100.0
description_core,kaggle_arshkon,linkedin,5019,5019,100.0
description_core,kaggle_asaniczka,linkedin,23213,23213,100.0
description_core,scraped,linkedin,24095,24095,100.0
core_length,kaggle_arshkon,linkedin,5019,5019,100.0
core_length,kaggle_asaniczka,linkedin,23213,23213,100.0
core_length,scraped,linkedin,24095,24095,100.0
boilerplate_flag,kaggle_arshkon,linkedin,5019,5019,100.0
boilerplate_flag,kaggle_asaniczka,linkedin,23213,23213,100.0
boilerplate_flag,scraped,linkedin,24095,24095,100.0
company_name_canonical,kaggle_arshkon,linkedin,5019,4974,99.1
company_name_canonical,kaggle_asaniczka,linkedin,23213,23213,100.0
company_name_canonical,scraped,linkedin,24095,24095,100.0
company_name_canonical_method,kaggle_arshkon,linkedin,5019,5019,100.0
company_name_canonical_method,kaggle_asaniczka,linkedin,23213,23213,100.0
company_name_canonical_method,scraped,linkedin,24095,24095,100.0
is_multi_location,kaggle_arshkon,linkedin,5019,5019,100.0
is_multi_location,kaggle_asaniczka,linkedin,23213,23213,100.0
is_multi_location,scraped,linkedin,24095,24095,100.0
is_swe,kaggle_arshkon,linkedin,5019,5019,100.0
is_swe,kaggle_asaniczka,linkedin,23213,23213,100.0
is_swe,scraped,linkedin,24095,24095,100.0
is_swe_adjacent,kaggle_arshkon,linkedin,5019,5019,100.0
is_swe_adjacent,kaggle_asaniczka,linkedin,23213,23213,100.0
is_swe_adjacent,scraped,linkedin,24095,24095,100.0
swe_confidence,kaggle_arshkon,linkedin,5019,5019,100.0
swe_confidence,kaggle_asaniczka,linkedin,23213,23213,100.0
swe_confidence,scraped,linkedin,24095,24095,100.0
swe_classification_tier,kaggle_arshkon,linkedin,5019,5019,100.0
swe_classification_tier,kaggle_asaniczka,linkedin,23213,23213,100.0
swe_classification_tier,scraped,linkedin,24095,24095,100.0
is_control,kaggle_arshkon,linkedin,5019,5019,100.0
is_control,kaggle_asaniczka,linkedin,23213,23213,100.0
is_control,scraped,linkedin,24095,24095,100.0
seniority_imputed,kaggle_arshkon,linkedin,5019,5019,100.0
seniority_imputed,kaggle_asaniczka,linkedin,23213,23213,100.0
seniority_imputed,scraped,linkedin,24095,24095,100.0
seniority_source,kaggle_arshkon,linkedin,5019,5019,100.0
seniority_source,kaggle_asaniczka,linkedin,23213,23213,100.0
seniority_source,scraped,linkedin,24095,24095,100.0
seniority_confidence,kaggle_arshkon,linkedin,5019,5019,100.0
seniority_confidence,kaggle_asaniczka,linkedin,23213,23213,100.0
seniority_confidence,scraped,linkedin,24095,24095,100.0
seniority_final,kaggle_arshkon,linkedin,5019,5019,100.0
seniority_final,kaggle_asaniczka,linkedin,23213,23213,100.0
seniority_final,scraped,linkedin,24095,24095,100.0
seniority_final_source,kaggle_arshkon,linkedin,5019,5019,100.0
seniority_final_source,kaggle_asaniczka,linkedin,23213,23213,100.0
seniority_final_source,scraped,linkedin,24095,24095,100.0
seniority_final_confidence,kaggle_arshkon,linkedin,5019,5019,100.0
seniority_final_confidence,kaggle_asaniczka,linkedin,23213,23213,100.0
seniority_final_confidence,scraped,linkedin,24095,24095,100.0
yoe_extracted,kaggle_arshkon,linkedin,5019,3040,60.57
yoe_extracted,kaggle_asaniczka,linkedin,23213,16755,72.18
yoe_extracted,scraped,linkedin,24095,16525,68.58
yoe_min_extracted,kaggle_arshkon,linkedin,5019,3040,60.57
yoe_min_extracted,kaggle_asaniczka,linkedin,23213,16755,72.18
yoe_min_extracted,scraped,linkedin,24095,16525,68.58
yoe_max_extracted,kaggle_arshkon,linkedin,5019,3040,60.57
yoe_max_extracted,kaggle_asaniczka,linkedin,23213,16755,72.18
yoe_max_extracted,scraped,linkedin,24095,16525,68.58
yoe_match_count,kaggle_arshkon,linkedin,5019,5019,100.0
yoe_match_count,kaggle_asaniczka,linkedin,23213,23213,100.0
yoe_match_count,scraped,linkedin,24095,24095,100.0
yoe_resolution_rule,kaggle_arshkon,linkedin,5019,5019,100.0
yoe_resolution_rule,kaggle_asaniczka,linkedin,23213,23213,100.0
yoe_resolution_rule,scraped,linkedin,24095,24095,100.0
yoe_all_mentions_json,kaggle_arshkon,linkedin,5019,3361,66.97
yoe_all_mentions_json,kaggle_asaniczka,linkedin,23213,18213,78.46
yoe_all_mentions_json,scraped,linkedin,24095,18440,76.53
yoe_seniority_contradiction,kaggle_arshkon,linkedin,5019,5019,100.0
yoe_seniority_contradiction,kaggle_asaniczka,linkedin,23213,23213,100.0
yoe_seniority_contradiction,scraped,linkedin,24095,24095,100.0
seniority_cross_check,kaggle_arshkon,linkedin,5019,5019,100.0
seniority_cross_check,kaggle_asaniczka,linkedin,23213,23213,100.0
seniority_cross_check,scraped,linkedin,24095,24095,100.0
seniority_3level,kaggle_arshkon,linkedin,5019,5019,100.0
seniority_3level,kaggle_asaniczka,linkedin,23213,23213,100.0
seniority_3level,scraped,linkedin,24095,24095,100.0
city_extracted,kaggle_arshkon,linkedin,5019,3968,79.06
city_extracted,kaggle_asaniczka,linkedin,23213,22465,96.78
city_extracted,scraped,linkedin,24095,23027,95.57
state_normalized,kaggle_arshkon,linkedin,5019,3842,76.55
state_normalized,kaggle_asaniczka,linkedin,23213,22566,97.21
state_normalized,scraped,linkedin,24095,22982,95.38
country_extracted,kaggle_arshkon,linkedin,5019,4701,93.66
country_extracted,kaggle_asaniczka,linkedin,23213,22801,98.23
country_extracted,scraped,linkedin,24095,23093,95.84
is_remote_inferred,kaggle_arshkon,linkedin,5019,5019,100.0
is_remote_inferred,kaggle_asaniczka,linkedin,23213,23213,100.0
is_remote_inferred,scraped,linkedin,24095,24095,100.0
metro_area,kaggle_arshkon,linkedin,5019,3065,61.07
metro_area,kaggle_asaniczka,linkedin,23213,16944,72.99
metro_area,scraped,linkedin,24095,18657,77.43
metro_source,kaggle_arshkon,linkedin,5019,5019,100.0
metro_source,kaggle_asaniczka,linkedin,23213,23213,100.0
metro_source,scraped,linkedin,24095,24095,100.0
metro_confidence,kaggle_arshkon,linkedin,5019,5019,100.0
metro_confidence,kaggle_asaniczka,linkedin,23213,23213,100.0
metro_confidence,scraped,linkedin,24095,24095,100.0
period,kaggle_arshkon,linkedin,5019,5019,100.0
period,kaggle_asaniczka,linkedin,23213,23213,100.0
period,scraped,linkedin,24095,24095,100.0
scrape_week,kaggle_arshkon,linkedin,5019,0,0.0
scrape_week,kaggle_asaniczka,linkedin,23213,0,0.0
scrape_week,scraped,linkedin,24095,24095,100.0
date_flag,kaggle_arshkon,linkedin,5019,5019,100.0
date_flag,kaggle_asaniczka,linkedin,23213,23213,100.0
date_flag,scraped,linkedin,24095,24095,100.0
is_english,kaggle_arshkon,linkedin,5019,5019,100.0
is_english,kaggle_asaniczka,linkedin,23213,23213,100.0
is_english,scraped,linkedin,24095,24095,100.0
description_hash,kaggle_arshkon,linkedin,5019,5019,100.0
description_hash,kaggle_asaniczka,linkedin,23213,23213,100.0
description_hash,scraped,linkedin,24095,24095,100.0
ghost_job_risk,kaggle_arshkon,linkedin,5019,5019,100.0
ghost_job_risk,kaggle_asaniczka,linkedin,23213,23213,100.0
ghost_job_risk,scraped,linkedin,24095,24095,100.0
description_quality_flag,kaggle_arshkon,linkedin,5019,5019,100.0
description_quality_flag,kaggle_asaniczka,linkedin,23213,23213,100.0
description_quality_flag,scraped,linkedin,24095,24095,100.0
preprocessing_version,kaggle_arshkon,linkedin,5019,5019,100.0
preprocessing_version,kaggle_asaniczka,linkedin,23213,23213,100.0
preprocessing_version,scraped,linkedin,24095,24095,100.0
dedup_method,kaggle_arshkon,linkedin,5019,5019,100.0
dedup_method,kaggle_asaniczka,linkedin,23213,23213,100.0
dedup_method,scraped,linkedin,24095,24095,100.0
boilerplate_removed,kaggle_arshkon,linkedin,5019,5019,100.0
boilerplate_removed,kaggle_asaniczka,linkedin,23213,23213,100.0
boilerplate_removed,scraped,linkedin,24095,24095,100.0
control_bucket,kaggle_arshkon,linkedin,5019,5019,100.0
control_bucket,kaggle_asaniczka,linkedin,23213,23213,100.0
control_bucket,scraped,linkedin,24095,24095,100.0
eligible_control_unit,kaggle_arshkon,linkedin,5019,5019,100.0
eligible_control_unit,kaggle_asaniczka,linkedin,23213,23213,100.0
eligible_control_unit,scraped,linkedin,24095,24095,100.0
eligible_for_extraction,kaggle_arshkon,linkedin,5019,5019,100.0
eligible_for_extraction,kaggle_asaniczka,linkedin,23213,23213,100.0
eligible_for_extraction,scraped,linkedin,24095,24095,100.0
llm_text_skip_reason,kaggle_arshkon,linkedin,5019,4,0.08
llm_text_skip_reason,kaggle_asaniczka,linkedin,23213,2,0.01
llm_text_skip_reason,scraped,linkedin,24095,0,0.0
description_core_llm,kaggle_arshkon,linkedin,5019,4996,99.54
description_core_llm,kaggle_asaniczka,linkedin,23213,18882,81.34
description_core_llm,scraped,linkedin,24095,0,0.0
extraction_input_hash,kaggle_arshkon,linkedin,5019,5019,100.0
extraction_input_hash,kaggle_asaniczka,linkedin,23213,23213,100.0
extraction_input_hash,scraped,linkedin,24095,24095,100.0
selected_for_control_cohort,kaggle_arshkon,linkedin,5019,5019,100.0
selected_for_control_cohort,kaggle_asaniczka,linkedin,23213,23213,100.0
selected_for_control_cohort,scraped,linkedin,24095,24095,100.0
llm_extraction_reason,kaggle_arshkon,linkedin,5019,5019,100.0
llm_extraction_reason,kaggle_asaniczka,linkedin,23213,23213,100.0
llm_extraction_reason,scraped,linkedin,24095,24095,100.0
llm_extraction_coverage,kaggle_arshkon,linkedin,5019,5019,100.0
llm_extraction_coverage,kaggle_asaniczka,linkedin,23213,23213,100.0
llm_extraction_coverage,scraped,linkedin,24095,24095,100.0
needs_llm_classification,kaggle_arshkon,linkedin,5019,5019,100.0
needs_llm_classification,kaggle_asaniczka,linkedin,23213,23213,100.0
needs_llm_classification,scraped,linkedin,24095,24095,100.0
classification_input_hash,kaggle_arshkon,linkedin,5019,3133,62.42
classification_input_hash,kaggle_asaniczka,linkedin,23213,8722,37.57
classification_input_hash,scraped,linkedin,24095,13211,54.83
llm_classification_reason,kaggle_arshkon,linkedin,5019,5019,100.0
llm_classification_reason,kaggle_asaniczka,linkedin,23213,23213,100.0
llm_classification_reason,scraped,linkedin,24095,24095,100.0
swe_classification_llm,kaggle_arshkon,linkedin,5019,0,0.0
swe_classification_llm,kaggle_asaniczka,linkedin,23213,0,0.0
swe_classification_llm,scraped,linkedin,24095,0,0.0
seniority_llm,kaggle_arshkon,linkedin,5019,0,0.0
seniority_llm,kaggle_asaniczka,linkedin,23213,0,0.0
seniority_llm,scraped,linkedin,24095,0,0.0
ghost_assessment_llm,kaggle_arshkon,linkedin,5019,0,0.0
ghost_assessment_llm,kaggle_asaniczka,linkedin,23213,0,0.0
ghost_assessment_llm,scraped,linkedin,24095,0,0.0
yoe_min_years_llm,kaggle_arshkon,linkedin,5019,0,0.0
yoe_min_years_llm,kaggle_asaniczka,linkedin,23213,0,0.0
yoe_min_years_llm,scraped,linkedin,24095,0,0.0
llm_model_classification,kaggle_arshkon,linkedin,5019,0,0.0
llm_model_classification,kaggle_asaniczka,linkedin,23213,0,0.0
llm_model_classification,scraped,linkedin,24095,0,0.0
llm_prompt_version_classification,kaggle_arshkon,linkedin,5019,0,0.0
llm_prompt_version_classification,kaggle_asaniczka,linkedin,23213,0,0.0
llm_prompt_version_classification,scraped,linkedin,24095,0,0.0
llm_classification_coverage,kaggle_arshkon,linkedin,5019,5019,100.0
llm_classification_coverage,kaggle_asaniczka,linkedin,23213,23213,100.0
llm_classification_coverage,scraped,linkedin,24095,24095,100.0
