term,count_a,count_b,rate_a_per_1k,rate_b_per_1k,log_odds_delta,z,category,abs_z
world.,380,3487,0.16447097909573857,0.7028711490240028,0.4840484095336963,19.48956976181294,other,19.48956976181294
offers,603,4241,0.2609894747229746,0.8548541849758521,0.4221816721356184,19.25661318861726,other,19.25661318861726
rag,20,1884,0.008656367320828346,0.37975602086642424,0.7032168745283442,18.9202582284936,ai_domain,18.9202582284936
high-impact,112,2261,0.048475656996638736,0.4557475388423488,0.6091187401256608,18.704316417066305,other,18.704316417066305
incentive,70,2066,0.030297285622899208,0.41644158126859476,0.6454673649593277,18.65001966918702,other,18.65001966918702
pipelines,3193,11831,1.3819890427702455,2.384762995154281,0.22432751350484637,18.62215808057031,other,18.62215808057031
careers.,76,2069,0.03289419581914771,0.41704628830819096,0.6389486151283164,18.52647617565696,other,18.52647617565696
real-world,319,3028,0.1380690587672121,0.6103509719657817,0.49110440069317285,18.36974830921223,other,18.36974830921223
package,568,3893,0.245840831911525,0.7847081683826909,0.4156455756808741,18.21471486525005,other,18.21471486525005
ai-powered,140,2277,0.060594571245798416,0.45897264305352864,0.5822811295961987,18.153929961504424,other,18.153929961504424
agent,98,2050,0.04241619987205889,0.41321647705741493,0.612825233883866,17.89055534174596,ai_domain,17.89055534174596
prompt,107,2073,0.046311565166431645,0.41785256436098595,0.6041255469130835,17.80248497232349,ai_domain,17.80248497232349
ai-driven,49,1814,0.021208099936029446,0.3656461899425125,0.6623946645742471,17.800733543628603,other,17.800733543628603
proud,80,1949,0.034625469283313386,0.3928580067243423,0.6287786429022519,17.773369301940793,other,17.773369301940793
notice,56,1832,0.024237828498319368,0.3692744321800898,0.653422170546536,17.71689470304858,other,17.71689470304858
determined,189,2349,0.08180267118182787,0.4734856120038379,0.5412878475779221,17.449400608503247,other,17.449400608503247
email,367,2988,0.15884434033720013,0.6022882114378321,0.45763456582057493,17.252665166468088,other,17.252665166468088
location.,195,2336,0.08439958137807636,0.47086521483225424,0.5352049333793891,17.25003290793556,other,17.25003290793556
intersection,77,1836,0.03332701418518913,0.3700807082328848,0.6266984461277598,17.208807077552812,other,17.208807077552812
encourage,315,2773,0.13633778530304644,0.5589508736001032,0.4749680241038412,17.12148574119852,ai_domain,17.12148574119852
businesses,312,2749,0.13503933020492218,0.5541132172833334,0.47531185388130304,17.056244453836523,other,17.056244453836523
employer,330,2811,0.1428300607936677,0.5666104961016553,0.4678696950241603,17.032325423264734,other,17.032325423264734
us.,187,2259,0.08093703444974504,0.4553444008159514,0.5364414875868233,16.994291904947602,other,16.994291904947602
leave,208,2309,0.09002622013661478,0.46542285147588836,0.5216121323884533,16.813292130510465,other,16.813292130510465
llms,293,2631,0.12681578125013526,0.5303280737258822,0.4792467851286295,16.79635166909853,ai_domain,16.79635166909853
outcomes,380,2915,0.16447097909573857,0.5875736734743241,0.4436505484890034,16.620182328592087,other,16.620182328592087
built,738,4126,0.31941995413856594,0.8316737484579971,0.3594404951867025,16.616155973489708,other,16.616155973489708
enabling,615,3715,0.2661832951154716,0.7488288840333153,0.3815789045445319,16.57816553734731,other,16.57816553734731
depending,328,2714,0.14196442406158485,0.5470583018213776,0.4611765454678203,16.54503811717609,other,16.54503811717609
vary,237,2348,0.1025779527518159,0.47328404299063914,0.4997924953061723,16.399888640506397,other,16.399888640506397
cloud-native,437,3075,0.18914162596009934,0.6198247155861224,0.42223270721710104,16.398248179460154,other,16.398248179460154
flexible,826,4317,0.35750797035021065,0.8701734299789562,0.3393747359132524,16.18719891822007,boilerplate,16.18719891822007
mindset,686,3865,0.2969133991044122,0.7790642360131261,0.3617706015837161,16.169332959763036,other,16.169332959763036
claude,3,1318,0.0012984550981242518,0.265667959395938,0.7254415043914815,16.16546145198678,ai_tool,16.16546145198678
roles,929,4631,0.4020882620524766,0.9334661001233602,0.32469815765753207,16.143371983718364,noise,16.143371983718364
perspectives,118,1804,0.05107256719288723,0.36363049981052514,0.5734025498502646,15.974461262625212,other,15.974461262625212
onboarding,221,2213,0.09565285889515321,0.4460722262088094,0.5017206172734543,15.97030337583772,other,15.97030337583772
personal,872,4390,0.37741761518811584,0.8848879679424642,0.3277702389998245,15.845233857666438,other,15.845233857666438
following.,67,1560,0.028998830524774956,0.3144476605900328,0.6243728050982256,15.819478129495849,other,15.819478129495849
annually,51,1480,0.02207373666811228,0.2983221395341337,0.6444267715497656,15.765043061894053,other,15.765043061894053
genai,35,1397,0.015148642811449604,0.2815919114386384,0.6668342657412332,15.69643834415596,ai_domain,15.69643834415596
week,576,3404,0.24930337883985634,0.6861409209285075,0.37539147416746577,15.653507583312798,other,15.653507583312798
generative,237,2207,0.1025779527518159,0.4448628121296169,0.48692738097221167,15.577938552766957,ai_domain,15.577938552766957
ai-assisted,5,1232,0.0021640918302070866,0.2483330242608464,0.7207612273342026,15.559987561767105,other,15.559987561767105
here.,93,1619,0.04025210804185181,0.3263402323687584,0.5909716047393694,15.478199643817137,other,15.478199643817137
destination,137,1798,0.05929611614767416,0.3624210857313327,0.5504930953925609,15.46267457261536,other,15.46267457261536
actual,137,1789,0.05929611614767416,0.36060696461254405,0.5494093097864354,15.401869256820238,other,15.401869256820238
in-person,138,1791,0.05972893451371558,0.3610101026389415,0.5486823143355366,15.393867397561506,other,15.393867397561506
impact.,271,2290,0.11729377719722407,0.4615930402251123,0.46607663269384325,15.3256868954695,other,15.3256868954695
employees.,164,1882,0.07098221203079243,0.3793528828400268,0.5273990200056966,15.309814681478409,other,15.309814681478409
countries,74,1493,0.03202855908706488,0.3009425367057173,0.6091139266024825,15.198295057249712,other,15.198295057249712
workflows.,430,2821,0.18611189739780942,0.5686261862336427,0.40415708977397635,15.15133012454414,other,15.15133012454414
hands-on,3828,12407,1.6568287052065451,2.5008667467567545,0.17391908340157158,15.112519051359413,other,15.112519051359413
discretionary,99,1572,0.042849018238100306,0.31686648874841766,0.5790393474066384,15.020393894118621,other,15.020393894118621
individuals,918,4359,0.39732726002602103,0.8786393285333033,0.30931781239467515,15.01944116797293,other,15.01944116797293
let,108,1602,0.046744383532473066,0.32291355914437986,0.5690232509452304,14.966928408741508,other,14.966928408741508
policy,622,3422,0.26921302367776156,0.6897691631660848,0.3546664013468561,14.96198657520176,other,14.96198657520176
next-generation,313,2374,0.1354721485709636,0.4785248373338063,0.4409222168651912,14.923820223825567,other,14.923820223825567
tooling,898,4272,0.38867089270519267,0.861102824385013,0.30984466412576683,14.891126881292777,other,14.891126881292777
billions,131,1680,0.05669920595142566,0.3386359421738815,0.5467412748225744,14.868862662710232,other,14.868862662710232
seekers,9,1146,0.0038953652943727554,0.23099808912575487,0.7108607338382988,14.86496893092443,other,14.86496893092443
disabilities,103,1564,0.044580291702265976,0.3152539366428278,0.5727356091932414,14.859646235756205,other,14.859646235756205
production-grade,146,1733,0.0631914814420469,0.34931909987341464,0.5336320640392493,14.82362484470727,other,14.82362484470727
dedicated,557,3185,0.2410798298850694,0.6419973070379836,0.3659441881958756,14.820943055669861,other,14.820943055669861
transparency,138,1697,0.05972893451371558,0.34206261539826005,0.5397239399513367,14.797108135306978,other,14.797108135306978
future.,265,2172,0.11469686700097557,0.43780789666766107,0.4591642806605174,14.748244028949294,other,14.748244028949294
employment.,172,1813,0.07444475895912377,0.3654446209293138,0.5119281799421582,14.682885435156011,other,14.682885435156011
faster,173,1805,0.07487757732516519,0.3638320688237239,0.509717650743255,14.602183315306226,other,14.602183315306226
locations,571,3184,0.24713928700964924,0.641795738024785,0.3587263578461082,14.57122657771267,other,14.57122657771267
