metro_area,period_group,archetype_name,labeled_n,share_of_metro_period
Phoenix Metro,2026,Enterprise Application Support,44,0.22
Phoenix Metro,2026,Java Dotnet Web Services,36,0.18
Phoenix Metro,2026,AI LLM Platforms,30,0.15
Phoenix Metro,2026,Embedded Firmware Systems,18,0.09
Phoenix Metro,2026,Defense Clearance Systems,8,0.04
Phoenix Metro,2026,Product Backend Engineering,6,0.03
Phoenix Metro,2026,Large Employer Data Platforms,3,0.015
Pittsburgh Metro,2024,Enterprise Application Support,71,0.3717277486910995
Pittsburgh Metro,2024,Java Dotnet Web Services,49,0.25654450261780104
Pittsburgh Metro,2024,Embedded Firmware Systems,19,0.09947643979057591
Pittsburgh Metro,2024,Defense Clearance Systems,19,0.09947643979057591
Pittsburgh Metro,2024,Product Backend Engineering,14,0.07329842931937172
Pittsburgh Metro,2024,AI LLM Platforms,9,0.04712041884816754
Pittsburgh Metro,2024,Cloud DevOps Infrastructure,8,0.041884816753926704
Pittsburgh Metro,2024,Large Employer Data Platforms,2,0.010471204188481676
Pittsburgh Metro,2026,Enterprise Application Support,49,0.35766423357664234
Pittsburgh Metro,2026,Java Dotnet Web Services,29,0.2116788321167883
Pittsburgh Metro,2026,AI LLM Platforms,20,0.145985401459854
Pittsburgh Metro,2026,Cloud DevOps Infrastructure,16,0.11678832116788321
Pittsburgh Metro,2026,Embedded Firmware Systems,8,0.058394160583941604
Pittsburgh Metro,2026,Large Employer Data Platforms,7,0.051094890510948905
Pittsburgh Metro,2026,Defense Clearance Systems,5,0.0364963503649635
Pittsburgh Metro,2026,Product Backend Engineering,3,0.021897810218978103
Portland Metro,2024,Enterprise Application Support,48,0.42105263157894735
Portland Metro,2024,Java Dotnet Web Services,32,0.2807017543859649
Portland Metro,2024,Embedded Firmware Systems,12,0.10526315789473684
Portland Metro,2024,Cloud DevOps Infrastructure,12,0.10526315789473684
Portland Metro,2024,Product Backend Engineering,6,0.05263157894736842
Portland Metro,2024,Large Employer Data Platforms,2,0.017543859649122806
Portland Metro,2024,Defense Clearance Systems,1,0.008771929824561403
Portland Metro,2024,AI LLM Platforms,1,0.008771929824561403
Portland Metro,2026,Enterprise Application Support,16,0.37209302325581395
Portland Metro,2026,Embedded Firmware Systems,7,0.16279069767441862
Portland Metro,2026,AI LLM Platforms,6,0.13953488372093023
Portland Metro,2026,Cloud DevOps Infrastructure,5,0.11627906976744186
Portland Metro,2026,Product Backend Engineering,5,0.11627906976744186
Portland Metro,2026,Java Dotnet Web Services,4,0.09302325581395349
Raleigh-Durham-Chapel Hill,2024,Enterprise Application Support,99,0.4267241379310345
Raleigh-Durham-Chapel Hill,2024,Java Dotnet Web Services,56,0.2413793103448276
Raleigh-Durham-Chapel Hill,2024,Cloud DevOps Infrastructure,31,0.1336206896551724
Raleigh-Durham-Chapel Hill,2024,Defense Clearance Systems,15,0.06465517241379311
Raleigh-Durham-Chapel Hill,2024,Embedded Firmware Systems,14,0.0603448275862069
Raleigh-Durham-Chapel Hill,2024,Product Backend Engineering,11,0.04741379310344827
Raleigh-Durham-Chapel Hill,2024,Large Employer Data Platforms,4,0.017241379310344827
Raleigh-Durham-Chapel Hill,2024,AI LLM Platforms,2,0.008620689655172414
Raleigh-Durham-Chapel Hill,2026,Enterprise Application Support,46,0.26285714285714284
