column,dtype,source,subset,n_rows,non_null_n,non_null_rate,null_rate,distinct_n,top_5_values
job_id,VARCHAR,scraped,swe,4318,4318,1.0,0.0,4318,"[""linkedin_li-3196665688 (1)"", ""linkedin_li-3736674638 (1)"", ""linkedin_li-3784029352 (1)"", ""linkedin_li-3848834439 (1)"", ""linkedin_li-3875730538 (1)""]"
source,VARCHAR,kaggle_arshkon,all,117644,117644,1.0,0.0,1,"[""kaggle_arshkon (117644)""]"
source,VARCHAR,kaggle_arshkon,swe,4639,4639,1.0,0.0,1,"[""kaggle_arshkon (4639)""]"
source,VARCHAR,kaggle_asaniczka,all,1012193,1012193,1.0,0.0,1,"[""kaggle_asaniczka (1012193)""]"
source,VARCHAR,kaggle_asaniczka,swe,22043,22043,1.0,0.0,1,"[""kaggle_asaniczka (22043)""]"
source,VARCHAR,scraped,all,26544,26544,1.0,0.0,1,"[""scraped (26544)""]"
source,VARCHAR,scraped,swe,4318,4318,1.0,0.0,1,"[""scraped (4318)""]"
source_platform,VARCHAR,kaggle_arshkon,all,117644,117644,1.0,0.0,1,"[""linkedin (117644)""]"
source_platform,VARCHAR,kaggle_arshkon,swe,4639,4639,1.0,0.0,1,"[""linkedin (4639)""]"
source_platform,VARCHAR,kaggle_asaniczka,all,1012193,1012193,1.0,0.0,1,"[""linkedin (1012193)""]"
source_platform,VARCHAR,kaggle_asaniczka,swe,22043,22043,1.0,0.0,1,"[""linkedin (22043)""]"
source_platform,VARCHAR,scraped,all,26544,26544,1.0,0.0,1,"[""linkedin (26544)""]"
source_platform,VARCHAR,scraped,swe,4318,4318,1.0,0.0,1,"[""linkedin (4318)""]"
site,VARCHAR,kaggle_arshkon,all,117644,117644,1.0,0.0,1,"[""linkedin (117644)""]"
site,VARCHAR,kaggle_arshkon,swe,4639,4639,1.0,0.0,1,"[""linkedin (4639)""]"
site,VARCHAR,kaggle_asaniczka,all,1012193,1012193,1.0,0.0,1,"[""linkedin (1012193)""]"
site,VARCHAR,kaggle_asaniczka,swe,22043,22043,1.0,0.0,1,"[""linkedin (22043)""]"
site,VARCHAR,scraped,all,26544,26544,1.0,0.0,1,"[""linkedin (26544)""]"
site,VARCHAR,scraped,swe,4318,4318,1.0,0.0,1,"[""linkedin (4318)""]"
title,VARCHAR,kaggle_arshkon,all,117644,117644,1.0,0.0,71465,"[""Sales Manager (438)"", ""Project Manager (356)"", ""Customer Service Representative (354)"", ""Administrative Assistant (253)"", ""Senior Accountant (241)""]"
title,VARCHAR,kaggle_arshkon,swe,4639,4639,1.0,0.0,2370,"[""Software Engineer (180)"", ""Senior Software Engineer (158)"", ""Data Engineer (90)"", ""Software Developer (58)"", ""DevOps Engineer (57)""]"
title,VARCHAR,kaggle_asaniczka,all,1012193,1012193,1.0,0.0,468647,"[""Customer Service Representative (4513)"", ""LEAD SALES ASSOCIATE-FT (4482)"", ""Assistant Manager (3821)"", ""Shift Manager (3514)"", ""Store Manager (3445)""]"
title,VARCHAR,kaggle_asaniczka,swe,22043,22043,1.0,0.0,8330,"[""Senior Software Engineer (736)"", ""Senior Systems Engineer (267)"", ""Software Engineer (236)"", ""Senior Data Engineer (218)"", ""Senior Backend Engineer (189)""]"
title,VARCHAR,scraped,all,26544,26544,1.0,0.0,17084,"[""Associate Team Leader (152)"", ""Software Engineer (128)"", ""Senior Accountant (122)"", ""Sales Associate (116)"", ""Registered Nurse (111)""]"
title,VARCHAR,scraped,swe,4318,4318,1.0,0.0,2421,"[""Software Engineer (128)"", ""Senior Software Engineer (104)"", ""Data Engineer (72)"", ""DevOps Engineer (45)"", ""Senior Data Engineer (34)""]"
title_normalized,VARCHAR,kaggle_arshkon,all,117644,117644,1.0,0.0,67535,"[""accountant (630)"", ""project manager (496)"", ""customer service representative (472)"", ""software engineer (454)"", ""sales manager (445)""]"
title_normalized,VARCHAR,kaggle_arshkon,swe,4639,4639,1.0,0.0,1975,"[""software engineer (454)"", ""data engineer (166)"", ""devops engineer (88)"", ""java developer (77)"", ""software developer (75)""]"
title_normalized,VARCHAR,kaggle_asaniczka,all,1012193,1012193,1.0,0.0,446462,"[""customer service representative (7421)"", ""sales associate-ft (4482)"", ""store manager (4279)"", ""accountant (4248)"", ""assistant manager (3918)""]"
title_normalized,VARCHAR,kaggle_asaniczka,swe,22043,22043,1.0,0.0,6941,"[""software engineer (1521)"", ""systems engineer (643)"", ""data engineer (557)"", ""embedded software engineer (257)"", ""software developer (238)""]"
title_normalized,VARCHAR,scraped,all,26544,26544,1.0,0.0,15951,"[""software engineer (398)"", ""accountant (255)"", ""financial analyst (160)"", ""electrical engineer (158)"", ""associate team leader (152)""]"
title_normalized,VARCHAR,scraped,swe,4318,4318,1.0,0.0,2122,"[""software engineer (398)"", ""data engineer (138)"", ""devops engineer (66)"", ""machine learning engineer (48)"", ""ai engineer (47)""]"
company_name,VARCHAR,kaggle_arshkon,all,117644,115961,0.9856941280473293,0.014305871952670746,24344,"[""The Job Network (985)"", ""Liberty Healthcare and Rehabilitation Services (641)"", ""Lowe's Companies, Inc. (524)"", ""TEKsystems (514)"", ""Capital One (452)""]"
company_name,VARCHAR,kaggle_arshkon,swe,4639,4598,0.9911618883380039,0.008838111661996106,2145,"[""DataAnnotation (163)"", ""Capital One (115)"", ""Dice (61)"", ""Apex Systems (52)"", ""Motion Recruitment (36)""]"
company_name,VARCHAR,kaggle_asaniczka,all,1012193,1012187,0.9999940722767299,5.927723270127139e-06,67666,"[""Health eCareers (30030)"", ""Jobs for Humanity (22360)"", ""TravelNurseSource (10688)"", ""Dollar General (9780)"", ""PracticeLink (8888)""]"
company_name,VARCHAR,kaggle_asaniczka,swe,22043,22043,1.0,0.0,4663,"[""Recruiting from Scratch (2084)"", ""Jobs for Humanity (1833)"", ""ClearanceJobs (826)"", ""ClickJobs.io (481)"", ""Northrop Grumman (288)""]"
company_name,VARCHAR,scraped,all,26544,26544,1.0,0.0,7497,"[""Lensa (846)"", ""Jobs via Dice (759)"", ""Deloitte (422)"", ""PwC (276)"", ""Google (227)""]"
company_name,VARCHAR,scraped,swe,4318,4318,1.0,0.0,1427,"[""Jobs via Dice (325)"", ""Lensa (97)"", ""Google (70)"", ""YO IT Consulting (68)"", ""Deloitte (64)""]"
company_name_normalized,VARCHAR,kaggle_arshkon,all,117644,115961,0.9856941280473293,0.014305871952670746,24344,"[""The Job Network (985)"", ""Liberty Healthcare and Rehabilitation Services (641)"", ""Lowe's Companies, Inc. (524)"", ""TEKsystems (514)"", ""Capital One (452)""]"
company_name_normalized,VARCHAR,kaggle_arshkon,swe,4639,4598,0.9911618883380039,0.008838111661996106,2145,"[""DataAnnotation (163)"", ""Capital One (115)"", ""Dice (61)"", ""Apex Systems (52)"", ""Motion Recruitment (36)""]"
company_name_normalized,VARCHAR,kaggle_asaniczka,all,1012193,1012187,0.9999940722767299,5.927723270127139e-06,67666,"[""Health eCareers (30030)"", ""Jobs for Humanity (22360)"", ""TravelNurseSource (10688)"", ""Dollar General (9780)"", ""PracticeLink (8888)""]"
company_name_normalized,VARCHAR,kaggle_asaniczka,swe,22043,22043,1.0,0.0,4663,"[""Recruiting from Scratch (2084)"", ""Jobs for Humanity (1833)"", ""ClearanceJobs (826)"", ""ClickJobs.io (481)"", ""Northrop Grumman (288)""]"
company_name_normalized,VARCHAR,scraped,all,26544,26544,1.0,0.0,7497,"[""Lensa (846)"", ""Jobs via Dice (759)"", ""Deloitte (422)"", ""PwC (276)"", ""Google (227)""]"
company_name_normalized,VARCHAR,scraped,swe,4318,4318,1.0,0.0,1427,"[""Jobs via Dice (325)"", ""Lensa (97)"", ""Google (70)"", ""YO IT Consulting (68)"", ""Deloitte (64)""]"
location,VARCHAR,kaggle_arshkon,all,117644,117644,1.0,0.0,8496,"[""United States (7707)"", ""New York, NY (2684)"", ""Chicago, IL (1790)"", ""Houston, TX (1668)"", ""Dallas, TX (1332)""]"
location,VARCHAR,kaggle_arshkon,swe,4639,4639,1.0,0.0,730,"[""United States (750)"", ""New York, NY (145)"", ""Chicago, IL (100)"", ""Austin, TX (93)"", ""Seattle, WA (89)""]"
location,VARCHAR,kaggle_asaniczka,all,1012193,1012181,0.9999881445534596,1.18554465403653e-05,20106,"[""New York, NY (11788)"", ""Chicago, IL (9422)"", ""Houston, TX (9270)"", ""Los Angeles, CA (8617)"", ""Atlanta, GA (8162)""]"
location,VARCHAR,kaggle_asaniczka,swe,22043,22042,0.9999546341242118,4.536587578818363e-05,2000,"[""San Francisco, CA (386)"", ""New York, NY (385)"", ""Seattle, WA (358)"", ""Chicago, IL (336)"", ""Atlanta, GA (295)""]"
location,VARCHAR,scraped,all,26544,25610,0.9648131404460518,0.03518685955394818,2016,"[""New York, NY (1130)"", ""Austin, TX (787)"", ""Chicago, IL (719)"", ""Atlanta, GA (717)"", ""San Francisco, CA (676)""]"
location,VARCHAR,scraped,swe,4318,4128,0.9559981472904122,0.044001852709587785,442,"[""New York, NY (283)"", ""San Francisco, CA (247)"", ""Austin, TX (164)"", ""Seattle, WA (164)"", ""Chicago, IL (137)""]"
date_posted,VARCHAR,kaggle_arshkon,all,117644,117644,1.0,0.0,12,"[""2024-04-18 (32337)"", ""2024-04-19 (28322)"", ""2024-04-17 (9800)"", ""2024-04-09 (8984)"", ""2024-04-06 (7980)""]"
date_posted,VARCHAR,kaggle_arshkon,swe,4639,4639,1.0,0.0,12,"[""2024-04-18 (1496)"", ""2024-04-19 (1128)"", ""2024-04-17 (326)"", ""2024-04-11 (320)"", ""2024-04-09 (318)""]"
date_posted,VARCHAR,kaggle_asaniczka,all,1012193,1012193,1.0,0.0,6,"[""2024-01-14 (359777)"", ""2024-01-13 (317486)"", ""2024-01-12 (161322)"", ""2024-01-16 (95017)"", ""2024-01-15 (61087)""]"
date_posted,VARCHAR,kaggle_asaniczka,swe,22043,22043,1.0,0.0,6,"[""2024-01-13 (7577)"", ""2024-01-14 (7159)"", ""2024-01-12 (3398)"", ""2024-01-15 (1687)"", ""2024-01-16 (1563)""]"
date_posted,VARCHAR,scraped,all,26544,119,0.004483122362869198,0.9955168776371308,1,"[""2026-03-20 (119)""]"
date_posted,VARCHAR,scraped,swe,4318,4,0.0009263547938860583,0.999073645206114,1,"[""2026-03-20 (4)""]"
scrape_date,VARCHAR,kaggle_arshkon,all,117644,0,0.0,1.0,0,[]
scrape_date,VARCHAR,kaggle_arshkon,swe,4639,0,0.0,1.0,0,[]
scrape_date,VARCHAR,kaggle_asaniczka,all,1012193,0,0.0,1.0,0,[]
scrape_date,VARCHAR,kaggle_asaniczka,swe,22043,0,0.0,1.0,0,[]
scrape_date,VARCHAR,scraped,all,26544,26544,1.0,0.0,2,"[""2026-03-20 (16829)"", ""2026-03-21 (9715)""]"
scrape_date,VARCHAR,scraped,swe,4318,4318,1.0,0.0,2,"[""2026-03-20 (2929)"", ""2026-03-21 (1389)""]"
description,VARCHAR,kaggle_arshkon,all,117644,117644,1.0,0.0,106610,"[""Position Summary: Our Sales Manager has managing partnerresponsibilities for a \u2026 (287)"", ""Store Family Dollar  General Summary:  Work where you love to shop! Family Doll\u2026 (134)"", ""Store Dollar Tree  Work where you love to shop! Dollar Tree is hiring in your n\u2026 (104)"", ""Your time. Your Goals. What is DoorDash Available in over 4,000 cities in the U\u2026 (101)"", ""Claire's - A Career that's always in style  Part-Time Manager/3rd Key Holder Op\u2026 (96)""]"
description,VARCHAR,kaggle_arshkon,swe,4639,4639,1.0,0.0,4289,"[""Software Developer (Contract) DataAnnotation is committed to creating quality A\u2026 (37)"", ""DataAnnotation is committed to creating quality AI. Join our team to help train\u2026 (32)"", ""DataAnnotation is committed to creating quality AI. Join our team to help train\u2026 (31)"", ""DataAnnotation is committed to creating quality AI. Join our team to help train\u2026 (31)"", ""DataAnnotation is committed to creating quality AI. Join our team to help train\u2026 (28)""]"
description,VARCHAR,kaggle_asaniczka,all,1012193,1012193,1.0,0.0,781010,"[""Dollar General Corporation has been delivering value to shoppers for more than \u2026 (2884)"", ""Are you looking for a job that offers more responsibility, more pay, and more o\u2026 (2457)"", ""Store Family Dollar Family Dollar is seeking motivated individuals to support o\u2026 (2328)"", ""Are you looking for a job that offers more responsibility, more pay, and more o\u2026 (2098)"", ""Description PLEASE NOTE: Your application will be considered for all positions \u2026 (1980)""]"
description,VARCHAR,kaggle_asaniczka,swe,22043,22043,1.0,0.0,16560,"[""We are looking for a talented Server Infrastructure Engineer to join our multi-\u2026 (173)"", ""This is for a client of Recruiting from Scratch. Who is Recruiting from Scratch\u2026 (129)"", ""Who is Recruiting from Scratch : Recruiting from Scratch is a premier talent fi\u2026 (121)"", ""Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent fir\u2026 (115)"", ""Who is Recruiting from Scratch : Recruiting from Scratch is a premier talent fi\u2026 (104)""]"
description,VARCHAR,scraped,all,26544,26544,1.0,0.0,22623,"[""**Work Mode:**   Remote          **Engagement Type:**   Independent Contractor \u2026 (57)"", ""**Sr. Digital Loyalty Account Specialist - Remote**  Be a part of a revolutiona\u2026 (56)"", ""Please note that this position is based on our campus in Madison, WI, and requi\u2026 (37)"", ""**AI Engineer**  **Senior Consultant**  Our Deloitte Human Capital team transfo\u2026 (34)"", ""At Jacobs, we're challenging today to reinvent tomorrow by solving the world's \u2026 (33)""]"
description,VARCHAR,scraped,swe,4318,4318,1.0,0.0,3581,"[""**Work Mode:**   Remote          **Engagement Type:**   Independent Contractor \u2026 (57)"", ""**AI Engineer**  **Senior Consultant**  Our Deloitte Human Capital team transfo\u2026 (34)"", ""Our Human Capital practice is at the forefront of transforming the nature of wo\u2026 (28)"", ""**About Us:**    Based in San Francisco, California, Turing is the world\u2019s lead\u2026 (26)"", ""Help train the world\u2019s best AI coding models        **About Turing**    Turing \u2026 (26)""]"
description_raw,VARCHAR,kaggle_arshkon,all,117644,117644,1.0,0.0,106703,"[""Position Summary: Our Sales Manager has managing partnerresponsibilities for a \u2026 (287)"", ""Store Family Dollar  General Summary:  Work where you love to shop! Family Doll\u2026 (134)"", ""Store Dollar Tree  Work where you love to shop! Dollar Tree is hiring in your n\u2026 (104)"", ""Your time. Your Goals. What is DoorDash Available in over 4,000 cities in the U\u2026 (101)"", ""Claire's - A Career that's always in style  Part-Time Manager/3rd Key Holder Op\u2026 (96)""]"
description_raw,VARCHAR,kaggle_arshkon,swe,4639,4639,1.0,0.0,4290,"[""Software Developer (Contract) DataAnnotation is committed to creating quality A\u2026 (37)"", ""DataAnnotation is committed to creating quality AI. Join our team to help train\u2026 (32)"", ""DataAnnotation is committed to creating quality AI. Join our team to help train\u2026 (31)"", ""DataAnnotation is committed to creating quality AI. Join our team to help train\u2026 (31)"", ""DataAnnotation is committed to creating quality AI. Join our team to help train\u2026 (28)""]"
description_raw,VARCHAR,kaggle_asaniczka,all,1012193,1012193,1.0,0.0,781015,"[""Dollar General Corporation has been delivering value to shoppers for more than \u2026 (2884)"", ""Are you looking for a job that offers more responsibility, more pay, and more o\u2026 (2457)"", ""Store Family Dollar Family Dollar is seeking motivated individuals to support o\u2026 (2328)"", ""Are you looking for a job that offers more responsibility, more pay, and more o\u2026 (2098)"", ""Description PLEASE NOTE: Your application will be considered for all positions \u2026 (1980)""]"
description_raw,VARCHAR,kaggle_asaniczka,swe,22043,22043,1.0,0.0,16560,"[""We are looking for a talented Server Infrastructure Engineer to join our multi-\u2026 (173)"", ""This is for a client of Recruiting from Scratch. Who is Recruiting from Scratch\u2026 (129)"", ""Who is Recruiting from Scratch : Recruiting from Scratch is a premier talent fi\u2026 (121)"", ""Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent fir\u2026 (115)"", ""Who is Recruiting from Scratch : Recruiting from Scratch is a premier talent fi\u2026 (104)""]"
description_raw,VARCHAR,scraped,all,26544,26544,1.0,0.0,22623,"[""**Work Mode:**   Remote          **Engagement Type:**   Independent Contractor \u2026 (57)"", ""**Sr. Digital Loyalty Account Specialist \\- Remote**  Be a part of a revolution\u2026 (56)"", ""Please note that this position is based on our campus in Madison, WI, and requi\u2026 (37)"", ""**AI Engineer**  **Senior Consultant**  Our Deloitte Human Capital team transfo\u2026 (34)"", ""At Jacobs, we're challenging today to reinvent tomorrow by solving the world's \u2026 (33)""]"
description_raw,VARCHAR,scraped,swe,4318,4318,1.0,0.0,3581,"[""**Work Mode:**   Remote          **Engagement Type:**   Independent Contractor \u2026 (57)"", ""**AI Engineer**  **Senior Consultant**  Our Deloitte Human Capital team transfo\u2026 (34)"", ""Our Human Capital practice is at the forefront of transforming the nature of wo\u2026 (28)"", ""**About Us:**       Based in San Francisco, California, Turing is the world\u2019s l\u2026 (26)"", ""Help train the world\u2019s best AI coding models              **About Turing**     \u2026 (26)""]"
description_length,BIGINT,kaggle_arshkon,all,117644,117644,1.0,0.0,10399,"[""3392 (310)"", ""2911 (190)"", ""1601 (131)"", ""3716 (126)"", ""3425 (121)""]"
description_length,BIGINT,kaggle_arshkon,swe,4639,4639,1.0,0.0,3212,"[""1516 (63)"", ""1484 (37)"", ""1453 (35)"", ""1512 (28)"", ""6756 (11)""]"
description_length,BIGINT,kaggle_asaniczka,all,1012193,1012193,1.0,0.0,15859,"[""3659 (3378)"", ""3678 (3048)"", ""4065 (2641)"", ""2161 (2465)"", ""2053 (2324)""]"
description_length,BIGINT,kaggle_asaniczka,swe,22043,22043,1.0,0.0,6857,"[""3375 (175)"", ""2627 (131)"", ""3160 (123)"", ""2891 (120)"", ""2369 (117)""]"
description_length,BIGINT,scraped,all,26544,26544,1.0,0.0,8580,"[""4576 (69)"", ""3021 (61)"", ""5218 (58)"", ""4213 (51)"", ""5651 (50)""]"
description_length,BIGINT,scraped,swe,4318,4318,1.0,0.0,2882,"[""3021 (58)"", ""7577 (36)"", ""8843 (30)"", ""8769 (28)"", ""3280 (27)""]"
seniority_raw,VARCHAR,kaggle_arshkon,all,117644,89473,0.7605402740471252,0.2394597259528748,6,"[""Mid-Senior level (39566)"", ""Entry level (34358)"", ""Associate (9420)"", ""Director (3591)"", ""Internship (1359)""]"
seniority_raw,VARCHAR,kaggle_arshkon,swe,4639,3197,0.6891571459366242,0.31084285406337575,6,"[""Mid-Senior level (2171)"", ""Entry level (715)"", ""Associate (258)"", ""Director (25)"", ""Internship (18)""]"
seniority_raw,VARCHAR,kaggle_asaniczka,all,1012193,1012193,1.0,0.0,2,"[""Mid senior (897658)"", ""Associate (114535)""]"
seniority_raw,VARCHAR,kaggle_asaniczka,swe,22043,22043,1.0,0.0,2,"[""Mid senior (20215)"", ""Associate (1828)""]"
seniority_raw,VARCHAR,scraped,all,26544,26544,1.0,0.0,7,"[""mid-senior level (13067)"", ""entry level (6629)"", ""not applicable (3867)"", ""associate (1231)"", ""director (948)""]"
seniority_raw,VARCHAR,scraped,swe,4318,4318,1.0,0.0,7,"[""mid-senior level (2844)"", ""not applicable (707)"", ""entry level (490)"", ""associate (161)"", ""internship (67)""]"
seniority_native,VARCHAR,kaggle_arshkon,all,117644,89473,0.7605402740471252,0.2394597259528748,6,"[""mid-senior (39566)"", ""entry (34358)"", ""associate (9420)"", ""director (3591)"", ""intern (1359)""]"
seniority_native,VARCHAR,kaggle_arshkon,swe,4639,3197,0.6891571459366242,0.31084285406337575,6,"[""mid-senior (2171)"", ""entry (715)"", ""associate (258)"", ""director (25)"", ""intern (18)""]"
seniority_native,VARCHAR,kaggle_asaniczka,all,1012193,1012193,1.0,0.0,2,"[""mid-senior (897658)"", ""associate (114535)""]"
seniority_native,VARCHAR,kaggle_asaniczka,swe,22043,22043,1.0,0.0,2,"[""mid-senior (20215)"", ""associate (1828)""]"
seniority_native,VARCHAR,scraped,all,26544,22677,0.8543173598553345,0.14568264014466548,6,"[""mid-senior (13067)"", ""entry (6629)"", ""associate (1231)"", ""director (948)"", ""intern (595)""]"
seniority_native,VARCHAR,scraped,swe,4318,3611,0.8362667901806392,0.1637332098193608,6,"[""mid-senior (2844)"", ""entry (490)"", ""associate (161)"", ""intern (67)"", ""director (43)""]"
company_industry,VARCHAR,kaggle_arshkon,all,117644,116143,0.987241168270375,0.012758831729624998,374,"[""Hospitals and Health Care (15178)"", ""Retail (8423)"", ""IT Services and IT Consulting (7750)"", ""Staffing and Recruiting (7622)"", ""Financial Services (5575)""]"
company_industry,VARCHAR,kaggle_arshkon,swe,4639,4603,0.9922397068333693,0.007760293166630738,157,"[""IT Services and IT Consulting (1100)"", ""Software Development (760)"", ""Financial Services (452)"", ""Staffing and Recruiting (241)"", ""Information Services (134)""]"
company_industry,VARCHAR,kaggle_asaniczka,all,1012193,0,0.0,1.0,0,[]
company_industry,VARCHAR,kaggle_asaniczka,swe,22043,0,0.0,1.0,0,[]
company_industry,VARCHAR,scraped,all,26544,26540,0.9998493068113321,0.00015069318866789416,1425,"[""Software Development (2776)"", ""Hospitals and Health Care (2179)"", ""IT Services and IT Consulting (1625)"", ""Financial Services (1225)"", ""Staffing and Recruiting (1025)""]"
company_industry,VARCHAR,scraped,swe,4318,4317,0.9997684113015285,0.00023158869847150765,397,"[""Software Development (1109)"", ""IT Services and IT Consulting (480)"", ""Financial Services (319)"", ""Technology, Information and Internet (259)"", ""Defense and Space Manufacturing (143)""]"
company_size,DOUBLE,kaggle_arshkon,all,117644,115962,0.985702628268335,0.01429737173166501,5086,"[""73.0 (1101)"", ""1.0 (773)"", ""76.0 (741)"", ""4.0 (678)"", ""2.0 (593)""]"
company_size,DOUBLE,kaggle_arshkon,swe,4639,4598,0.9911618883380039,0.008838111661996106,1173,"[""555.0 (163)"", ""55249.0 (115)"", ""691.0 (61)"", ""13118.0 (52)"", ""1.0 (40)""]"
company_size,DOUBLE,kaggle_asaniczka,all,1012193,0,0.0,1.0,0,[]
company_size,DOUBLE,kaggle_asaniczka,swe,22043,0,0.0,1.0,0,[]
company_size,DOUBLE,scraped,all,26544,0,0.0,1.0,0,[]
company_size,DOUBLE,scraped,swe,4318,0,0.0,1.0,0,[]
company_size_raw,VARCHAR,kaggle_arshkon,all,117644,115962,0.985702628268335,0.01429737173166501,5086,"[""73.0 (1101)"", ""1.0 (773)"", ""76.0 (741)"", ""4.0 (678)"", ""2.0 (593)""]"
company_size_raw,VARCHAR,kaggle_arshkon,swe,4639,4598,0.9911618883380039,0.008838111661996106,1173,"[""555.0 (163)"", ""55249.0 (115)"", ""691.0 (61)"", ""13118.0 (52)"", ""1.0 (40)""]"
company_size_raw,VARCHAR,kaggle_asaniczka,all,1012193,0,0.0,1.0,0,[]
company_size_raw,VARCHAR,kaggle_asaniczka,swe,22043,0,0.0,1.0,0,[]
company_size_raw,VARCHAR,scraped,all,26544,0,0.0,1.0,0,[]
company_size_raw,VARCHAR,scraped,swe,4318,0,0.0,1.0,0,[]
company_size_category,VARCHAR,kaggle_arshkon,all,117644,111289,0.9459810955084832,0.054018904491516806,7,"[""7.0 (40880)"", ""5.0 (20806)"", ""2.0 (12693)"", ""6.0 (10756)"", ""3.0 (8878)""]"
company_size_category,VARCHAR,kaggle_arshkon,swe,4639,4395,0.9474024574261695,0.052597542573830536,7,"[""7.0 (1222)"", ""5.0 (760)"", ""2.0 (670)"", ""1.0 (463)"", ""3.0 (450)""]"
company_size_category,VARCHAR,kaggle_asaniczka,all,1012193,0,0.0,1.0,0,[]
company_size_category,VARCHAR,kaggle_asaniczka,swe,22043,0,0.0,1.0,0,[]
company_size_category,VARCHAR,scraped,all,26544,0,0.0,1.0,0,[]
company_size_category,VARCHAR,scraped,swe,4318,0,0.0,1.0,0,[]
search_query,VARCHAR,kaggle_arshkon,all,117644,0,0.0,1.0,0,[]
search_query,VARCHAR,kaggle_arshkon,swe,4639,0,0.0,1.0,0,[]
search_query,VARCHAR,kaggle_asaniczka,all,1012193,1012193,1.0,0.0,1880,"[""Account Executive (15257)"", ""Christian Science Nurse (11944)"", ""Consultant Education (9683)"", ""Change Person (9676)"", ""Circulation-Sales Representative (8627)""]"
search_query,VARCHAR,kaggle_asaniczka,swe,22043,22043,1.0,0.0,416,"[""Agricultural-Research Engineer (4211)"", ""Computer Programmer (2056)"", ""Computer Operator (1889)"", ""Chief Computer Programmer (1024)"", ""Developer (1009)""]"
search_query,VARCHAR,scraped,all,26544,26539,0.9998116335141651,0.0001883664858348677,28,"[""registered nurse (2759)"", ""human resources (2626)"", ""product manager (1894)"", ""sales representative (1752)"", ""marketing manager (1626)""]"
search_query,VARCHAR,scraped,swe,4318,4313,0.9988420565076425,0.0011579434923575382,25,"[""full stack engineer (513)"", ""data engineer (499)"", ""software engineer (438)"", ""frontend engineer (392)"", ""AI engineer (331)""]"
query_tier,VARCHAR,kaggle_arshkon,all,117644,0,0.0,1.0,0,[]
