column,source,subset,n_rows,non_null_n,non_null_rate
title_normalized,scraped,all,26544,26544,1.0
title_normalized,scraped,swe,4318,4318,1.0
company_name,kaggle_arshkon,all,117644,115961,0.9856941280473293
company_name,kaggle_arshkon,swe,4639,4598,0.9911618883380039
company_name,kaggle_asaniczka,all,1012193,1012187,0.9999940722767299
company_name,kaggle_asaniczka,swe,22043,22043,1.0
company_name,scraped,all,26544,26544,1.0
company_name,scraped,swe,4318,4318,1.0
company_name_normalized,kaggle_arshkon,all,117644,115961,0.9856941280473293
company_name_normalized,kaggle_arshkon,swe,4639,4598,0.9911618883380039
company_name_normalized,kaggle_asaniczka,all,1012193,1012187,0.9999940722767299
company_name_normalized,kaggle_asaniczka,swe,22043,22043,1.0
company_name_normalized,scraped,all,26544,26544,1.0
company_name_normalized,scraped,swe,4318,4318,1.0
location,kaggle_arshkon,all,117644,117644,1.0
location,kaggle_arshkon,swe,4639,4639,1.0
location,kaggle_asaniczka,all,1012193,1012181,0.9999881445534596
location,kaggle_asaniczka,swe,22043,22042,0.9999546341242118
location,scraped,all,26544,25610,0.9648131404460518
location,scraped,swe,4318,4128,0.9559981472904122
date_posted,kaggle_arshkon,all,117644,117644,1.0
date_posted,kaggle_arshkon,swe,4639,4639,1.0
date_posted,kaggle_asaniczka,all,1012193,1012193,1.0
date_posted,kaggle_asaniczka,swe,22043,22043,1.0
date_posted,scraped,all,26544,119,0.004483122362869198
date_posted,scraped,swe,4318,4,0.0009263547938860583
scrape_date,kaggle_arshkon,all,117644,0,0.0
scrape_date,kaggle_arshkon,swe,4639,0,0.0
scrape_date,kaggle_asaniczka,all,1012193,0,0.0
scrape_date,kaggle_asaniczka,swe,22043,0,0.0
scrape_date,scraped,all,26544,26544,1.0
scrape_date,scraped,swe,4318,4318,1.0
description,kaggle_arshkon,all,117644,117644,1.0
description,kaggle_arshkon,swe,4639,4639,1.0
description,kaggle_asaniczka,all,1012193,1012193,1.0
description,kaggle_asaniczka,swe,22043,22043,1.0
description,scraped,all,26544,26544,1.0
description,scraped,swe,4318,4318,1.0
description_raw,kaggle_arshkon,all,117644,117644,1.0
description_raw,kaggle_arshkon,swe,4639,4639,1.0
description_raw,kaggle_asaniczka,all,1012193,1012193,1.0
description_raw,kaggle_asaniczka,swe,22043,22043,1.0
description_raw,scraped,all,26544,26544,1.0
description_raw,scraped,swe,4318,4318,1.0
description_length,kaggle_arshkon,all,117644,117644,1.0
description_length,kaggle_arshkon,swe,4639,4639,1.0
description_length,kaggle_asaniczka,all,1012193,1012193,1.0
description_length,kaggle_asaniczka,swe,22043,22043,1.0
description_length,scraped,all,26544,26544,1.0
description_length,scraped,swe,4318,4318,1.0
seniority_raw,kaggle_arshkon,all,117644,89473,0.7605402740471252
seniority_raw,kaggle_arshkon,swe,4639,3197,0.6891571459366242
seniority_raw,kaggle_asaniczka,all,1012193,1012193,1.0
seniority_raw,kaggle_asaniczka,swe,22043,22043,1.0
seniority_raw,scraped,all,26544,26544,1.0
seniority_raw,scraped,swe,4318,4318,1.0
seniority_native,kaggle_arshkon,all,117644,89473,0.7605402740471252
seniority_native,kaggle_arshkon,swe,4639,3197,0.6891571459366242
seniority_native,kaggle_asaniczka,all,1012193,1012193,1.0
seniority_native,kaggle_asaniczka,swe,22043,22043,1.0
seniority_native,scraped,all,26544,22677,0.8543173598553345
seniority_native,scraped,swe,4318,3611,0.8362667901806392
company_industry,kaggle_arshkon,all,117644,116143,0.987241168270375
company_industry,kaggle_arshkon,swe,4639,4603,0.9922397068333693
company_industry,kaggle_asaniczka,all,1012193,0,0.0
company_industry,kaggle_asaniczka,swe,22043,0,0.0
company_industry,scraped,all,26544,26540,0.9998493068113321
company_industry,scraped,swe,4318,4317,0.9997684113015285
company_size,kaggle_arshkon,all,117644,115962,0.985702628268335
company_size,kaggle_arshkon,swe,4639,4598,0.9911618883380039
company_size,kaggle_asaniczka,all,1012193,0,0.0
company_size,kaggle_asaniczka,swe,22043,0,0.0
company_size,scraped,all,26544,0,0.0
company_size,scraped,swe,4318,0,0.0
company_size_raw,kaggle_arshkon,all,117644,115962,0.985702628268335
company_size_raw,kaggle_arshkon,swe,4639,4598,0.9911618883380039
company_size_raw,kaggle_asaniczka,all,1012193,0,0.0
company_size_raw,kaggle_asaniczka,swe,22043,0,0.0
company_size_raw,scraped,all,26544,0,0.0
company_size_raw,scraped,swe,4318,0,0.0
company_size_category,kaggle_arshkon,all,117644,111289,0.9459810955084832
company_size_category,kaggle_arshkon,swe,4639,4395,0.9474024574261695
company_size_category,kaggle_asaniczka,all,1012193,0,0.0
company_size_category,kaggle_asaniczka,swe,22043,0,0.0
company_size_category,scraped,all,26544,0,0.0
company_size_category,scraped,swe,4318,0,0.0
search_query,kaggle_arshkon,all,117644,0,0.0
search_query,kaggle_arshkon,swe,4639,0,0.0
search_query,kaggle_asaniczka,all,1012193,1012193,1.0
search_query,kaggle_asaniczka,swe,22043,22043,1.0
search_query,scraped,all,26544,26539,0.9998116335141651
search_query,scraped,swe,4318,4313,0.9988420565076425
query_tier,kaggle_arshkon,all,117644,0,0.0
query_tier,kaggle_arshkon,swe,4639,0,0.0
query_tier,kaggle_asaniczka,all,1012193,0,0.0
query_tier,kaggle_asaniczka,swe,22043,0,0.0
query_tier,scraped,all,26544,26539,0.9998116335141651
query_tier,scraped,swe,4318,4313,0.9988420565076425
search_metro_id,kaggle_arshkon,all,117644,0,0.0
search_metro_id,kaggle_arshkon,swe,4639,0,0.0
search_metro_id,kaggle_asaniczka,all,1012193,0,0.0
search_metro_id,kaggle_asaniczka,swe,22043,0,0.0
search_metro_id,scraped,all,26544,26539,0.9998116335141651
search_metro_id,scraped,swe,4318,4313,0.9988420565076425
search_metro_name,kaggle_arshkon,all,117644,0,0.0
search_metro_name,kaggle_arshkon,swe,4639,0,0.0
search_metro_name,kaggle_asaniczka,all,1012193,1012193,1.0
search_metro_name,kaggle_asaniczka,swe,22043,22043,1.0
search_metro_name,scraped,all,26544,26539,0.9998116335141651
search_metro_name,scraped,swe,4318,4313,0.9988420565076425
search_metro_region,kaggle_arshkon,all,117644,0,0.0
search_metro_region,kaggle_arshkon,swe,4639,0,0.0
search_metro_region,kaggle_asaniczka,all,1012193,0,0.0
search_metro_region,kaggle_asaniczka,swe,22043,0,0.0
search_metro_region,scraped,all,26544,26539,0.9998116335141651
search_metro_region,scraped,swe,4318,4313,0.9988420565076425
search_location,kaggle_arshkon,all,117644,0,0.0
search_location,kaggle_arshkon,swe,4639,0,0.0
search_location,kaggle_asaniczka,all,1012193,0,0.0
search_location,kaggle_asaniczka,swe,22043,0,0.0
search_location,scraped,all,26544,26539,0.9998116335141651
search_location,scraped,swe,4318,4313,0.9988420565076425
work_type,kaggle_arshkon,all,117644,117644,1.0
work_type,kaggle_arshkon,swe,4639,4639,1.0
work_type,kaggle_asaniczka,all,1012193,0,0.0
work_type,kaggle_asaniczka,swe,22043,0,0.0
work_type,scraped,all,26544,26544,1.0
work_type,scraped,swe,4318,4318,1.0
is_remote,kaggle_arshkon,all,117644,117644,1.0
is_remote,kaggle_arshkon,swe,4639,4639,1.0
is_remote,kaggle_asaniczka,all,1012193,1012193,1.0
is_remote,kaggle_asaniczka,swe,22043,22043,1.0
is_remote,scraped,all,26544,26544,1.0
is_remote,scraped,swe,4318,4318,1.0
job_url,kaggle_arshkon,all,117644,117644,1.0
job_url,kaggle_arshkon,swe,4639,4639,1.0
job_url,kaggle_asaniczka,all,1012193,1012193,1.0
job_url,kaggle_asaniczka,swe,22043,22043,1.0
job_url,scraped,all,26544,26544,1.0
job_url,scraped,swe,4318,4318,1.0
skills_raw,kaggle_arshkon,all,117644,2157,0.018334976709394445
skills_raw,kaggle_arshkon,swe,4639,60,0.012933821944384565
skills_raw,kaggle_asaniczka,all,1012193,1009800,0.9976358263690818
skills_raw,kaggle_asaniczka,swe,22043,22022,0.9990473166084471
skills_raw,scraped,all,26544,0,0.0
skills_raw,scraped,swe,4318,0,0.0
asaniczka_skills,kaggle_arshkon,all,117644,0,0.0
asaniczka_skills,kaggle_arshkon,swe,4639,0,0.0
asaniczka_skills,kaggle_asaniczka,all,1012193,1009800,0.9976358263690818
asaniczka_skills,kaggle_asaniczka,swe,22043,22022,0.9990473166084471
asaniczka_skills,scraped,all,26544,0,0.0
asaniczka_skills,scraped,swe,4318,0,0.0
company_id_kaggle,kaggle_arshkon,all,117644,115963,0.9857111284893407
company_id_kaggle,kaggle_arshkon,swe,4639,4598,0.9911618883380039
company_id_kaggle,kaggle_asaniczka,all,1012193,0,0.0
company_id_kaggle,kaggle_asaniczka,swe,22043,0,0.0
company_id_kaggle,scraped,all,26544,0,0.0
company_id_kaggle,scraped,swe,4318,0,0.0
posting_age_days,kaggle_arshkon,all,117644,0,0.0
posting_age_days,kaggle_arshkon,swe,4639,0,0.0
posting_age_days,kaggle_asaniczka,all,1012193,0,0.0
posting_age_days,kaggle_asaniczka,swe,22043,0,0.0
posting_age_days,scraped,all,26544,119,0.004483122362869198
posting_age_days,scraped,swe,4318,4,0.0009263547938860583
is_aggregator,kaggle_arshkon,all,117644,117644,1.0
is_aggregator,kaggle_arshkon,swe,4639,4639,1.0
is_aggregator,kaggle_asaniczka,all,1012193,1012193,1.0
is_aggregator,kaggle_asaniczka,swe,22043,22043,1.0
is_aggregator,scraped,all,26544,26544,1.0
is_aggregator,scraped,swe,4318,4318,1.0
real_employer,kaggle_arshkon,all,117644,321,0.002728570942844514
real_employer,kaggle_arshkon,swe,4639,43,0.009269239060142272
real_employer,kaggle_asaniczka,all,1012193,21362,0.02110467074955073
real_employer,kaggle_asaniczka,swe,22043,2244,0.10180102526879281
real_employer,scraped,all,26544,1162,0.04377637130801688
real_employer,scraped,swe,4318,275,0.06368689207966652
company_name_effective,kaggle_arshkon,all,117644,115961,0.9856941280473293
company_name_effective,kaggle_arshkon,swe,4639,4598,0.9911618883380039
company_name_effective,kaggle_asaniczka,all,1012193,1012187,0.9999940722767299
company_name_effective,kaggle_asaniczka,swe,22043,22043,1.0
company_name_effective,scraped,all,26544,26544,1.0
company_name_effective,scraped,swe,4318,4318,1.0
description_core,kaggle_arshkon,all,117644,117644,1.0
description_core,kaggle_arshkon,swe,4639,4639,1.0
description_core,kaggle_asaniczka,all,1012193,1012193,1.0
description_core,kaggle_asaniczka,swe,22043,22043,1.0
description_core,scraped,all,26544,26544,1.0
description_core,scraped,swe,4318,4318,1.0
core_length,kaggle_arshkon,all,117644,117644,1.0
core_length,kaggle_arshkon,swe,4639,4639,1.0
core_length,kaggle_asaniczka,all,1012193,1012193,1.0
core_length,kaggle_asaniczka,swe,22043,22043,1.0
core_length,scraped,all,26544,26544,1.0
core_length,scraped,swe,4318,4318,1.0
boilerplate_flag,kaggle_arshkon,all,117644,117644,1.0
boilerplate_flag,kaggle_arshkon,swe,4639,4639,1.0
boilerplate_flag,kaggle_asaniczka,all,1012193,1012193,1.0
boilerplate_flag,kaggle_asaniczka,swe,22043,22043,1.0
boilerplate_flag,scraped,all,26544,26544,1.0
boilerplate_flag,scraped,swe,4318,4318,1.0
company_name_canonical,kaggle_arshkon,all,117644,115961,0.9856941280473293
company_name_canonical,kaggle_arshkon,swe,4639,4598,0.9911618883380039
company_name_canonical,kaggle_asaniczka,all,1012193,1012187,0.9999940722767299
company_name_canonical,kaggle_asaniczka,swe,22043,22043,1.0
company_name_canonical,scraped,all,26544,26544,1.0
company_name_canonical,scraped,swe,4318,4318,1.0
company_name_canonical_method,kaggle_arshkon,all,117644,117644,1.0
company_name_canonical_method,kaggle_arshkon,swe,4639,4639,1.0
company_name_canonical_method,kaggle_asaniczka,all,1012193,1012193,1.0
company_name_canonical_method,kaggle_asaniczka,swe,22043,22043,1.0
company_name_canonical_method,scraped,all,26544,26544,1.0
company_name_canonical_method,scraped,swe,4318,4318,1.0
is_multi_location,kaggle_arshkon,all,117644,117644,1.0
is_multi_location,kaggle_arshkon,swe,4639,4639,1.0
is_multi_location,kaggle_asaniczka,all,1012193,1012193,1.0
is_multi_location,kaggle_asaniczka,swe,22043,22043,1.0
is_multi_location,scraped,all,26544,26544,1.0
is_multi_location,scraped,swe,4318,4318,1.0
is_swe,kaggle_arshkon,all,117644,117644,1.0
is_swe,kaggle_arshkon,swe,4639,4639,1.0
is_swe,kaggle_asaniczka,all,1012193,1012193,1.0
is_swe,kaggle_asaniczka,swe,22043,22043,1.0
is_swe,scraped,all,26544,26544,1.0
is_swe,scraped,swe,4318,4318,1.0
is_swe_adjacent,kaggle_arshkon,all,117644,117644,1.0
is_swe_adjacent,kaggle_arshkon,swe,4639,4639,1.0
is_swe_adjacent,kaggle_asaniczka,all,1012193,1012193,1.0
is_swe_adjacent,kaggle_asaniczka,swe,22043,22043,1.0
is_swe_adjacent,scraped,all,26544,26544,1.0
is_swe_adjacent,scraped,swe,4318,4318,1.0
swe_confidence,kaggle_arshkon,all,117644,117644,1.0
swe_confidence,kaggle_arshkon,swe,4639,4639,1.0
swe_confidence,kaggle_asaniczka,all,1012193,1012193,1.0
swe_confidence,kaggle_asaniczka,swe,22043,22043,1.0
swe_confidence,scraped,all,26544,26544,1.0
swe_confidence,scraped,swe,4318,4318,1.0
swe_classification_tier,kaggle_arshkon,all,117644,117644,1.0
swe_classification_tier,kaggle_arshkon,swe,4639,4639,1.0
swe_classification_tier,kaggle_asaniczka,all,1012193,1012193,1.0
swe_classification_tier,kaggle_asaniczka,swe,22043,22043,1.0
swe_classification_tier,scraped,all,26544,26544,1.0
swe_classification_tier,scraped,swe,4318,4318,1.0
is_control,kaggle_arshkon,all,117644,117644,1.0
is_control,kaggle_arshkon,swe,4639,4639,1.0
is_control,kaggle_asaniczka,all,1012193,1012193,1.0
is_control,kaggle_asaniczka,swe,22043,22043,1.0
is_control,scraped,all,26544,26544,1.0
is_control,scraped,swe,4318,4318,1.0
seniority_imputed,kaggle_arshkon,all,117644,117644,1.0
seniority_imputed,kaggle_arshkon,swe,4639,4639,1.0
seniority_imputed,kaggle_asaniczka,all,1012193,1012193,1.0
seniority_imputed,kaggle_asaniczka,swe,22043,22043,1.0
seniority_imputed,scraped,all,26544,26544,1.0
seniority_imputed,scraped,swe,4318,4318,1.0
seniority_source,kaggle_arshkon,all,117644,117644,1.0
seniority_source,kaggle_arshkon,swe,4639,4639,1.0
seniority_source,kaggle_asaniczka,all,1012193,1012193,1.0
seniority_source,kaggle_asaniczka,swe,22043,22043,1.0
seniority_source,scraped,all,26544,26544,1.0
seniority_source,scraped,swe,4318,4318,1.0
seniority_confidence,kaggle_arshkon,all,117644,117644,1.0
seniority_confidence,kaggle_arshkon,swe,4639,4639,1.0
seniority_confidence,kaggle_asaniczka,all,1012193,1012193,1.0
seniority_confidence,kaggle_asaniczka,swe,22043,22043,1.0
seniority_confidence,scraped,all,26544,26544,1.0
seniority_confidence,scraped,swe,4318,4318,1.0
seniority_final,kaggle_arshkon,all,117644,117644,1.0
seniority_final,kaggle_arshkon,swe,4639,4639,1.0
seniority_final,kaggle_asaniczka,all,1012193,1012193,1.0
seniority_final,kaggle_asaniczka,swe,22043,22043,1.0
seniority_final,scraped,all,26544,26544,1.0
seniority_final,scraped,swe,4318,4318,1.0
seniority_final_source,kaggle_arshkon,all,117644,117644,1.0
seniority_final_source,kaggle_arshkon,swe,4639,4639,1.0
seniority_final_source,kaggle_asaniczka,all,1012193,1012193,1.0
seniority_final_source,kaggle_asaniczka,swe,22043,22043,1.0
seniority_final_source,scraped,all,26544,26544,1.0
seniority_final_source,scraped,swe,4318,4318,1.0
seniority_final_confidence,kaggle_arshkon,all,117644,117644,1.0
seniority_final_confidence,kaggle_arshkon,swe,4639,4639,1.0
seniority_final_confidence,kaggle_asaniczka,all,1012193,1012193,1.0
seniority_final_confidence,kaggle_asaniczka,swe,22043,22043,1.0
seniority_final_confidence,scraped,all,26544,26544,1.0
seniority_final_confidence,scraped,swe,4318,4318,1.0
yoe_extracted,kaggle_arshkon,all,117644,23977,0.20380979905477542
yoe_extracted,kaggle_arshkon,swe,4639,1823,0.3929726234102177
yoe_extracted,kaggle_asaniczka,all,1012193,133806,0.13219415664799106
yoe_extracted,kaggle_asaniczka,swe,22043,7541,0.3421040693190582
yoe_extracted,scraped,all,26544,3991,0.1503541289933695
yoe_extracted,scraped,swe,4318,694,0.16072255673923114
yoe_seniority_contradiction,kaggle_arshkon,all,117644,117644,1.0
yoe_seniority_contradiction,kaggle_arshkon,swe,4639,4639,1.0
yoe_seniority_contradiction,kaggle_asaniczka,all,1012193,1012193,1.0
yoe_seniority_contradiction,kaggle_asaniczka,swe,22043,22043,1.0
yoe_seniority_contradiction,scraped,all,26544,26544,1.0
yoe_seniority_contradiction,scraped,swe,4318,4318,1.0
seniority_cross_check,kaggle_arshkon,all,117644,117644,1.0
seniority_cross_check,kaggle_arshkon,swe,4639,4639,1.0
seniority_cross_check,kaggle_asaniczka,all,1012193,1012193,1.0
seniority_cross_check,kaggle_asaniczka,swe,22043,22043,1.0
seniority_cross_check,scraped,all,26544,26544,1.0
seniority_cross_check,scraped,swe,4318,4318,1.0
seniority_3level,kaggle_arshkon,all,117644,117644,1.0
seniority_3level,kaggle_arshkon,swe,4639,4639,1.0
seniority_3level,kaggle_asaniczka,all,1012193,1012193,1.0
seniority_3level,kaggle_asaniczka,swe,22043,22043,1.0
seniority_3level,scraped,all,26544,26544,1.0
seniority_3level,scraped,swe,4318,4318,1.0
city_extracted,kaggle_arshkon,all,117644,106232,0.902995477882425
city_extracted,kaggle_arshkon,swe,4639,3670,0.7911187755981892
city_extracted,kaggle_asaniczka,all,1012193,993750,0.9817791666213854
city_extracted,kaggle_asaniczka,swe,22043,21353,0.9686975457061199
city_extracted,scraped,all,26544,25547,0.9624397227245328
city_extracted,scraped,swe,4318,4119,0.9539138490041686
state_normalized,kaggle_arshkon,all,117644,104178,0.8855360239366223
state_normalized,kaggle_arshkon,swe,4639,3544,0.7639577495149816
state_normalized,kaggle_asaniczka,all,1012193,993049,0.9810866109526543
state_normalized,kaggle_asaniczka,swe,22043,21450,0.9730980356575784
state_normalized,scraped,all,26544,25515,0.9612341772151899
state_normalized,scraped,swe,4318,4100,0.9495136637332098
country_extracted,kaggle_arshkon,all,117644,112698,0.9579579069055796
country_extracted,kaggle_arshkon,swe,4639,4336,0.934684199180858
country_extracted,kaggle_asaniczka,all,1012193,998875,0.9868424302479863
country_extracted,kaggle_asaniczka,swe,22043,21669,0.9830331624552012
country_extracted,scraped,all,26544,25610,0.9648131404460518
country_extracted,scraped,swe,4318,4128,0.9559981472904122
is_remote_inferred,kaggle_arshkon,all,117644,117644,1.0
is_remote_inferred,kaggle_arshkon,swe,4639,4639,1.0
is_remote_inferred,kaggle_asaniczka,all,1012193,1012193,1.0
is_remote_inferred,kaggle_asaniczka,swe,22043,22043,1.0
is_remote_inferred,scraped,all,26544,26544,1.0
is_remote_inferred,scraped,swe,4318,4318,1.0
metro_area,kaggle_arshkon,all,117644,70116,0.596001496038897
metro_area,kaggle_arshkon,swe,4639,3062,0.660056046561759
metro_area,kaggle_asaniczka,all,1012193,596906,0.5897155977170362
metro_area,kaggle_asaniczka,swe,22043,16585,0.7523930499478293
metro_area,scraped,all,26544,21907,0.8253089210367691
metro_area,scraped,swe,4318,3230,0.7480314960629921
metro_source,kaggle_arshkon,all,117644,117644,1.0
metro_source,kaggle_arshkon,swe,4639,4639,1.0
metro_source,kaggle_asaniczka,all,1012193,1012193,1.0
metro_source,kaggle_asaniczka,swe,22043,22043,1.0
metro_source,scraped,all,26544,26544,1.0
metro_source,scraped,swe,4318,4318,1.0
metro_confidence,kaggle_arshkon,all,117644,117644,1.0
metro_confidence,kaggle_arshkon,swe,4639,4639,1.0
metro_confidence,kaggle_asaniczka,all,1012193,1012193,1.0
metro_confidence,kaggle_asaniczka,swe,22043,22043,1.0
metro_confidence,scraped,all,26544,26544,1.0
metro_confidence,scraped,swe,4318,4318,1.0
period,kaggle_arshkon,all,117644,117644,1.0
period,kaggle_arshkon,swe,4639,4639,1.0
period,kaggle_asaniczka,all,1012193,1012193,1.0
period,kaggle_asaniczka,swe,22043,22043,1.0
period,scraped,all,26544,26544,1.0
period,scraped,swe,4318,4318,1.0
scrape_week,kaggle_arshkon,all,117644,0,0.0
scrape_week,kaggle_arshkon,swe,4639,0,0.0
scrape_week,kaggle_asaniczka,all,1012193,0,0.0
scrape_week,kaggle_asaniczka,swe,22043,0,0.0
scrape_week,scraped,all,26544,26544,1.0
scrape_week,scraped,swe,4318,4318,1.0
date_flag,kaggle_arshkon,all,117644,117644,1.0
date_flag,kaggle_arshkon,swe,4639,4639,1.0
date_flag,kaggle_asaniczka,all,1012193,1012193,1.0
date_flag,kaggle_asaniczka,swe,22043,22043,1.0
date_flag,scraped,all,26544,26544,1.0
date_flag,scraped,swe,4318,4318,1.0
is_english,kaggle_arshkon,all,117644,117644,1.0
is_english,kaggle_arshkon,swe,4639,4639,1.0
is_english,kaggle_asaniczka,all,1012193,1012193,1.0
is_english,kaggle_asaniczka,swe,22043,22043,1.0
is_english,scraped,all,26544,26544,1.0
is_english,scraped,swe,4318,4318,1.0
description_hash,kaggle_arshkon,all,117644,117644,1.0
description_hash,kaggle_arshkon,swe,4639,4639,1.0
description_hash,kaggle_asaniczka,all,1012193,1012193,1.0
description_hash,kaggle_asaniczka,swe,22043,22043,1.0
description_hash,scraped,all,26544,26544,1.0
description_hash,scraped,swe,4318,4318,1.0
ghost_job_risk,kaggle_arshkon,all,117644,117644,1.0
ghost_job_risk,kaggle_arshkon,swe,4639,4639,1.0
ghost_job_risk,kaggle_asaniczka,all,1012193,1012193,1.0
ghost_job_risk,kaggle_asaniczka,swe,22043,22043,1.0
ghost_job_risk,scraped,all,26544,26544,1.0
ghost_job_risk,scraped,swe,4318,4318,1.0
description_quality_flag,kaggle_arshkon,all,117644,117644,1.0
description_quality_flag,kaggle_arshkon,swe,4639,4639,1.0
description_quality_flag,kaggle_asaniczka,all,1012193,1012193,1.0
description_quality_flag,kaggle_asaniczka,swe,22043,22043,1.0
description_quality_flag,scraped,all,26544,26544,1.0
description_quality_flag,scraped,swe,4318,4318,1.0
preprocessing_version,kaggle_arshkon,all,117644,117644,1.0
preprocessing_version,kaggle_arshkon,swe,4639,4639,1.0
preprocessing_version,kaggle_asaniczka,all,1012193,1012193,1.0
preprocessing_version,kaggle_asaniczka,swe,22043,22043,1.0
preprocessing_version,scraped,all,26544,26544,1.0
preprocessing_version,scraped,swe,4318,4318,1.0
dedup_method,kaggle_arshkon,all,117644,117644,1.0
dedup_method,kaggle_arshkon,swe,4639,4639,1.0
dedup_method,kaggle_asaniczka,all,1012193,1012193,1.0
dedup_method,kaggle_asaniczka,swe,22043,22043,1.0
dedup_method,scraped,all,26544,26544,1.0
dedup_method,scraped,swe,4318,4318,1.0
boilerplate_removed,kaggle_arshkon,all,117644,117644,1.0
boilerplate_removed,kaggle_arshkon,swe,4639,4639,1.0
boilerplate_removed,kaggle_asaniczka,all,1012193,1012193,1.0
boilerplate_removed,kaggle_asaniczka,swe,22043,22043,1.0
boilerplate_removed,scraped,all,26544,26544,1.0
boilerplate_removed,scraped,swe,4318,4318,1.0
