source,period,seniority_final,text_len_mean,text_len_median,text_len_count,core_share_mean,core_share_median,core_share_count,detected_share_mean,detected_share_median,detected_share_count,imperative_density_per_1k_mean,imperative_density_per_1k_median,imperative_density_per_1k_count,inclusive_density_per_1k_mean,inclusive_density_per_1k_median,inclusive_density_per_1k_count,passive_density_per_1k_mean,passive_density_per_1k_median,passive_density_per_1k_count,marketing_density_per_1k_mean,marketing_density_per_1k_median,marketing_density_per_1k_count
scraped,2026-03,associate,2548.6,2571.0,15,0.4060522970551056,0.3561837455830389,15,0.983173077108615,0.9888123924268503,15,0.42466747621119066,0.36075036075036077,15,0.46018253004170995,0.2963841138114997,15,0.23486313177748713,0.0,15,0.16955442689828842,0.0,15
scraped,2026-03,director,3352.6666666666665,3185.0,33,0.42313966998137026,0.47092704333516183,33,0.9879031193271525,0.9895773016792125,33,0.6313387953053738,0.4878048780487805,33,0.1969019168828728,0.0,33,0.32270818240549415,0.2895193977996526,33,0.17022851492618324,0.0,33
scraped,2026-03,entry,2252.669902912621,2155.5,206,0.43909636993891893,0.4504750438798849,206,0.9661999058361993,0.9828242163691063,206,0.7646389600773493,0.625944891776469,206,0.47413403253321856,0.0,206,0.4213506436417244,0.0,206,0.3341965987266702,0.0,206
scraped,2026-03,mid-senior,2855.542382928275,2697.0,1687,0.37131449895462415,0.28840532640467686,1687,0.9820074617063049,0.9878113407525172,1687,0.6530859889438652,0.47136460051850104,1687,0.38433376899224175,0.14023278642546627,1687,0.235257690872356,0.0,1687,0.1927837715870871,0.0,1687
scraped,2026-03,unknown,2411.665256797583,2268.0,1655,0.36613981276303187,0.27175080558539205,1655,0.9819102542717615,0.9849749582637729,1655,0.6551026023471531,0.41999160016799664,1655,0.34961662491005574,0.0,1655,0.26092746682984647,0.0,1655,0.18210381664693245,0.0,1655
scraped,2026-04,associate,2861.3846153846152,2852.0,13,0.48342303465431546,0.5285617520885075,13,0.9837769198253421,0.9880201765447667,13,0.647907746771001,0.6305170239596469,13,0.20058750140712986,0.0,13,0.4078159801550581,0.0,13,0.21117798329360876,0.0,13
scraped,2026-04,director,4210.5625,3500.0,16,0.2824391352328343,0.0,16,0.9915373660893061,0.99395006667143,16,0.4547384406192323,0.2787184525551514,16,0.11332468348548308,0.0,16,0.2657498343609731,0.14184397163120568,16,0.10367897448661664,0.0,16
scraped,2026-04,entry,2307.9508196721313,2214.0,61,0.4312349953756198,0.4363438520130577,61,0.982858107217962,0.9844455594581034,61,0.6512429519966422,0.4601932811780948,61,0.38217626925090115,0.19577133907595928,61,0.29172939045938084,0.0,61,0.37951990511738654,0.0,61
scraped,2026-04,mid-senior,2885.534375,2699.0,960,0.3664091627870685,0.2911576611089288,960,0.9839139901013679,0.9875507397144698,960,0.648367843254184,0.4757945264896495,960,0.3800834765014869,0.19006221860026934,960,0.22638827953893992,0.0,960,0.20574654671143264,0.0,960
scraped,2026-04,unknown,2462.0805687203792,2315.5,844,0.3772448385234848,0.31608487277415054,844,0.9778302817577259,0.9859116549052651,844,0.6511182556460854,0.4070222520407022,844,0.37059112643910913,0.0,844,0.23462173642966114,0.0,844,0.18559876501795108,0.0,844
