company_name_canonical,period_year,n,mean_score,mean_sig,mean_em_dash,mean_sent_len,mean_ttr
Piper Companies,2026,110,0.18213667683725826,0.5961841852559789,0.025797539811457836,35.50401911944244,0.6640580889334832
CVS Health,2026,60,0.18059916806200835,0.6488208520203285,0.24195099248442042,28.66179495726182,0.7113814705215906
S&P Global,2026,30,0.17943328990811452,0.4349300550671606,0.3650634591061915,23.986667197189217,0.7065962596733314
Actalent,2026,276,0.17881977135585392,0.19476028309502075,0.22689900306007968,18.61542332399352,0.6512252435663933
BNY,2026,57,0.1760639647397605,0.8320595423345547,0.03671322000902215,25.02591009638245,0.6980839792249183
Korn Ferry,2026,20,0.17369798924967436,0.9693653838914413,0.0,34.50738008957837,0.7103316642909403
Ernst & Young,2026,23,0.16993800138055995,0.5284072564071243,0.01658209796703479,22.712328250142924,0.6591914483942789
Charles Schwab,2026,54,0.1699208089153642,0.2767574741308191,0.35142974906520863,30.758085174105826,0.6848756349739848
Synechron,2026,68,0.16924597724420853,0.7495663966547083,0.0017881666285191119,16.77367413672239,0.6898108215436515
"Visionist, Inc.",2026,22,0.16896809185612724,0.8823372490637019,0.3073089840462303,30.40398034453847,0.7657365530836455
Zoom,2026,30,0.16721929373112182,0.5415876265943046,0.26525340453808205,22.035346065112602,0.7104496043878167
TikTok USDS Joint Venture,2026,126,0.16503929037143425,0.42192376797464554,0.17711744147715497,23.713573497761484,0.6804538132967463
Envision Technology Solutions,2026,26,0.16299940661348303,0.19731538655141223,0.09319086005999869,65.21515222431087,0.7267835917996733
Visa,2026,73,0.16105986137489234,0.5079804836402584,0.1853967843334419,21.851185644244968,0.6951041621704885
BlackRock,2026,31,0.16027503366109105,0.5426565606210861,0.07777732164966834,27.049914607411186,0.6705365299842225
Acceler8 Talent,2026,40,0.15815236639526858,0.5285962733607784,0.20733211996721845,64.1438988095238,0.7315608319998814
Motorola Solutions,2026,48,0.15029570374411252,0.4251768637599668,0.024818924154651287,20.81522659224168,0.6582105311071069
CrowdStrike,2026,31,0.1501382464103544,0.746938874632877,0.14354974938721185,26.355983935483973,0.7000983215171911
Goldman Sachs,2026,49,0.14856019994953795,0.9488887771444241,0.011344170797835533,24.62931642145413,0.7197284047077213
Lockheed Martin,2026,191,0.14725826743086157,0.7014958900397633,0.06224599358480789,27.259147683341016,0.7007427670373287
Workday,2026,44,0.13926025219397153,0.3934157722239418,0.19599137986675635,23.253004782153496,0.6815642458100558
Optomi,2026,23,0.13772664395006498,0.74208113074328,0.07999841979812918,47.887681159420296,0.6976879449004673
Red Hat,2026,46,0.13527421074429863,0.47989772269267694,0.0,26.402961423917798,0.6539478353681226
Net2Source (N2S),2026,31,0.1342786245253365,0.3237194981791689,0.03188128568530273,64.00579485569152,0.7365500124457074
Honeywell,2026,51,0.1333459532996823,0.5852561268995641,0.039535306965324146,25.419092950971464,0.6769784024593226
PNC,2026,135,0.1310385428242423,0.956718210996448,0.0035118654227741844,24.756336368563453,0.7286563681505016
BioSpace,2026,37,0.12901971289904016,0.423630341765423,0.1282571502618752,30.363657569920626,0.6647830222922022
Stealth Startup,2026,44,0.12335034304907723,0.5957615852693752,0.2632341603143283,35.17857566350171,0.7028474152323528
Intellectt Inc,2026,24,0.12292840848792241,0.13760909549020148,0.0,70.69425338915471,0.6973057933054293
Programmers.io,2026,23,0.1187678712921085,0.11212128803243789,0.03537694130965437,73.78184410301115,0.7192536659669497
Zachary Piper Solutions,2026,50,0.11814417559935554,0.3865781687844341,0.01896310813508266,67.1173091947985,0.6722072959008193
General Motors,2026,191,0.11616067447248421,0.6279936703392162,0.06350007467145564,24.832125688601497,0.7007306223350523
Verkada,2026,38,0.11587942451238412,0.6578843268833094,0.3150754369651791,34.128927125462766,0.7534888518584166
Northrop Grumman,2026,115,0.1136100949214559,0.4677356438617673,0.17280240321156193,28.017371908051413,0.6904818653009895
Dexian,2026,41,0.10540174457046278,0.7347141933992736,0.06708594932758764,35.198585944911365,0.71807093862639
Intel,2026,34,0.10522434862198035,0.6031454469806259,0.06261345761577004,27.104080956261427,0.6905459503715693
Electric Power Engineers,2026,21,0.09582122052316472,0.6078198483650353,0.0,25.54309533696227,0.6879963696101766
PricewaterhouseCoopers,2026,24,0.09346382770701694,0.5939189766699804,0.03624122406178215,26.528885193669947,0.6815828227498306
Whatnot,2026,32,0.0932803182139208,0.23558732324934825,0.27239882651504127,25.978463197054253,0.6917471785225718
Box,2026,25,0.09219772474225107,0.39796136133013177,0.14722227325903084,20.567630953721174,0.6889081645246029
Akamai Technologies,2026,28,0.09019783241405897,0.5299403523685338,0.0,27.689049732322957,0.6679444501170154
Spotify,2026,27,0.0834208124093506,0.4159409138700619,0.1137380600091805,25.26621875370998,0.6677002434410447
Intuit,2026,99,0.08330621370863142,0.7858748482781758,0.08060965112556476,26.837225531119046,0.7209767317215562
Ford Motor Company,2026,52,0.08260822274107817,0.30445840532696444,0.07543958391065432,22.791023035637945,0.659210048344906
Marvell Technology,2026,23,0.08065562988718901,0.5357652359314559,0.1331298185957827,22.896111360876123,0.6986758815174071
Mastech Digital,2026,31,0.07979548491549714,0.21652506984188408,0.03831124051796797,57.815801098543034,0.7145675136848224
Harnham,2026,47,0.07928730137483667,0.42774109682672884,0.3027339416968399,43.41720512198996,0.7223939400603164
ICF,2026,25,0.07468223575207256,0.6653404784450749,0.053927948606346164,24.081004865660084,0.7015257845906053
Morgan Stanley,2026,31,0.07149665367514632,0.4696996266460613,0.003405623365300785,25.05561168399438,0.6842907636064083
BLUE ORIGIN,2026,91,0.07061351890202607,0.30644981648274383,0.02090112847880279,27.2959671761095,0.6431255908138193
TikTok,2026,161,0.0679067394612112,0.3854566901800861,0.019437798808957,21.32388088332071,0.6725853913375653
Walmart,2026,245,0.06504428338223553,0.5932180008664221,0.05528402596766149,21.090890778307156,0.7075930494723968
Enlighten,2026,21,0.06459245321563963,0.5164478023044508,0.11701345420983042,15.845282241411823,0.7091323087017835
Andiamo,2026,83,0.05740587263740559,0.3737074414466546,0.261851792239611,20.08987825598841,0.7185585604852738
