company_name_canonical,period_year,n,mean_sig
Chewy,2026,32,0.20746128112051834
Qualcomm,2026,174,0.20514369863820983
Anthropic,2026,78,0.19990148021107176
Envision Technology Solutions,2026,26,0.19731538655141223
Actalent,2026,276,0.19476028309502072
VDart,2026,25,0.1914591428985853
ECS,2026,28,0.18747506235958675
Leidos,2026,258,0.18746342293460042
Talent Groups,2026,31,0.18691890576786982
Sony Interactive Entertainment,2026,31,0.18489596582347675
Innoventrics,2026,28,0.18474309768110572
Noblis,2026,21,0.18207267081885678
Robinhood,2026,24,0.18162630432951174
TEKsystems,2026,120,0.17805998349021518
CHAOS Industries,2026,21,0.17747362188417698
Raas Infotek,2026,33,0.17635829779988435
Synchrony,2026,33,0.1735642984021026
STR,2026,23,0.17106351048718213
Cloudflare,2026,38,0.16898507786294797
General Atomics Aeronautical Systems,2026,33,0.1672953005374358
Torc Robotics,2026,33,0.1635223716303765
SS&C Technologies,2026,20,0.16065484144917758
US Tech Solutions,2026,28,0.15920698267400324
Ledgent Technology,2026,37,0.1567131104994035
Abbott,2026,33,0.15602865296414192
PTR Global,2026,83,0.15518867719839974
Raytheon,2026,126,0.1543039321696073
New York Technology Partners,2026,74,0.15231448179678952
"Shield Consulting Solutions, Inc.",2026,20,0.15106151826458536
Equifax,2026,30,0.14784037813498688
ASCII Group LLC,2026,28,0.14012914723445338
Aditi Consulting,2026,36,0.13913042171316609
CyberArk,2026,28,0.13817071597685757
Intellectt Inc,2026,24,0.13760909549020148
MetroStar,2026,45,0.1353131434384303
FastTek Global,2026,28,0.12908236427697223
"Akina, Inc",2026,70,0.12796542037253766
Ampcus Inc,2026,21,0.1249956061910843
L3Harris Technologies,2026,60,0.12087657722307533
Compunnel Inc.,2026,43,0.11833224267708553
Programmers.io,2026,23,0.11212128803243789
Ampstek,2026,40,0.09978561409315204
System One,2026,45,0.09714758472850246
Draper,2026,22,0.09359939192284185
JPS Tech Solutions,2026,27,0.09295767158660485
a Global Financial Institution,2026,35,0.0866334952805781
"Yoh, A Day & Zimmermann Company",2026,37,0.06220863721618669
Garmin,2026,32,0.06042260361802986
Captivation,2026,23,0.05892347120642559
"Pyramid Consulting, Inc",2026,25,0.05044870452698759
Reflexive Concepts,2026,32,0.04407763355707718
Base-2 Solutions,2026,30,0.043158088443790196
B4Corp,2026,36,0.03841194279911199
Matlen Silver,2026,29,0.036968402376838315
General Atomics,2026,20,0.029786856521835558
Signature IT World Inc,2026,33,0.024017977231291024
"Syms Strategic Group, LLC (SSG)",2026,32,0.0
AaraTechnologies Inc,2026,21,0.0
