company_name_canonical,mean_score_2024,mean_score_2026,n_2024,n_2026,score_delta
UST,0.043821767541740934,0.21716168467255462,31.0,21.0,0.17333991713081368
Belay Technologies,-0.15564511429708275,0.0149032939194372,52.0,12.0,0.17054840821651995
Rocket Lab,0.016979570027708425,0.1833112678882747,13.0,22.0,0.16633169786056629
Carrier,-0.2826880482365231,-0.11782098325639989,9.0,9.0,0.1648670649801232
BioSpace,-0.03545690104288472,0.12901971289904016,25.0,37.0,0.16447661394192487
York Space Systems,0.011601066248596248,0.17480326463190146,7.0,12.0,0.1632021983833052
Nityo Infotech,-0.3524393866470756,-0.1966713054425841,5.0,7.0,0.15576808120449148
Amazon Web Services (AWS),0.10085113580339933,0.2541665079743683,109.0,376.0,0.15331537217096897
Futran Solutions,0.1366008660901157,0.2898417183037112,13.0,8.0,0.15324085221359549
Talent Groups,-0.16397673108435748,-0.013632415860663683,19.0,31.0,0.1503443152236938
Amtex Systems Inc.,-0.09394703848255595,0.05346945704019308,13.0,19.0,0.14741649552274905
Broadcom,0.12010916073339484,0.264496896307896,6.0,34.0,0.14438773557450119
Saransh Inc,-0.17410544572359862,-0.030638302421581273,29.0,13.0,0.14346714330201735
Flex,0.2046531396728244,0.34529276481621757,6.0,8.0,0.14063962514339318
Accenture,-0.2161270543479313,-0.07717118932347959,12.0,59.0,0.13895586502445173
Keylent Inc,-0.23241029683857126,-0.09421511023793529,44.0,6.0,0.13819518660063596
New York Technology Partners,-0.24384849529241573,-0.10874784296181468,5.0,74.0,0.13510065233060103
KPMG US,-0.24702151398681732,-0.1142171954898544,63.0,23.0,0.13280431849696292
Experis,-0.1500089029732116,-0.021313373184171532,44.0,72.0,0.12869552978904006
Collabera,-0.3427638773271797,-0.2179656753662228,18.0,26.0,0.12479820196095692
HCA Healthcare,-0.19638282464607518,-0.07469208441836152,11.0,17.0,0.12169074022771366
Honeywell,0.012616286429509849,0.1333459532996823,44.0,51.0,0.12072966687017245
TEKsystems,-0.22707046105511672,-0.11063636611775775,31.0,120.0,0.11643409493735897
Entegee,-0.38389414387835374,-0.26786068326432705,7.0,10.0,0.1160334606140267
eTeam,0.02944044323617565,0.14412109513901164,18.0,6.0,0.114680651902836
TekWissen ®,-0.21859170780075893,-0.10545623347931019,23.0,5.0,0.11313547432144874
Smart IT Frame LLC,0.08339635664390088,0.19596614656145972,8.0,44.0,0.11256978991755884
IPolarity,-0.01567045457686975,0.09612712417815504,6.0,5.0,0.11179757875502479
Thermo Fisher Scientific,-0.21867058183958143,-0.10720781872456443,6.0,8.0,0.111462763115017
Mitchell Martin Inc.,-0.2930881441991598,-0.18315200121821779,5.0,19.0,0.10993614298094201
OneTrust,0.25331867163667837,0.3622185604339555,8.0,8.0,0.10889988879727713
GE HealthCare,-0.04274041464873109,0.06423841745914337,10.0,12.0,0.10697883210787446
ELEVI Associates,0.08715851461158915,0.18926978556780347,5.0,12.0,0.10211127095621432
Ascendion,-0.19089573563109144,-0.08888856253473425,13.0,12.0,0.10200717309635719
Raytheon,-0.22365368245775338,-0.12315344345535578,146.0,126.0,0.1005002390023976
GM Financial,0.09021439309344535,0.1882103562605531,6.0,20.0,0.09799596316710775
Mindlance,-0.10505293007415534,-0.011016126225418296,6.0,28.0,0.09403680384873704
Goldman Sachs,0.0546978382521361,0.14856019994953795,35.0,49.0,0.09386236169740185
Capital One,-0.05372564489601884,0.03911980902712004,710.0,247.0,0.09284545392313888
PepsiCo,0.128361743798087,0.21864675468015554,10.0,8.0,0.09028501088206853
Rivian,-0.08977274532696611,-0.0034825003569648023,34.0,36.0,0.0862902449700013
Intuit,-0.002822494502120888,0.08330621370863142,17.0,99.0,0.0861287082107523
Rockstar Games,0.051028991338429947,0.13534982279385457,8.0,12.0,0.08432083145542463
Optiver,0.06990772369863775,0.15318636526630958,6.0,9.0,0.08327864156767183
"Modern Technology Solutions, Inc. (MTSI)",-0.09297641247395937,-0.010854024516743967,8.0,19.0,0.0821223879572154
Peterson Technology Partners,0.07531540512076869,0.1569166335696568,6.0,6.0,0.0816012284488881
Synechron,0.08788838264981806,0.16924597724420853,29.0,68.0,0.08135759459439047
TALENT Software Services,-0.13267413364202357,-0.0542301248601802,14.0,15.0,0.07844400878184338
Garmin,-0.5488954780695948,-0.47092437505287565,16.0,32.0,0.07797110301671917
Solomon Page,-0.1624564485825875,-0.08629901180674024,5.0,13.0,0.07615743677584727
SAIC,-0.38812226927860705,-0.3142527214407684,46.0,32.0,0.07386954783783867
"IDR, Inc.",-0.1476850044271916,-0.07502680750679327,13.0,30.0,0.07265819692039832
ECS,-0.15529934632086068,-0.08807320451141738,7.0,28.0,0.0672261418094433
Labcorp,-0.06311428089387519,0.003881497748672802,5.0,6.0,0.06699577864254799
Lennar,0.40777710355158153,0.4745114575086942,8.0,17.0,0.06673435395711269
FOTOMILL STUDIOS LIMITED,-0.17873667564780887,-0.11366553829101009,5.0,5.0,0.06507113735679879
Fanatics,0.12249430794340739,0.18704609058368238,5.0,36.0,0.06455178264027499
"Onyx Point, LLC.",-0.3784128533432235,-0.31664289463454914,17.0,15.0,0.061769958708674355
Prudential Financial,-0.47374639267439295,-0.41249886224064725,11.0,14.0,0.0612475304337457
Robert Half,-0.07533515360473533,-0.01451261652841914,54.0,98.0,0.06082253707631619
General Motors,0.056864685126805994,0.11616067447248421,14.0,191.0,0.059295989345678216
Pacific Life,0.060919399806799134,0.11877986350826769,7.0,19.0,0.05786046370146856
Archer,-0.10331181827989393,-0.04579988439353088,5.0,19.0,0.05751193388636305
Georgia Tech Research Institute,0.15999656984325067,0.2125285510921937,8.0,5.0,0.05253198124894304
Stealth Startup,0.07216782942900904,0.12335034304907723,5.0,44.0,0.05118251362006819
Signify Technology,-0.1426355640611228,-0.0930251955792629,6.0,21.0,0.04961036848185989
"Akraya, Inc.",-0.2389645342140057,-0.19033596160558303,5.0,13.0,0.04862857260842268
Cypress HCM,-0.13701457216393018,-0.088412144187441,9.0,17.0,0.04860242797648917
Anduril Industries,0.27905756143878185,0.3256030505711794,52.0,271.0,0.04654548913239753
Renesas Electronics,0.14096289270514722,0.18619596554564755,7.0,13.0,0.04523307284050032
Leonardo DRS,-0.08396689456998847,-0.040256913226371774,19.0,16.0,0.0437099813436167
Prime Video & Amazon MGM Studios,0.030576977448809533,0.07394197059263397,7.0,10.0,0.04336499314382443
Piper Companies,0.14014445527509778,0.18213667683725826,24.0,110.0,0.04199222156216048
SSi People,-0.020257385134643424,0.02126888670007572,5.0,11.0,0.041526271834719145
Cognizant,0.0029645650146832847,0.04431584836845396,20.0,61.0,0.041351283353770675
BCforward,-0.16422527747008792,-0.12469577482485954,13.0,47.0,0.03952950264522838
Boeing,-0.15784887630175284,-0.12049639648442864,9.0,93.0,0.0373524798173242
AllSTEM Connections,-0.3270832021448559,-0.29010979598298814,11.0,9.0,0.03697340616186778
Liberty Mutual Insurance,-0.05330465832051547,-0.016534122612025706,5.0,9.0,0.03677053570848977
SpaceX,-0.11041648967927539,-0.07511691281657766,40.0,159.0,0.03529957686269773
Orion Innovation,-0.3121721611084454,-0.27741781700050605,8.0,6.0,0.03475434410793937
FIS,-0.21894526526126643,-0.18577165754937505,60.0,16.0,0.03317360771189137
Fiserv,-0.14014421841901628,-0.11025622025587802,9.0,15.0,0.029887998163138266
Amazon,-0.008067272270613678,0.019138989335619215,173.0,376.0,0.027206261606232893
Leidos,-0.05866482110199006,-0.0335097449076915,69.0,258.0,0.025155076194298562
Wells Fargo,-0.216940667627418,-0.19418990773853037,37.0,327.0,0.02275075988888764
Scientific Research Corporation,-0.13752533737377887,-0.11707878833386509,21.0,7.0,0.020446549039913775
Siemens,-0.022847473432188938,-0.002463641156360625,10.0,19.0,0.020383832275828313
U.S. Bank,0.17191925357331816,0.19109179221850134,10.0,37.0,0.019172538645183174
Adyen,-0.11674475879932925,-0.09800813610947408,5.0,7.0,0.018736622689855167
Lorven Technologies Inc.,-0.0543110705416673,-0.03569727342028779,31.0,51.0,0.018613797121379505
Captivation,-0.19215569074892014,-0.17364316968747628,41.0,23.0,0.018512521061443854
Visa,0.14423019802110498,0.16105986137489234,17.0,73.0,0.016829663353787355
VySystems,0.11741943109707102,0.13413185748515297,6.0,15.0,0.016712426388081944
SPECTRAFORCE,-0.1297594734660239,-0.11453588999446138,25.0,17.0,0.015223583471562524
Textron,-0.03816609502006498,-0.023443329135895304,5.0,6.0,0.014722765884169677
STR,-0.1864498559352074,-0.17429693308428243,8.0,23.0,0.01215292285092498
Deloitte,-0.1034239724234376,-0.09399514806184354,22.0,62.0,0.009428824361594049
Axiom Space,0.25601333539518467,0.26246325671133974,5.0,12.0,0.006449921316155072
State Farm,-0.06067889093913805,-0.0570867281727338,5.0,12.0,0.0035921627664042485
Supermicro,-0.1904314323681839,-0.18915303890512056,6.0,24.0,0.0012783934630633542
Agility Partners,-0.07778420610207958,-0.07806661164792641,6.0,8.0,-0.0002824055458468394
NVIDIA,0.19946166801326742,0.19880721953862104,57.0,195.0,-0.0006544484746463797
Ampstek,-0.18824925286570446,-0.18989742823274067,16.0,40.0,-0.0016481753670362087
Lawrence Harvey,0.017467868292217786,0.015396335174522277,7.0,7.0,-0.0020715331176955083
Snap Inc.,0.10101582334252734,0.0982708406004665,7.0,17.0,-0.0027449827420608502
The Hartford,-0.11909345113421772,-0.12361738965479954,9.0,16.0,-0.004523938520581819
Google,0.06203647779413508,0.057281288799566274,33.0,820.0,-0.004755188994568803
"Softworld, a Kelly Company",0.25341571701776844,0.24523784899013132,9.0,6.0,-0.00817786802763712
Rose International,-0.5919545619040821,-0.6013428153174835,10.0,15.0,-0.009388253413401326
Moog Inc.,-0.007620250127288436,-0.023106402721761305,6.0,10.0,-0.01548615259447287
Textron Systems,0.03458160693232972,0.018827474344592456,6.0,5.0,-0.015754132587737266
Intel,0.12172118972125627,0.10522434862198035,5.0,34.0,-0.01649684109927592
Recruiting from Scratch,-0.09437351419741274,-0.11109165359740013,38.0,7.0,-0.016718139399987383
Procore Technologies,0.23613278914196828,0.21689521127916933,8.0,22.0,-0.01923757786279895
Damco Solutions,-0.11756437069152319,-0.13759872748355484,12.0,5.0,-0.020034356792031652
Northrop Grumman,0.13395586559953784,0.1136100949214559,309.0,115.0,-0.020345770678081937
My3Tech,0.08331689115291806,0.06095975345349975,5.0,7.0,-0.022357137699418307
CesiumAstro,-0.025383858462905595,-0.04959056650375422,8.0,23.0,-0.024206708040848627
Tesla,-0.1799889796443609,-0.20521261319738926,79.0,22.0,-0.02522363355302837
Ring,0.06826680183663822,0.039743565578593654,5.0,8.0,-0.028523236258044565
Insight Global,0.010102670464402018,-0.01912007532095787,61.0,141.0,-0.02922274578535989
Guidehouse,-0.15840077122803045,-0.18920579829316614,13.0,20.0,-0.030805027065135687
Databricks,0.8250906201353849,0.7938402598954023,14.0,60.0,-0.03125036023998262
INSPYR Solutions,-0.15781954581037547,-0.18914548809146214,14.0,23.0,-0.03132594228108668
EVONA,0.007712113903770681,-0.02431315093089914,26.0,23.0,-0.032025264834669824
FastTek Global,-0.10102686860142078,-0.13448039586055008,9.0,28.0,-0.0334535272591293
"Sunrise Systems, Inc.",-0.09880834877592948,-0.13253252129255855,21.0,6.0,-0.03372417251662907
L3Harris Technologies,-0.1583461960068493,-0.1923544340435165,70.0,60.0,-0.03400823803666719
Fortinet,0.23275091933643255,0.19492028116051335,12.0,5.0,-0.037830638175919196
Optomi,0.1768796219656173,0.13772664395006498,9.0,23.0,-0.039152978015552314
Brooksource,-0.12464158188261629,-0.16529687602717605,29.0,49.0,-0.04065529414455976
QinetiQ US,-0.19762142232819147,-0.23835021258828207,8.0,6.0,-0.0407287902600906
General Atomics,-0.16545620484097598,-0.20672933363858056,9.0,20.0,-0.041273128797604586
US Tech Solutions,-0.1477355931059861,-0.19144237317926788,7.0,28.0,-0.04370678007328177
World Wide Technology,0.14390001496532925,0.09956512581590478,24.0,9.0,-0.044334889149424475
"Software Guidance & Assistance, Inc. (SGA, Inc.)",-0.291964353308501,-0.3372832768686283,9.0,22.0,-0.04531892356012729
Abbott,-0.15781904213948209,-0.20511988438692305,55.0,33.0,-0.047300842247440966
HTC Global Services,0.08712769711318191,0.03726501402479301,21.0,24.0,-0.049862683088388905
"BAE Systems, Inc.",0.09489637032324308,0.043878946582737326,52.0,140.0,-0.05101742374050575
Blizzard Entertainment,0.07615139628709554,0.02485897782858125,10.0,10.0,-0.05129241845851429
Enexus Global Inc.,-0.06617624249776889,-0.12001703362996968,11.0,15.0,-0.05384079113220079
Akkodis,-0.18333702025336357,-0.23748659365225466,44.0,76.0,-0.05414957339889109
Acro Service Corp,0.10076299770116355,0.04611545718298138,8.0,14.0,-0.05464754051818217
Walmart,0.12346962184077258,0.06504428338223553,172.0,245.0,-0.05842533845853705
Amentum,0.05180426386198146,-0.009000530328035761,9.0,18.0,-0.06080479419001722
ByteDance,0.07745320901685741,0.016282431683079916,44.0,124.0,-0.0611707773337775
LHH,-0.13979330641449436,-0.20215965084205273,14.0,8.0,-0.06236634442755837
MITRE,-0.028765589057422027,-0.09251451856492311,7.0,14.0,-0.06374892950750108
General Dynamics Mission Systems,0.09722172968168692,0.033364726168220636,18.0,70.0,-0.06385700351346629
TekSynap,0.11144269521671599,0.04608856735691903,10.0,8.0,-0.06535412785979695
Ford Motor Company,0.1493647676293648,0.08260822274107817,14.0,52.0,-0.06675654488828663
Capgemini,-0.03252699813445324,-0.09992915492155481,23.0,143.0,-0.06740215678710157
Cox Automotive Inc.,-0.08530894359175596,-0.15295611973076934,7.0,12.0,-0.06764717613901337
Uber,0.08060369086157076,0.012370236423849977,9.0,201.0,-0.06823345443772079
Bank of America,0.14135712074887635,0.07114583180605374,5.0,13.0,-0.07021128894282261
CAE,0.055636207918546655,-0.015664238160093106,8.0,6.0,-0.07130044607863976
Javen Technologies,-0.38097264886928606,-0.4527767271168357,5.0,12.0,-0.07180407824754964
Russell Tobin,0.014080174757538524,-0.05896251962247695,12.0,17.0,-0.07304269438001547
Lockheed Martin,0.2227713324921221,0.14725826743086157,86.0,191.0,-0.07551306506126054
"The Swift Group, LLC",-0.07884042342453393,-0.15492531990047329,5.0,32.0,-0.07608489647593936
Addison Group,-0.14555701741023291,-0.22409440736612224,8.0,16.0,-0.07853738995588933
Bowman Williams,0.1521488490735113,0.0714629125073496,51.0,5.0,-0.08068593656616171
"V-Soft Consulting Group, Inc.",-0.05685907793554428,-0.13833566308343268,19.0,11.0,-0.08147658514788839
Microsoft,0.3049910365129185,0.22332084241120753,20.0,418.0,-0.08167019410171095
Bristol Myers Squibb,-0.02446241669232898,-0.11008143681255125,8.0,9.0,-0.08561902012022227
EPITEC,-0.1373696676693743,-0.2307312850875175,16.0,37.0,-0.0933616174181432
Collins Aerospace,0.08755216021100676,-0.0066743987741367874,71.0,55.0,-0.09422655898514354
Fannie Mae,-0.08099451270522014,-0.17600658978626613,8.0,5.0,-0.09501207708104599
The Judge Group,-0.12448572617008209,-0.21989144845510458,39.0,17.0,-0.09540572228502249
Equifax,-0.13101998285158065,-0.2268050568915468,5.0,30.0,-0.09578507403996617
Apex Systems,-0.0959680015574803,-0.1940175448341664,78.0,201.0,-0.0980495432766861
myGwork - LGBTQ+ Business Community,0.10436565230779409,0.006081954960534683,12.0,128.0,-0.0982836973472594
Oracle,0.05151551249337057,-0.048222427105686236,30.0,47.0,-0.0997379395990568
Jobs via eFinancialCareers,0.02486479675784765,-0.07589660549361148,22.0,31.0,-0.10076140225145913
Harnham,0.18057534207537515,0.07928730137483667,18.0,47.0,-0.10128804070053848
TikTok,0.17068879588247127,0.0679067394612112,15.0,161.0,-0.10278205642126007
CVS Health,0.28479224094669436,0.18059916806200835,22.0,60.0,-0.10419307288468602
Sev1Tech LLC,0.14651443445757842,0.04220836126710844,6.0,7.0,-0.10430607319046997
General Dynamics Information Technology,-0.013784194642117057,-0.12061510353659335,21.0,80.0,-0.1068309088944763
Primary Talent Partners,-0.13982434861616083,-0.24797889953139474,5.0,12.0,-0.1081545509152339
Kforce Inc,-0.08924873905776529,-0.19843325797592398,99.0,165.0,-0.1091845189181587
Compunnel Inc.,0.043128298864005786,-0.06837067119860875,48.0,43.0,-0.11149897006261453
SMX,0.158238766948487,0.04486820008149278,5.0,27.0,-0.1133705668669942
Goliath Partners,-0.10510347488642997,-0.21947499544430274,7.0,37.0,-0.11437152055787277
"Veridian Tech Solutions, Inc.",0.008803785019086801,-0.10590023026491098,5.0,9.0,-0.11470401528399778
Phaxis,0.25228818463513225,0.13748695282136256,10.0,10.0,-0.1148012318137697
"Zillion Technologies, Inc.",0.06706024508271699,-0.04822621852631549,5.0,7.0,-0.11528646360903248
System Soft Technologies,-0.17098187493740458,-0.2863569472626111,8.0,6.0,-0.1153750723252065
ICE,-0.08763542310301202,-0.20387137168029076,26.0,52.0,-0.11623594857727874
Curtiss-Wright Corporation,-0.1805663855111603,-0.2995238585343419,10.0,9.0,-0.11895747302318158
Fidelity Investments,0.11573674533740397,-0.004059284889974487,29.0,54.0,-0.11979603022737846
GliaCell Technologies,0.03560238845401221,-0.08449057344527586,26.0,10.0,-0.12009296189928806
Unisys,0.057098968914367276,-0.06616795039713201,5.0,20.0,-0.12326691931149929
Cisco,-0.021873258144113228,-0.14551120402003612,6.0,85.0,-0.12363794587592289
"Kelly Science, Engineering, Technology & Telecom",-0.2952306049729054,-0.41973953625974997,12.0,6.0,-0.12450893128684459
CBTS,0.01568647757924998,-0.1103496137576193,5.0,6.0,-0.12603609133686927
American Express,0.3509097173151172,0.22487286147766847,7.0,18.0,-0.12603685583744875
Radley James,0.19592440426228888,0.069731554994337,7.0,10.0,-0.12619284926795188
Shield AI,0.26175285067234516,0.13522273626128378,12.0,11.0,-0.12653011441106138
AbbVie,-0.043751299656539996,-0.17062399500569111,10.0,10.0,-0.12687269534915113
Tech Consulting,0.19416648967365796,0.066671303838015,7.0,13.0,-0.12749518583564295
Tata Consultancy Services,0.12404254345923599,-0.007906240904917849,72.0,142.0,-0.13194878436415383
Jobot,0.13623336173886474,0.0031051046949683845,70.0,97.0,-0.13312825704389636
Eliassen Group,-0.12148336329561753,-0.25690720004189777,18.0,39.0,-0.13542383674628022
Themesoft Inc.,0.04491481048960777,-0.09385160592585637,5.0,13.0,-0.13876641641546414
Innova Solutions,-0.16966304481901148,-0.30923163678316873,6.0,19.0,-0.13956859196415725
Robinhood,0.5452207556780633,0.40356134225723134,9.0,24.0,-0.14165941342083194
Schneider Electric,-0.09202696394900822,-0.23405812339342666,35.0,11.0,-0.14203115944441844
System One,-0.22402108610805624,-0.36759376644929775,8.0,45.0,-0.14357268034124152
Selby Jennings,0.10342816542401836,-0.040370070088876435,33.0,19.0,-0.1437982355128948
Intuitive,0.04237840124267534,-0.10269117515538403,17.0,20.0,-0.14506957639805937
Stripe,0.40320033058599064,0.25260898374324114,23.0,25.0,-0.1505913468427495
Centraprise,0.04068502342471059,-0.11927237201068523,17.0,28.0,-0.15995739543539583
Parsons Corporation,0.3632072698980136,0.20297921990825124,16.0,29.0,-0.16022804998976237
Rippling,0.7866661559944271,0.6248383549914183,16.0,51.0,-0.16182780100300886
"Donato Technologies, Inc.",-0.09326570486198986,-0.2551083475307872,24.0,5.0,-0.16184264266879733
Randstad Digital Americas,0.03407974264352646,-0.1309823808159559,7.0,117.0,-0.16506212345948235
Verkada,0.2862132645851104,0.11587942451238412,12.0,38.0,-0.1703338400727263
Prohires,-0.15817174724773045,-0.3306262235597057,5.0,8.0,-0.17245447631197527
Qualcomm,0.06691225687339165,-0.10577845718472233,5.0,174.0,-0.17269071405811398
DivIHN Integration Inc,-0.20455725168581135,-0.3774989345631195,7.0,11.0,-0.17294168287730816
First Soft Solutions LLC,-0.11077685811519021,-0.28426026075502275,6.0,5.0,-0.17348340263983253
Draper,-0.12731381710825135,-0.30504930732425534,17.0,22.0,-0.177735490216004
"Yoh, A Day & Zimmermann Company",-0.09682549763451355,-0.2970329448074073,6.0,37.0,-0.20020744717289374
AMERICAN SYSTEMS,0.19000256336577726,-0.010344738655451297,10.0,9.0,-0.20034730202122855
Saragossa,0.24377819392447386,0.04326387325120469,6.0,15.0,-0.2005143206732692
Michael Page,0.2733677598367113,0.0727193405836586,6.0,6.0,-0.2006484192530527
Apexon,0.22501721034905792,0.02389431661501813,9.0,10.0,-0.2011228937340398
Motion Recruitment,0.11234973284237341,-0.08890375543566552,124.0,238.0,-0.20125348827803893
Empower Professionals,-0.22593769963292507,-0.42727498983681933,10.0,14.0,-0.20133729020389426
Navy Federal Credit Union,0.045795316756537224,-0.16093117184786662,6.0,5.0,-0.20672648860440385
ASRC Federal,-0.04828330949516798,-0.25650324415512205,18.0,11.0,-0.20821993465995406
JPMorgan Chase & Co.,0.0582461828966844,-0.1510943699646784,12.0,680.0,-0.2093405528613628
Stellent IT,-0.1380927929217063,-0.348049322562791,49.0,13.0,-0.2099565296410847
VDart,-0.24125082359532296,-0.45140650019360196,9.0,25.0,-0.210155676598279
Booz Allen Hamilton,0.26296809087631334,0.05107899732324089,10.0,338.0,-0.21188909355307245
Base-2 Solutions,-0.3550837842423662,-0.5721957310479031,7.0,30.0,-0.21711194680553692
Franklin Fitch,0.029842229639517548,-0.18928827618826047,10.0,19.0,-0.21913050582777802
