period,company_name_canonical,n_postings,mean_pairwise_cosine,median_pairwise_cosine,saturation_flag
2024,Spanco Solutions,20,0.08240607895130897,0.0583207190084154,False
2024,"V-Soft Consulting Group, Inc.",19,0.08078880537049328,0.06694850347294401,False
2024,Piper Companies,24,0.08078767584294963,0.05628949452226983,False
2024,Extend Information Systems Inc.,47,0.08060937337761666,0.05703476635917931,False
2024,Zortech Solutions,37,0.08030081601527674,0.05397012782809635,False
2024,World Wide Technology,24,0.08006338614515611,0.05806856075089313,False
2024,Jobs via eFinancialCareers,22,0.07971995239183725,0.07122122447972726,False
2024,"Donato Technologies, Inc.",23,0.07959211262649364,0.06680163116179091,False
2024,Innovation Works,17,0.07947745939810563,0.07090673125553149,False
2024,Compunnel Inc.,45,0.07919726925345033,0.06337066747840392,False
2024,Experis,41,0.07867756824913608,0.06916696026275883,False
2024,The Judge Group,35,0.0781333594763898,0.07176368984922679,False
2024,Keylent Inc,38,0.07742671991314024,0.04666231811313574,False
2024,Tesla,79,0.07709590165699079,0.06632871801384914,False
2024,Energy Jobline,63,0.07701809858466324,0.06306931256704815,False
2024,Central Business Solutions Inc.,16,0.07698370272177169,0.06819886162301148,False
2024,Cognizant,20,0.075823847268996,0.06488941954469071,False
2024,Software Technology Inc.,32,0.07563488245463465,0.055840986422213426,False
2024,iTech Solutions,40,0.07557570225397779,0.06597635383082957,False
2024,Adame Services LLC,37,0.075535479996629,0.058409704456638484,False
2024,Dice,72,0.07452776100285817,0.06325571909036654,False
2024,DApp360 Workforce,15,0.07414219050509943,0.06767046892100792,False
2024,Stellent IT,43,0.07308417437473634,0.0592618895303335,False
2024,ASK Consulting,18,0.072830555962766,0.060643052468539155,False
2024,VolunteerMatch,15,0.07277340461400965,0.05643734912853722,False
2024,TEKsystems,25,0.07240743539880286,0.05144486216060716,False
2024,TekIntegral,49,0.07215835221432712,0.05995022797533443,False
2024,Kforce Inc,99,0.07126924846491671,0.06431247866710219,False
2024,Steneral Consulting,64,0.06990154059207726,0.05763459862599295,False
