sensitivity,definition,side,denominator_definition,source_group,denominator_rows,numerator_rows,share
exclude_aggregators,S4,senior,YOE-known rows,pooled_2024,13521,8820,0.6523186154870202
exclude_aggregators,S4,senior,YOE-known rows,scraped_2026,23713,13358,0.5633196980559187
exclude_title_lookup_llm,J1,junior,all rows,arshkon_2024,4235,164,0.03872491145218418
exclude_title_lookup_llm,J1,junior,all rows,asaniczka_2024,16161,187,0.01157106614689685
exclude_title_lookup_llm,J1,junior,all rows,pooled_2024,20396,351,0.017209256717003334
exclude_title_lookup_llm,J1,junior,all rows,scraped_2026,38722,1229,0.031739063064924335
exclude_title_lookup_llm,J2,junior,all rows,arshkon_2024,4235,178,0.04203069657615112
exclude_title_lookup_llm,J2,junior,all rows,asaniczka_2024,16161,208,0.012870490687457459
exclude_title_lookup_llm,J2,junior,all rows,pooled_2024,20396,386,0.01892527946656207
exclude_title_lookup_llm,J2,junior,all rows,scraped_2026,38722,1280,0.03305614379422551
exclude_title_lookup_llm,J3,junior,YOE-known rows,arshkon_2024,2631,401,0.1524135309768149
exclude_title_lookup_llm,J3,junior,YOE-known rows,asaniczka_2024,11462,1169,0.1019891816436922
exclude_title_lookup_llm,J3,junior,YOE-known rows,pooled_2024,14093,1570,0.11140282409706946
exclude_title_lookup_llm,J3,junior,YOE-known rows,scraped_2026,26167,4485,0.1713990904574464
exclude_title_lookup_llm,J4,junior,YOE-known rows,arshkon_2024,2631,824,0.31318890155834284
exclude_title_lookup_llm,J4,junior,YOE-known rows,asaniczka_2024,11462,2771,0.24175536555574945
exclude_title_lookup_llm,J4,junior,YOE-known rows,pooled_2024,14093,3595,0.2550911800184489
exclude_title_lookup_llm,J4,junior,YOE-known rows,scraped_2026,26167,8806,0.33653074483127604
exclude_title_lookup_llm,S1,senior,all rows,arshkon_2024,4235,1889,0.44604486422668244
exclude_title_lookup_llm,S1,senior,all rows,asaniczka_2024,16161,10401,0.6435864117319473
exclude_title_lookup_llm,S1,senior,all rows,pooled_2024,20396,12290,0.6025691312021965
exclude_title_lookup_llm,S1,senior,all rows,scraped_2026,38722,17106,0.4417643716750168
exclude_title_lookup_llm,S2,senior,all rows,arshkon_2024,4235,13,0.0030696576151121604
exclude_title_lookup_llm,S2,senior,all rows,asaniczka_2024,16161,89,0.005507084957614009
exclude_title_lookup_llm,S2,senior,all rows,pooled_2024,20396,102,0.0050009805844283195
exclude_title_lookup_llm,S2,senior,all rows,scraped_2026,38722,295,0.00761840814007541
exclude_title_lookup_llm,S3,senior,all rows,arshkon_2024,4235,1639,0.38701298701298703
exclude_title_lookup_llm,S3,senior,all rows,asaniczka_2024,16161,10008,0.6192686096157416
exclude_title_lookup_llm,S3,senior,all rows,pooled_2024,20396,11647,0.5710433418317317
exclude_title_lookup_llm,S3,senior,all rows,scraped_2026,38722,16665,0.43037549713341255
exclude_title_lookup_llm,S4,senior,YOE-known rows,arshkon_2024,2631,1570,0.596731280881794
exclude_title_lookup_llm,S4,senior,YOE-known rows,asaniczka_2024,11462,7616,0.664456464840342
exclude_title_lookup_llm,S4,senior,YOE-known rows,pooled_2024,14093,9186,0.6518129567870574
exclude_title_lookup_llm,S4,senior,YOE-known rows,scraped_2026,26167,15123,0.5779416822715634
company_cap_50,J1,junior,all rows,arshkon_2024,4687,175,0.03733731598037124
company_cap_50,J1,junior,all rows,asaniczka_2024,15045,182,0.012097042206713194
company_cap_50,J1,junior,all rows,pooled_2024,19372,351,0.018118934544703695
company_cap_50,J1,junior,all rows,scraped_2026,31589,1031,0.03263794358795783
company_cap_50,J2,junior,all rows,arshkon_2024,4687,190,0.04053765735011734
company_cap_50,J2,junior,all rows,asaniczka_2024,15045,202,0.013426387504154204
company_cap_50,J2,junior,all rows,pooled_2024,19372,386,0.01992566590956019
company_cap_50,J2,junior,all rows,scraped_2026,31589,1072,0.03393586375003957
company_cap_50,J3,junior,YOE-known rows,arshkon_2024,2908,436,0.1499312242090784
company_cap_50,J3,junior,YOE-known rows,asaniczka_2024,10700,1150,0.10747663551401869
company_cap_50,J3,junior,YOE-known rows,pooled_2024,13361,1571,0.1175810193847766
company_cap_50,J3,junior,YOE-known rows,scraped_2026,20667,3058,0.1479653553974936
company_cap_50,J4,junior,YOE-known rows,arshkon_2024,2908,907,0.31189821182943606
company_cap_50,J4,junior,YOE-known rows,asaniczka_2024,10700,2600,0.24299065420560748
company_cap_50,J4,junior,YOE-known rows,pooled_2024,13361,3440,0.2574657585510067
company_cap_50,J4,junior,YOE-known rows,scraped_2026,20667,6314,0.305511201432235
company_cap_50,S1,senior,all rows,arshkon_2024,4687,2074,0.44250053339022827
company_cap_50,S1,senior,all rows,asaniczka_2024,15045,9167,0.6093054170820871
company_cap_50,S1,senior,all rows,pooled_2024,19372,11020,0.5688622754491018
company_cap_50,S1,senior,all rows,scraped_2026,31589,13549,0.4289151286840356
company_cap_50,S2,senior,all rows,arshkon_2024,4687,13,0.002773629187113292
company_cap_50,S2,senior,all rows,asaniczka_2024,15045,66,0.004386839481555334
company_cap_50,S2,senior,all rows,pooled_2024,19372,77,0.003974809002684287
company_cap_50,S2,senior,all rows,scraped_2026,31589,236,0.0074709550792997565
company_cap_50,S3,senior,all rows,arshkon_2024,4687,1801,0.3842543204608492
company_cap_50,S3,senior,all rows,asaniczka_2024,15045,8831,0.5869724160850781
company_cap_50,S3,senior,all rows,pooled_2024,19372,10418,0.5377864959735701
company_cap_50,S3,senior,all rows,scraped_2026,31589,13239,0.41910158599512487
company_cap_50,S4,senior,YOE-known rows,arshkon_2024,2908,1751,0.6021320495185695
company_cap_50,S4,senior,YOE-known rows,asaniczka_2024,10700,7213,0.6741121495327103
company_cap_50,S4,senior,YOE-known rows,pooled_2024,13361,8820,0.6601302297732206
company_cap_50,S4,senior,YOE-known rows,scraped_2026,20667,12601,0.6097159723230271
