metric,period_year,period,source_group,rows,nonnull_rows,missing_share,mean,stddev,min_value,p50,p95,p99,max_value,zero_share
posting_age_days,2026,2026-04,scraped_2026,21104,181,0.991423426838514,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
swe_confidence,2024,2024-04,arshkon_2024,4691,4691,0.0,0.9883493027791792,0.03279206951008809,0.8504616618156433,1.0,1.0,1.0,1.0,0.0
swe_confidence,2024,2024-01,asaniczka_2024,18129,18129,0.0,0.9869327920639932,0.03415586962182733,0.8504616022109985,1.0,1.0,1.0,1.0,0.0
swe_confidence,2024,2024-01,pooled_2024,18129,18129,0.0,0.9869327920639932,0.03415586962182733,0.8504616022109985,1.0,1.0,1.0,1.0,0.0
swe_confidence,2024,2024-04,pooled_2024,4691,4691,0.0,0.9883493027791792,0.03279206951008809,0.8504616618156433,1.0,1.0,1.0,1.0,0.0
swe_confidence,2026,2026-03,scraped_2026,19777,19777,0.0,0.9933361336447981,0.025331585406911248,0.850314199924469,1.0,1.0,1.0,1.0,0.0
swe_confidence,2026,2026-04,scraped_2026,21104,21104,0.0,0.9930595591014795,0.025929947843974732,0.8504616618156433,1.0,1.0,1.0,1.0,0.0
yoe_extracted,2024,2024-04,arshkon_2024,4691,2911,0.3794500106587082,5.221916867055994,2.7534821255579183,1.0,5.0,10.0,14.900000000000091,20.0,0.0
yoe_extracted,2024,2024-01,asaniczka_2024,18129,12834,0.2920734734403442,5.797880629577684,3.179598998277672,1.0,5.0,12.0,17.0,20.0,0.0
yoe_extracted,2024,2024-01,pooled_2024,18129,12834,0.2920734734403442,5.797880629577684,3.179598998277672,1.0,5.0,12.0,17.0,20.0,0.0
yoe_extracted,2024,2024-04,pooled_2024,4691,2911,0.3794500106587082,5.221916867055994,2.7534821255579183,1.0,5.0,10.0,14.900000000000091,20.0,0.0
yoe_extracted,2026,2026-03,scraped_2026,19777,13356,0.3246700712949385,5.027029050613956,2.7545441508625705,1.0,5.0,10.0,14.0,20.0,0.0
yoe_extracted,2026,2026-04,scraped_2026,21104,14225,0.3259571645185747,5.067275922671353,2.768391523932427,1.0,5.0,10.0,15.0,20.0,0.0
yoe_min_extracted,2024,2024-04,arshkon_2024,4691,2911,0.3794500106587082,4.594297492270697,2.6586993524772833,1.0,4.0,10.0,12.0,17.0,0.0
yoe_min_extracted,2024,2024-01,asaniczka_2024,18129,12834,0.2920734734403442,4.8055945145706715,2.8776440389633313,1.0,5.0,10.0,15.0,20.0,0.0
yoe_min_extracted,2024,2024-01,pooled_2024,18129,12834,0.2920734734403442,4.8055945145706715,2.8776440389633313,1.0,5.0,10.0,15.0,20.0,0.0
yoe_min_extracted,2024,2024-04,pooled_2024,4691,2911,0.3794500106587082,4.594297492270697,2.6586993524772833,1.0,4.0,10.0,12.0,17.0,0.0
yoe_min_extracted,2026,2026-03,scraped_2026,19777,13356,0.3246700712949385,4.420410302485775,2.6220616886678165,1.0,4.0,10.0,12.0,20.0,0.0
yoe_min_extracted,2026,2026-04,scraped_2026,21104,14225,0.3259571645185747,4.460949033391915,2.666773606270565,1.0,4.0,10.0,12.0,20.0,0.0
yoe_max_extracted,2024,2024-04,arshkon_2024,4691,2911,0.3794500106587082,6.163517691514944,2.96219974793734,1.0,5.0,11.5,15.0,20.0,0.0
yoe_max_extracted,2024,2024-01,asaniczka_2024,18129,12834,0.2920734734403442,7.0091164095371665,3.4625708845944443,1.0,6.0,14.0,20.0,20.0,0.0
yoe_max_extracted,2024,2024-01,pooled_2024,18129,12834,0.2920734734403442,7.0091164095371665,3.4625708845944443,1.0,6.0,14.0,20.0,20.0,0.0
yoe_max_extracted,2024,2024-04,pooled_2024,4691,2911,0.3794500106587082,6.163517691514944,2.96219974793734,1.0,5.0,11.5,15.0,20.0,0.0
yoe_max_extracted,2026,2026-03,scraped_2026,19777,13356,0.3246700712949385,6.0351901766996106,2.9841395371209853,1.0,5.0,12.0,15.0,20.0,0.0
yoe_max_extracted,2026,2026-04,scraped_2026,21104,14225,0.3259571645185747,6.11493848857645,2.9732009283982745,1.0,5.0,12.0,15.0,20.0,0.0
yoe_match_count,2024,2024-04,arshkon_2024,4691,4691,0.0,1.2415263270091665,1.5580693503604877,0.0,1.0,4.0,7.0,19.0,0.3378810488168834
yoe_match_count,2024,2024-01,asaniczka_2024,18129,18129,0.0,1.589718131171052,1.837212242174607,0.0,1.0,5.0,9.0,19.0,0.2655965580009929
yoe_match_count,2024,2024-01,pooled_2024,18129,18129,0.0,1.589718131171052,1.837212242174607,0.0,1.0,5.0,9.0,19.0,0.2655965580009929
yoe_match_count,2024,2024-04,pooled_2024,4691,4691,0.0,1.2415263270091665,1.5580693503604877,0.0,1.0,4.0,7.0,19.0,0.3378810488168834
yoe_match_count,2026,2026-03,scraped_2026,19777,19777,0.0,1.393993022197502,1.603653140985825,0.0,1.0,5.0,8.0,22.0,0.2532234413712899
yoe_match_count,2026,2026-04,scraped_2026,21104,21104,0.0,1.4166034874905231,1.6447980048060344,0.0,1.0,5.0,8.0,20.0,0.2554018195602729
scrape_week,2024,2024-04,arshkon_2024,4691,0,1.0,,,,,,,,0.0
scrape_week,2024,2024-01,asaniczka_2024,18129,0,1.0,,,,,,,,0.0
scrape_week,2024,2024-01,pooled_2024,18129,0,1.0,,,,,,,,0.0
scrape_week,2024,2024-04,pooled_2024,4691,0,1.0,,,,,,,,0.0
scrape_week,2026,2026-03,scraped_2026,19777,19777,0.0,12.916064114880923,0.6081742611893449,12.0,13.0,14.0,14.0,14.0,0.0
scrape_week,2026,2026-04,scraped_2026,21104,21104,0.0,14.66745640636846,0.6348116152449461,14.0,15.0,16.0,16.0,16.0,0.0
yoe_min_years_llm,2024,2024-04,arshkon_2024,4691,2098,0.5527606054146237,4.935176358436606,2.7509207705269247,0.0,5.0,10.0,12.0,20.0,0.005329354082285227
yoe_min_years_llm,2024,2024-01,asaniczka_2024,18129,3949,0.7821722102708368,5.44973410990124,3.306807024957433,0.0,5.0,10.0,20.0,20.0,0.0020960891389486458
yoe_min_years_llm,2024,2024-01,pooled_2024,18129,3949,0.7821722102708368,5.44973410990124,3.306807024957433,0.0,5.0,10.0,20.0,20.0,0.0020960891389486458
yoe_min_years_llm,2024,2024-04,pooled_2024,4691,2098,0.5527606054146237,4.935176358436606,2.7509207705269247,0.0,5.0,10.0,12.0,20.0,0.005329354082285227
yoe_min_years_llm,2026,2026-03,scraped_2026,19777,2655,0.865753147595692,4.418079096045198,2.6149483478388293,0.0,4.0,10.0,12.460000000000036,20.0,0.0018708600900035394
yoe_min_years_llm,2026,2026-04,scraped_2026,21104,2641,0.8748578468536771,4.658462703521393,2.841383396432332,0.0,4.0,10.0,14.0,20.0,0.0023218347232752084
