metric,period_year,period,seniority_final,rows,nonnull_rows,missing_share,mean,stddev,min_value,p01,p05,p25,p50,p75,p95,p99,max_value,zero_share
swe_confidence,2024,2024-04,director,13,13,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
swe_confidence,2024,2024-04,entry,175,175,0.0,0.9902947784832548,0.03098123774707401,0.8512843251228333,0.8789471518993378,0.9000000000000001,1.0,1.0,1.0,1.0,1.0,1.0,0.0
swe_confidence,2024,2024-04,mid-senior,2064,2064,0.0,0.988395775912347,0.03303602150049087,0.8504616618156433,0.8713822144269943,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
swe_confidence,2024,2024-04,unknown,2424,2424,0.0,0.9881193471476235,0.03278165611406486,0.8515816330909729,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
swe_confidence,2026,2026-03,associate,27,27,0.0,0.9962962962962962,0.019245008972987525,0.9,0.926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
swe_confidence,2026,2026-03,director,150,150,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
swe_confidence,2026,2026-03,entry,721,721,0.0,0.9964526411233756,0.018881324339217857,0.8518481254577637,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
swe_confidence,2026,2026-03,mid-senior,8454,8454,0.0,0.9952381705952901,0.02180684673520538,0.850314199924469,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
swe_confidence,2026,2026-03,unknown,10425,10425,0.0,0.991474615504114,0.028257456471688626,0.8507817983627319,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
swe_confidence,2026,2026-04,associate,25,25,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
swe_confidence,2026,2026-04,director,145,145,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
swe_confidence,2026,2026-04,entry,554,554,0.0,0.995282589593088,0.021294313335009682,0.8809109330177307,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
swe_confidence,2026,2026-04,mid-senior,8964,8964,0.0,0.9945104329674246,0.02342201957114258,0.8504616618156433,0.8984248429536819,0.9064679950475693,1.0,1.0,1.0,1.0,1.0,1.0,0.0
swe_confidence,2026,2026-04,unknown,11416,11416,0.0,0.9917090801964473,0.028032996388500184,0.8507817983627319,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
yoe_extracted,2024,2024-01,associate,24,16,0.33333333333333337,3.5,2.190890230020664,1.0,1.15,1.75,2.0,2.5,4.75,7.0,7.0,7.0,0.0
yoe_extracted,2024,2024-01,director,92,74,0.19565217391304346,8.445945945945946,4.566530687248918,2.0,2.0,2.0,5.0,8.0,12.0,15.0,18.539999999999992,20.0,0.0
yoe_extracted,2024,2024-01,entry,204,100,0.5098039215686274,2.58,2.1328597959291438,1.0,1.0,1.0,1.0,2.0,3.0,5.0,7.110000000000056,18.0,0.0
yoe_extracted,2024,2024-01,mid-senior,11426,8545,0.2521442324523018,6.183265067290813,3.0920454702587694,1.0,1.0,2.0,4.0,5.0,8.0,12.0,15.0,20.0,0.0
yoe_extracted,2024,2024-01,unknown,6383,4099,0.3578254739150869,5.034154671871188,3.1518127263010873,1.0,1.0,2.0,3.0,5.0,6.0,10.0,20.0,20.0,0.0
yoe_extracted,2024,2024-04,associate,15,11,0.2666666666666667,2.909090909090909,2.0714509627092528,1.0,1.0,1.0,2.0,2.0,3.5,6.5,7.700000000000001,8.0,0.0
yoe_extracted,2024,2024-04,director,13,13,0.0,6.923076923076923,4.386751616354606,1.0,1.12,1.6,5.0,5.0,10.0,15.0,15.0,15.0,0.0
yoe_extracted,2024,2024-04,entry,175,65,0.6285714285714286,2.046153846153846,1.3396684434820199,1.0,1.0,1.0,1.0,2.0,2.0,4.799999999999997,6.079999999999998,8.0,0.0
yoe_extracted,2024,2024-04,mid-senior,2064,1396,0.3236434108527132,6.0479942693409745,2.7164419570571217,1.0,1.0,2.0,4.0,5.0,8.0,10.0,15.0,20.0,0.0
yoe_extracted,2024,2024-04,unknown,2424,1426,0.4117161716171617,4.560308555399719,2.520277548658206,1.0,1.0,2.0,3.0,4.0,5.0,10.0,12.0,20.0,0.0
yoe_extracted,2026,2026-03,associate,27,17,0.37037037037037035,2.9411764705882355,1.5600716423971575,1.0,1.0,1.0,2.0,3.0,4.0,5.199999999999999,5.84,6.0,0.0
yoe_extracted,2026,2026-03,director,150,107,0.2866666666666666,7.364485981308412,3.312049252677278,1.0,2.0,3.0,5.0,6.0,10.0,12.0,17.819999999999993,18.0,0.0
yoe_extracted,2026,2026-03,entry,721,163,0.7739251040221914,1.98159509202454,1.3169005541822025,1.0,1.0,1.0,1.0,2.0,2.0,5.0,7.0,7.0,0.0
yoe_extracted,2026,2026-03,mid-senior,8454,6398,0.2431984859238231,5.77977492966552,2.6671627055552993,1.0,1.0,2.0,4.0,5.0,7.0,10.0,15.0,20.0,0.0
yoe_extracted,2026,2026-03,unknown,10425,6671,0.36009592326139084,4.347324239244491,2.6107909426029487,1.0,1.0,1.0,2.0,4.0,5.0,10.0,13.0,20.0,0.0
yoe_extracted,2026,2026-04,associate,25,18,0.28,2.5555555555555554,1.503807803044236,1.0,1.0,1.0,1.25,2.0,3.0,5.149999999999999,5.829999999999998,6.0,0.0
yoe_extracted,2026,2026-04,director,145,103,0.2896551724137931,6.631067961165049,2.8662686383346396,1.0,1.02,2.1000000000000005,5.0,6.0,8.0,12.0,15.0,15.0,0.0
yoe_extracted,2026,2026-04,entry,554,155,0.720216606498195,1.8516129032258064,1.2263002555310594,1.0,1.0,1.0,1.0,1.0,2.0,5.0,7.0,7.0,0.0
yoe_extracted,2026,2026-04,mid-senior,8964,6731,0.24910754127621593,5.837171296984104,2.719735252321151,1.0,1.0,2.0,4.0,5.0,8.0,10.0,15.0,20.0,0.0
yoe_extracted,2026,2026-04,unknown,11416,7218,0.367729502452698,4.402327514546966,2.6049707043420294,1.0,1.0,1.0,3.0,4.0,5.0,10.0,14.0,20.0,0.0
yoe_min_extracted,2024,2024-01,associate,24,16,0.33333333333333337,2.875,1.4548768561863463,1.0,1.15,1.75,2.0,2.0,4.0,4.75,6.549999999999999,7.0,0.0
yoe_min_extracted,2024,2024-01,director,92,74,0.19565217391304346,6.945945945945946,4.077643329219195,1.0,1.73,2.0,4.0,5.0,10.0,15.0,18.0,18.0,0.0
yoe_min_extracted,2024,2024-01,entry,204,100,0.5098039215686274,2.29,1.986291402426526,1.0,1.0,1.0,1.0,2.0,3.0,5.0,5.1300000000000665,18.0,0.0
yoe_min_extracted,2024,2024-01,mid-senior,11426,8545,0.2521442324523018,5.135049736688122,2.9955911854052237,1.0,1.0,1.0,3.0,5.0,7.0,10.0,15.0,20.0,0.0
yoe_min_extracted,2024,2024-01,unknown,6383,4099,0.3578254739150869,4.149060746523542,2.4318893616325488,1.0,1.0,1.0,2.0,4.0,5.0,9.0,11.019999999999982,20.0,0.0
yoe_min_extracted,2024,2024-04,associate,15,11,0.2666666666666667,2.8181818181818183,2.1362669223756576,1.0,1.0,1.0,1.5,2.0,3.5,6.5,7.700000000000001,8.0,0.0
yoe_min_extracted,2024,2024-04,director,13,13,0.0,5.923076923076923,3.06761412342824,1.0,1.12,1.6,5.0,5.0,9.0,10.0,10.0,10.0,0.0
yoe_min_extracted,2024,2024-04,entry,175,65,0.6285714285714286,1.676923076923077,0.953737586873551,1.0,1.0,1.0,1.0,1.0,2.0,3.799999999999997,5.0,5.0,0.0
yoe_min_extracted,2024,2024-04,mid-senior,2064,1396,0.3236434108527132,5.219914040114613,2.7787579275362826,1.0,1.0,1.0,3.0,5.0,7.0,10.0,12.0,17.0,0.0
yoe_min_extracted,2024,2024-04,unknown,2424,1426,0.4117161716171617,4.1164095371669,2.3839633838042698,1.0,1.0,1.0,2.0,3.0,5.0,9.0,10.0,16.0,0.0
yoe_min_extracted,2026,2026-03,associate,27,17,0.37037037037037035,2.8823529411764706,1.5764815627361644,1.0,1.0,1.0,2.0,2.0,4.0,5.199999999999999,5.84,6.0,0.0
yoe_min_extracted,2026,2026-03,director,150,107,0.2866666666666666,6.598130841121495,3.22390778077561,1.0,1.06,2.0,5.0,6.0,9.5,12.0,15.0,18.0,0.0
yoe_min_extracted,2026,2026-03,entry,721,163,0.7739251040221914,1.7791411042944785,1.154831717083268,1.0,1.0,1.0,1.0,2.0,2.0,3.9000000000000057,7.0,7.0,0.0
yoe_min_extracted,2026,2026-03,mid-senior,8454,6398,0.2431984859238231,5.048140043763676,2.674609594056512,1.0,1.0,1.0,3.0,5.0,6.0,10.0,13.0,20.0,0.0
yoe_min_extracted,2026,2026-03,unknown,10425,6671,0.36009592326139084,3.851896267426173,2.3974522181397964,1.0,1.0,1.0,2.0,3.0,5.0,8.0,12.0,20.0,0.0
yoe_min_extracted,2026,2026-04,associate,25,18,0.28,2.388888888888889,1.2897281468629185,1.0,1.0,1.0,1.25,2.0,3.0,5.0,5.0,5.0,0.0
yoe_min_extracted,2026,2026-04,director,145,103,0.2896551724137931,5.776699029126213,3.03228393451353,1.0,1.0,2.0,4.0,5.0,7.0,11.799999999999983,15.0,15.0,0.0
yoe_min_extracted,2026,2026-04,entry,554,155,0.720216606498195,1.7032258064516128,1.0393191674347373,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,7.0,0.0
yoe_min_extracted,2026,2026-04,mid-senior,8964,6731,0.24910754127621593,5.123310057940871,2.732547011973671,1.0,1.0,1.0,3.0,5.0,7.0,10.0,13.0,20.0,0.0
yoe_min_extracted,2026,2026-04,unknown,11416,7218,0.367729502452698,3.888888888888889,2.4415826592174654,1.0,1.0,1.0,2.0,3.0,5.0,8.0,12.0,20.0,0.0
yoe_max_extracted,2024,2024-01,associate,24,16,0.33333333333333337,3.5,2.190890230020664,1.0,1.15,1.75,2.0,2.5,4.75,7.0,7.0,7.0,0.0
yoe_max_extracted,2024,2024-01,director,92,74,0.19565217391304346,11.608108108108109,5.35536491361845,3.0,3.0,4.0,6.25,12.0,16.0,20.0,20.0,20.0,0.0
yoe_max_extracted,2024,2024-01,entry,204,100,0.5098039215686274,3.37,2.376887872743676,1.0,1.0,1.0,2.0,3.0,5.0,7.0,10.080000000000041,18.0,0.0
yoe_max_extracted,2024,2024-01,mid-senior,11426,8545,0.2521442324523018,7.48929198361615,3.314034787126312,1.0,2.0,3.0,5.0,7.0,10.0,14.0,19.55999999999949,20.0,0.0
yoe_max_extracted,2024,2024-01,unknown,6383,4099,0.3578254739150869,6.027567699438888,3.4328205484702883,1.0,1.0,2.0,4.0,5.0,8.0,12.0,20.0,20.0,0.0
yoe_max_extracted,2024,2024-04,associate,15,11,0.2666666666666667,4.7272727272727275,3.227720839568041,1.0,1.0,1.0,2.0,5.0,7.0,9.5,9.9,10.0,0.0
yoe_max_extracted,2024,2024-04,director,13,13,0.0,8.846153846153847,3.4362322837218535,5.0,5.0,5.0,6.0,10.0,10.0,15.0,15.0,15.0,0.0
yoe_max_extracted,2024,2024-04,entry,175,65,0.6285714285714286,2.8923076923076922,1.9374844912530662,1.0,1.0,1.0,2.0,2.0,4.0,7.799999999999997,8.0,8.0,0.0
yoe_max_extracted,2024,2024-04,mid-senior,2064,1396,0.3236434108527132,7.006446991404012,2.859799473767873,1.0,2.0,3.0,5.0,7.0,9.0,12.0,15.0,20.0,0.0
yoe_max_extracted,2024,2024-04,unknown,2424,1426,0.4117161716171617,5.474053295932679,2.79818737969679,1.0,2.0,2.0,3.0,5.0,7.0,10.0,15.0,20.0,0.0
yoe_max_extracted,2026,2026-03,associate,27,17,0.37037037037037035,3.235294117647059,1.521898968587677,1.0,1.0,1.0,2.0,3.0,5.0,5.199999999999999,5.84,6.0,0.0
yoe_max_extracted,2026,2026-03,director,150,107,0.2866666666666666,9.121495327102803,3.4741913145467826,1.0,2.06,5.0,7.0,9.0,10.0,15.0,17.939999999999998,18.0,0.0
yoe_max_extracted,2026,2026-03,entry,721,163,0.7739251040221914,2.7607361963190185,1.5065058740332058,1.0,1.0,1.0,2.0,2.0,3.0,5.900000000000006,7.0,7.0,0.0
yoe_max_extracted,2026,2026-03,mid-senior,8454,6398,0.2431984859238231,6.888715223507346,2.7203218356188215,1.0,2.0,3.0,5.0,6.0,8.0,12.0,15.0,20.0,0.0
yoe_max_extracted,2026,2026-03,unknown,10425,6671,0.36009592326139084,5.254234747414181,2.955817019561814,1.0,1.0,2.0,3.0,5.0,7.0,10.0,15.0,20.0,0.0
yoe_max_extracted,2026,2026-04,associate,25,18,0.28,3.7777777777777777,1.9570552775732022,2.0,2.0,2.0,3.0,3.0,4.75,6.599999999999994,9.319999999999993,10.0,0.0
yoe_max_extracted,2026,2026-04,director,145,103,0.2896551724137931,8.300970873786408,3.0059905921875103,1.0,3.0,5.0,6.5,8.0,10.0,14.899999999999991,16.0,20.0,0.0
yoe_max_extracted,2026,2026-04,entry,554,155,0.720216606498195,2.6516129032258067,1.5483277463838327,1.0,1.0,1.0,1.5,2.0,3.0,5.0,7.0,10.0,0.0
yoe_max_extracted,2026,2026-04,mid-senior,8964,6731,0.24910754127621593,6.9863318971920965,2.7631824400157794,1.0,2.0,4.0,5.0,7.0,8.0,12.0,15.0,20.0,0.0
yoe_max_extracted,2026,2026-04,unknown,11416,7218,0.367729502452698,5.351343862565808,2.912729820437072,1.0,1.0,2.0,3.0,5.0,7.0,10.0,15.0,20.0,0.0
yoe_match_count,2024,2024-01,associate,24,24,0.0,1.1666666666666667,1.307725096316589,0.0,0.0,0.0,0.0,1.0,1.25,2.849999999999998,5.309999999999999,6.0,0.2916666666666667
yoe_match_count,2024,2024-01,director,92,92,0.0,2.0652173913043477,1.9089399153910898,0.0,0.0,0.0,1.0,2.0,3.0,5.0,8.180000000000007,10.0,0.18478260869565216
yoe_match_count,2024,2024-01,entry,204,204,0.0,0.8480392156862745,1.2040351198711463,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.969999999999999,7.0,0.4950980392156863
yoe_match_count,2024,2024-01,mid-senior,11426,11426,0.0,1.7811132504813583,1.9655137075951186,0.0,0.0,0.0,1.0,1.0,2.0,6.0,10.0,19.0,0.22405041134255207
yoe_match_count,2024,2024-01,unknown,6383,6383,0.0,1.2655491148362839,1.5411870875161429,0.0,0.0,0.0,0.0,1.0,2.0,4.0,8.0,16.0,0.3336988876703744
yoe_match_count,2024,2024-04,associate,15,15,0.0,1.8,2.512824250576573,0.0,0.0,0.0,0.5,1.0,1.5,6.899999999999997,8.579999999999998,9.0,0.26666666666666666
yoe_match_count,2024,2024-04,director,13,13,0.0,1.7692307692307692,1.165750556068647,1.0,1.0,1.0,1.0,1.0,2.0,3.799999999999997,4.759999999999998,5.0,0.0
yoe_match_count,2024,2024-04,entry,175,175,0.0,0.7028571428571428,1.1309353555023045,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,0.6114285714285714
yoe_match_count,2024,2024-04,mid-senior,2064,2064,0.0,1.4854651162790697,1.7785226940052792,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,19.0,0.2756782945736434
yoe_match_count,2024,2024-04,unknown,2424,2424,0.0,1.0664191419141915,1.3284882160634648,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,17.0,0.37334983498349833
yoe_match_count,2026,2026-03,associate,27,27,0.0,1.2592592592592593,1.700511067808114,0.0,0.0,0.0,0.0,1.0,1.0,5.099999999999998,6.739999999999998,7.0,0.2962962962962963
yoe_match_count,2026,2026-03,director,150,150,0.0,1.54,1.5527848980452237,0.0,0.0,0.0,1.0,1.0,2.0,4.549999999999983,8.0,9.0,0.16
yoe_match_count,2026,2026-03,entry,721,721,0.0,0.34257975034674065,0.741978213277365,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,9.0,0.7475728155339806
yoe_match_count,2026,2026-03,mid-senior,8454,8454,0.0,1.7052282942985568,1.8295208241941867,0.0,0.0,0.0,1.0,1.0,2.0,6.0,9.0,22.0,0.15803170096995506
yoe_match_count,2026,2026-03,unknown,10425,10425,0.0,1.2125659472422063,1.377198718604132,0.0,0.0,0.0,0.0,1.0,2.0,4.0,7.0,17.0,0.2974580335731415
yoe_match_count,2026,2026-04,associate,25,25,0.0,1.36,1.2206555615733703,0.0,0.0,0.0,1.0,1.0,2.0,3.799999999999997,4.759999999999998,5.0,0.2
yoe_match_count,2026,2026-04,director,145,145,0.0,1.4896551724137932,1.5904106797516793,0.0,0.0,0.0,1.0,1.0,2.0,4.0,5.0,13.0,0.2
yoe_match_count,2026,2026-04,entry,554,554,0.0,0.4566787003610108,0.8239852533054547,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,0.6949458483754513
yoe_match_count,2026,2026-04,mid-senior,8964,8964,0.0,1.6981258366800536,1.8438764748598475,0.0,0.0,0.0,1.0,1.0,2.0,6.0,9.0,18.0,0.17090584560464078
yoe_match_count,2026,2026-04,unknown,11416,11416,0.0,1.2413279607568326,1.458136549184571,0.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,20.0,0.3012438682550806
scrape_week,2024,2024-01,associate,24,0,1.0,,,,,,,,,,,,0.0
scrape_week,2024,2024-01,director,92,0,1.0,,,,,,,,,,,,0.0
scrape_week,2024,2024-01,entry,204,0,1.0,,,,,,,,,,,,0.0
scrape_week,2024,2024-01,mid-senior,11426,0,1.0,,,,,,,,,,,,0.0
scrape_week,2024,2024-01,unknown,6383,0,1.0,,,,,,,,,,,,0.0
scrape_week,2024,2024-04,associate,15,0,1.0,,,,,,,,,,,,0.0
scrape_week,2024,2024-04,director,13,0,1.0,,,,,,,,,,,,0.0
scrape_week,2024,2024-04,entry,175,0,1.0,,,,,,,,,,,,0.0
scrape_week,2024,2024-04,mid-senior,2064,0,1.0,,,,,,,,,,,,0.0
scrape_week,2024,2024-04,unknown,2424,0,1.0,,,,,,,,,,,,0.0
scrape_week,2026,2026-03,associate,27,27,0.0,12.62962962962963,0.492102877623411,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,0.0
scrape_week,2026,2026-03,director,150,150,0.0,13.013333333333334,0.7234023513707163,12.0,12.0,12.0,12.25,13.0,14.0,14.0,14.0,14.0,0.0
