company_name_canonical,postings,industry_sample,aggregator_share,j1_entry_share,j3_low_yoe_share,broad_ai_share,ai_tool_strict_share,tech_count_mean,platform_tech_count_mean,llm_text_n,requirement_breadth_mean_llm,top_archetype,top_archetype_labeled_n
Zachary Piper Solutions,43,Software Development,0.0,0.023255813953488372,0.08108108108108109,0.09302325581395349,0.06976744186046512,6.488372093023256,3.0232558139534884,13,7.538461538461538,Defense Clearance Systems,7
Turing,42,"Technology, Information and Internet",1.0,0.023809523809523808,0.0,0.11904761904761904,0.09523809523809523,6.0,0.0,12,8.083333333333334,AI LLM Platforms,12
Red Hat,41,Software Development and IT Services and IT Consulting,0.0,0.0,0.13043478260869565,0.5365853658536586,0.43902439024390244,8.609756097560975,3.682926829268293,16,12.3125,AI LLM Platforms,9
Ahold Delhaize USA,37,Retail,0.0,0.16216216216216217,0.09090909090909091,0.05405405405405406,0.02702702702702703,7.378378378378378,3.2162162162162162,13,9.538461538461538,Cloud DevOps Infrastructure,5
Scale AI,37,Software Development,1.0,0.02702702702702703,0.04,0.8648648648648649,0.7567567567567568,9.135135135135135,3.7567567567567566,17,12.588235294117647,AI LLM Platforms,12
B4Corp,35,IT Services and IT Consulting,0.0,0.0,0.0,0.02857142857142857,0.0,7.142857142857143,2.142857142857143,7,7.714285714285714,Defense Clearance Systems,3
Cadence,35,Software Development,0.0,0.05714285714285714,0.3333333333333333,0.22857142857142856,0.2,3.257142857142857,0.5714285714285714,17,6.705882352941177,Embedded Firmware Systems,7
GRVTY,34,Software Development,0.0,0.0,0.1111111111111111,0.08823529411764706,0.0,10.352941176470589,3.8823529411764706,5,13.2,Defense Clearance Systems,5
Pentangle Tech Services | P5 Group,33,"Software Development, IT System Custom Software Development, and Engineering Services",0.0,0.0,0.0,0.15151515151515152,0.09090909090909091,3.787878787878788,1.7878787878787878,7,5.428571428571429,AI LLM Platforms,2
General Atomics Aeronautical Systems,32,Defense and Space Manufacturing and Aviation and Aerospace Component Manufacturing,0.0,0.0,0.4444444444444444,0.25,0.03125,5.28125,2.28125,7,9.571428571428571,Defense Clearance Systems,4
Whatnot,32,"Technology, Information and Internet",0.0,0.03125,0.12,0.125,0.125,4.59375,0.40625,8,7.25,Product Backend Engineering,7
Torc Robotics,31,Software Development,0.0,0.0,0.27586206896551724,0.3225806451612903,0.0,5.064516129032258,2.161290322580645,8,7.875,AI LLM Platforms,3
Signature IT World Inc,30,"IT Services and IT Consulting, Telecommunications, and Manufacturing",0.0,0.0,0.058823529411764705,0.13333333333333333,0.13333333333333333,7.4,2.7,4,7.25,Embedded Firmware Systems,1
"Holistic Partners, Inc",29,Travel Arrangements,0.0,0.0,0.0,0.1724137931034483,0.13793103448275862,9.03448275862069,2.8620689655172415,5,12.4,Java Dotnet Web Services,3
Honeywell Aerospace Technologies,29,Aviation and Aerospace Component Manufacturing,0.0,0.0,0.12,0.2413793103448276,0.20689655172413793,7.758620689655173,3.1724137931034484,4,7.5,Enterprise Application Support,2
Insulet Corporation,29,Medical Equipment Manufacturing,0.0,0.0,0.038461538461538464,0.0,0.0,4.172413793103448,1.2758620689655173,15,6.2,Enterprise Application Support,14
Zoom,28,IT Services and IT Consulting,0.0,0.0,0.14285714285714285,0.39285714285714285,0.2857142857142857,8.5,3.5357142857142856,11,10.636363636363637,Cloud DevOps Infrastructure,5
a Global Financial Institution,28,Software Development,1.0,0.0,0.0,0.07142857142857142,0.07142857142857142,4.214285714285714,1.3928571428571428,4,6.0,Enterprise Application Support,3
CyberArk,27,IT System Custom Software Development,0.0,0.0,0.09090909090909091,0.037037037037037035,0.0,7.962962962962963,2.6666666666666665,11,10.090909090909092,Product Backend Engineering,5
FieldAI,27,Robotics Engineering,0.0,0.037037037037037035,0.23076923076923078,0.2222222222222222,0.07407407407407407,4.37037037037037,1.5185185185185186,7,5.142857142857143,AI LLM Platforms,4
Net2Source (N2S),27,Telecommunications,1.0,0.037037037037037035,0.09090909090909091,0.2222222222222222,0.2222222222222222,6.407407407407407,2.4444444444444446,8,6.375,AI LLM Platforms,3
Pittsburgh Robotics Network,27,Non-profit Organizations,0.0,0.0,0.0,0.18518518518518517,0.14814814814814814,3.037037037037037,0.8888888888888888,7,4.428571428571429,AI LLM Platforms,2
Reflexive Concepts,27,Defense and Space Manufacturing,0.0,0.037037037037037035,0.0,0.0,0.0,5.074074074074074,2.074074074074074,10,6.6,Defense Clearance Systems,6
YO IT Consulting,27,Software Development,0.0,0.0,0.3,0.7037037037037037,0.6296296296296297,6.777777777777778,1.6296296296296295,13,9.461538461538462,AI LLM Platforms,7
ASCII Group LLC,26,"Staffing and Recruiting, Software Development, and IT Services and IT Consulting",0.8076923076923077,0.0,0.0,0.11538461538461539,0.038461538461538464,6.0,1.7307692307692308,7,7.571428571428571,Java Dotnet Web Services,5
Morgan Stanley,26,Financial Services,0.0,0.0,0.05555555555555555,0.07692307692307693,0.07692307692307693,9.192307692307692,3.6923076923076925,8,14.125,Java Dotnet Web Services,3
Ramp,26,Financial Services,0.0,0.07692307692307693,0.4,0.2692307692307692,0.23076923076923078,4.769230769230769,0.7692307692307693,8,8.0,Product Backend Engineering,7
Xometry,26,Software Development,0.0,0.038461538461538464,0.043478260869565216,0.15384615384615385,0.15384615384615385,6.538461538461538,2.8846153846153846,10,9.8,AI LLM Platforms,4
Crossing Hurdles,25,"Software Development and Technology, Information and Media",0.0,0.0,0.2222222222222222,0.12,0.12,1.96,0.28,13,3.5384615384615383,AI LLM Platforms,4
Saronic Technologies,25,Defense and Space Manufacturing,0.0,0.12,0.16666666666666666,0.08,0.04,5.0,1.24,11,7.2727272727272725,Embedded Firmware Systems,6
Silvus Technologies,25,Telecommunications,0.0,0.0,0.2727272727272727,0.08,0.0,2.72,1.08,8,2.5,Embedded Firmware Systems,7
True Anomaly,25,Defense and Space Manufacturing,0.0,0.04,0.17647058823529413,0.04,0.04,6.84,2.24,8,9.625,Defense Clearance Systems,2
Rivian and Volkswagen Group Technologies,24,Software Development,0.0,0.0,0.2631578947368421,0.125,0.125,8.958333333333334,4.541666666666667,6,8.833333333333334,Cloud DevOps Infrastructure,2
Spotify,24,Musicians,0.0,0.0,0.25,0.5833333333333334,0.5,6.208333333333333,1.0416666666666667,5,5.4,Product Backend Engineering,4
Truist,24,Financial Services,0.0,0.041666666666666664,0.125,0.08333333333333333,0.08333333333333333,5.291666666666667,2.7916666666666665,7,8.571428571428571,Enterprise Application Support,5
Weights & Biases,24,"Technology, Information and Internet",0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,6.25,1.8333333333333333,9,7.333333333333333,Product Backend Engineering,4
Cliff Services Inc,23,Software Development,0.5217391304347826,0.0,0.0,0.5652173913043478,0.4782608695652174,13.26086956521739,5.478260869565218,5,16.6,Cloud DevOps Infrastructure,2
JPS Tech Solutions,23,IT Services and IT Consulting,0.0,0.0,0.0,0.30434782608695654,0.21739130434782608,10.0,4.173913043478261,9,11.11111111111111,Java Dotnet Web Services,4
LTM,23,"IT Services and IT Consulting, Financial Services, and Banking",0.0,0.0,0.0,0.08695652173913043,0.08695652173913043,6.782608695652174,2.5652173913043477,5,10.6,Enterprise Application Support,2
Riot Games,23,"Computer Games, Software Development, and Technology, Information and Internet",0.0,0.0,0.2,0.2608695652173913,0.21739130434782608,3.0434782608695654,0.5652173913043478,9,5.222222222222222,Product Backend Engineering,6
Innoventrics,22,Business Consulting and Services,0.0,0.0,0.0,0.3181818181818182,0.3181818181818182,7.2727272727272725,2.8636363636363638,5,5.6,Enterprise Application Support,3
CHAOS Industries,21,Defense and Space Manufacturing,0.0,0.0,0.15789473684210525,0.047619047619047616,0.047619047619047616,7.333333333333333,3.4285714285714284,7,11.714285714285714,Embedded Firmware Systems,5
Kikoff,21,Software Development,0.0,0.0,0.05263157894736842,0.047619047619047616,0.0,2.5238095238095237,0.47619047619047616,12,4.583333333333333,Product Backend Engineering,11
Nuro,21,Software Development,0.0,0.23809523809523808,0.15384615384615385,0.23809523809523808,0.047619047619047616,3.857142857142857,0.9523809523809523,9,8.222222222222221,AI LLM Platforms,4
Vantor,21,Software Development,0.0,0.09523809523809523,0.3333333333333333,0.14285714285714285,0.14285714285714285,11.571428571428571,4.666666666666667,8,14.625,Defense Clearance Systems,5
Air Apps,20,"Technology, Information and Internet",0.0,0.0,0.0,0.1,0.0,9.0,4.05,6,12.0,Cloud DevOps Infrastructure,3
Gusto,20,Software Development,0.0,0.0,0.0,0.4,0.4,6.45,1.05,6,11.0,Product Backend Engineering,5
Lorvenk Technologies LLC,20,Software Development,0.85,0.0,0.0,0.4,0.4,13.55,3.45,6,12.833333333333334,Java Dotnet Web Services,5
"Shield Consulting Solutions, Inc.",20,IT Services and IT Consulting,0.0,0.0,0.0,0.1,0.05,7.7,3.8,7,8.857142857142858,Defense Clearance Systems,3
SoTalent,20,Hospitals and Health Care,0.0,0.0,0.2,0.15,0.15,10.8,3.5,7,10.571428571428571,Java Dotnet Web Services,3
"Super Micro Computer Spain, S.L.",20,IT Services and IT Consulting,0.0,0.0,0.6,0.0,0.0,6.85,2.2,5,9.4,Enterprise Application Support,2
WayUp,20,Telecommunications,0.0,0.8,,0.15,0.1,6.25,1.25,6,7.666666666666667,AI LLM Platforms,4
athenahealth,20,IT Services and IT Consulting,0.0,0.0,0.1111111111111111,0.4,0.35,10.9,4.25,8,14.0,Cloud DevOps Infrastructure,3
xAI,20,"Technology, Information and Internet",0.0,0.0,0.1111111111111111,0.2,0.1,6.1,2.5,4,6.5,Cloud DevOps Infrastructure,2
