company_name_canonical,cluster_name,delta_entry_final_share,delta_entry_yoe_share,delta_ai_any_share,delta_scope_any_share,delta_clean_len_mean,delta_tech_count_mean,delta_requirement_breadth_mean,delta_stack_depth_mean,delta_ai_domain_share,delta_domain_entropy
Brooksource,stack expansion,0.125,0.025,0.225,-0.050000000000000044,490.29999999999995,2.525,2.425,-0.1499999999999999,0.125,-0.006579210625974996
myGwork - LGBTQ+ Business Community,stack expansion,-0.051754385964912275,-0.13421052631578947,0.22105263157894736,0.3280701754385965,733.0745614035087,0.9517543859649122,1.6728070175438594,0.5184210526315791,0.08421052631578947,-0.07007942603286432
FanDuel,stack expansion,0.0,0.0,0.21428571428571427,0.17857142857142855,889.6428571428573,4.25,5.071428571428571,0.4642857142857144,0.0,0.1739500115751187
Pinterest,template inflation / text-heavy,0.0,0.17391304347826086,0.6086956521739131,0.31884057971014496,955.2608695652175,1.1449275362318838,2.376811594202899,0.7971014492753623,-0.28985507246376807,-0.3080668352011583
Workday,template inflation / text-heavy,0.0,-0.19117647058823528,0.3235294117647059,-0.01470588235294118,1082.4558823529412,-0.7352941176470589,0.16176470588235325,0.6029411764705883,0.17647058823529413,-0.03164703227858945
Netflix,template inflation / text-heavy,0.06666666666666667,-0.3333333333333333,-0.3,0.9333333333333333,1074.8666666666668,0.6666666666666665,0.36666666666666625,-0.6000000000000001,-0.3,-0.49312116085359414
AT&T,template inflation / text-heavy,0.0,0.0,0.3,0.025000000000000022,1139.75,0.9250000000000007,2.2750000000000004,0.5249999999999999,0.1,-0.03531055101375258
ByteDance,template inflation / text-heavy,0.0,0.07407407407407407,0.2962962962962963,-0.36111111111111105,1178.4351851851852,-1.5648148148148144,-1.4537037037037042,0.18518518518518512,0.037037037037037035,-0.255323030128889
Capital One,template inflation / text-heavy,0.0,-0.06302907618697091,0.2727272727272727,0.15264998159735,1144.6854987118145,0.6901913875598087,1.3303275671696717,0.44405594405594373,0.1674641148325359,0.03246312406019647
Microsoft,template inflation / text-heavy,0.0027472527472527475,-0.15818392134181603,0.2683632157316368,0.15717177559282824,912.0078079814922,-0.00867553499132434,0.678860613071139,0.4489589358010413,0.03571428571428571,-0.01411444356694358
Adobe,template inflation / text-heavy,-0.18888888888888888,0.03333333333333333,0.2638888888888889,0.05833333333333335,1312.9722222222222,2.402777777777778,3.175,0.7583333333333333,-0.17777777777777776,-0.11675321707636699
Caterpillar Inc.,template inflation / text-heavy,0.0,0.25,0.25,-0.08333333333333331,964.75,-0.125,0.5,-0.125,0.125,-0.05694271790770333
Docusign,template inflation / text-heavy,-0.29885057471264365,-0.09195402298850572,0.20689655172413793,0.5517241379310345,1185.0459770114944,1.471264367816091,2.2873563218390807,0.6091954022988508,0.10344827586206896,-0.11840965716949159
